,Company(1),Business Description,Investment,Interest(6)(12),Acquisition  Date,Amortized  Cost,Fair Value
313,"Ioxus, Inc",Energy storage devices,"First lien senior secured loan ($10,186 par due 6/2019)","5.00 % Cash, 7.00% PIK",4/29/2014,9930.0,9676
314,"Ioxus, Inc",Energy storage devices,First lien senior secured loan ($268 par due 6/2019),0,4/29/2014,261.0,255
315,"Ioxus, Inc",Energy storage devices,"Warrant to purchase up to 1,210,235 shares of Series BB preferred stock (expires 8/2026)",0,1/28/2016,0.0,0
316,"Ioxus, Inc",Energy storage devices,"Warrant to purchase up to 3,038,730 shares of common stock (expires 1/2026)",0,1/28/2016,0.0,0
317,KPS Global LLC,Walk-in cooler and freezer systems,"First lien senior secured loan ($27,140 par due 12/2020)",9.69% (Libor + 8.69%/Q),12/4/2015,27140.0,27140
318,"MacLean-Fogg Company and MacLean-Fogg Holdings, L.L.C.",Manufacturer and supplier for the power utility and automotive markets worldwide,"Senior subordinated loan ($99,187 par due 10/2025)","10.50% Cash, 3.00% PIK",10/31/2013,99187.0,99187
319,"MacLean-Fogg Company and MacLean-Fogg Holdings, L.L.C.",Manufacturer and supplier for the power utility and automotive markets worldwide,"Preferred units (70,183 units)","4.50% Cash, 9.25% PIK",10/9/2015,72794.0,72794
320,Niagara Fiber Intermediate Corp. (25),Insoluble fiber filler products,"First lien senior secured revolving loan ($1,881 par due 5/2018)",0,5/8/2014,1808.0,1392
321,Niagara Fiber Intermediate Corp. (25),Insoluble fiber filler products,"First lien senior secured loan ($1,430 par due 5/2018)",0,5/8/2014,1382.0,1058
322,Niagara Fiber Intermediate Corp. (25),Insoluble fiber filler products,"First lien senior secured loan ($13,649 par due 5/2018)",0,5/8/2014,13182.0,10100
323,Nordco Inc. (25),Railroad maintenance-of-way machinery,"First lien senior secured revolving loan ($1,375 par due 8/2020)",8.75%(Base Rate + 5.25%/Q),8/26/2015,1375.0,1224
324,"Pelican Products, Inc.",Flashlights,"Second lien senior secured loan ($40,000 par due 4/2021)",9.25% (Libor + 8.25%/Q),4/11/2014,39962.0,38000
325,Saw Mill PCG Partners LLC,Metal precision engineered components,"Common units (1,000 units)",0,1/30/2007,1000.0,0
326,"SI Holdings, Inc.","Elastomeric parts, mid-sized composite structures, and composite tooling","Common stock (1,500 shares)",0,5/30/2014,1500.0,1773
327,TPTM Merger Corp. (25),Time temperature indicator products,"First lien senior secured revolving loan ($1,250 par due 9/2018)",7.50% (Libor + 6.50%/Q),9/12/2013,1250.0,1250
328,TPTM Merger Corp. (25),Time temperature indicator products,"First lien senior secured loan ($17,000 par due 9/2018)",9.67% (Libor + 8.67%/Q),9/12/2013,17000.0,17000
329,TPTM Merger Corp. (25),Time temperature indicator products,"First lien senior secured loan ($10,000 par due 9/2018)",9.67% (Libor + 8.67%/Q),9/12/2013,10000.0,10000
330,Campus Management Corp. and Campus Management Acquisition Corp. (7),Education software developer,"Preferred stock (485,159 shares)",0,2/8/2008,10520.0,9650
331,"Infilaw Holding, LLC (25)",Operator of for-profit law schools,"First lien senior secured revolving loan ($6,000 par due 1/2017)",13.50% (Libor + 12.50%/M),8/25/2011,6000.0,6000
332,"Infilaw Holding, LLC (25)",Operator of for-profit law schools,Series A preferred units (1.25 units),0,8/25/2011,125521.0,79930
333,"Infilaw Holding, LLC (25)",Operator of for-profit law schools,Series A-1 preferred units (0.03 units),0,7/29/2016,2546.0,2546
334,"Infilaw Holding, LLC (25)",Operator of for-profit law schools,Series B preferred units (0.39 units),0,10/19/2012,9245.0,0
335,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private School Operator,"First lien senior secured loan ($2,811 par due 12/2018)",10.50% PIK (Libor + 9.00%/Q),10/31/2015,2811.0,2811
336,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private School Operator,"Series B preferred stock (1,750,000 shares)",0,8/5/2010,5000.0,0
337,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private School Operator,"Series C preferred stock (2,512,586 shares)",0,6/7/2010,689.0,0
338,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private School Operator,"Senior preferred series A-1 shares (163,902 shares)",0,10/31/2015,119422.0,58400
339,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private School Operator,Common stock (20 shares),0,6/7/2010,0.0,0
340,"Lakeland Tours, LLC (25)",Educational travel provider,"First lien senior secured revolving loan ($11,306 par due 2/2022)",5.75% (Libor + 4.75%/Q),2/10/2016,11306.0,11306
341,"Lakeland Tours, LLC (25)",Educational travel provider,"First lien senior secured loan ($5,060 par due 2/2022)",5.75% (Libor + 4.75%/Q),2/10/2016,5008.0,5060
342,"Lakeland Tours, LLC (25)",Educational travel provider,"First lien senior secured loan ($31,707 par due 2/2022)",10.44% (Libor + 9.44%/Q),2/10/2016,31340.0,31708
343,PIH Corporation (25),Franchisor of education-based early childhood centers,First lien senior secured revolving loan ($621 par due 12/2018),7.00% (Libor + 6.00%/Q),12/13/2013,621.0,621
344,"R3 Education, Inc. and EIC Acquisitions Corp.",Medical school operator,"Preferred stock (1,977 shares)",0,7/30/2008,494.0,494
345,"R3 Education, Inc. and EIC Acquisitions Corp.",Medical school operator,Common membership interest (15.76% interest),0,9/21/2007,15800.0,31551
346,"R3 Education, Inc. and EIC Acquisitions Corp.",Medical school operator,"Warrant to purchase up to 27,890 shares (expires 11/2019)",0,12/8/2009,0.0,0
347,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,"First lien senior secured loan ($3,750 par due 1/2018)","12.00% (Libor + 8.00% Cash, 2.00% PIK/M)",7/1/2014,3643.0,3675
348,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,First lien senior secured loan ($53 par due 1/2018),0,7/1/2014,52.0,52
349,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,"Warrant to purchase up to 987,771 shares of Series CC preferred stock (expires 11/2025)",0,7/1/2014,0.0,0
350,"RuffaloCODY,LLC (25)",Provider of student fundraising and enrollment management services,First lien senior secured revolving loan,0,5/29/2013,0.0,0
351,"Severin Acquisition, LLC (25)",Provider of student information system software solutions to the K-12 education market,"Second lien senior secured loan ($15,000 par due 7/2022)",9.75% (Libor + 8.75%/Q),7/31/2015,14750.0,14850
352,"Severin Acquisition, LLC (25)",Provider of student information system software solutions to the K-12 education market,"Second lien senior secured loan ($4,154 par due 7/2022)",9.75% (Libor + 8.75%/Q),10/28/2015,4082.0,4112
353,"Severin Acquisition, LLC (25)",Provider of student information system software solutions to the K-12 education market,"Second lien senior secured loan ($3,273 par due 7/2022)",10.25% (Libor + 9.25%/Q),2/1/2016,3213.0,3273
354,"Severin Acquisition, LLC (25)",Provider of student information system software solutions to the K-12 education market,"Second lien senior secured loan ($2,833 par due 7/2022)",10.25% (Libor + 9.25%/Q),8/8/2016,2776.0,2833
355,"WCI-Quantum Holdings, Inc.","Distributor of instructional products, services and resources","Series A preferred stock (1,272 shares)",0,10/24/2014,1000.0,1126
356,"Charter NEX US Holdings, Inc.",Producer of high-performance specialty films used in flexible packaging,"Second lien senior secured loan ($11,830 par due 2/2023)",9.25% (Libor + 8.25%/Q),2/5/2015,11691.0,11830
357,"GS Pretium Holdings, Inc.",Manufacturer and supplier of high performance plastic containers,"Common stock (500,000 shares)",0,6/2/2014,500.0,739
358,"ICSH, Inc. (25)","Industrial container manufacturer, reconditioner and servicer","First lien senior secured revolving loan ($1,000 par due 12/2018)",6.75% (Libor + 5.75%/Q),8/30/2011,1000.0,1000
359,"ICSH, Inc. (25)","Industrial container manufacturer, reconditioner and servicer","First lien senior secured loan ($5,000 par due 12/2018)",6.75% (Libor + 5.75%/Q),8/26/2016,5000.0,5000
360,"ICSH, Inc. (25)","Industrial container manufacturer, reconditioner and servicer","Second lien senior secured loan ($66,000 par due 12/2019)",10.16% (Libor + 9.00%/Q),12/31/2015,66000.0,66000
361,LBP Intermediate Holdings LLC (25),Manufacturer of paper and corrugated foodservice packaging,First lien senior secured revolving loan,0,7/10/2015,0.0,0
362,LBP Intermediate Holdings LLC (25),Manufacturer of paper and corrugated foodservice packaging,"First lien senior secured loan ($12,759 par due 7/2020)",6.50% (Libor + 5.50%/Q),7/10/2015,12643.0,12759
363,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",Keg management solutions provider,"Second lien senior secured loan ($78,500 par due 12/2018)",8.50% (Libor + 7.50%/Q),12/14/2012,78500.0,78500
364,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",Keg management solutions provider,"Second lien senior secured loan ($54,000 par due 12/2018)",8.50% (Libor + 7.50%/Q),12/14/2012,54000.0,54000
365,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",Keg management solutions provider,"Second lien senior secured loan ($10,000 par due 12/2018)",8.50% (Libor + 7.50%/Q),12/14/2012,10000.0,10000
366,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",Keg management solutions provider,"Common stock (50,000 shares)",0,12/14/2012,3951.0,7515
367,American Seafoods Group LLC and American Seafoods Partners LLC (25),Harvester and processor of seafood,"First lien senior secured revolving loan ($3,767 par due 8/2021)",7.50%(Base Rate + 4.00%/Q),8/19/2015,3767.0,3767
368,American Seafoods Group LLC and American Seafoods Partners LLC (25),Harvester and processor of seafood,"First lien senior secured loan ($6,921 par due 8/2021)",6.00% (Libor + 5.00%/Q),8/19/2015,6847.0,6921
369,American Seafoods Group LLC and American Seafoods Partners LLC (25),Harvester and processor of seafood,First lien senior secured loan ($94 par due 8/2021),7.50%(Base Rate + 4.00%/Q),8/19/2015,93.0,94
370,American Seafoods Group LLC and American Seafoods Partners LLC (25),Harvester and processor of seafood,"Second lien senior secured loan ($55,000 par due 2/2022)",10.00% (Libor + 9.00%/Q),8/19/2015,55000.0,55000
371,American Seafoods Group LLC and American Seafoods Partners LLC (25),Harvester and processor of seafood,"Class A units (77,922 units)",0,8/19/2015,78.0,83
372,American Seafoods Group LLC and American Seafoods Partners LLC (25),Harvester and processor of seafood,"Warrant to purchase up to 7,422,078 Class A units (expires 8/2035)",0,8/19/2015,7422.0,7872
373,Eagle Family Foods Group LLC,Manufacturer and producer of milk products,First lien senior secured loan ($466 par due 12/2021),5.00% (Libor + 4.00%/Q),8/22/2016,466.0,466
374,Eagle Family Foods Group LLC,Manufacturer and producer of milk products,"First lien senior secured loan ($22,316 par due 12/2021)",10.05% (Libor + 9.05%/Q),8/22/2016,22316.0,22316
375,Eagle Family Foods Group LLC,Manufacturer and producer of milk products,"First lien senior secured loan ($4,775 par due 12/2021)",10.05% (Libor + 9.05%/Q),12/31/2015,4751.0,4775
376,Eagle Family Foods Group LLC,Manufacturer and producer of milk products,"First lien senior secured loan ($50,000 par due 12/2021)",10.05% (Libor + 9.05%/Q),12/31/2015,49659.0,50000
377,GF Parent LLC,"Producer of low-acid, aseptic food and beverage products","Class A preferred units (2,940 units)",0,5/13/2015,2940.0,1358
378,GF Parent LLC,"Producer of low-acid, aseptic food and beverage products","Class A common units (60,000 units)",0,5/13/2015,60.0,0
379,"Kettle Cuisine, LLC",Manufacturer of fresh refrigerated and frozen food products,"Second lien senior secured loan ($28,500 par due 2/2022)",10.75% (Libor + 9.75%/Q),8/21/2015,28500.0,28500
380,"KeyImpact Holdings, Inc. and JWC/KI Holdings, LLC",Foodservice sales and marketing agency,"Membership units (5,000 units)",0,11/16/2015,5000.0,5747
381,"AEP Holdings, Inc. and Arrowhead Holdco Company","Distributor of non-discretionary, mission-critical aftermarket replacement parts","Common stock (2,832 shares)",0,8/31/2015,2832.0,2978
382,CH Hold Corp. (25),Collision repair company,"First lien senior secured revolving loan ($3,065 par due 11/2019)",7.75%(Base Rate + 4.25%/Q),2/24/2016,3065.0,3065
383,"ChargePoint, Inc.",Developer and operator of electric vehicle charging stations,"Second lien senior secured loan ($20,000 par due 8/2020)",9.75% (Libor + 8.75%/M),12/24/2014,19496.0,20000
384,"ChargePoint, Inc.",Developer and operator of electric vehicle charging stations,"Warrant to purchase up to 809,126 shares of Series E preferred stock (expires 12/2024)",0,12/24/2014,327.0,1453
385,"Dent Wizard International Corporation and DWH Equity Investors, L.P.",Automotive reconditioning services,"Second lien senior secured loan ($50,000 par due 10/2020)",10.25% (Libor + 9.25%/Q),4/7/2015,50000.0,50000
386,"Dent Wizard International Corporation and DWH Equity Investors, L.P.",Automotive reconditioning services,"Class A common stock (10,000 shares)",0,4/7/2015,333.0,578
387,"Dent Wizard International Corporation and DWH Equity Investors, L.P.",Automotive reconditioning services,"Class B common stock (20,000 shares)",0,4/7/2015,667.0,1156
388,"Eckler Industries, Inc. (25)",Restoration parts and accessories provider for classic automobiles,"First lien senior secured revolving loan ($2,000 par due 7/2017)",8.50%(Base Rate + 5.00%/Q),7/12/2012,2000.0,1860
389,"Eckler Industries, Inc. (25)",Restoration parts and accessories provider for classic automobiles,"First lien senior secured loan ($6,907 par due 7/2017)",7.25% (Libor + 6.00%/Q),7/12/2012,6907.0,6424
390,"Eckler Industries, Inc. (25)",Restoration parts and accessories provider for classic automobiles,"First lien senior secured loan ($26,096 par due 7/2017)",7.25% (Libor + 6.00%/Q),7/12/2012,26096.0,24269
391,"Eckler Industries, Inc. (25)",Restoration parts and accessories provider for classic automobiles,"Series A preferred stock (1,800 shares)",0,7/12/2012,1800.0,0
392,"Eckler Industries, Inc. (25)",Restoration parts and accessories provider for classic automobiles,"Common stock (20,000 shares)",0,7/12/2012,200.0,0
393,"EcoMotors, Inc.",Engine developer,"First lien senior secured loan ($9,840 par due 3/2018)",11.00%,9/1/2015,9488.0,9840
394,"EcoMotors, Inc.",Engine developer,"Warrant to purchase up to 321,888 shares of Series C preferred stock (expires 12/2022)",0,12/28/2012,0.0,347
395,"EcoMotors, Inc.",Engine developer,"Warrant to purchase up to 70,000 shares of Series C preferred stock (expires 2/2025)",0,2/24/2015,0.0,0
396,"Simpson Performance Products, Inc.",Provider of motorsports safety equipment,"First lien senior secured loan ($18,507 par due 2/2020)",9.73% (Libor + 8.73%/Q),2/20/2015,18507.0,18506
397,"SK SPV IV, LLC",Collision repair site operators,"Series A common stock (12,500 units)",0,8/18/2014,571.0,3137
398,"SK SPV IV, LLC",Collision repair site operators,"Series B common stock (12,500 units)",0,8/18/2014,571.0,3137
399,"TA THI Buyer, Inc. and TA THI Parent, Inc.",Collision repair company,"Series A preferred stock (50,000 shares)",0,7/28/2014,5000.0,13196
400,"Lonestar Prospects, Ltd.",Sand proppant producer and distributor to the oil and natural gas industry,"First lien senior secured loan ($24,140 par due 9/2018)","8.50% (Libor + 6.50% Cash, 1.00% PIK/Q)",9/18/2014,24140.0,24140
401,"Lonestar Prospects, Ltd.",Sand proppant producer and distributor to the oil and natural gas industry,"First lien senior secured loan ($47,107 par due 9/2018)","8.50% (Libor + 6.50% Cash, 1.00% PIK/Q)",9/18/2014,47107.0,47107
402,Petroflow Energy Corporation and TexOak Petro Holdings LLC (7),Oil and gas exploration and production company,"First lien senior secured loan ($16,333 par due 6/2019)",3.00%,6/29/2016,16160.0,14863
403,Petroflow Energy Corporation and TexOak Petro Holdings LLC (7),Oil and gas exploration and production company,"Second lien senior secured loan ($21,885 par due 12/2019)",0,6/29/2016,21885.0,4158
404,Petroflow Energy Corporation and TexOak Petro Holdings LLC (7),Oil and gas exploration and production company,"Common units (202,000 units)",0,6/29/2016,11075.0,0
405,"UL Holding Co., LLC (7)",Manufacturer and distributor of re-refined oil products,"Senior subordinated loan ($6,157 par due 5/2020)",10.00% PIK,4/30/2012,1489.0,5292
406,"UL Holding Co., LLC (7)",Manufacturer and distributor of re-refined oil products,Senior subordinated loan ($159 par due 5/2020),0,4/30/2012,38.0,136
407,"UL Holding Co., LLC (7)",Manufacturer and distributor of re-refined oil products,"Senior subordinated loan ($26,112 par due 5/2020)",10.00% PIK,4/30/2012,6365.0,22445
408,"UL Holding Co., LLC (7)",Manufacturer and distributor of re-refined oil products,Senior subordinated loan ($672 par due 5/2020),0,4/30/2012,164.0,578
409,"UL Holding Co., LLC (7)",Manufacturer and distributor of re-refined oil products,"Senior subordinated loan ($3,038 par due 5/2020)",10.00% PIK,4/30/2012,714.0,2612
410,"UL Holding Co., LLC (7)",Manufacturer and distributor of re-refined oil products,Senior subordinated loan ($78 par due 5/2020),0,4/30/2012,18.0,67
411,"UL Holding Co., LLC (7)",Manufacturer and distributor of re-refined oil products,"Class A common units (533,351 units)",0,6/17/2011,4993.0,0
412,"UL Holding Co., LLC (7)",Manufacturer and distributor of re-refined oil products,"Class B-5 common units (272,834 units)",0,6/17/2011,2492.0,0
413,"UL Holding Co., LLC (7)",Manufacturer and distributor of re-refined oil products,"Class C common units (758,546 units)",0,4/25/2008,0.0,0
414,"UL Holding Co., LLC (7)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 719,044 shares of Class A units",0,5/2/2014,0.0,0
415,"UL Holding Co., LLC (7)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 28,663 shares of Class B-1 units",0,5/2/2014,0.0,0
416,"UL Holding Co., LLC (7)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 57,325 shares of Class B-2 units",0,5/2/2014,0.0,0
417,"UL Holding Co., LLC (7)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 29,645 shares of Class B-3 units",0,5/2/2014,0.0,0
418,"UL Holding Co., LLC (7)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 80,371 shares of Class B-5 units",0,5/2/2014,0.0,0
419,"UL Holding Co., LLC (7)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 59,655 shares of Class B-6 units",0,5/2/2014,0.0,0
420,"UL Holding Co., LLC (7)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 1,046,713 shares of Class C units",0,5/2/2014,0.0,0
421,"Aimbridge Hospitality, LLC (25)",Hotel operator,"First lien senior secured loan ($2,870 par due 10/2018)",8.25% (Libor + 7.00%/Q),1/7/2016,2835.0,2870
422,"Aimbridge Hospitality, LLC (25)",Hotel operator,"First lien senior secured loan ($3,288 par due 10/2018)",8.25% (Libor + 7.00%/Q),7/15/2015,3263.0,3288
423,"Aimbridge Hospitality, LLC (25)",Hotel operator,"First lien senior secured loan ($14,923 par due 10/2018)",8.25% (Libor + 7.00%/Q),7/15/2015,14777.0,14923
424,Castle Management Borrower LLC,Hotel operator,"Second lien senior secured loan ($10,000 par due 3/2021)",11.00% (Libor + 10.00%/Q),10/17/2014,10000.0,10000
425,Castle Management Borrower LLC,Hotel operator,"Second lien senior secured loan ($55,000 par due 3/2021)",11.00% (Libor + 10.00%/Q),10/17/2014,55000.0,55000
426,"Pyramid Management Advisors, LLC and Pyramid Investors, LLC (25)",Hotel operator,"First lien senior secured loan ($19,500 par due 7/2021)",11.12% (Libor + 10.12%/Q),7/15/2016,19500.0,19500
427,"Pyramid Management Advisors, LLC and Pyramid Investors, LLC (25)",Hotel operator,"Membership units (990,369 units)",0,7/15/2016,990.0,918
428,"10th Street, LLC and New 10th Street, LLC (8)",Real estate holding company,"First lien senior secured loan ($25,514 par due 11/2019)","12.00% Cash, 1.00% PIK",3/31/2014,25514.0,25514
429,"10th Street, LLC and New 10th Street, LLC (8)",Real estate holding company,"Senior subordinated loan ($27,440 par due 11/2019)","12.00% Cash, 1.00% PIK",4/1/2010,27440.0,27440
430,"10th Street, LLC and New 10th Street, LLC (8)",Real estate holding company,Member interest (10.00% interest),0,4/1/2010,594.0,37259
431,"10th Street, LLC and New 10th Street, LLC (8)",Real estate holding company,"Option (25,000 units)",0,4/1/2010,25.0,25
432,"Cadence Aerospace, LLC",Aerospace precision components manufacturer,"First lien senior secured loan ($4,042 par due 5/2018)",7.00% (Libor + 5.75%/Q),5/15/2012,4031.0,4042
433,"Cadence Aerospace, LLC",Aerospace precision components manufacturer,First lien senior secured loan ($11 par due 5/2018),8.25%(Base Rate + 4.75%/Q),5/15/2012,11.0,11
434,"Cadence Aerospace, LLC",Aerospace precision components manufacturer,"Second lien senior secured loan ($79,657 par due 5/2019)",11.00% (Libor + 9.75%/Q),5/10/2012,79657.0,77267
435,"MPH Energy Holdings, LP",Operator of municipal recycling facilities,Limited partnership interest (3.13% interest),0,1/8/2014,0.0,0
436,"RE Community Holdings, LP and Pegasus Community Energy, LLC",Operator of municipal recycling facilities,"Preferred stock (1,000 shares)",0,3/1/2011,8839.0,0
437,"Waste Pro USA, Inc",Waste management services,"Second lien senior secured loan ($16,448 par due 10/2020)",8.50% (Libor + 7.50%/Q),10/15/2014,16448.0,16448
438,"Waste Pro USA, Inc",Waste management services,"Second lien senior secured loan ($59,696 par due 10/2020)",8.50% (Libor + 7.50%/Q),10/15/2014,59696.0,59696
439,"Genomatica, Inc.",Developer of a biotechnology platform for the production of chemical products,"Warrant to purchase 322,422 shares of Series D preferred stock (expires 3/2023)",0,3/28/2013,0.0,6
440,"K2 Pure Solutions Nocal, L.P. (25)",Chemical Producer,"First lien senior secured revolving loan ($1,500 par due 2/2021)",8.13% (Libor + 7.13%/Q),8/19/2013,1500.0,1500
441,"K2 Pure Solutions Nocal, L.P. (25)",Chemical Producer,"First lien senior secured loan ($13,975 par due 2/2021)",7.00% (Libor + 6.00%/Q),8/19/2013,13975.0,13975
442,"K2 Pure Solutions Nocal, L.P. (25)",Chemical Producer,"First lien senior secured loan ($26,000 par due 2/2021)",7.00% (Libor + 6.00%/Q),8/19/2013,26000.0,26000
443,"K2 Pure Solutions Nocal, L.P. (25)",Chemical Producer,"First lien senior secured loan ($13,000 par due 2/2021)",7.00% (Libor + 6.00%/Q),8/19/2013,13000.0,13000
444,"Kinestral Technologies, Inc.","Designer of adaptive, dynamic glass for the commercial and residential markets.","First lien senior secured loan ($9,667 par due 10/2018)",8.75% (Libor + 7.75%/M),4/22/2014,9561.0,9695
445,"Kinestral Technologies, Inc.","Designer of adaptive, dynamic glass for the commercial and residential markets.","Warrant to purchase up to 325,000 shares of Series A preferred stock (expires 4/2024)",0,4/22/2014,73.0,151
446,"Kinestral Technologies, Inc.","Designer of adaptive, dynamic glass for the commercial and residential markets.","Warrant to purchase up to 131,883 shares of Series B preferred stock (expires 4/2025)",0,4/9/2015,0.0,0
447,"Liquid Light, Inc. (8)",Developer and licensor of process technology for the conversion of carbon dioxide into major chemicals,"First lien senior secured loan ($2,293 par due 11/2017)",0,8/13/2014,2148.0,1200
448,"Liquid Light, Inc. (8)",Developer and licensor of process technology for the conversion of carbon dioxide into major chemicals,"Warrant to purchase up to 86,009 shares of Series B preferred stock (expires 8/2024)",0,8/13/2014,77.0,0
449,"Athletic Club Holdings, Inc. (25)",Premier health club operator,"First lien senior secured loan ($35,000 par due 10/2020)",9.50% (Libor + 8.50%/Q),10/11/2007,35000.0,35000
450,"CFW Co-Invest, L.P., NCP Curves, L.P. and Curves International Holdings, Inc.",Health club franchisor,"Limited partnership interest (4,152,165 shares)",0,7/31/2012,4152.0,0
451,"CFW Co-Invest, L.P., NCP Curves, L.P. and Curves International Holdings, Inc.",Health club franchisor,"Common stock (1,680 shares)",0,11/12/2014,0.0,0
452,"CFW Co-Invest, L.P., NCP Curves, L.P. and Curves International Holdings, Inc.",Health club franchisor,"Limited partnership interest (2,218,235 shares)",0,7/31/2012,2218.0,7857
453,"Flow Solutions Holdings, Inc.","Distributor of high value fluid handling, filtration and flow control products","Second lien senior secured loan ($6,000 par due 10/2018)",10.00% (Libor + 9.00%/Q),12/16/2014,6000.0,5280
454,"Flow Solutions Holdings, Inc.","Distributor of high value fluid handling, filtration and flow control products","Second lien senior secured loan ($29,500 par due 10/2018)",10.00% (Libor + 9.00%/Q),12/16/2014,29500.0,25960
455,"Paper Source, Inc. and Pine Holdings, Inc. (25)",Retailer of fine and artisanal paper products,First lien senior secured revolving loan ($667 par due 9/2018),8.50%(Base Rate + 5.00%/Q),9/23/2013,667.0,667
456,"Paper Source, Inc. and Pine Holdings, Inc. (25)",Retailer of fine and artisanal paper products,"First lien senior secured loan ($9,724 par due 9/2018)",7.25% (Libor + 6.25%/Q),9/23/2013,9724.0,9724
457,"Paper Source, Inc. and Pine Holdings, Inc. (25)",Retailer of fine and artisanal paper products,"Class A common stock (36,364 shares)",0,9/23/2013,6000.0,6901
458,"Things Remembered, Inc. and TRM Holdco Corp. (7)(25)",Personalized gifts retailer,First lien senior secured revolving loan ($283 par due 2/2019),9.00% (Libor + 8.00%/Q),8/30/2016,283.0,283
459,"Things Remembered, Inc. and TRM Holdco Corp. (7)(25)",Personalized gifts retailer,First lien senior secured revolving loan ($581 par due 2/2019),10.50%(Base Rate + 7.00%/Q),8/30/2016,581.0,581
460,"Things Remembered, Inc. and TRM Holdco Corp. (7)(25)",Personalized gifts retailer,"First lien senior secured loan ($10,733 par due 3/2020)",0,5/24/2012,10632.0,3954
461,"Things Remembered, Inc. and TRM Holdco Corp. (7)(25)",Personalized gifts retailer,"Common stock (10,631,940 shares)",0,8/30/2016,6082.0,0
462,Adaptive Mobile Security Limited (9),Developer of security software for mobile communications networks,"First lien senior secured loan ($2,232 par due 7/2018)",10.00% (Libor + 9.00%/M),1/16/2015,2280.0,2449
463,Adaptive Mobile Security Limited (9),Developer of security software for mobile communications networks,First lien senior secured loan ($585 par due 10/2018),10.00% (Libor + 9.00%/M),1/16/2015,596.0,642
464,"American Broadband Communications, LLC, American Broadband Holding Company, and Cameron Holdings of NC, Inc.",Broadband communication services,Warrant to purchase up to 208 shares (expires 11/2017),0,11/7/2007,0.0,7204
465,"American Broadband Communications, LLC, American Broadband Holding Company, and Cameron Holdings of NC, Inc.",Broadband communication services,Warrant to purchase up to 200 shares (expires 9/2020),0,9/1/2010,0.0,6927
466,"Startec Equity, LLC (8)",Communication services,Member interest,0,4/1/2010,0.0,0
467,Wilcon Holdings LLC,Communications infrastructure provider,"Class A common stock (2,000,000 shares)",0,12/13/2013,1829.0,3420
468,"Everspin Technologies, Inc. (25)",Designer and manufacturer of computer memory solutions,"First lien senior secured revolving loan ($1,145 par due 6/2017)",7.25%(Base Rate + 3.75%/M),6/5/2015,1145.0,1145
469,"Everspin Technologies, Inc. (25)",Designer and manufacturer of computer memory solutions,"First lien senior secured loan ($8,000 par due 6/2019)",8.75% (Libor + 7.75%/M),6/5/2015,7633.0,8000
470,"Everspin Technologies, Inc. (25)",Designer and manufacturer of computer memory solutions,"Warrant to purchase up to 480,000 shares of Series B preferred stock (expires 6/2025)",0,6/5/2015,355.0,252
471,"Liquid Robotics, Inc.","Ocean data services provider utilizing long duration, autonomous surface vehicles","First lien senior secured loan ($3,005 par due 4/2019)","11.00% (Libor + 8.00% Cash, 2.00% PIK/M)",6/30/2016,2933.0,3005
472,"Liquid Robotics, Inc.","Ocean data services provider utilizing long duration, autonomous surface vehicles",First lien senior secured loan ($5 par due 4/2019),0,6/30/2016,5.0,5
473,"Liquid Robotics, Inc.","Ocean data services provider utilizing long duration, autonomous surface vehicles","First lien senior secured loan ($5,000 par due 5/2019)",9.00% (Libor + 8.00%/M),10/29/2015,4885.0,5000
474,"Liquid Robotics, Inc.","Ocean data services provider utilizing long duration, autonomous surface vehicles","Warrant to purchase up to 30,172 shares of Series E preferred stock (expires 6/2026)",0,6/30/2016,42.0,60
475,"Liquid Robotics, Inc.","Ocean data services provider utilizing long duration, autonomous surface vehicles","Warrant to purchase up to 50,263 shares of Series E preferred stock (expires 10/2025)",0,10/29/2015,76.0,100
476,"Batanga, Inc.",Independent digital media company,"First lien senior secured loan ($9,915 par due 12/2016)",12.00% (Libor + 11.00%/M),10/31/2012,9915.0,10065
477,"Earthcolor Group, LLC",Printing management services,Limited liability company interests (9.30%),0,5/18/2012,0.0,0
