,Industry,Company(1),Business Description,Investment,Interest(5)(9),,Acquisition  Date,,Amortized  Cost,Fair  Value
287,Commercial & Professional Services,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",,"Series A-1 preferred shares (46,900 shares)",12.41% PIK (Libor + 10.50%/S),,11/30/2018,,51.6,52.3
288,Commercial & Professional Services,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",,"Class A-1 common units (90,500 units)",,,11/30/2018,,9.1,9.9
289,Commercial & Professional Services,"Kaufman, Hall & Associates, LLC (17)",Provider of specialty advisory services and software solutions to the healthcare market,First lien senior secured loan ($14.9 par due 5/2025),7.13% (Libor + 5.25%/Q),,11/9/2018,,14.9,14.9
290,Commercial & Professional Services,"Kellermeyer Bergensons Services, LLC (17)",Provider of janitorial and facilities management services,First lien senior secured loan ($30.3 par due 11/2026),8.39% (Libor + 6.50%/Q),,11/7/2019,,30.0,30.0
291,Commercial & Professional Services,KPS Global LLC and Cool Group LLC,Manufacturer of walk-in cooler and freezer systems,First lien senior secured loan ($4.2 par due 4/2022),8.36% (Libor + 6.56%/M),,11/16/2018,,4.2,4.2
292,Commercial & Professional Services,KPS Global LLC and Cool Group LLC,,First lien senior secured loan ($1.4 par due 4/2022),4.30% (Libor + 2.50%/M),,4/5/2017,,1.4,1.4
293,Commercial & Professional Services,KPS Global LLC and Cool Group LLC,,First lien senior secured loan ($15.2 par due 4/2022),8.27% (Libor + 6.47%/M),,4/5/2017,,15.2,15.2
294,Commercial & Professional Services,KPS Global LLC and Cool Group LLC,,"Class A units (13,292 units)",,,9/21/2018,,1.1,2.2
295,Commercial & Professional Services,Laboratories Bidco LLC (17),Lab testing services for nicotine containing products,First lien senior secured loan ($35.8 par due 6/2024),7.70% (Libor + 5.75%/M),,10/4/2019,,35.8,35.4
296,Commercial & Professional Services,Laboratories Bidco LLC (17),,First lien senior secured loan ($25.2 par due 6/2024),8.06% (Libor + 6.00%/Q),,10/4/2019,,24.7,25.0
297,Commercial & Professional Services,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",Keg management solutions provider,Second lien senior secured loan ($127.5 par due 7/2021),9.70% (Libor + 7.50%/Q),,12/14/2012,,127.5,127.5
298,Commercial & Professional Services,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",,"Common stock (54,710 shares)",,,12/14/2012,,4.9,8.8
299,Commercial & Professional Services,"MPH Energy Holdings, LP",Operator of municipal recycling facilities,Limited partnership interest (3.13% interest),,,1/8/2014,,0.0,0.0
300,Commercial & Professional Services,"MSHC, Inc. (17)","Heating, ventilation and air conditioning services provider",First lien senior secured revolving loan ($1.0 par due 12/2024),6.73% (Libor + 4.25%/M),,7/31/2017,,1.0,1.0
301,Commercial & Professional Services,"MSHC, Inc. (17)",,Second lien senior secured loan ($2.8 par due 12/2025),10.05% (Libor + 8.25%/M),,11/20/2018,,2.8,2.8
302,Commercial & Professional Services,"MSHC, Inc. (17)",,Second lien senior secured loan ($46.0 par due 12/2025),10.05% (Libor + 8.25%/M),,7/31/2017,,46.0,46.0
303,Commercial & Professional Services,"MSHC, Inc. (17)",,Second lien senior secured loan ($4.8 par due 12/2025),10.05% (Libor + 8.25%/M),,7/31/2017,,4.8,4.8
304,Commercial & Professional Services,"MSHC, Inc. (17)",,Second lien senior secured loan ($26.4 par due 12/2025),10.05% (Libor + 8.25%/M),,6/27/2018,,26.4,26.4
305,Commercial & Professional Services,"MVL Group, Inc. (5)",Marketing research provider,"Common stock (560,716 shares)",,,4/1/2010,,0.0,0.0
306,Commercial & Professional Services,"NAS, LLC, Nationwide Marketing Group, LLC and Nationwide Administrative Services, Inc.","Buying and marketing services organization for appliance, furniture and consumer electronics dealers",Second lien senior secured loan ($31.1 par due 12/2021),10.70% (Libor + 8.75%/Q),,6/1/2015,,31.1,31.1
307,Commercial & Professional Services,National Intergovernmental Purchasing Alliance Company (17),Leading group purchasing organization (“GPO”) for public agencies and educational institutions in the U.S,First lien senior secured revolving loan ($6.9 par due 5/2023),5.46% (Libor + 3.50%/Q),,5/23/2018,,6.9,6.9
308,Commercial & Professional Services,"NM GRC HOLDCO, LLC (17)",Regulatory compliance services provider to financial institutions,First lien senior secured loan ($35.6 par due 2/2024),7.95% (Libor + 6.00%/Q),,2/9/2018,,35.3,34.5
309,Commercial & Professional Services,"NM GRC HOLDCO, LLC (17)",,First lien senior secured loan ($9.5 par due 2/2024),7.95% (Libor + 6.00%/Q),,2/9/2018,,9.5,9.2
310,Commercial & Professional Services,Petroleum Service Group LLC (17),Provider of operational services for US petrochemical and refining companies,First lien senior secured revolving loan,0,,7/23/2019,,0.0,0.0
311,Commercial & Professional Services,Petroleum Service Group LLC (17),,First lien senior secured loan ($37.0 par due 7/2025),7.43% (Libor + 5.50%/Q),,7/23/2019,,37.0,36.3
312,Commercial & Professional Services,"PHL Investors, Inc., and PHL Holding Co. (5)",Mortgage services,Class A common stock (576 shares),,,7/31/2012,,3.8,0.0
313,Commercial & Professional Services,Puerto Rico Waste Investment LLC,Waste management service provider,First lien senior secured loan ($31.3 par due 9/2024),9.08% (Libor + 7.00%/Q),,9/20/2019,,31.3,31.0
314,Commercial & Professional Services,"QC Supply, LLC (17)",Specialty distributor and solutions provider to the swine and poultry markets,First lien senior secured revolving loan ($10.0 par due 12/2021),8.30% (Libor + 6.50%/M),,12/29/2016,,10.0,9.7
315,Commercial & Professional Services,"QC Supply, LLC (17)",,First lien senior secured loan ($25.8 par due 12/2022),8.30% (Libor + 6.50%/M),,12/29/2016,,25.8,25.0
316,Commercial & Professional Services,"QC Supply, LLC (17)",,First lien senior secured loan ($8.6 par due 12/2022),8.30% (Libor + 6.50%/M),,12/29/2016,,8.6,8.4
317,Commercial & Professional Services,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",,,5/29/2007,,0.3,0.3
318,Commercial & Professional Services,"RE Community Holdings GP, LLC and RE Community Holdings, LP",Operator of municipal recycling facilities,Limited partnership interest (2.86% interest),,,3/1/2011,,0.0,0.0
319,Commercial & Professional Services,"RE Community Holdings GP, LLC and RE Community Holdings, LP",,Limited partnership interest (2.49% interest),,,3/1/2011,,0.0,0.0
320,Commercial & Professional Services,"Research Now Group, LLC and Survey Sampling International, LLC",Provider of outsourced data collection to the market research industry,First lien senior secured loan ($41.5 par due 12/2024),7.41% (Libor + 5.50%/Q),,2/14/2019,,41.0,41.5
321,Commercial & Professional Services,"Revint Intermediate II, LLC (17)",Revenue cycle consulting firm to the healthcare industry,First lien senior secured revolving loan ($7.2 par due 12/2023),6.30% (Libor + 4.50%/M),,12/13/2017,,7.2,7.1
322,Commercial & Professional Services,"Revint Intermediate II, LLC (17)",,First lien senior secured loan ($21.3 par due 12/2023),6.37% (Libor + 4.50%/M),,12/13/2017,,21.3,21.1
323,Commercial & Professional Services,"Revint Intermediate II, LLC (17)",,First lien senior secured loan ($13.7 par due 12/2023),7.05% (Libor + 5.25%/M),,9/3/2019,,13.7,13.5
324,Commercial & Professional Services,"RMP Group, Inc (17)",Revenue cycle management provider to the emergency healthcare industry,First lien senior secured revolving loan ($0.6 par due 3/2022),6.30% (Libor + 4.50%/M),,2/8/2018,,0.6,0.6
325,Commercial & Professional Services,"SecurAmerica, LLC, ERMC LLC, ERMC Of America, LLC, SecurAmerica Corporation, ERMC Aviation LLC, American Security Programs, Inc., USI LLC and Argenbright Holdings IV, LLC (17)","Provider of outsourced security guard services, outsourced facilities management and outsourced aviation services",First lien senior secured revolving loan ($0.0 par due 6/2023),4.70% (Libor + 3.00%/M),,12/21/2018,,0.0,0.0
326,Commercial & Professional Services,"SecurAmerica, LLC, ERMC LLC, ERMC Of America, LLC, SecurAmerica Corporation, ERMC Aviation LLC, American Security Programs, Inc., USI LLC and Argenbright Holdings IV, LLC (17)",,First lien senior secured loan ($25.8 par due 12/2023),8.05% (Libor + 6.25%/M),,12/21/2018,,25.8,25.8
327,Commercial & Professional Services,"SecurAmerica, LLC, ERMC LLC, ERMC Of America, LLC, SecurAmerica Corporation, ERMC Aviation LLC, American Security Programs, Inc., USI LLC and Argenbright Holdings IV, LLC (17)",,First lien senior secured loan ($7.5 par due 12/2023),8.05% (Libor + 6.25%/M),,12/21/2018,,7.5,7.5
328,Commercial & Professional Services,"SecurAmerica, LLC, ERMC LLC, ERMC Of America, LLC, SecurAmerica Corporation, ERMC Aviation LLC, American Security Programs, Inc., USI LLC and Argenbright Holdings IV, LLC (17)",,First lien senior secured loan ($1.7 par due 12/2023),8.03% (Libor + 6.25%/M),,12/21/2018,,1.7,1.7
329,Commercial & Professional Services,"SOS Security Holdings LLC and SOS Co-Investment Vehicle, L.P. (17)",Provider of manned security guard services,First lien senior secured revolving loan,0,,4/30/2019,,0.0,0.0
330,Commercial & Professional Services,"SOS Security Holdings LLC and SOS Co-Investment Vehicle, L.P. (17)",,"Limited partnership units (4,698,000 units)",,,4/30/2019,,4.7,7.2
331,Commercial & Professional Services,"Startec Equity, LLC (5)",Communication services,Member interest,,,4/1/2010,,0.0,0.0
332,Commercial & Professional Services,"TDG Group Holding Company and TDG Co-Invest, LP (17)",Operator of multiple franchise concepts primarily related to home maintenance or repairs,First lien senior secured loan ($9.2 par due 5/2024),7.45% (Libor + 5.50%/Q),,5/31/2018,,9.2,9.2
333,Commercial & Professional Services,"TDG Group Holding Company and TDG Co-Invest, LP (17)",,First lien senior secured loan ($6.1 par due 5/2024),7.45% (Libor + 5.50%/Q),,8/24/2018,,6.1,6.1
334,Commercial & Professional Services,"TDG Group Holding Company and TDG Co-Invest, LP (17)",,"Preferred units (2,871,000 units)",,,5/31/2018,,2.9,3.2
335,Commercial & Professional Services,"TDG Group Holding Company and TDG Co-Invest, LP (17)",,"Common units (29,000 units)",,,5/31/2018,,0.0,0.4
336,Commercial & Professional Services,Tyden Group Holding Corp.,"Producer and marketer of global cargo security, product identification and traceability products and utility meter products","Preferred stock (46,276 shares)",,,1/3/2017,,0.4,0.0
337,Commercial & Professional Services,Tyden Group Holding Corp.,,"Common stock (5,521,203 shares)",,,1/3/2017,,2.0,3.7
338,Commercial & Professional Services,"UL Holding Co., LLC (4)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,Senior subordinated loan ($29.9 par due 5/2020),10.00% PIK,,4/30/2012,,12.6,29.9
339,Commercial & Professional Services,"UL Holding Co., LLC (4)",,Senior subordinated loan ($3.8 par due 5/2020),,,4/30/2012,,1.6,3.8
340,Commercial & Professional Services,"UL Holding Co., LLC (4)",,Senior subordinated loan ($3.5 par due 5/2020),10.00% PIK,,4/30/2012,,1.4,3.5
341,Commercial & Professional Services,"UL Holding Co., LLC (4)",,Senior subordinated loan ($0.4 par due 5/2020),,,4/30/2012,,0.2,0.4
342,Commercial & Professional Services,"UL Holding Co., LLC (4)",,Senior subordinated loan ($7.5 par due 5/2020),10.00% PIK,,4/30/2012,,3.1,7.5
343,Commercial & Professional Services,"UL Holding Co., LLC (4)",,Senior subordinated loan ($0.5 par due 5/2020),,,4/30/2012,,0.2,0.5
344,Commercial & Professional Services,"UL Holding Co., LLC (4)",,"Class A common units (533,351 units)",,,6/17/2011,,5.0,1.1
345,Commercial & Professional Services,"UL Holding Co., LLC (4)",,"Class B-5 common units (272,834 units)",,,6/17/2011,,2.5,0.5
346,Commercial & Professional Services,"UL Holding Co., LLC (4)",,"Class C common units (758,546 units)",,,4/25/2008,,0.0,0.0
347,Commercial & Professional Services,"UL Holding Co., LLC (4)",,"Warrant to purchase up to 719,044 shares of Class A units",,,5/2/2014,,0.0,0.0
348,Commercial & Professional Services,"UL Holding Co., LLC (4)",,"Warrant to purchase up to 28,663 shares of Class B-1 units",,,5/2/2014,,0.0,0.0
349,Commercial & Professional Services,"UL Holding Co., LLC (4)",,"Warrant to purchase up to 57,325 shares of Class B-2 units",,,5/2/2014,,0.0,0.0
350,Commercial & Professional Services,"UL Holding Co., LLC (4)",,"Warrant to purchase up to 29,645 shares of Class B-3 units",,,5/2/2014,,0.0,0.0
351,Commercial & Professional Services,"UL Holding Co., LLC (4)",,"Warrant to purchase up to 80,371 shares of Class B-5 units",,,5/2/2014,,0.0,0.0
352,Commercial & Professional Services,"UL Holding Co., LLC (4)",,"Warrant to purchase up to 59,655 shares of Class B-6 units",,,5/2/2014,,0.0,0.0
353,Commercial & Professional Services,"UL Holding Co., LLC (4)",,"Warrant to purchase up to 1,046,713 shares of Class C units",,,5/2/2014,,0.0,0.0
354,Commercial & Professional Services,"Visual Edge Technology, Inc.",Provider of outsourced office solutions with a focus on printer and copier equipment and other parts and supplies,First lien senior secured loan ($16.7 par due 8/2022),"8.91% (Libor + 5.75% Cash, 1.25% PIK/Q)",,8/31/2017,,16.7,16.4
355,Commercial & Professional Services,"Visual Edge Technology, Inc.",,First lien senior secured loan ($15.6 par due 8/2022),"8.91% (Libor + 5.75% Cash, 1.25% PIK/Q)",,8/31/2017,,15.6,15.3
356,Commercial & Professional Services,"Visual Edge Technology, Inc.",,Senior subordinated loan ($64.6 par due 9/2024),15.00% PIK,,8/31/2017,,61.9,60.7
357,Commercial & Professional Services,"Visual Edge Technology, Inc.",,"Warrant to purchase up to 1,961,452 shares of preferred stock (expires 8/2027)",,,8/31/2017,,3.9,0.5
358,Commercial & Professional Services,"Visual Edge Technology, Inc.",,"Warrant to purchase up to 1,720,432 shares of common stock (expires 8/2027)",,,8/31/2017,,0.0,0.0
359,Commercial & Professional Services,"VLS Recovery Services, LLC (17)",Provider of commercial and industrial waste processing and disposal services,First lien senior secured revolving loan,0,,10/17/2017,,0.0,0.0
360,Commercial & Professional Services,"VRC Companies, LLC (17)",Provider of records and information management services,First lien senior secured revolving loan ($0.8 par due 3/2022),8.61% (Libor + 6.50%/M),,4/17/2017,,0.8,0.8
361,Commercial & Professional Services,"VRC Companies, LLC (17)",,First lien senior secured loan ($15.0 par due 3/2023),8.30% (Libor + 6.50%/M),,3/31/2017,,15.0,15.0
362,Commercial & Professional Services,"VRC Companies, LLC (17)",,First lien senior secured loan ($4.0 par due 3/2023),8.30% (Libor + 6.50%/M),,7/31/2019,,4.0,4.0
363,Commercial & Professional Services,"WCI-HFG Holdings, LLC",Distributor of repair and replacement parts for commercial kitchen equipment,"Preferred units (1,400,000 units)",,,10/20/2015,,1.4,2.5
364,Commercial & Professional Services,"XIFIN, Inc. (17)",Revenue cycle management provider to labs,First lien senior secured revolving loan ($0.7 par due 11/2020),8.50% (Base Rate + 3.75%/Q),,2/8/2018,,0.7,0.7
365,Commercial & Professional Services,"XIFIN, Inc. (17)",,,,,,,1201.3,1225.7
366,Power Generation,"Apex Clean Energy Holdings, LLC","Developer, builder and owner of utility-scale wind and solar power facilities",First lien senior secured loan ($85.1 par due 9/2022),8.70% (Libor + 6.75%/Q),,9/24/2018,,85.1,85.1
367,Power Generation,"Apex Clean Energy Holdings, LLC",,First lien senior secured loan ($19.6 par due 9/2022),8.69% (Libor + 6.75%/Q),,6/10/2019,,19.6,19.6
368,Power Generation,Beacon RNG LLC,Owner of natural gas facilities,"Class B units (35,000,000 units)",,,3/11/2019,,35.0,38.2
369,Power Generation,"CPV Maryland Holding Company II, LLC",Gas turbine power generation facilities operator,Senior subordinated loan ($58.0 par due 12/2020),13.00% PIK,,8/8/2014,,58.0,54.5
370,Power Generation,DGH Borrower LLC,"Developer, owner and operator of quick start, small-scale natural gas-fired power generation projects",First lien senior secured loan ($53.5 par due 6/2023),8.70% (Libor + 6.75%/Q),,6/8/2018,,53.5,53.5
371,Power Generation,"Green Energy Partners, Stonewall LLC and Panda Stonewall Intermediate Holdings II LLC",Gas turbine power generation facilities operator,First lien senior secured loan ($14.5 par due 11/2021),7.45% (Libor + 5.50%/Q),,11/13/2014,,14.5,13.4
372,Power Generation,"Green Energy Partners, Stonewall LLC and Panda Stonewall Intermediate Holdings II LLC",,Senior subordinated loan ($22.2 par due 12/2021),"7.00% cash, 6.25% PIK",,11/13/2014,,22.2,20.4
373,Power Generation,"Green Energy Partners, Stonewall LLC and Panda Stonewall Intermediate Holdings II LLC",,Senior subordinated loan ($103.8 par due 12/2021),"7.00% cash, 6.25% PIK",,11/13/2014,,103.8,95.3
374,Power Generation,"Heelstone Energy Holdings, LLC and Heelstone Renewable Energy, LLC (5)",Solar power generation facility developer and operator,"Preferred stock (2,700,000 shares)",,,6/28/2019,,15.3,15.3
375,Power Generation,"Heelstone Energy Holdings, LLC and Heelstone Renewable Energy, LLC (5)",,"Preferred stock (111,181 shares)",,,6/28/2019,,41.5,41.5
376,Power Generation,"Heelstone Energy Holdings, LLC and Heelstone Renewable Energy, LLC (5)",,"Common stock (19,119 shares)",,,6/28/2019,,0.0,0.0
377,Power Generation,Moxie Patriot LLC,Gas turbine power generation facilities operator,First lien senior secured loan ($32.2 par due 12/2020),7.70% (Libor + 5.75%/Q),,12/19/2013,,32.1,27.7
378,Power Generation,Navisun LLC and Navisun Holdings LLC (5)(17),Owner and operater of commercial and industrial solar projects,First lien senior secured loan ($49.7 par due 11/2023),8.00% PIK,,11/15/2017,,49.7,49.7
379,Power Generation,Navisun LLC and Navisun Holdings LLC (5)(17),,First lien senior secured loan ($13.8 par due 11/2023),9.00% PIK,,3/7/2019,,13.8,13.8
380,Power Generation,Navisun LLC and Navisun Holdings LLC (5)(17),,First lien senior secured loan ($29.2 par due 11/2023),8.00% PIK,,8/15/2019,,29.2,29.2
381,Power Generation,Navisun LLC and Navisun Holdings LLC (5)(17),,"Series A preferred units (1,000 units)",10.50% PIK,,11/15/2017,,10.5,10.5
382,Power Generation,Navisun LLC and Navisun Holdings LLC (5)(17),,Class A units (550 units),,,11/15/2017,,0.0,0.4
383,Power Generation,Panda Liberty LLC (fka Moxie Liberty LLC),Gas turbine power generation facilities operator,First lien senior secured loan ($49.1 par due 8/2020),8.45% (Libor + 6.50%/Q),,4/6/2018,,48.1,42.6
384,Power Generation,Panda Liberty LLC (fka Moxie Liberty LLC),,First lien senior secured loan ($33.6 par due 8/2020),8.45% (Libor + 6.50%/Q),,8/21/2013,,33.6,29.2
385,Power Generation,"Panda Temple Power, LLC and T1 Power Holdings LLC (4)",Gas turbine power generation facilities operator,Second lien senior secured loan ($9.8 par due 2/2023),9.80% PIK (Libor + 8.00%/M),,3/6/2015,,9.8,9.8
386,Power Generation,"Panda Temple Power, LLC and T1 Power Holdings LLC (4)",,"Class A common units (616,122 shares)",,,3/6/2015,,15.0,11.9
387,Power Generation,PERC Holdings 1 LLC,"Operator of recycled energy, combined heat and power, and energy efficiency facilities","Class B common units (21,653,543 units)",,,10/20/2014,,8.8,28.1
388,Power Generation,Riverview Power LLC,Operator of natural gas and oil fired power generation facilities,First lien senior secured loan ($81.2 par due 12/2022),9.95% (Libor + 8.00%/Q),,12/29/2016,,79.9,81.2
389,Power Generation,"SE1 Generation, LLC",Solar power developer,Senior subordinated loan ($52.6 par due 12/2022),9.50% PIK,,12/17/2019,,52.6,52.1
390,Power Generation,"Sunrun Xanadu Issuer 2019-1, LLC, Sunrun Atlas Depositor 2019-2, LLC, Sunrun Xanadu Holdings 2019-1, LLC and Sunrun Atlas Holdings 2019-2, LLC",Residential solar energy provider,First lien senior secured loan ($0.1 par due 2/2055),3.61,%,,10/28/2019,0.1,0.1
391,Power Generation,"Sunrun Xanadu Issuer 2019-1, LLC, Sunrun Atlas Depositor 2019-2, LLC, Sunrun Xanadu Holdings 2019-1, LLC and Sunrun Atlas Holdings 2019-2, LLC",,First lien senior secured loan ($0.4 par due 6/2054),3.98%,,6/7/2019,,0.4,0.5
392,Power Generation,"Sunrun Xanadu Issuer 2019-1, LLC, Sunrun Atlas Depositor 2019-2, LLC, Sunrun Xanadu Holdings 2019-1, LLC and Sunrun Atlas Holdings 2019-2, LLC",,Senior subordinated loan ($65.0 par due 7/2030),8.75% (Libor + 6.75%/Q),,6/27/2019,,65.0,65.0
393,Power Generation,"Sunrun Xanadu Issuer 2019-1, LLC, Sunrun Atlas Depositor 2019-2, LLC, Sunrun Xanadu Holdings 2019-1, LLC and Sunrun Atlas Holdings 2019-2, LLC",,Senior subordinated loan ($135.0 par due 11/2025),8.75% (Libor + 6.75%/Q),,11/26/2019,,135.0,132.3
394,Power Generation,"Sunrun Xanadu Issuer 2019-1, LLC, Sunrun Atlas Depositor 2019-2, LLC, Sunrun Xanadu Holdings 2019-1, LLC and Sunrun Atlas Holdings 2019-2, LLC",,,,,,,1032.1,1020.9
395,Investment Funds and Vehicles,ACAS Equity Holdings Corporation (5),Investment company,Common stock (589 shares),,,1/3/2017,,0.4,0.0
396,Investment Funds and Vehicles,Ares IIIR/IVR CLO Ltd.,Investment vehicle,Subordinated notes ($20.0 par due 4/2021),,,1/3/2017,,0.0,0.1
397,Investment Funds and Vehicles,"Blue Wolf Capital Fund II, L.P. (4)",Investment partnership,Limited partnership interest (8.50% interest),,,1/3/2017,,1.6,2.7
398,Investment Funds and Vehicles,Carlyle Global Market Strategies CLO 2015-3,Investment vehicle,Subordinated notes ($24.6 par due 7/2028),9.4,%,,1/3/2017,12.8,9.2
399,Investment Funds and Vehicles,CoLTs 2005-1 Ltd. (5),Investment vehicle,Preferred shares (360 shares),,,1/3/2017,,0.0,0.0
400,Investment Funds and Vehicles,CoLTs 2005-2 Ltd. (5),Investment vehicle,"Preferred shares (34,170,000 shares)",,,1/3/2017,,0.0,0.0
401,Investment Funds and Vehicles,CREST Exeter Street Solar 2004-1,Investment vehicle,"Preferred shares (3,500,000 shares)",,,1/3/2017,,0.0,0.0
402,Investment Funds and Vehicles,Eaton Vance CDO X plc,Investment vehicle,Subordinated notes ($9.2 par due 2/2027),,,1/3/2017,,0.0,0.1
403,Investment Funds and Vehicles,European Capital UK SME Debt LP (4),Investment partnership,Limited partnership interest (45% interest),,,1/3/2017,,38.7,40.4
404,Investment Funds and Vehicles,"HCI Equity, LLC (5)",Investment company,Member interest (100.00% interest),,,4/1/2010,,0.0,0.1
405,Investment Funds and Vehicles,Herbert Park B.V.,Investment vehicle,Subordinated notes ($6.0 par due 10/2026),,,1/3/2017,,0.9,0.0
406,Investment Funds and Vehicles,OHA Credit Partners XI,Investment vehicle,Subordinated notes ($17.8 par due 1/2032),10.2,%,,1/3/2017,12.6,13.7
407,Investment Funds and Vehicles,"Partnership Capital Growth Investors III, L.P.",Investment partnership,Limited partnership interest (2.50% interest),,,10/5/2011,,2.4,4.8
408,Investment Funds and Vehicles,"PCG-Ares Sidecar Investment II, L.P. (4)",Investment partnership,Limited partnership interest (100.00% interest),,,10/31/2014,,6.8,12.6
409,Investment Funds and Vehicles,"PCG-Ares Sidecar Investment, L.P. (4)",Investment partnership,Limited partnership interest (100.00% interest),,,5/22/2014,,4.8,4.1
410,Investment Funds and Vehicles,"Piper Jaffray Merchant Banking Fund I, L.P.",Investment partnership,Limited partnership interest (2.00% interest),,,8/16/2012,,1.1,1.3
411,Investment Funds and Vehicles,"Senior Direct Lending Program, LLC (5)(19)",Co-investment vehicle,Subordinated certificates ($908.9 par due 12/2036),9.90% (Libor + 8.00%/Q)(14),,7/27/2016,,908.9,908.9
412,Investment Funds and Vehicles,"Senior Direct Lending Program, LLC (5)(19)",,Member interest (87.50% interest),,,7/27/2016,,0.0,0.0
413,Investment Funds and Vehicles,"Vitesse CLO, Ltd.",Investment vehicle,"Preferred shares (20,000,000 shares)",,,1/3/2017,,0.0,0.0
414,Investment Funds and Vehicles,Voya CLO 2014-4 Ltd.,Investment vehicle,Subordinated notes ($26.7 par due 7/2031),9.6,%,,1/3/2017,13.3,12.3
415,Investment Funds and Vehicles,VSC Investors LLC,Investment company,Membership interest (1.95% interest),,,1/24/2008,,0.3,0.8
416,Investment Funds and Vehicles,VSC Investors LLC,,,,,,,1004.6,1011.1
417,Consumer Services,"1A Smart Start, LLC (17)",Provider of ignition interlock devices,First lien senior secured revolving loan ($0.5 par due 8/2020),6.30% (Libor + 4.50%/M),,2/8/2018,,0.5,0.5
418,Consumer Services,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc. (5)",Restaurant owner and operator,First lien senior secured loan ($56.6 par due 12/2019),,,11/27/2006,,39.9,0.0
419,Consumer Services,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc. (5)",,First lien senior secured loan ($5.4 par due 12/2019),,,12/22/2016,,4.8,0.0
420,Consumer Services,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc. (5)",,Promissory note ($31.8 par due 12/2023),,,11/27/2006,,13.8,0.0
421,Consumer Services,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc. (5)",,Warrant to purchase up to 0.95 units of Series D common stock (expires 12/2023),,,12/18/2013,,0.0,0.0
422,Consumer Services,"Aimbridge Acquisition Co., Inc.",Hotel operator,Second lien senior secured loan ($22.5 par due 2/2027),9.19% (Libor + 7.50%/M),,2/1/2019,,22.1,22.1
423,Consumer Services,American Residential Services L.L.C.,"Heating, ventilation and air conditioning services provider",Second lien senior secured loan ($70.8 par due 12/2022),9.80% (Libor + 8.00%/M),,6/30/2014,,70.6,70.8
424,Consumer Services,"Belfor Holdings, Inc. (17)",Disaster recovery services provider,First lien senior secured revolving loan,0,,4/4/2019,,0.0,0.0
425,Consumer Services,"ChargePoint, Inc.",Developer and operator of electric vehicle charging stations,"Warrant to purchase up to 809,126 shares of Series E preferred stock (expires 12/2024)",,,12/30/2014,,0.3,3.0
426,Consumer Services,"Cipriani USA, Inc.","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",First lien senior secured loan ($3.0 par due 5/2023),"10.55% (Libor + 6.75% Cash, 2.00% PIK/M)",,11/5/2018,,3.0,3.0
427,Consumer Services,"Cipriani USA, Inc.",,First lien senior secured loan ($12.2 par due 5/2023),"10.55% (Libor + 6.75% Cash, 2.00% PIK/M)",,11/5/2018,,12.2,12.2
428,Consumer Services,"Cipriani USA, Inc.",,First lien senior secured loan ($15.0 par due 5/2023),"10.55% (Libor + 6.75% Cash, 2.00% PIK/M)",,7/3/2019,,14.6,15.0
429,Consumer Services,"Cipriani USA, Inc.",,First lien senior secured loan ($20.0 par due 5/2023),"10.55% (Libor + 6.75% Cash, 2.00% PIK/M)",,12/27/2019,,17.5,20.0
430,Consumer Services,"Cipriani USA, Inc.",,First lien senior secured loan ($68.2 par due 5/2023),"10.55% (Libor + 6.75% Cash, 2.00% PIK/M)",,5/30/2018,,66.2,68.2
431,Consumer Services,"Cipriani USA, Inc.",,First lien senior secured loan ($3.0 par due 5/2023),"10.55% (Libor + 6.75% Cash, 2.00% PIK/M)",,8/20/2018,,3.0,3.0
432,Consumer Services,Concert Golf Partners Holdco LLC (17),Golf club owner and operator,First lien senior secured revolving loan ($0.2 par due 8/2025),6.45% (Libor + 4.50%/Q),,8/20/2019,,0.2,0.1
433,Consumer Services,Concert Golf Partners Holdco LLC (17),,First lien senior secured loan ($28.4 par due 8/2025),6.52% (Libor + 4.50%/Q),,8/20/2019,,28.4,28.1
434,Consumer Services,CST Buyer Company (d/b/a Intoxalock) (17),Provider of ignition interlock devices,First lien senior secured loan ($32.4 par due 10/2025),7.55% (Libor + 5.75%/M),,3/1/2017,,32.4,32.0
435,Consumer Services,FWR Holding Corporation (17),"Restaurant owner, operator, and franchisor",First lien senior secured revolving loan ($1.8 par due 8/2023),7.29% (Libor + 5.50%/M),,8/21/2017,,1.8,1.8
436,Consumer Services,FWR Holding Corporation (17),,First lien senior secured loan ($4.0 par due 8/2023),7.29% (Libor + 5.50%/M),,8/21/2017,,4.0,4.0
437,Consumer Services,FWR Holding Corporation (17),,First lien senior secured loan ($0.5 par due 8/2023),7.29% (Libor + 5.50%/M),,8/21/2017,,0.5,0.5
