,Company(1),Industry,,Investment,Interest(5)(10),Acquisition  Date,,Amortized  Cost,Fair Value
366,"BECO Holding Company, Inc.",Wholesale distributor of first response fire protection equipment and related parts,0,"Common stock (25,000 shares)",0,7/30/2010,0,2500.0,2561.0
367,"Stag-Parkway, Inc. (7)",Automotive aftermarket components supplier,0,"Senior secured loan ($34,500 par due 12/2014)",12.50% (Libor + 11.00%/Q),9/30/2010,0,34500.0,34500.0
368,"Stag-Parkway, Inc. (7)",0,0,"Preferred stock (4,200 shares)",16.50%,9/30/2010,0,2345.0,4200.0
369,"Stag-Parkway, Inc. (7)",0,0,"Common stock (10,200 shares)",0,9/30/2010,0,0.0,15336.0
370,"Interactive Technology Solutions, LLC",IT services provider,0,"Senior secured loan ($7,884 par due 6/2015)",9.50% (Libor + 5.50%/Q),10/21/2010,0,7884.0,7884.0
371,"Interactive Technology Solutions, LLC",0,0,"Senior secured loan ($8,833 par due 6/2015)",9.50% (Libor + 5.50%/Q ),10/21/2010,0,8833.0,8833.0
372,"Network Hardware Resale, Inc.",Networking equipment resale provider,0,"Senior secured loan ($12,024 par due 12/2011)",12% (Base Rate + 6.00%/Q ),4/1/2010,0,12024.0,12024.0
373,"Network Hardware Resale, Inc.",0,0,"Senior subordinated loan ($19,221 par due 12/2015)",9.75% PIK,4/1/2010,0,19383.0,21063.0
374,"TZ Merger Sub, Inc.",Healthcare enterprise software developer,0,"Senior secured loan ($4,678 par due 8/2015)",6.75% (Base Rate + 3.50%/Q),6/15/2009,0,4601.0,4678.0
375,"Driven Brands, Inc. (6)",Automotive aftermarket car care franchisor,0,"Senior secured loan ($3,200 par due 10/2014)",6.50% (Libor + 5.00%/Q ),5/12/2010,0,3121.0,3200.0
376,"Driven Brands, Inc. (6)",0,0,Senior secured loan ($480 par due 10/2014),6.50% (Libor + 5.00%/Q ),4/1/2010,0,468.0,480.0
377,"Driven Brands, Inc. (6)",0,0,Senior secured loan ($148 par due 10/2014),7.00% (Base Rate + 3.75%/Q ),4/1/2010,0,144.0,148.0
378,"Driven Brands, Inc. (6)",0,0,"Common stock (3,772,098 shares)",0,4/1/2010,0,4939.0,6931.0
379,"Penn Detroit Diesel Allison, LLC (7)",Diesel engine manufacturer,0,"Member interest (70,249 shares)",0,4/1/2010,0,20069.0,25553.0
380,"Industrial Container Services, LLC (6)","Industrial container manufacturer, reconditioner and servicer",0,"Senior secured revolving loan ($1,033 par due 9/2011)",5.75% (Base Rate + 2.50%/Q),9/30/2005,0,1033.0,1033.0
381,"Industrial Container Services, LLC (6)",0,0,Senior secured loan ($20 par due 9/2011),4.25% (Libor + 4.00%/Q ),6/21/2006,0,20.0,20.0
382,"Industrial Container Services, LLC (6)",0,0,Senior secured loan ($54 par due 9/2011),4.25% (Libor + 4.00%/Q ),6/21/2006,0,54.0,54.0
383,"Industrial Container Services, LLC (6)",0,0,Senior secured loan ($80 par due 9/2011),4.25% (Libor + 4.00%/Q ),6/21/2006,0,80.0,80.0
384,"Industrial Container Services, LLC (6)",0,0,Senior secured loan ($308 par due 9/2011),4.25% (Libor + 4.00%/Q ),6/21/2006,0,308.0,308.0
385,"Industrial Container Services, LLC (6)",0,0,Senior secured loan ($821 par due 9/2011),4.25% (Libor + 4.00%/Q ),6/21/2006,0,821.0,821.0
386,"Industrial Container Services, LLC (6)",0,0,"Senior secured loan ($1,231 par due 9/2011)",4.25% (Libor + 4.00%/Q ),6/21/2006,0,1231.0,1231.0
387,"Industrial Container Services, LLC (6)",0,0,Senior secured loan ($24 par due 9/2011),5.75% (Base Rate + 2.50%/Q ),6/21/2006,0,24.0,24.0
388,"Industrial Container Services, LLC (6)",0,0,Senior secured loan ($368 par due 9/2011),5.75% (Base Rate + 2.50%/Q ),6/21/2006,0,368.0,368.0
389,"Industrial Container Services, LLC (6)",0,0,"Common units (1,800,000 units)",0,9/29/2005,0,1800.0,17138.0
390,"Athletic Club Holdings, Inc.",Premier health club operator,0,"Senior secured loan ($7,250 par due 10/2013)",4.75% (Libor + 4.50%/M),10/11/2007,0,7250.0,6670.0
391,"Athletic Club Holdings, Inc.",0,0,"Senior secured loan ($11,500 par due 10/2013)",4.75% (Libor + 4.50%/M ),10/11/2007,0,11500.0,10580.0
392,"EarthColor, Inc. (7)",Printing management services,0,"Common stock (89,435 shares)",0,4/1/2010,0,0.0,0.0
393,LVCG Holdings LLC (7),Commercial printer,0,Membership interests (56.53% interest),0,10/12/2007,0,6600.0,0.0
394,"National Print Group, Inc.",Printing management services,0,"Senior secured revolving loan ($1,141 par due 10/2012)",9.00% (Libor + 6.00%/Q),3/2/2006,0,1141.0,1027.0
395,"National Print Group, Inc.",0,0,"Senior secured revolving loan ($1,924 par due 10/2012)",9.00% (Base Rate + 5.00%/Q ),3/2/2006,0,1924.0,1732.0
396,"National Print Group, Inc.",0,0,"Senior secured loan ($7,786 par due 10/2012)","14.00% (Libor + 6.00% Cash, 5.00% PIK/Q )",3/2/2006,0,7458.0,7631.0
397,"National Print Group, Inc.",0,0,Senior secured loan ($32 par due 10/2012),"14.00% (Base Rate + 5.00% Cash, 5.00% PIK/Q )",3/2/2006,0,30.0,31.0
398,"National Print Group, Inc.",0,0,"Preferred stock (9,344 shares)",0,3/2/2006,0,2000.0,0.0
399,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",Education publications provider,0,"Preferred stock (21,711 shares)",0,9/29/2006,0,2171.0,3659.0
400,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",0,0,"Common stock (15,393 shares)",0,9/29/2006,0,3.0,9.0
401,"AP Global Holdings, Inc.",Safety and security equipment manufacturer,0,"Senior secured loan ($6,274 par due 10/2013)",4.02% (Libor + 3.75%/M),11/18/2007,0,6246.0,6274.0
402,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.","Provider of specialized engineering, scientific and technical services",0,Senior preferred stock (775 shares),8.00% PIK,1/17/2008,0,89.0,89.0
403,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.",0,0,"Common stock (1,885,195 shares)",0,1/17/2008,0,2291.0,1984.0
404,"Geotrace Technologies, Inc.","Reservoir processing, development",0,"Warrants to purchase up to 43,356 shares of common stock",0,4/1/2010,0,54.0,0.0
405,"Geotrace Technologies, Inc.",0,0,"Warrants to purchase up to 26,622 shares of common stock",0,4/1/2010,0,33.0,0.0
406,"Geotrace Technologies, Inc.",0,0,"Warrants to purchase up to 80,063 shares of preferred stock",0,4/1/2010,0,1738.0,177.0
407,"Geotrace Technologies, Inc.",0,0,"Warrants to purchase up to 130,390 shares of preferred stock",0,4/1/2010,0,1067.0,289.0
408,HB&G Building Products,Synthetic and wood product manufacturer,0,"Senior subordinated loan ($8,956 par due 3/2013)",0,10/8/2004,0,8991.0,179.0
409,HB&G Building Products,0,0,"Common stock (2,743 shares)",0,10/8/2004,0,753.0,0.0
410,HB&G Building Products,0,0,"Warrants to purchase up to 4,464 shares of common stock",0,10/8/2004,0,653.0,0.0
411,Company,Purchases,0,Redemptions  (cost),Sales (cost),Interest  income,0,0.0,0.0
412,10th Street LLC,0,0,0,0,0,0,759.0,0.0
413,"Apple & Eve, LLC and US Juice Partners, LLC",0,0,0,2682,0,0,856.0,0.0
414,BB&T Capital Partners,0,0,0,1792,0,0,0.0,0.0
415,"Carador, PLC",0,0,0,0,0,0,0.0,0.0
416,Campus Management Corp. and Campus Management Acquisition Corp.,0,571,0,0,0,0,0.0,0.0
417,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings, LLC",0,0,0,0,0,8763,61.0,0.0
418,"Direct Buy Holdings, Inc. and Direct Buy Investors LP",0,38800,0,79995,0,9946,1677.0,0.0
419,"Driven Brands, Inc.",0,0,0,0,0,0,69.0,0.0
420,"DSI Renal, Inc.",0,0,0,0,0,0,3138.0,0.0
421,"Dwyer Group, Inc.",0,0,0,0,0,1708,969.0,0.0
422,Firstlight Financial Corporation,0,0,0,0,0,0,131.0,0.0
423,"Growing Family, Inc. and GFH Holdings, LLC",0,0,0,0,0,0,171.0,0.0
424,"Imperial Capital Group, LLC",0,0,0,0,0,0,0.0,0.0
425,"Industrial Container Services, LLC",0,1652,0,2900,0,0,39.0,0.0
426,InSight Pharmaceuticals Corporation,0,0,0,30139,0,0,1650.0,0.0
427,"Investor Group Services, LLC",0,0,0,0,0,0,0.0,0.0
428,"Multi-Ad Services, Inc.",0,0,0,0,0,0,0.0,0.0
429,Pillar Processing LLC and PHL Holding Co.,0,0,0,8120,0,0,612.0,0.0
430,"Primis Marketing Group, Inc. and Primis Holdings, LLC",0,0,0,0,0,0,0.0,0.0
431,Regency Equity Corp.,0,0,0,0,0,0,0.0,0.0
432,"Soteria Imaging Services, LLC",0,0,0,802,0,0,0.0,0.0
433,"VSS-Tranzact Holdings, LLC",0,0,0,0,0,0,0.0,0.0
434,"Universal Environmental Services, LLC",0,0,0,0,0,0,0.0,0.0
435,Universal Trailer Corporation,0,0,0,0,0,7930,0.0,0.0
436,Company,Purchases,0,Redemptions  (cost),Sales (cost),Interest  income,0,0.0,0.0
437,"AGILE Fund I, LLC",0,0,0,0,0,0,0.0,0.0
438,"Allied Capital REIT, Inc.",0,0,0,115,0,0,0.0,0.0
439,"AllBridge Financial, LLC",0,0,0,0,0,0,0.0,0.0
440,Aviation Properties Corporation,0,0,0,0,0,0,0.0,0.0
441,"BenefitMall Holdings, Inc.",0,0,0,0,0,0,1815.0,0.0
442,"Border Foods, Inc.",0,0,0,0,0,0,963.0,0.0
443,Callidus Capital Corporation,0,6000,0,0,0,0,0.0,0.0
444,Ciena Capital LLC,0,0,0,0,0,0,1170.0,0.0
445,"Citipostal, Inc.",0,900,0,1210,0,0,1648.0,0.0
446,"Coverall North America, Inc.",0,0,0,30907,0,0,356.0,0.0
447,Crescent Equity Corp.,0,0,0,0,0,0,180.0,0.0
448,"EarthColor, Inc.",0,0,0,0,0,0,0.0,0.0
449,"HCI Equity, LLC",0,0,0,0,0,0,0.0,0.0
450,"HCP Acquisition Holdings, LLC",0,0,0,0,0,0,0.0,0.0
451,"Hot Light Brands, Inc.",0,0,0,0,0,0,0.0,0.0
452,Huddle House Inc.,0,0,0,0,0,0,749.0,0.0
453,"IAT Equity, LLC",0,0,0,0,0,0,0.0,0.0
454,"Ivy Hill Asset Management, L.P.",0,9419,0,0,0,0,0.0,0.0
455,"Ivy Hill Middle Market Credit Fund, Ltd.",0,0,0,0,0,0,1173.0,0.0
456,Knightsbridge CLO 2007-1 Ltd.,0,0,0,0,0,0,468.0,0.0
457,Knightsbridge CLO 2008-1 Ltd.,0,0,0,0,0,0,676.0,0.0
458,"LVCG Holdings, LLC",0,0,0,0,0,0,0.0,0.0
459,"Making Memories Wholesale, Inc.",0,1250,0,345,0,0,23.0,0.0
460,"MVL Group, Inc.",0,0,0,0,0,0,2105.0,0.0
461,"Orion Foods, LLC",0,2000,0,0,0,0,2440.0,0.0
462,PENN Detroit Diesel Allison LLC,0,0,0,0,0,0,0.0,0.0
463,Reflexite Corporation,0,0,0,0,0,0,456.0,0.0
464,Senior Secured Loan Fund LLC*,0,123273,0,0,0,0,23321.0,5593.0
465,"Stag-Parkway, Inc.",0,0,0,0,0,0,1078.0,0.0
466,"Startec Equity, LLC",0,0,0,0,0,0,0.0,0.0
467,"The Thymes, LLC",0,0,0,947,0,0,0.0,0.0
468,"AGILE Fund I, LLC(7)(9)",Investment partnership,0,Member interest (0.50% interest),0,4/1/2010,0,264.0,217.0
469,"BB&T Capital Partners/Windsor Mezzanine Fund, LLC(6)(9)",Investment company,0,Member interest (32.59% interest),0,4/1/2010,0,11900.0,15704.0
470,"Callidus Debt Partners CDO Fund I, Ltd.(8)(9)",Investment company,0,"Class C notes ($18,800 par due 12/2013)",0,4/1/2010,0,2669.0,1239.0
471,"Callidus Debt Partners CDO Fund I, Ltd.(8)(9)",0,0,"Class D notes ($9,400 par due 12/2013)",0,4/1/2010,0,0.0,0.0
472,"Callidus Debt Partners CLO Fund III, Ltd.(8)(9)",Investment company,0,"Preferred shares (23,600,000 shares)",7.18%,4/1/2010,0,4343.0,7324.0
473,"Callidus Debt Partners CLO Fund IV, Ltd.(8)(9)",Investment company,0,"Class D notes ($3,000 par due 4/2020)",4.84% (Libor + 4.55%/Q),4/1/2010,0,1824.0,1817.0
474,"Callidus Debt Partners CLO Fund IV, Ltd.(8)(9)",0,0,"Subordinated notes ($17,500 par due 4/2020)",14.92%,4/1/2010,0,6935.0,11720.0
475,"Callidus Debt Partners CLO Fund V, Ltd.(8)(9)",Investment company,0,"Subordinated notes ($14,150 par due 11/2020)",23.49%,4/1/2010,0,8586.0,11995.0
476,"Callidus Debt Partners CLO Fund VI, Ltd.(8)(9)",Investment company,0,"Class D notes ($9,000 par due 10/2021)",6.29% (Libor + 6.00%/Q),4/1/2010,0,4039.0,5538.0
477,"Callidus Debt Partners CLO Fund VI, Ltd.(8)(9)",0,0,"Subordinated notes ($25,500 par due 10/2021)",20.14%,4/1/2010,0,11572.0,22711.0
478,"Callidus Debt Partners CLO Fund VII, Ltd.(8)(9)",Investment company,0,"Subordinated notes ($28,000 par due 1/2021)",11.94%,4/1/2010,0,10216.0,17197.0
479,Callidus MAPS CLO Fund I LLC,Investment company,0,"Class E notes ($17,000 par due 12/2017)",5.79% (Libor + 5.5%/Q),4/1/2010,0,11863.0,11535.0
480,Callidus MAPS CLO Fund I LLC,0,0,"Subordinated notes ($47,900 par due 12/2017)",8.62%,4/1/2010,0,12652.0,19156.0
481,"Callidus MAPS CLO Fund II, Ltd.(8)(9)",Investment company,0,"Class D notes ($7,700 par due 7/2022)",4.54% (Libor + 4.25%/Q),4/1/2010,0,3428.0,4364.0
482,"Callidus MAPS CLO Fund II, Ltd.(8)(9)",0,0,"Subordinated notes ($17,900 par due 7/2022)",18.41%,4/1/2010,0,8857.0,13624.0
483,Carador PLC(6)(8)(9)(16),Investment company,0,"Ordinary shares (7,110,525 shares)",0,12/15/2006,0,9033.0,5333.0
484,"CIC Flex, LP(9)",Investment partnership,0,Limited partnership units (0.94 unit),0,9/7/2007,0,2553.0,2500.0
485,"Covestia Capital Partners, LP(9)",Investment partnership,0,Limited partnership interest (47.00% interest),0,6/17/2008,0,1059.0,1041.0
486,Dryden XVIII Leveraged Loan 2007 Limited(8)(9),Investment company,0,"Class B notes ($9,000 par due 10/2019)",4.79% (Libor + 4.50%/Q),4/1/2010,0,3816.0,4823.0
487,Dryden XVIII Leveraged Loan 2007 Limited(8)(9),0,0,"Subordinated notes ($21,164 par due 10/2019)",23.01%,4/1/2010,0,12266.0,19436.0
488,"Dynamic India Fund IV, LLC(9)",Investment company,0,Member interest (5.44% interest),0,4/1/2010,0,4822.0,4822.0
489,"Fidus Mezzanine Capital, L.P.(9)",Investment partnership,0,Limited partnership interest (29.12% interest),0,4/1/2010,0,9206.0,7499.0
490,Firstlight Financial Corporation(6)(9),Investment company,0,"Senior subordinated loan ($73,811 par due 12/2016)",1.00% PIK,12/31/2006,0,73569.0,54050.0
491,Firstlight Financial Corporation(6)(9),0,0,"Common stock (10,000 shares)",0,12/31/2006,0,10000.0,0.0
492,Firstlight Financial Corporation(6)(9),0,0,"Common stock (30,000 shares)",0,12/31/2006,0,30000.0,0.0
493,"HCI Equity, LLC(7)(8)(9)",Investment company,0,Member interest (100% interest),0,4/1/2010,0,808.0,993.0
494,"Imperial Capital Private Opportunities, LP(6)(9)",Investment partnership,0,Limited partnership interest (80% interest),0,5/10/2007,0,6643.0,5300.0
495,"Ivy Hill Middle Market Credit Fund, Ltd.(7)(8)(9)",Investment company,0,"Class B deferrable interest notes ($40,000 par due 11/2018)",6.25% (Libor + 6.00%/Q),11/20/2007,0,40000.0,37200.0
496,"Ivy Hill Middle Market Credit Fund, Ltd.(7)(8)(9)",0,0,"Subordinated notes ($15,351 par due 11/2018)",15.50%,11/20/2007,0,15351.0,14737.0
497,Knightsbridge CLO 2007-1 Ltd.(7)(8)(9),Investment company,0,"Class E notes ($20,350 par due 1/2022)",9.29% (Libor + 9.00%/Q),3/24/2010,0,14852.0,14545.0
498,Knightsbridge CLO 2008-1 Ltd.(7)(8)(9),Investment company,0,"Class C notes ($14,400 par due 6/2018)",7.80% (Libor + 7.50%/Q),3/24/2010,0,14400.0,14400.0
499,Knightsbridge CLO 2008-1 Ltd.(7)(8)(9),0,0,"Class D notes ($9,000 par due 6/2018)",8.79% (Libor + 8.50%/Q),3/24/2010,0,9000.0,9000.0
500,Knightsbridge CLO 2008-1 Ltd.(7)(8)(9),0,0,"Class E notes ($14,850 par due 6/2018)",5.29% (Libor + 5.00%/Q),3/24/2010,0,13596.0,10488.0
501,"Kodiak Funding, LP(9)",Investment partnership,0,Limited partnership interest (1.52% interest),0,4/1/2010,0,918.0,788.0
502,"Novak Biddle Venture Partners III, L.P.(9)",Investment partnership,0,Limited partnership interest (2.47% interest),0,4/1/2010,0,221.0,254.0
503,Pangaea CLO 2007-1 Ltd.(8)(9),Investment company,0,"Class D notes ($15,000 par due 1/2021)",5.04% (Libor + 4.75%/Q),4/1/2010,0,9061.0,8307.0
504,"Partnership Capital Growth Fund I, LP(9)",Investment partnership,0,Limited partnership interest (25% interest),0,6/16/2006,0,2370.0,2393.0
505,Senior Secured Loan Fund LLC(7)(15),Investment company,0,"Subordinated certificates ($548,161 par due 12/2015)",8.30% (Libor + 8.00%/Q),10/30/2009,0,537439.0,561674.0
506,"Trivergance Capital Partners, LP(9)",Investment partnership,0,Limited partnership interest (100% interest),0,6/5/2008,0,3162.0,0.0
507,VSC Investors LLC(9),Investment company,0,Membership interest (4.63% interest),0,1/24/2008,0,994.0,699.0
508,"Axium Healthcare Pharmacy, Inc.",Specialty pharmacy provider,0,"Senior subordinated loan ($3,160 par due 3/2015)",8.00%,4/1/2010,0,2915.0,3002.0
509,"CCS Group Holdings, LLC",Correctional facility healthcare operator,0,"Class A units (1,000,000 units)",0,8/19/2010,0,1000.0,1000.0
510,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings, LLC(6)",Healthcare analysis services,0,"Preferred stock (7,427 shares)",0,6/15/2007,0,8763.0,8325.0
511,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings, LLC(6)",0,0,"Common stock (9,679 shares)",0,6/15/2007,0,4000.0,9656.0
512,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings, LLC(6)",0,0,"Common stock (1,546 shares)",0,6/15/2007,0,0.0,1542.0
513,DSI Renal Inc.(6),Dialysis provider,0,"Senior secured loan ($9,359 par due 3/2013)",8.50% (Libor + 6.50%/M),4/4/2006,0,9284.0,9359.0
514,DSI Renal Inc.(6),0,0,"Senior subordinated loan ($69,009 par due 4/2014)","6.00% Cash, 10.00% PIK",4/4/2006,0,68523.0,69006.0
515,DSI Renal Inc.(6),0,0,"Common units (19,726 units)",0,4/4/2006,0,19684.0,40687.0
516,"GG Merger Sub I, Inc.",Drug testing services,0,"Senior secured loan ($11,330 par due 12/2014)",4.31% (Libor + 4.0%/Q),12/14/2007,0,10944.0,10764.0
517,"GG Merger Sub I, Inc.",0,0,"Senior secured loan ($12,000 par due 12/2014)",4.31% (Libor + 4.0%/Q),12/14/2007,0,11586.0,11400.0
518,"HCP Acquisition Holdings, LLC(7)",Healthcare compliance advisory services,0,"Class A units (10,044,176 units)",0,6/26/2008,0,10044.0,5070.0
519,"Heartland Dental Care, Inc.",Dental services,0,"Senior subordinated loan ($27,717 par due 7/2014)",14.25%,7/31/2008,0,27717.0,28548.0
520,"INC Research, Inc.",Pharmaceutical and biotechnology,0,"Senior subordinated loan ($10,039 par due 9/2017)",13.50%,9/27/2010,0,10039.0,10039.0
521,"INC Research, Inc.",consulting services,0,"Common stock (1,000,000 shares)",0,9/27/2010,0,1000.0,1000.0
522,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,0,"Senior secured loan ($66,169 par due 9/2016)",9.75% (Libor + 8.75%/Q),9/13/2010,0,66169.0,66169.0
523,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",0,0,"Senior secured loan ($48,511 par due 9/2016)",9.75% (Libor + 8.75%/Q),9/13/2010,0,48511.0,48511.0
524,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",0,0,"Senior secured loan ($9,023 par due 9/2016)",9.75% (Libor + 8.75%/Q),9/13/2010,0,9023.0,9023.0
525,"MPBP Holdings, Inc., Cohr Holdings, Inc. and MPBP Acquisition Co., Inc.",Healthcare equipment services,0,"Junior secured loan ($18,851 par due 1/2014)",0,1/31/2007,0,18851.0,943.0
526,"MPBP Holdings, Inc., Cohr Holdings, Inc. and MPBP Acquisition Co., Inc.",0,0,"Junior secured loan ($11,310 par due 1/2014)",0,1/31/2007,0,11310.0,566.0
527,"MPBP Holdings, Inc., Cohr Holdings, Inc. and MPBP Acquisition Co., Inc.",0,0,"Common stock (50,000 shares)",0,1/31/2007,0,5000.0,0.0
528,"MWD Acquisition Sub, Inc.",Dental services,0,"Junior secured loan ($5,000 par due 5/2013)",6.51% (Libor + 6.25%/M),5/3/2007,0,5000.0,4800.0
529,"NS Merger Sub. Inc. and NS Holdings, Inc.",Healthcare technology provider,0,Senior subordinated loan ($579 par due 6/2017),13.50%,6/21/2010,0,579.0,579.0
530,"NS Merger Sub. Inc. and NS Holdings, Inc.",0,0,"Senior subordinated loan ($50,000 par due 6/2017)",13.50%,6/21/2010,0,50000.0,50000.0
531,"NS Merger Sub. Inc. and NS Holdings, Inc.",0,0,"Common stock (2,500,000 shares)",0,6/21/2010,0,2500.0,2500.0
532,OnCURE Medical Corp.,Radiation oncology care provider,0,"Common stock (857,143 shares)",0,8/18/2006,0,3000.0,2910.0
533,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",Healthcare technology provider,0,"Senior secured loan ($11,287 par due 5/2014)",8.25% (Libor + 7.0%/Q),5/9/2008,0,11287.0,11287.0
534,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",0,0,"Senior secured loan ($10,419 par due 5/2014)",8.25% (Libor + 7.0%/Q),5/9/2008,0,10419.0,10419.0
535,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",0,0,"Series A preferred stock (1,594,457 shares)",0,7/30/2008,0,11156.0,10978.0
536,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",0,0,"Common stock (16,106 shares)",0,7/30/2008,0,100.0,0.0
537,"PG Mergersub, Inc.","Provider of patient surveys, management",0,"Senior secured loan ($1,100 par due 11/3/2015)",6.75% (Libor + 5.0%/Q),11/3/2010,0,1098.0,1100.0
538,"PG Mergersub, Inc.",reports and national databases for,0,"Senior secured loan ($9,200 par due 11/3/2015)",6.75% (Libor + 5.0%/Q),11/3/2010,0,9171.0,9200.0
539,"PG Mergersub, Inc.",integrated healthcare delivery system,0,"Senior subordinated loan ($4,000 par due 3/2016)",12.50%,3/12/2008,0,3948.0,4000.0
540,"PG Mergersub, Inc.",0,0,Preferred stock (333 shares),0,3/12/2008,0,125.0,9.0
541,"PG Mergersub, Inc.",0,0,"Common stock (16,667 shares)",0,3/12/2008,0,167.0,471.0
542,"Reed Group, Ltd.",Medical disability management services,0,"Senior secured loan ($10,755 par due 12/2013)",0,4/1/2010,0,9129.0,9142.0
543,"Reed Group, Ltd.",provider,0,"Senior secured revolving loan ($1,250 par due 12/2013)",0,4/1/2010,0,1097.0,1063.0
544,"Reed Group, Ltd.",0,0,"Senior subordinated loan ($19,625 par due 12/2013)",0,4/1/2010,0,15918.0,10714.0
545,"Reed Group, Ltd.",0,0,Equity interests,0,4/1/2010,0,203.0,0.0
546,"Regency Healthcare Group, LLC(6)",Hospice provider,0,"Preferred member interest (1,293,960 shares)",0,4/1/2010,0,2007.0,1672.0
547,"Soteria Imaging Services, LLC(6)",Outpatient medical imaging provider,0,"Junior secured loan ($1,687 par due 11/2010)",0,4/1/2010,0,1644.0,1383.0
548,"Soteria Imaging Services, LLC(6)",0,0,"Junior secured loan ($2,422 par due 11/2010)",0,4/1/2010,0,2361.0,1986.0
549,"Soteria Imaging Services, LLC(6)",0,0,"Preferred member interest (1,881,234 units)",0,4/1/2010,0,0.0,0.0
550,"Sunquest Information Systems, Inc.",Laboratory software solutions provider,0,"Junior secured loan ($95,000 par due 6/2017)",9.75% (Libor + 8.50%/M),12/16/2010,0,95000.0,95000.0
551,"Sunquest Information Systems, Inc.",0,0,"Junior secured loan ($50,000 par due 6/2017)",9.75% (Libor + 8.50%/M),12/16/2010,0,50000.0,50000.0
552,"U.S. Renal Care, Inc.",Dialysis provider,0,"Senior subordinated loan ($20,235 par due 5/2017)","11.25% Cash, 2.00% PIK",5/24/2010,0,20235.0,20235.0
553,Univita Health Inc.,Outsourced services provider,0,"Senior subordinated loan ($21,094 par due 12/2014)","12.00% Cash, 3.00% PIK",12/22/2009,0,21094.0,21094.0
554,VOTC Acquisition Corp.,Radiation oncology care provider,0,"Senior secured loan ($7,580 par due 7/2012)","11.00% Cash, 2.00% PIK",6/30/2008,0,7580.0,7580.0
555,VOTC Acquisition Corp.,0,0,"Preferred stock (3,888,222 shares)",0,7/14/2008,0,8748.0,11624.0
556,Aviation Properties Corporation(7),Aviation services,0,Common stock (100 shares),0,4/1/2010,0,0.0,0.0
557,BenefitMall Holdings Inc.(7),Employee benefits broker services,0,"Senior subordinated loan ($40,326 par due 6/2014)",18.00%,4/1/2010,0,40326.0,40326.0
558,BenefitMall Holdings Inc.(7),0,0,"Common stock (39,274,290 shares)",0,4/1/2010,0,53510.0,50450.0
559,BenefitMall Holdings Inc.(7),0,0,Warrants,0,4/1/2010,0,0.0,0.0
560,"Booz Allen Hamilton, Inc.",Strategy and technology consulting services,0,Senior secured loan ($733 par due 7/2015),7.50% (Libor + 4.50%/M),7/31/2008,0,721.0,733.0
561,"Booz Allen Hamilton, Inc.",0,0,Senior subordinated loan ($101 par due 7/2016),13.00%,7/31/2008,0,90.0,104.0
562,"Booz Allen Hamilton, Inc.",0,0,"Senior subordinated loan ($5,007 par due 7/2016)",13.00%,7/31/2008,0,4983.0,5157.0
563,CitiPostal Inc.(7),Document storage and management services,0,Senior secured revolving loan ($691 par due 12/2013),6.50% (Libor + 4.50%/M),4/1/2010,0,691.0,691.0
564,CitiPostal Inc.(7),0,0,Senior secured revolving loan ($700 par due 12/2013),6.50% (Libor + 4.50%/Q),4/1/2010,0,700.0,700.0
565,CitiPostal Inc.(7),0,0,"Senior secured revolving loan ($1,250 par due 12/2013)",6.75% (Base Rate + 3.25%/Q),4/1/2010,0,1250.0,1250.0
566,CitiPostal Inc.(7),0,0,"Senior secured loan ($49,333 par due 12/2013)","11.00% Cash, 2.00% PIK",4/1/2010,0,49333.0,49333.0
567,CitiPostal Inc.(7),0,0,Senior secured loan ($482 par due 12/2013),"11.00% Cash, 2.00% PIK",4/1/2010,0,482.0,482.0
568,CitiPostal Inc.(7),0,0,"Senior subordinated loan ($12,526 par due 12/2015)",16.00% PIK,4/1/2010,0,12526.0,12022.0
569,CitiPostal Inc.(7),0,0,"Common stock (37,024 shares)",0,4/1/2010,0,0.0,0.0
570,"Cook Inlet Alternative Risk, LLC",Risk management services,0,"Senior secured loan ($40,000 par due 4/2013)",8.50%,4/1/2010,0,25124.0,26083.0
571,"Cook Inlet Alternative Risk, LLC",0,0,"Senior secured loan ($44,346 par due 4/2013)",8.50%,4/1/2010,0,26622.0,28917.0
572,"Cook Inlet Alternative Risk, LLC",0,0,Member interest (3.17%),0,4/1/2010,0,0.0,0.0
573,"Coverall North America, Inc.(7)",Commercial janitorial service provider,0,"Senior secured loan ($15,763 par due 7/2011)",12.00%,4/1/2010,0,15763.0,15763.0
