,Industry,Company(1),Business Description,Investment,Interest(5)(11),Acquisition  Date,Amortized  Cost,Fair Value
353,Commercial Real Estate Finance,"10th Street, LLC (6)",Real estate holding company,"Senior subordinated loan ($25,986 par due 11/2014)","8.93% Cash, 4.07% PIK",4/1/2010,25987.0,25987
354,Commercial Real Estate Finance,"10th Street, LLC (6)",,Member interest (10.00%,,4/1/2010,594.0,7251
355,Commercial Real Estate Finance,"10th Street, LLC (6)",,"Option (25,000 units)",,4/1/2010,25.0,25
356,Commercial Real Estate Finance,"American Commercial Coatings, Inc.",Real estate property,"Commercial mortgage loan ($2,417 par due 12/2025)",8.75% (Libor + 7.25%/Q),4/1/2010,706.0,2061
357,Commercial Real Estate Finance,"Cleveland East Equity, LLC",Hotel operator,Real estate equity interests,,4/1/2010,1026.0,4444
358,Commercial Real Estate Finance,"Commons R-3, LLC",Real estate developer,Real estate equity interests,,4/1/2010,0.0,0
359,Commercial Real Estate Finance,"Crescent Hotels & Resorts, LLC and affiliates (7)",Hotel operator,"Senior subordinated loan ($2,236 par due 9/2011)",,4/1/2010,0.0,0
360,Commercial Real Estate Finance,"Crescent Hotels & Resorts, LLC and affiliates (7)",,"Senior subordinated loan ($2,092 par due 6/2017)",,4/1/2010,0.0,0
361,Commercial Real Estate Finance,"Crescent Hotels & Resorts, LLC and affiliates (7)",,Common equity interest,,4/1/2010,0.0,0
362,Commercial Real Estate Finance,"Hot Light Brands, Inc. (7)",Real estate holding company,"First lien senior secured loan ($32,957 par due 2/2011)",,4/1/2010,1664.0,1633
363,Commercial Real Estate Finance,"Hot Light Brands, Inc. (7)",,"Common stock (93,500 shares)",,4/1/2010,0.0,0
364,Commercial Real Estate Finance,"NPH, Inc.",Hotel property,Real estate equity interests,,4/1/2010,5291.0,5833
365,Commercial Real Estate Finance,"NPH, Inc.",,,,,35293.0,47234
366,Oil and Gas,"Geotrace Technologies, Inc.",Reservoir processing and development,"Warrants to purchase up to 69,978 shares of common stock",,4/1/2010,88.0,0
367,Oil and Gas,"Geotrace Technologies, Inc.",,"Warrants to purchase up to 210,453 shares of preferred stock",,4/1/2010,2805.0,2158
368,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Petroleum product manufacturer,"Second lien senior secured loan ($9,926 par due 12/2014)",,4/30/2012,9786.0,7269
369,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",,"Second lien senior secured loan ($5,144 par due 12/2014)",,4/30/2012,5089.0,3767
370,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",,"Second lien senior secured loan ($44,434 par due 12/2014)",,4/30/2012,43434.0,32537
371,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",,"Class A common units (151,236 units)",,6/17/2011,1512.0,0
372,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",,"Class B-5 common units (599,200 units)",,4/25/2008,5472.0,0
373,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",,"Class B-4 common units (50,000 units)",,6/17/2011,500.0,0
374,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",,"Class C common units (758,546 units)",,4/25/2008,0.0,0
375,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",,,,,68686.0,45731
376,Health Clubs,"Athletic Club Holdings, Inc.",Premier health club operator,"First lien senior secured loan ($34,000 par due 3/2019)",7.25% (Libor + 6.00%/M),10/11/2007,34000.0,34000
377,Health Clubs,"CFW Co-Invest, L.P. and NCP Curves, L.P.",Health club franchisor,"Limited partnership interest (4,152,165 shares)",,7/31/2012,4152.0,3338
378,Health Clubs,"CFW Co-Invest, L.P. and NCP Curves, L.P.",,"Limited partnership interest (1,847,835 shares)",,7/31/2012,1848.0,1486
379,Health Clubs,"CFW Co-Invest, L.P. and NCP Curves, L.P.",,,,,40000.0,38824
380,Telecommunications,"American Broadband Communications, LLC, American Broadband Holding Company, Cameron Holdings of NC, Inc.",Broadband communication services,Warrants to purchase up to 378 shares,,11/7/2007,0.0,4982
381,Telecommunications,"American Broadband Communications, LLC, American Broadband Holding Company, Cameron Holdings of NC, Inc.",,Warrants to purchase up to 200 shares,,9/1/2010,0.0,2636
382,Telecommunications,"Quantance, Inc.",Designer of semiconductor products to the mobile wireless market,"First lien senior secured loan ($3,500 par due 9/2016)",10.25%,8/23/2013,3396.0,3430
383,Telecommunications,"Quantance, Inc.",,"Warrant to purchase up to 130,432 shares of Series D preferred stock",,8/23/2013,74.0,74
384,Telecommunications,"Startec Equity, LLC (7)",Communication services,Member interest,,4/1/2010,0.0,0
385,Telecommunications,"Startec Equity, LLC (7)",,,,,3470.0,11122
386,Food and Beverage,"Apple & Eve, LLC and US Juice Partners, LLC (6)",Juice manufacturer,"Senior units (50,000 units)",,10/5/2007,5000.0,4201
387,Food and Beverage,"Charter Baking Company, Inc.",Baked goods manufacturer,"Senior subordinated loan ($2,750 par due 6/2015)",17.50% PIK,2/6/2008,2750.0,2750
388,Food and Beverage,"Charter Baking Company, Inc.",,"Preferred stock (6,258 shares)",,9/1/2006,2567.0,1848
389,Food and Beverage,Distant Lands Trading Co.,Coffee manufacturer,"Class A common stock (1,294 shares)",,4/1/2010,980.0,0
390,Food and Beverage,Distant Lands Trading Co.,,"Class A-1 common stock (2,157 shares)",,4/1/2010,0.0,0
391,Food and Beverage,Distant Lands Trading Co.,,,,,11297.0,8799
392,Wholesale Distribution,"BECO Holding Company, Inc.",Wholesale distributor of first response fire protection equipment and related parts,"Common stock (25,000 shares)",,7/30/2010,2500.0,2880
393,Wholesale Distribution,"BECO Holding Company, Inc.",,,,,2500.0,2880
394,Wholesale Distribution,"BECO Holding Company, Inc.",,,,,7277712.0,7385285
