,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,,
451,"Pritchard Industries, LLC and LJ Pritchard TopCo Holdings, LLC",Provider of janitorial and facilities management services,First lien senior secured loan ($93.8 par due 10/2027),6.25% (Libor + 5.50%/Q),10/13/2021,93.8,,,92.8,,(2)(12),,,
452,,,"Class A units (7,900,000 units)",,10/13/2021,7.9,,,7.9,,(2),,,
454,"PS Operating Company LLC and PS OP Holdings LLC (fka QC Supply, LLC) (5)(16)",Specialty distributor and solutions provider to the swine and poultry markets,First lien senior secured revolving loan ($2.8 par due 12/2024),7.00% (Libor + 6.00%/Q),12/21/2021,2.8,,,2.8,,(2)(12),,,
456,,,First lien senior secured loan ($14.9 par due 12/2024),7.00% (Libor + 6.00%/Q),12/21/2021,14.9,,,14.9,,(2)(12),,,
457,,,"Common unit (279,200 units)",,12/21/2021,7.4,,,7.4,,(2),,,
459,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",,5/29/2007,0.2,,,0.5,,(2),,,
460,RC V Tecmo Investor LLC,Technology based aggregator for facility maintenance services,"Common member units (9,624,000 units)",,8/14/2020,8.3,,,19.3,,(2),,,
461,"RE Community Holdings GP, LLC and RE Community Holdings, LP",Operator of municipal recycling facilities,Limited partnership interest (2.86% interest),,3/1/2011,0,,,0,,(2),,,
462,,,Limited partnership interest (2.49% interest),,3/1/2011,0,,,0,,(2),,,
464,"Registrar Intermediate, LLC and PSP Registrar Co-Investment Fund, L.P. (16)",Provider of FDA registration and consulting services,First lien senior secured loan ($37.9 par due 8/2027),6.50% (Libor + 5.50%/Q),8/26/2021,37.9,,,37.5,,(2)(12),,,
465,,,Limited partner interests (1.13% interest),,8/26/2021,2.7,,,2.6,,(2),,,
467,Rodeo AcquisitionCo LLC (16),Provider of food inspection and recovery services,First lien senior secured revolving loan ($0.4 par due 7/2027),7.00% (Libor + 6.00%/Q),7/26/2021,0.4,,,0.3,,(2)(12),,,
468,,,First lien senior secured loan ($17.1 par due 7/2027),7.00% (Libor + 6.00%/Q),7/26/2021,17.1,,,16.9,,(2)(12),,,
470,"Schill Landscaping and Lawn Care Services LLC and Landscape Parallel Partners, L.P. (16)","Provider of landscape design and planning, and snow removal services",First lien senior secured loan ($5.8 par due 12/2027),6.75% (Libor + 5.75%/Q),12/16/2021,5.8,,,5.8,,(2)(12),,,
471,,,"Class A units (3,840.5 units)",,12/16/2021,9.5,,,9.5,,(2),,,
473,"SSE Buyer, Inc., Supply Source Enterprises, Inc., Impact Products LLC, The Safety Zone, LLC and SSE Parent, LP","Manufacturer and distributor of personal protection equipment, commercial cleaning, maintenance and safety products",First lien senior secured loan ($21.4 par due 6/2026),10.22% (Libor + 9.22%/Q),6/30/2020,21.4,,,19.9,,(2)(12),,,
474,,,"Limited partnership class A-1 units (2,173 units)",,6/30/2020,1.1,,,0.6,,(2),,,
475,,,"Limited partnership class A-2 units (2,173 units)",,6/30/2020,1.1,,,0.6,,(2),,,
477,"Startec Equity, LLC (5)",Communication services,Member interest,,4/1/2010,0,,,0,,,,,
478,Stealth Holding LLC and UCIT Online Security Inc. (16),Live video monitoring solutions provider,First lien senior secured loan ($50.5 par due 3/2026),7.75% (Libor + 6.75%/Q),3/1/2021,50.5,,,50.5,,(6)(12),,,
479,,,First lien senior secured loan ($0.8 par due 3/2026),9.00% (Base Rate + 5.75%/Q),3/1/2021,0.8,,,0.8,,(2)(6)(12),,,
481,"Thermostat Purchaser III, Inc. (16)",Provider of commercial HVAC equipment maintenance and repair services,Second lien senior secured loan ($23.0 par due 8/2029),8.00% (Libor + 7.25%/M),8/31/2021,23.0,,,22.8,,(2)(12),,,
482,Tyden Group Holding Corp.,"Producer and marketer of global cargo security, product identification and traceability products and utility meter products","Preferred stock (46,276 shares)",,1/3/2017,0.4,,,0.4,,(6),,,
483,,,"Common stock (5,521,203 shares)",,1/3/2017,2.0,,,3.9,,(6),,,
485,"Visual Edge Technology, Inc.",Provider of outsourced office solutions with a focus on printer and copier equipment and other parts and supplies,First lien senior secured loan ($32.5 par due 8/2022),9.75% (Libor + 7.00% Cash + 1.25% PIK/Q),8/31/2017,32.5,,,30.9,,(2)(12),,,
486,,,Senior subordinated loan ($88.6 par due 9/2024),12.50% PIK,8/31/2017,86.1,,,79.7,,(2),,,
487,,,"Warrant to purchase up to 10,358,572 shares of common stock (expires 8/2027)",,8/31/2017,3.9,,,0,,(2),,,
490,"VLS Recovery Services, LLC (16)",Provider of commercial and industrial waste processing and disposal services,First lien senior secured revolving loan ($1.3 par due 10/2024),6.50% (Libor + 5.50%/M),10/17/2017,1.3,,,1.3,,(2)(12)(15),,,
491,,,First lien senior secured loan ($8.8 par due 10/2024),6.50% (Libor + 5.50%/Q),7/1/2019,8.8,,,8.8,,(2)(12),,,
492,,,First lien senior secured loan ($5.2 par due 10/2024),6.50% (Libor + 5.50%/Q),8/31/2021,5.2,,,5.2,,(2)(12),,,
494,"Wash Encore Holdings, LLC",Provider of outsourced healthcare linen management solutions,First lien senior secured loan ($135.6 par due 7/2027),6.75% (Libor + 5.75%/Q),7/30/2021,135.6,,,134.2,,(2)(12),,,
495,"XIFIN, Inc. and ACP Charger Co-Invest LLC (16)",Revenue cycle management provider to labs,First lien senior secured revolving loan ($1.1 par due 2/2026),6.75% (Libor + 5.75%/M),2/6/2020,1.1,,,1.1,,(2)(12),,,
496,,,First lien senior secured loan ($16.3 par due 2/2026),6.75% (Libor + 5.75%/Q),7/20/2021,16.3,,,16.1,,(2)(12),,,
497,,,First lien senior secured loan ($39.3 par due 2/2026),6.75% (Libor + 5.75%/M),12/8/2021,39.3,,,39.0,,(2)(12),,,
498,,,"Class A units (180,000 units)",,2/6/2020,1.8,,,4.2,,(2),,,
499,,,"Class B units (46,363.16 units)",,12/8/2021,0.9,,,1.1,,(2),,,
501,,,,,,1820.0,,,1833.4,,,20.68%,,
503,"BCC Blueprint Holdings I, LLC and BCC Blueprint Investments, LLC",Provider of comprehensive suite of investment management and wealth planning solutions,First lien senior secured loan ($0.2 par due 9/2027),7.00% (Libor + 6.25%/Q),9/15/2021,0.2,,,0.2,,(2)(12),,,
504,,,Senior subordinated loan ($4.5 par due 9/2026),9.30% PIK,9/15/2021,4.5,,,4.5,,(2),,,
505,,,"Common units (4,220,159 units)",,9/15/2021,4.2,,,4.1,,(2),,,
507,"Beacon Pointe Harmony, LLC (16)",Provider of comprehensive wealth management services,First lien senior secured loan ($14.5 par due 12/2028),6.00% (Libor + 5.25%/Q),12/29/2021,14.5,,,14.4,,(6)(12),,,
508,"CrossCountry Mortgage, LLC (16)",Mortgage company originating loans in the retail and consumer direct channels,First lien senior secured loan ($93.8 par due 11/2027),7.50% (Libor + 7.00%/Q),11/10/2021,93.8,,,92.8,,(2)(12),,,
509,DFC Global Facility Borrower III LLC (16),Non-bank provider of alternative financial services,First lien senior secured revolving loan ($146.4 par due 6/2026),8.50% (CDOR + 8.00%/B),6/10/2021,149.9,,,146.4,,(2)(6)(10)(12),,,
510,eCapital Finance Corp.,Consolidator of commercial finance businesses,Senior subordinated loan ($56.0 par due 1/2025),9.00% (Libor + 7.50%/M),1/31/2020,56.0,,,56.0,,(2)(12),,,
511,,,Senior subordinated loan ($5.4 par due 1/2025),9.00% (Libor + 7.50%/M),11/24/2020,5.4,,,5.4,,(2)(12),,,
513,"EP Wealth Advisors, LLC (16)",Wealth management and financial planning firm,First lien senior secured revolving loan ($0.2 par due 9/2026),5.50% (Libor + 4.50%/Q),9/4/2020,0.2,,,0.2,,(2)(12),,,
514,,,First lien senior secured loan ($0.2 par due 9/2026),5.50% (Libor + 4.50%/Q),9/4/2020,0.2,,,0.2,,(2)(12),,,
515,,,First lien senior secured loan ($0.3 par due 9/2026),6.25% (Libor + 5.25%/Q),11/19/2021,0.3,,,0.3,,(2)(12),,,
517,"Green Street Parent, LLC and Green Street Intermediate Holdings, LLC (16)",Provider of REIT research data and analytics,First lien senior secured loan ($23.7 par due 8/2026),6.50% (Libor + 5.75%/Q),12/14/2021,23.7,,,23.7,,(2)(12),,,
518,"Ivy Hill Asset Management, L.P. (5)",Asset management services,Senior subordinated loan ($16.0 par due 5/2023),7.25% (Libor + 6.50%/M),2/8/2018,16.0,,,16.0,,(6)(12),,,
519,,,Member interest (100.00% interest),,6/15/2009,765.0,,,919.8,,(6),,,
521,"Javlin Three LLC, Javlin Four LLC, and Javlin Five LLC",Asset-backed financial services company,First lien senior secured loan ($15.7 par due 6/2017),,6/24/2014,12.6,,,0.4,,(2)(6)(11),,,
522,Joyce Lane Capital LLC and Joyce Lane Financing SPV LLC (fka Ciena Capital LLC) (5)(16),Specialty finance company,First lien senior secured loan ($0.3 par due 12/2022),4.13% (Libor + 4.00%/Q),12/27/2018,0.3,,,0.3,,(2)(6),,,
523,,,Equity interests,,11/29/2010,0,,,0,,(2)(6),,,
526,LS DE LLC and LM LSQ Investors LLC,Asset based lender,Senior subordinated loan ($37.0 par due 3/2024),10.50%,6/25/2015,37.0,,,37.0,,(2)(6),,,
527,,,Senior subordinated loan ($3.0 par due 6/2021),10.50%,6/15/2017,3.0,,,3.0,,(2)(6),,,
528,,,"Membership units (3,275,000 units)",,6/25/2015,3.3,,,3.5,,(6),,,
530,Monica Holdco (US) Inc. (16),Investment technology and advisory firm,First lien senior secured revolving loan,-%,1/8/2021,0,,,0,,(14),,,
531,,,First lien senior secured loan ($2.6 par due 1/2028),7.25% (Libor + 6.25%/Q),1/8/2021,2.6,,,2.6,,(2)(12),,,
533,"Priority Holdings, LLC and Priority Technology Holdings, Inc.",Provider of merchant acquiring and payment processing solutions,First lien senior secured loan ($35.8 par due 4/2027),6.75% (Libor + 5.75%/M),4/27/2021,35.8,,,35.8,,(2)(6)(12),,,
534,,,"Senior preferred stock (65,761 shares)",13.00% PIK (Libor + 12.00%/Q),4/27/2021,64.4,,,68.3,,(2)(6)(12),,,
535,,,"Warrant to purchase up to 527,226 shares of common stock (expires 4/2031)",,4/27/2021,4.0,,,3.4,,(2)(6),,,
537,"Rialto Management Group, LLC (16)",Investment and asset management platform focused on real estate,First lien senior secured revolving loan,-%,11/30/2018,0,,,0,,(6)(14),,,
538,,,First lien senior secured loan ($9.5 par due 12/2025),6.50% (Libor + 5.75%/Q),12/22/2021,9.5,,,9.5,,(2)(6)(12),,,
539,,,First lien senior secured loan ($0.7 par due 12/2025),4.34% (Libor + 4.25%/M),11/30/2018,0.7,,,0.7,,(6),,,
540,,,First lien senior secured loan ($7.7 par due 12/2025),4.35% (Libor + 4.25%/M),4/30/2021,7.7,,,7.7,,(2)(6),,,
542,"TA/WEG Holdings, LLC (16)",Wealth management and financial planning firm,First lien senior secured revolving loan ($0.8 par due 10/2027),6.75% (Libor + 5.75%/Q),10/2/2019,0.8,,,0.8,,(2)(12)(15),,,
543,,,First lien senior secured loan ($0.1 par due 10/2027),6.75% (Libor + 5.75%/Q),10/2/2019,0.1,,,0.1,,(2)(12),,,
544,,,First lien senior secured loan ($0.1 par due 10/2027),6.75% (Libor + 5.75%/Q),11/6/2020,0.1,,,0.1,,(2)(12),,,
545,,,First lien senior secured loan ($0.1 par due 10/2027),6.75% (Libor + 5.75%/B),6/3/2021,0.1,,,0.1,,(2)(12),,,
546,,,First lien senior secured loan ($8.3 par due 10/2027),6.75% (Libor + 5.75%/Q),8/13/2021,8.3,,,8.3,,(2)(12),,,
548,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (16)",Provider of asset-servicing capabilities for fund managers,First lien senior secured loan ($37.8 par due 2/2026),5.75% (Libor + 4.75%/Q),2/1/2019,37.8,,,37.8,,(12),,,
549,,,"Class A units (1,443 units)",,9/16/2019,1.6,,,1.9,,,,,
550,,,Class A units (245 units),,2/1/2019,0.2,,,0,,,,,
551,,,"Class B units (2,167,424 units)",,2/1/2019,0,,,0,,,,,
552,,,"Class B units (245,194 units)",,2/1/2019,0,,,0,,,,,
554,,,,,,1363.8,,,1505.3,,,16.98%,,
556,"Alera Group, Inc. (16)",Insurance service provider,First lien senior secured loan ($96.6 par due 10/2028),6.25% (Libor + 5.50%/M),9/30/2021,96.6,,,95.6,,(2)(12),,,
557,Amynta Agency Borrower Inc. and Amynta Warranty Borrower Inc.,Insurance service provider,First lien senior secured loan ($1.0 par due 2/2025),4.60% (Libor + 4.50%/M),12/21/2018,1.0,,,1.0,,(2),,,
558,"AQ Sunshine, Inc. (16)",Specialized insurance broker,First lien senior secured revolving loan ($0.3 par due 4/2024),7.00% (Libor + 6.00%/Q),4/15/2019,0.3,,,0.3,,(2)(12)(15),,,
559,,,First lien senior secured loan ($8.6 par due 4/2025),7.00% (Libor + 6.00%/Q),4/15/2019,8.6,,,8.6,,(12),,,
560,,,First lien senior secured loan ($13.3 par due 4/2025),7.00% (Libor + 6.00%/Q),10/29/2020,13.3,,,13.3,,(2)(12),,,
561,,,First lien senior secured loan ($20.2 par due 4/2025),7.00% (Libor + 6.00%/Q),6/28/2021,20.2,,,20.2,,(2)(12),,,
564,Ardonagh Midco 2 plc and Ardonagh Midco 3 plc,Insurance broker and underwriting servicer,First lien senior secured loan ($69.5 par due 7/2026),8.21% (GBP Libor + 7.46%/Q),6/26/2020,64.8,,,69.5,,(2)(6)(12),,,
565,,,First lien senior secured loan ($14.5 par due 7/2026),7.50% (GBP Libor + 6.75%/Q),6/26/2020,14.8,,,14.5,,(2)(6)(12),,,
566,,,First lien senior secured loan ($7.5 par due 7/2026),7.75% (Euribor + 6.75%/Q),6/26/2020,7.5,,,7.5,,(2)(6)(12),,,
567,,,First lien senior secured loan ($111.2 par due 7/2026),6.75% (Libor + 6.00%/Q),8/19/2021,111.2,,,111.2,,(2)(6)(12),,,
568,,,Senior subordinated loan ($1.3 par due 1/2027),11.50% PIK,6/26/2020,1.2,,,1.4,,(2)(6)(19),,,
570,Benecon Midco II LLC and Locutus Holdco LLC (16),Employee benefits provider for small and mid-size employers,"Common units (9,803,682 units)",,12/4/2020,10.0,,,15.5,,,,,
571,"Benefytt Technologies, Inc.",Health insurance sales platform provider,First lien senior secured loan ($23.4 par due 8/2027),6.75% (Libor + 6.00%/Q),8/12/2021,23.4,,,23.2,,(2)(12),,,
572,"Foundation Risk Partners, Corp. (16)",Full service independent insurance agency,First lien senior secured loan ($169.5 par due 10/2028),6.50% (Libor + 5.75%/Q),10/29/2021,169.5,,,167.7,,(2)(12),,,
573,Galway Borrower LLC (16),Insurance service provider,First lien senior secured revolving loan,-%,9/30/2021,0,,,0,,(14),,,
574,,,First lien senior secured loan ($59.1 par due 9/2028),6.00% (Libor + 5.25%/Q),9/30/2021,59.1,,,58.5,,(2)(12),,,
576,"High Street Buyer, Inc. and High Street Holdco LLC (16)",Insurance brokerage platform,First lien senior secured loan ($55.0 par due 4/2028),6.75% (Libor + 6.00%/Q),4/16/2021,55.0,,,54.5,,(2)(12),,,
577,,,First lien senior secured loan ($10.4 par due 4/2028),6.75% (Libor + 6.00%/Q),8/11/2021,10.4,,,10.3,,(2)(12),,,
578,,,"Series A preferred units (96,763,329 units)",10.00% PIK,4/16/2021,101.1,,,101.2,,(2),,,
579,,,"Series A common units (4,649,000 units)",10.00% PIK,4/16/2021,5.0,,,11.1,,(2),,,
580,,,"Series C common units (4,979,318 units)",10.00% PIK,4/16/2021,0.2,,,11.9,,(2),,,
582,"K2 Insurance Services, LLC and K2 Holdco LP (16)",Specialty insurance and managing general agency,First lien senior secured revolving loan,-%,7/1/2019,0,,,0,,(14),,,
583,,,First lien senior secured loan ($0.6 par due 7/2026),6.00% (Libor + 5.00%/Q),12/29/2021,0.6,,,0.6,,(2)(12),,,
584,,,First lien senior secured loan ($51.0 par due 7/2026),6.00% (Libor + 5.00%/Q),7/1/2019,51.0,,,51.0,,(12),,,
585,,,First lien senior secured loan ($0.2 par due 7/2026),6.00% (Libor + 5.00%/Q),8/16/2021,0.2,,,0.2,,(2)(12),,,
586,,,"Common units (799,000 units)",,7/1/2019,0.8,,,1.6,,(2),,,
588,"NSM Insurance Group, LLC (16)",Insurance program administrator,First lien senior secured revolving loan ($0.5 par due 11/2025),7.00% (Base Rate + 3.75%/Q),6/2/2021,0.5,,,0.5,,(2)(12)(15),,,
589,,,First lien senior secured loan ($12.8 par due 5/2026),6.00% (Libor + 4.75%/M),5/11/2018,12.8,,,12.8,,(12),,,
591,"OneDigital Holdings, Achilles Holdco (16)",Benefits broker and outsourced workflow automation platform provider for brokers,First lien senior secured revolving loan,-%,11/16/2020,0,,,0,,(14),,,
592,"Patriot Growth Insurance Services, LLC (16)",National retail insurance agency,First lien senior secured loan ($11.6 par due 10/2028),6.25% (Libor + 5.50%/Q),10/14/2021,11.4,,,11.5,,(2)(12),,,
593,People Corporation (16),"Provider of group benefits, group retirement and human resources services",First lien senior secured revolving loan ($2.9 par due 2/2027),7.25% (CDOR + 6.25%/Q),2/18/2021,2.8,,,2.9,,(2)(6)(12),,,
594,,,First lien senior secured loan ($1.4 par due 2/2028),6.25% (CDOR + 5.50%/B),9/8/2021,1.3,,,1.4,,(2)(6)(12),,,
595,,,First lien senior secured loan ($44.3 par due 2/2028),7.25% (CDOR + 6.25%/Q),2/18/2021,44.1,,,44.3,,(2)(6)(12),,,
596,,,First lien senior secured loan ($13.8 par due 2/2028),7.25% (CDOR + 6.25%/Q),2/18/2021,14.1,,,13.8,,(6)(12),,,
598,"RSC Acquisition, Inc. and RSC Insurance Brokerage, Inc. (16)",Insurance broker,First lien senior secured revolving loan ($0.3 par due 10/2026),7.75% (Base Rate + 4.50%/Q),11/1/2019,0.3,,,0.3,,(2)(12)(15),,,
600,,,First lien senior secured loan ($33.1 par due 10/2026),6.25% (Libor + 5.50%/Q),11/1/2019,33.1,,,33.1,,(12),,,
602,SCM Insurance Services Inc. (16),"Provider of claims management, claims investigation & support and risk management solutions for the Canadian property and casualty insurance industry",First lien senior secured loan ($20.4 par due 8/2024),6.00% (CDOR + 5.00%/M),8/29/2017,20.6,,,20.4,,(2)(6)(12),,,
603,,,Second lien senior secured loan ($60.0 par due 3/2025),10.00% (CDOR + 9.00%/M),8/29/2017,60.5,,,60.0,,(2)(6)(12),,,
605,"SelectQuote, Inc.",Direct to consumer insurance distribution platform,First lien senior secured loan ($22.6 par due 11/2024),5.75% (Libor + 5.00%/M),11/5/2019,22.6,,,22.6,,(2)(12),,,
606,"SG Acquisition, Inc.",Provider of insurance solutions for car sales,First lien senior secured loan ($35.6 par due 1/2027),5.50% (Libor + 5.00%/M),1/27/2020,35.6,,,35.6,,(12),,,
607,"Spring Insurance Solutions, LLC (16)",Technology-based direct to consumer sales and marketing platform for insurance products,First lien senior secured loan ($19.7 par due 11/2025),7.50% (Libor + 6.50%/Q),11/23/2020,19.7,,,18.9,,(12),,,
608,"THG Acquisition, LLC (16)",Multi-line insurance broker,First lien senior secured revolving loan,-%,12/2/2019,0,,,0,,(14),,,
609,,,First lien senior secured loan ($0.6 par due 12/2026),6.25% (Libor + 5.50%/Q),12/10/2021,0.6,,,0.6,,(2)(12),,,
610,,,First lien senior secured loan ($0.1 par due 12/2026),6.75% (Libor + 5.75%/Q),12/2/2019,0.1,,,0.1,,(2)(12),,,
611,,,First lien senior secured loan ($23.2 par due 12/2026),6.50% (Libor + 5.75%/Q),12/15/2020,23.2,,,23.2,,(2)(12),,,
612,,,First lien senior secured loan ($14.9 par due 12/2026),6.50% (Libor + 5.75%/Q),12/15/2020,14.9,,,14.9,,(12),,,
614,,,,,,1144.0,,,1167.3,,,13.16%,,
616,ACAS Equity Holdings Corporation (5),Investment company,Common stock (589 shares),,1/3/2017,0.4,,,0.4,,(6),,,
617,Ares IIIR/IVR CLO Ltd.,Investment vehicle,Subordinated notes ($20.0 par due 4/2021),,1/3/2017,0,,,0,,(6),,,
618,"Blue Wolf Capital Fund II, L.P. (4)",Investment partnership,Limited partnership interest (8.50% interest),,1/3/2017,0,,,0.2,,(6)(19),,,
619,CoLTs 2005-1 Ltd. (5),Investment vehicle,Preferred shares (360 shares),,1/3/2017,0,,,0,,(6),,,
620,CREST Exeter Street Solar 2004-1,Investment vehicle,"Preferred shares (3,500,000 shares)",,1/3/2017,0,,,0,,(6),,,
621,European Capital UK SME Debt LP (4),Investment partnership,Limited partnership interest (45% interest),,1/3/2017,18.8,,,26.9,,(6)(17),,,
622,"HCI Equity, LLC (5)",Investment company,Member interest (100.00% interest),,4/1/2010,0,,,0,,(6)(19),,,
623,"Partnership Capital Growth Investors III, L.P.",Investment partnership,Limited partnership interest (2.50% interest),,10/5/2011,1.8,,,3.6,,(6)(19),,,
624,"PCG-Ares Sidecar Investment II, L.P. (4)",Investment partnership,Limited partnership interest (100.00% interest),,10/31/2014,7.0,,,11.1,,(2)(6)(17),,,
625,"PCG-Ares Sidecar Investment, L.P. (4)",Investment partnership,Limited partnership interest (100.00% interest),,5/22/2014,4.3,,,1.3,,(6)(17),,,
626,"Piper Jaffray Merchant Banking Fund I, L.P.",Investment partnership,Limited partnership interest (2.00% interest),,8/16/2012,0.1,,,1.0,,(6)(19),,,
627,"Senior Direct Lending Program, LLC (5)(18)",Co-investment vehicle,Subordinated certificates ($987.3 par due 12/2036),8.21% (Libor + 8.00%/Q)(13),7/27/2016,987.3,,,987.3,,(6),,,
628,,,Member interest (87.50% interest),,7/27/2016,0,,,0,,(6),,,
630,VSC Investors LLC,Investment company,Membership interest (1.95% interest),,1/24/2008,0.3,,,0.6,,(2)(6)(19),,,
631,,,,,,1020.0,,,1032.4,,,11.64%,,
633,"AI Aqua Merger Sub, Inc.",End to end provider of water solutions to a wide range of customer bases,First lien senior secured loan ($0.9 par due 7/2028),4.50% (Libor + 4.00%/M),6/17/2021,0.9,,,0.9,,(2)(12)(19),,,
635,"Arrowhead Holdco Company and Arrowhead GS Holdings, Inc. (16)","Distributor of non-discretionary, mission-critical aftermarket replacement parts",First lien senior secured revolving loan ($3.7 par due 8/2027),5.25% (Libor + 4.50%/Q),8/31/2021,3.7,,,3.6,,(2)(12)(15),,,
636,,,First lien senior secured loan ($27.6 par due 8/2028),5.25% (Libor + 4.50%/M),8/31/2021,27.6,,,27.2,,(2)(12),,,
637,,,"Common stock (4,900 shares)",,8/31/2021,4.9,,,6.7,,(2),,,
639,"Cadence Aerospace, LLC (16)",Aerospace precision components manufacturer,First lien senior secured revolving loan ($7.9 par due 11/2022),9.50% (Libor + 3.25% Cash + 5.25% PIK/Q),11/14/2017,7.9,,,7.6,,(2)(12)(15),,,
640,,,First lien senior secured revolving loan ($3.0 par due 11/2022),8.75% (Base Rate + 5.50%/Q),11/14/2017,3.0,,,2.9,,(12),,,
641,,,First lien senior secured revolving loan ($0.7 par due 11/2023),9.50% (Libor + 3.25% Cash + 5.25% PIK/Q),7/22/2020,0.7,,,0.7,,(2)(12),,,
642,,,First lien senior secured loan ($31.4 par due 11/2023),9.50% (Libor + 3.25% Cash + 5.25% PIK/Q),11/14/2017,31.3,,,30.5,,(12),,,
643,,,First lien senior secured loan ($9.8 par due 11/2023),9.50% (Libor + 3.25% Cash + 5.25% PIK/Q),7/5/2018,9.8,,,9.5,,(2)(12),,,
644,,,First lien senior secured loan ($12.0 par due 11/2023),9.50% (Libor + 3.25% Cash + 5.25% PIK/Q),10/31/2019,12.0,,,11.6,,(2)(12),,,
645,,,First lien senior secured loan ($7.9 par due 11/2023),9.50% (Libor + 3.25% Cash + 5.25% PIK/Q),2/12/2020,7.9,,,7.6,,(2)(12),,,
646,,,First lien senior secured loan ($4.0 par due 11/2023),9.50% (Libor + 3.25% Cash + 5.25% PIK/Q),7/31/2020,3.7,,,3.9,,(12),,,
648,"DFS Holding Company, Inc.","Distributor of maintenance, repair, and operations parts, supplies, and equipment to the foodservice industry",First lien senior secured loan ($166.7 par due 8/2023),8.50% (Libor + 6.00% Cash + 1.50% PIK/M),7/26/2017,166.7,,,158.4,,(12),,,
649,,,First lien senior secured loan ($4.3 par due 8/2023),8.50% (Libor + 6.00% Cash + 1.50% PIK/M),3/1/2017,4.3,,,4.1,,(2)(12),,,
650,,,First lien senior secured loan ($5.0 par due 8/2023),8.50% (Libor + 6.00% Cash + 1.50% PIK/M),5/22/2020,5.0,,,4.7,,(12),,,
651,,,First lien senior secured loan ($0.7 par due 2/2022),8.50% (Libor + 6.00% Cash + 1.50% PIK/M),5/22/2020,0.7,,,0.6,,(12),,,
653,"Dynamic NC Aerospace Holdings, LLC and Dynamic NC Investment Holdings, LP (16)",Provider of aerospace technology and equipment,First lien senior secured loan ($25.7 par due 12/2026),7.50% (Libor + 6.50%/Q),12/30/2020,25.7,,,25.4,,(12),,,
654,,,"Common units (9,773,000 units)",,12/30/2020,9.8,,,8.6,,,,,
656,"EPS NASS Parent, Inc. (16)",Provider of maintenance and engineering services for electrical infrastructure,First lien senior secured revolving loan ($0.9 par due 4/2026),6.75% (Libor + 5.75%/M),4/19/2021,0.9,,,0.9,,(2)(12)(15),,,
657,,,First lien senior secured loan ($30.5 par due 4/2028),6.75% (Libor + 5.75%/Q),4/19/2021,30.5,,,30.5,,(2)(12),,,
659,"ESCP PPG Holdings, LLC (4)",Distributor of new equipment and aftermarket parts to the heavy-duty truck industry,"Class A units (3,500,000 units)",,12/14/2016,3.5,,,2.8,,(2),,,
660,"Flow Control Solutions, Inc. (16)",Distributor and manufacturer of flow control systems components,First lien senior secured loan ($10.8 par due 11/2024),6.50% (Libor + 5.50%/Q),11/21/2018,10.8,,,10.8,,(12),,,
661,"Harvey Tool Company, LLC (16)",Manufacturer of cutting tools used in the metalworking industry,First lien senior secured revolving loan ($5.9 par due 10/2027),6.25% (Libor + 5.50%/Q),10/26/2021,5.9,,,5.8,,(2)(12)(15),,,
662,,,First lien senior secured loan ($22.7 par due 10/2027),6.25% (Libor + 5.50%/Q),10/26/2021,22.7,,,22.5,,(2)(12),,,
665,"Imaging Business Machines, L.L.C. and Scanner Holdings Corporation (5)",Provider of high-speed intelligent document scanning hardware and software,Senior subordinated loan ($16.6 par due 6/2022),14.00%,1/3/2017,16.6,,,16.6,,(2),,,
666,,,"Series A preferred stock (73,804,135 shares)",,1/3/2017,1.2,,,34.8,,,,,
667,,,"Class A common stock (48,082 shares)",,1/3/2017,0,,,0.2,,,,,
668,,,"Class B common stock (431,055 shares)",,1/3/2017,0.1,,,1.4,,,,,
670,"Kene Acquisition, Inc. and Kene Holdings, L.P. (16)","National utility services firm providing engineering and consulting services to natural gas, electric power and other energy and industrial end markets",First lien senior secured revolving loan,-%,8/8/2019,0,,,0,,(14),,,
671,,,First lien senior secured loan ($41.1 par due 8/2026),5.25% (Libor + 4.25%/Q),8/8/2019,41.1,,,41.1,,(12),,,
672,,,"Class A units (4,549,000 units)",,8/8/2019,4.5,,,5.3,,(2),,,
674,"LTG Acquisition, Inc.","Designer and manufacturer of display, lighting and passenger communication systems for mass transportation markets","Class A membership units (5,000 units)",,1/3/2017,5.1,,,0,,,,,
675,"Maverick Acquisition, Inc. (16)",Manufacturer of precision machined components for defense and high-tech industrial platforms,First lien senior secured loan ($57.8 par due 6/2027),7.00% (Libor + 6.00%/Q),6/1/2021,57.8,,,57.3,,(2)(12),,,
676,MB Aerospace Holdings II Corp.,Aerospace engine components manufacturer,First lien senior secured loan ($11.7 par due 1/2025),4.50% (Libor + 3.50%/Q),6/24/2021,11.0,,,10.9,,(2)(12),,,
677,,,Second lien senior secured loan ($68.5 par due 1/2026),10.00% (Libor + 9.00%/Q),1/22/2018,68.5,,,61.6,,(2)(12),,,
678,,,Second lien senior secured loan ($23.6 par due 1/2026),10.00% (Libor + 9.00%/Q),5/28/2019,23.6,,,21.3,,(2)(12),,,
