,Company (1),Business Description,Investment,Interest (3)(7),Acquisition Date,Amortized Cost,,Fair Value,,Percentage of Net Assets,,,
459,"Elevation Services Parent Holdings, LLC",Elevator service platform,First lien senior secured loan ($10.3 par due 12/2026),7.00% (LIBOR + 6.00%/Q),12/18/2020,10.3,,,10.3,,(12),,
460,"HAI Acquisition Corporation and Aloha Topco, LLC (16)","Professional employer organization offering human resources, compliance and risk management services",First lien senior secured loan ($0.1 par due 11/2025),6.00% (LIBOR + 5.25%/M),9/28/2021,0.1,,,0.1,,(2)(12),,
461,,,First lien senior secured loan ($61.0 par due 11/2025),6.00% (LIBOR + 5.25%/M),11/1/2017,61.0,,,61.0,,(12),,
462,,,"Class A units (16,980 units)",,11/1/2017,1.7,,,2.6,,(2),,
464,"HH-Stella, Inc. and Bedrock Parent Holdings, LP (16)",Provider of municipal solid waste transfer management services,First lien senior secured revolving loan ($2.3 par due 04/2027),6.50% (LIBOR + 5.50%/Q),4/22/2021,2.3,,,2.3,,(2)(12),,
465,,,First lien senior secured loan ($3.3 par due 04/2028),6.56% (LIBOR + 5.50%/M),4/22/2021,3.3,,,3.3,,(2)(12),,
466,,,"Class A units (25,490 units)",,4/22/2021,2.5,,,2.4,,(2),,
468,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",Market research company focused on the consumer packaged goods industry,First lien senior secured loan ($42.2 par due 12/2025),4.71% (LIBOR + 4.25%/M),11/30/2018,41.8,,,42.2,,,,
469,,,Second lien senior secured loan ($86.8 par due 11/2026),8.46% (LIBOR + 8.00%/M),11/30/2018,85.9,,,86.8,,(2),,
470,,,"Series A-1 preferred shares (46,900 shares)",11.50% PIK (LIBOR + 10.50%/Q),11/30/2018,69.1,,,69.8,,(2)(12),,
472,,,"Class A-1 common units (90,500 units)",,11/30/2018,9.1,,,30.0,,(2),,
474,"Kellermeyer Bergensons Services, LLC",Provider of janitorial and facilities management services,First lien senior secured loan ($0.1 par due 11/2026),7.00% (LIBOR + 6.00%/S),7/2/2021,0.1,,,0.1,,(2)(12),,
475,,,First lien senior secured loan ($44.8 par due 11/2026),7.00% (LIBOR + 6.00%/Q),11/7/2019,44.8,,,44.8,,(2)(12),,
476,,,First lien senior secured loan ($0.8 par due 11/2026),6.75% (LIBOR + 5.75%/Q),11/7/2019,0.8,,,0.8,,(2)(12),,
477,,,First lien senior secured loan ($29.6 par due 11/2026),7.00% (LIBOR + 6.00%/Q),11/7/2019,29.4,,,29.6,,(12),,
478,,,First lien senior secured loan ($6.5 par due 11/2026),6.75% (LIBOR + 5.75%/Q),11/7/2019,6.5,,,6.5,,(12),,
480,KPS Global LLC and Cool Group LLC,Manufacturer of walk-in cooler and freezer systems,First lien senior secured loan ($12.6 par due 04/2024),7.00% (LIBOR + 6.00%/M),4/5/2017,12.6,,,12.3,,(12),,
481,,,First lien senior secured loan ($3.4 par due 04/2024),7.00% (LIBOR + 6.00%/M),11/16/2018,3.4,,,3.3,,(12),,
482,,,"Class A units (13,292 units)",,9/21/2018,1.1,,,1.3,,,,
484,Laboratories Bidco LLC and Laboratories Topco LLC (16),Lab testing services for nicotine containing products,First lien senior secured revolving loan ($1.6 par due 07/2027),8.25% (Base Rate + 4.75%/Q),7/23/2021,1.6,,,1.6,,(2)(12),,
485,,,First lien senior secured loan ($42.6 par due 07/2027),6.75% (LIBOR + 5.75%/Q),10/4/2019,41.0,,,42.6,,(12),,
486,,,First lien senior secured loan ($1.1 par due 07/2027),6.75% (LIBOR + 5.75%/Q),7/23/2021,1.1,,,1.1,,(2)(12),,
487,,,First lien senior secured loan ($0.1 par due 07/2027),6.75% (LIBOR + 5.75%/Q),10/30/2020,0.1,,,0.1,,(2)(12),,
488,,,"Class A units (3,099,335 units)",,7/23/2021,4.6,,,4.4,,(2),,
490,"Lakers Buyer, Inc. and Lakers Parent LLC (16)",Provider of fire safety and life safety services,First lien senior secured revolving loan ($5.6 par due 03/2027),6.75% (LIBOR + 5.75%/Q),3/22/2021,5.6,,,5.5,,(2)(12),,
491,,,First lien senior secured loan ($27.1 par due 03/2027),6.76% (LIBOR + 5.75%/Q),3/22/2021,27.1,,,26.8,,(2)(12),,
492,,,Second lien senior secured loan ($41.3 par due 09/2027),11.76% PIK (LIBOR + 10.75%/Q),3/22/2021,41.3,,,40.5,,(2)(12),,
493,,,"Common units (46,990 units)",,3/22/2021,4.7,,,5.3,,(2),,
495,"Marmic Purchaser, LLC and Marmic Topco, L.P. (16)",Provider of recurring fire protection services,First lien senior secured loan ($28.4 par due 03/2027),7.00% (LIBOR + 6.00%/Q),3/5/2021,28.4,,,28.4,,(2)(12),,
496,,,"Limited partnership units (1,929,237 units)",8.00% PIK,3/5/2021,2.1,,,2.6,,(2),,
498,"Microstar Logistics LLC, Microstar Global Asset Management LLC, MStar Holding Corporation and Kegstar USA Inc.",Keg management solutions provider,Second lien senior secured loan ($153.5 par due 07/2023),10.00% PIK (LIBOR + 9.00%/Q),8/13/2020,153.5,,,150.4,,(12),,
499,,,"Series A preferred stock (1,507 shares)",,8/13/2020,1.5,,,2.3,,(2),,
500,,,"Common stock (54,710 shares)",,12/14/2012,4.9,,,4.9,,(2),,
502,"NAS, LLC and Nationwide Marketing Group, LLC (16)","Buying and marketing services organization for appliance, furniture and consumer electronics dealers",First lien senior secured revolving loan ($0.6 par due 06/2024),9.00% (Base Rate + 5.50%/Q),11/3/2020,0.6,,,0.6,,(2)(12),,
504,,,First lien senior secured loan ($2.3 par due 06/2024),7.50% (LIBOR + 6.50%/Q),12/17/2021,2.3,,,2.3,,(2)(12),,
505,,,First lien senior secured loan ($6.3 par due 06/2024),7.50% (LIBOR + 6.50%/Q),11/3/2020,6.3,,,6.3,,(2)(12),,
507,"Nest Topco Borrower Inc., KKR Nest Co-Invest L.P., and NBLY 2021-1 (16)",Operator of multiple franchise concepts primarily related to home maintenance or repairs,Senior subordinated loan ($119.1 par due 08/2029),9.00% (LIBOR + 8.50%/Q),9/1/2021,119.1,,,119.1,,(2)(12),,
508,,,"Limited partner interest (9,725,000 interests)",,9/28/2021,9.7,,,10.0,,(2),,
510,"NM GRC Holdco, LLC",Regulatory compliance services provider to financial institutions,First lien senior secured loan ($36.0 par due 02/2024),"8.50% (LIBOR + 6.00% Cash, 1.50% PIK/M)",2/9/2018,36.0,,,36.0,,(12),,
511,,,First lien senior secured loan ($9.6 par due 02/2024),"8.50% (LIBOR + 6.00% Cash, 1.50% PIK/M)",2/9/2018,9.6,,,9.6,,(2)(12),,
513,"North American Fire Holdings, LLC and North American Fire Ultimate Holdings, LLC (16)",Provider of fire safety and life safety services,First lien senior secured loan ($20.0 par due 05/2027),6.75% (SOFR + 6.00%/Q),5/19/2021,20.0,,,20.0,,(12),,
514,,,First lien senior secured loan ($18.9 par due 05/2027),6.75% (SOFR + 6.00%/Q),5/19/2021,18.9,,,18.9,,(2)(12),,
515,,,"Common units (884,916 units)",,5/19/2021,0.9,,,2.3,,(2),,
517,"North Haven Stack Buyer, LLC (16)",Provider of environmental testing services,First lien senior secured revolving loan ($0.2 par due 07/2027),6.50% (LIBOR + 5.50%/M),7/15/2021,0.2,,,0.2,,(2)(12),,
518,,,First lien senior secured loan ($11.6 par due 07/2027),6.50% (LIBOR + 5.50%/Q),7/15/2021,11.3,,,11.6,,(2)(12),,
520,Petroleum Service Group LLC (16),Provider of operational services for US petrochemical and refining companies,First lien senior secured revolving loan ($4.9 par due 07/2025),7.00% (LIBOR + 6.00%/Q),7/23/2019,4.9,,,4.9,,(2)(12)(15),,
521,,,First lien senior secured loan ($34.1 par due 07/2025),7.00% (LIBOR + 6.00%/Q),7/23/2019,34.1,,,34.1,,(12),,
522,,,First lien senior secured loan ($11.2 par due 07/2025),7.00% (LIBOR + 6.00%/Q),12/3/2021,11.2,,,11.2,,(2)(12),,
523,,,First lien senior secured loan ($0.7 par due 07/2025),7.00% (LIBOR + 6.00%/Q),7/23/2019,0.7,,,0.7,,(2)(12),,
525,"Pritchard Industries, LLC and LJ Pritchard TopCo Holdings, LLC (16)",Provider of janitorial and facilities management services,First lien senior secured loan ($84.4 par due 10/2027),6.25% (LIBOR + 5.50%/Q),10/13/2021,84.4,,,83.6,,(2)(12),,
526,,,"Class A units (7,900,000 units)",,10/13/2021,7.9,,,9.5,,(2),,
528,PS Operating Company LLC and PS Op Holdings LLC (5)(16),Specialty distributor and solutions provider to the swine and poultry markets,First lien senior secured revolving loan ($2.8 par due 12/2024),7.01% (LIBOR + 6.00%/Q),12/21/2021,2.8,,,2.8,,(2)(12),,
529,,,First lien senior secured loan ($14.9 par due 12/2024),7.01% (LIBOR + 6.00%/Q),12/21/2021,14.9,,,14.9,,(2)(12),,
530,,,"Common unit (279,199 units)",,12/21/2021,7.4,,,8.2,,(2),,
532,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",,5/29/2007,0.2,,,0.3,,(2),,
533,RC V Tecmo Investor LLC,Technology based aggregator for facility maintenance services,"Common member units (9,624,000 units)",,8/14/2020,8.3,,,20.0,,(2),,
534,"RE Community Holdings GP, LLC and RE Community Holdings, LP",Operator of municipal recycling facilities,Limited partnership interest (2.86% interest),,3/1/2011,0,,,0,,,,
536,,,Limited partnership interest (2.49% interest),,3/1/2011,0,,,0,,,,
538,"Registrar Intermediate, LLC and PSP Registrar Co-Investment Fund, L.P. (16)",Provider of FDA registration and consulting services,First lien senior secured loan ($37.8 par due 08/2027),6.00% (LIBOR + 5.00%/Q),8/26/2021,37.8,,,37.8,,(2)(12),,
539,,,Limited partner interests (1.13% interest),,8/26/2021,2.7,,,2.8,,(2),,
541,Rodeo AcquisitionCo LLC (16),Provider of food inspection and recovery services,First lien senior secured revolving loan ($0.5 par due 07/2027),7.00% (LIBOR + 6.00%/Q),7/26/2021,0.5,,,0.5,,(2)(12),,
542,,,First lien senior secured revolving loan ($0.1 par due 07/2027),8.25% (Base Rate + 5.00%/Q),7/26/2021,0.1,,,0.1,,(2)(12),,
543,,,First lien senior secured loan ($17.1 par due 07/2027),7.01% (LIBOR + 6.00%/Q),7/26/2021,17.1,,,16.9,,(2)(12),,
545,"Schill Landscaping and Lawn Care Services, LLC and Landscape Parallel Partners, LP (16)","Provider of landscape design and planning, and snow removal services",First lien senior secured loan ($5.8 par due 12/2027),6.75% (LIBOR + 5.75%/M),12/16/2021,5.8,,,5.8,,(2)(12),,
546,,,"Class A units (3,840.5 units)",,12/16/2021,9.5,,,9.5,,(2),,
548,"SSE Buyer, Inc., Supply Source Enterprises, Inc., Impact Products LLC, The Safety Zone, LLC and SSE Parent, LP","Manufacturer and distributor of personal protection equipment, commercial cleaning, maintenance and safety products",First lien senior secured loan ($21.2 par due 06/2026),10.22% (LIBOR + 9.22%/Q),6/30/2020,21.2,,,19.3,,(2)(12),,
549,,,"Limited partnership class A-1 units (2,173 units)",,6/30/2020,1.1,,,0.6,,(2),,
550,,,"Limited partnership class A-2 units (2,173 units)",,6/30/2020,1.1,,,0.6,,(2),,
552,"Startec Equity, LLC (5)",Communication services,Member interest,,4/1/2010,0,,,0,,,,
553,Stealth Holding LLC and UCIT Online Security Inc. (16),Live video monitoring solutions provider,First lien senior secured loan ($0.5 par due 03/2026),7.75% (SOFR + 6.75%/Q),3/14/2022,0.5,,,0.5,,(2)(6)(12),,
554,,,First lien senior secured loan ($26.2 par due 03/2026),7.75% (SOFR + 6.75%/Q),3/1/2021,26.2,,,26.2,,(6)(12),,
555,,,First lien senior secured loan ($27.1 par due 03/2026),7.75% (SOFR + 6.75%/Q),3/1/2021,27.1,,,27.1,,(2)(6)(12),,
556,,,First lien senior secured loan ($0.8 par due 03/2026),9.00% (Base Rate + 5.75%/Q),3/1/2021,0.8,,,0.8,,(2)(6)(12),,
558,"Thermostat Purchaser III, Inc. (16)",Provider of commercial HVAC equipment maintenance and repair services,Second lien senior secured loan ($23.0 par due 08/2029),8.00% (LIBOR + 7.25%/Q),8/31/2021,23.0,,,22.8,,(2)(12),,
559,Tyden Group Holding Corp.,"Producer and marketer of global cargo security, product identification and traceability products and utility meter products","Preferred stock (46,276 shares)",,1/3/2017,0.4,,,0.4,,(6),,
560,,,"Common stock (5,521,203 shares)",,1/3/2017,2.0,,,3.8,,(6),,
562,"Visual Edge Technology, Inc.",Provider of outsourced office solutions with a focus on printer and copier equipment and other parts and supplies,First lien senior secured loan ($32.5 par due 08/2022),"8.50% (LIBOR + 5.75% Cash, 1.25% PIK/Q)",8/31/2017,32.5,,,30.9,,(2)(12),,
563,,,Senior subordinated loan ($92.1 par due 09/2024),6.25% PIK,8/31/2017,87.5,,,81.1,,(2),,
564,,,"Warrant to purchase up to 10,358,572 shares of common stock (expires 8/2027)",,8/31/2017,3.9,,,0,,,,
567,"VLS Environmental Solutions, LLC (16)",Provider of commercial and industrial waste processing and disposal services,First lien senior secured revolving loan ($1.3 par due 10/2024),6.50% (LIBOR + 5.50%/M),10/17/2017,1.3,,,1.3,,(2)(12)(15),,
568,,,First lien senior secured loan ($5.2 par due 10/2024),6.50% (LIBOR + 5.50%/Q),8/31/2021,5.2,,,5.2,,(2)(12),,
569,,,First lien senior secured loan ($5.8 par due 10/2024),6.50% (LIBOR + 5.50%/Q),7/1/2019,5.8,,,5.8,,(2)(12),,
571,"Wash Encore Holdings, LLC",Provider of outsourced healthcare linen management solutions,First lien senior secured loan ($99.2 par due 07/2027),6.75% (LIBOR + 5.75%/Q),7/30/2021,99.2,,,99.2,,(12),,
572,,,First lien senior secured loan ($36.2 par due 07/2027),6.75% (LIBOR + 5.75%/Q),7/30/2021,36.2,,,36.2,,(2)(12),,
574,"XIFIN, Inc. and ACP Charger Co-Invest LLC (16)",Revenue cycle management provider to labs,First lien senior secured loan ($16.3 par due 02/2026),6.76% (LIBOR + 5.75%/Q),7/20/2021,16.3,,,16.3,,(2)(12),,
575,,,First lien senior secured loan ($39.2 par due 02/2026),6.76% (LIBOR + 5.75%/Q),12/8/2021,39.2,,,39.2,,(2)(12),,
576,,,"Class A units (180,000 units)",,2/6/2020,1.8,,,5.2,,(2),,
577,,,"Class B units (46,363 units)",,12/8/2021,0.9,,,1.3,,(2),,
579,,,,,,1796.4,,,1824.7,,,19.46%,
581,"Alera Group, Inc. (16)",Insurance service provider,First lien senior secured loan ($47.2 par due 10/2028),6.25% (LIBOR + 5.50%/M),9/30/2021,47.2,,,46.7,,(12),,
582,,,First lien senior secured loan ($28.0 par due 10/2028),6.25% (LIBOR + 5.50%/M),9/30/2021,28.0,,,27.7,,(2)(12),,
584,Amynta Agency Borrower Inc. and Amynta Warranty Borrower Inc.,Insurance service provider,First lien senior secured loan ($1.0 par due 02/2025),4.96% (LIBOR + 4.50%/M),12/21/2018,1.0,,,1.0,,(2),,
585,"AQ Sunshine, Inc. (16)",Specialized insurance broker,First lien senior secured revolving loan ($0.6 par due 04/2024),7.00% (LIBOR + 6.00%/Q),4/15/2019,0.6,,,0.6,,(2)(12)(15),,
586,,,First lien senior secured loan ($14.9 par due 04/2025),7.00% (LIBOR + 6.00%/Q),6/28/2021,14.9,,,14.9,,(2)(12),,
587,,,First lien senior secured loan ($8.6 par due 04/2025),7.00% (LIBOR + 6.00%/Q),4/15/2019,8.6,,,8.6,,(12),,
588,,,First lien senior secured loan ($6.1 par due 04/2025),7.00% (LIBOR + 6.00%/Q),1/14/2022,6.1,,,6.1,,(2)(12),,
589,,,First lien senior secured loan ($5.6 par due 04/2025),7.00% (LIBOR + 6.00%/S),10/29/2020,5.6,,,5.6,,(2)(12),,
591,Ardonagh Midco 2 plc and Ardonagh Midco 3 plc,Insurance broker and underwriting servicer,First lien senior secured loan ($90.0 par due 07/2026),6.50% (LIBOR + 5.75%/S),8/19/2021,90.0,,,90.0,,(2)(6)(12),,
592,,,First lien senior secured loan ($14.1 par due 07/2026),7.72% (SONIA + 6.75%/S),6/26/2020,14.8,,,14.1,,(2)(6)(12),,
593,,,First lien senior secured loan ($67.5 par due 07/2026),7.97% (SONIA + 7.00%/S),6/26/2020,64.7,,,67.5,,(2)(6)(12),,
594,,,First lien senior secured loan ($7.2 par due 07/2026),8.00% (GBP LIBOR + 7.00%/S),6/26/2020,7.5,,,7.2,,(2)(6)(12),,
595,,,Senior subordinated loan ($1.3 par due 01/2027),11.50% PIK,6/26/2020,1.3,,,1.4,,(2)(6)(19),,
597,Benecon Midco II LLC and Locutus Holdco LLC (16),Employee benefits provider for small and mid-size employers,"Common units (9,803,682 units)",,12/4/2020,10.0,,,16.3,,,,
599,"Benefytt Technologies, Inc. (16)",Health insurance sales platform provider,First lien senior secured loan ($23.4 par due 08/2027),6.75% (LIBOR + 6.00%/Q),8/12/2021,23.4,,,22.2,,(2)(12),,
600,"Foundation Risk Partners, Corp. (16)",Full service independent insurance agency,First lien senior secured loan ($122.4 par due 10/2028),6.50% (LIBOR + 5.75%/S),10/29/2021,122.4,,,122.4,,(12),,
601,,,First lien senior secured loan ($33.0 par due 10/2028),6.50% (LIBOR + 5.75%/S),10/29/2021,33.0,,,33.0,,(2)(12),,
603,Galway Borrower LLC (16),Insurance service provider,First lien senior secured revolving loan,,9/30/2021,0,,,0,,(14),,
604,,,First lien senior secured loan ($36.0 par due 09/2028),6.26% (LIBOR + 5.25%/Q),9/30/2021,36.0,,,36.0,,(12),,
605,,,First lien senior secured loan ($1.3 par due 09/2028),6.26% (LIBOR + 5.25%/Q),9/30/2021,1.3,,,1.3,,(2)(12),,
607,"High Street Buyer, Inc. and High Street Holdco LLC (16)",Insurance brokerage platform,First lien senior secured loan ($12.4 par due 04/2028),6.75% (LIBOR + 6.00%/Q),8/11/2021,12.4,,,12.2,,(2)(12),,
608,,,First lien senior secured loan ($2.2 par due 04/2028),6.50% (LIBOR + 5.75%/Q),2/4/2022,2.2,,,2.2,,(2)(12),,
609,,,First lien senior secured loan ($11.9 par due 04/2028),6.75% (LIBOR + 6.00%/Q),4/16/2021,11.9,,,11.8,,(2)(12),,
610,,,First lien senior secured loan ($22.9 par due 04/2028),6.75% (LIBOR + 6.00%/M),4/16/2021,22.9,,,22.6,,(2)(12),,
611,,,"Series A preferred units (96,763,329 units)",10.00% PIK,4/16/2021,103.6,,,103.6,,(2),,
612,,,"Series A common units (4,649,000 units)",10.00% PIK,4/16/2021,5.0,,,7.4,,(2),,
613,,,"Series C common units (4,979,318 units)",10.00% PIK,4/16/2021,0.2,,,7.9,,(2),,
615,"K2 Insurance Services, LLC and K2 Holdco LP (16)",Specialty insurance and managing general agency,First lien senior secured revolving loan,,7/1/2019,0,,,0,,(14),,
616,,,First lien senior secured loan ($0.2 par due 07/2026),6.01% (LIBOR + 5.00%/Q),8/16/2021,0.2,,,0.2,,(2)(12),,
617,,,First lien senior secured loan ($50.8 par due 07/2026),6.01% (LIBOR + 5.00%/Q),7/1/2019,50.8,,,50.8,,(12),,
618,,,First lien senior secured loan ($0.6 par due 07/2026),6.01% (LIBOR + 5.00%/Q),12/29/2021,0.6,,,0.6,,(2)(12),,
619,,,"Common units (799,000 units)",,7/1/2019,0.8,,,2.1,,(2),,
621,"NSM Insurance Group, LLC (16)",Insurance program administrator,First lien senior secured revolving loan ($0.6 par due 11/2025),7.25% (Base Rate + 3.75%/Q),6/2/2021,0.6,,,0.6,,(2)(12)(15),,
622,,,First lien senior secured loan ($12.7 par due 05/2026),6.00% (LIBOR + 4.75%/Q),5/11/2018,12.7,,,12.7,,(12),,
624,OneDigital Borrower LLC (16),Benefits broker and outsourced workflow automation platform provider for brokers,First lien senior secured revolving loan,,11/16/2020,0,,,0,,(14),,
625,"Patriot Growth Insurance Services, LLC (16)",National retail insurance agency,First lien senior secured loan ($12.0 par due 10/2028),6.25% (LIBOR + 5.50%/B),10/14/2021,11.8,,,11.9,,(2)(12),,
626,People Corporation (16),"Provider of group benefits, group retirement and human resources services",First lien senior secured revolving loan ($2.9 par due 02/2027),7.25% (CDOR + 6.25%/Q),2/18/2021,2.8,,,2.9,,(2)(6)(12),,
627,,,First lien senior secured loan ($1.4 par due 02/2028),6.37% (CDOR + 5.50%/Q),9/8/2021,1.3,,,1.4,,(2)(6)(12),,
628,,,First lien senior secured loan ($58.7 par due 02/2028),7.25% (CDOR + 6.25%/Q),2/18/2021,58.1,,,58.7,,(2)(6)(12),,
631,"RSC Acquisition, Inc. and RSC Insurance Brokerage, Inc. (16)",Insurance broker,First lien senior secured revolving loan,,11/1/2019,0,,,0,,(14),,
632,,,First lien senior secured loan ($33.1 par due 10/2026),6.27% (LIBOR + 5.50%/Q),11/1/2019,33.1,,,33.1,,(12),,
634,"SageSure Holdings, LLC & Insight Catastrophe Group, LLC (16)",Insurance service provider,First lien senior secured revolving loan ($3.5 par due 01/2028),6.25% (LIBOR + 5.75%/M),1/28/2022,3.5,,,3.4,,(2)(12),,
635,,,First lien senior secured loan ($13.6 par due 01/2028),6.25% (LIBOR + 5.75%/Q),1/28/2022,13.6,,,13.4,,(2)(12),,
636,,,Series A units (732 units),,2/18/2022,15.6,,,15.6,,,,
638,SCM Insurance Services Inc. (16),"Provider of claims management, claims investigation & support and risk management solutions for the Canadian property and casualty insurance industry",First lien senior secured loan ($20.6 par due 08/2024),6.00% (CDOR + 5.00%/M),8/29/2017,20.6,,,20.6,,(2)(6)(12),,
639,,,Second lien senior secured loan ($60.8 par due 03/2025),10.00% (CDOR + 9.00%/M),8/29/2017,60.5,,,60.8,,(2)(6)(12),,
641,"SelectQuote, Inc.",Direct to consumer insurance distribution platform,First lien senior secured loan ($22.5 par due 11/2024),5.75% (LIBOR + 5.00%/M),11/5/2019,22.5,,,20.9,,(2)(12),,
642,"SG Acquisition, Inc.",Provider of insurance solutions for car sales,First lien senior secured loan ($35.6 par due 01/2027),6.01% (LIBOR + 5.00%/Q),1/27/2020,35.6,,,35.6,,(12),,
643,"Spring Insurance Solutions, LLC (16)",Technology-based direct to consumer sales and marketing platform for insurance products,First lien senior secured loan ($19.0 par due 11/2025),7.50% (LIBOR + 6.50%/Q),11/23/2020,19.0,,,17.6,,(12),,
644,,,First lien senior secured loan ($0.7 par due 11/2025),7.50% (LIBOR + 6.50%/Q),11/23/2020,0.7,,,0.6,,(2)(12),,
646,"THG Acquisition, LLC (16)",Multi-line insurance broker,First lien senior secured revolving loan,,12/2/2019,0,,,0,,(14),,
647,,,First lien senior secured loan ($14.9 par due 12/2026),6.76% (LIBOR + 5.75%/Q),12/15/2020,14.9,,,14.9,,(12),,
648,,,First lien senior secured loan ($3.1 par due 12/2026),6.51% (LIBOR + 5.50%/Q),12/10/2021,3.1,,,3.1,,(2)(12),,
649,,,First lien senior secured loan ($0.1 par due 12/2026),6.76% (LIBOR + 5.75%/Q),12/2/2019,0.1,,,0.1,,(2)(12),,
650,,,First lien senior secured loan ($0.1 par due 12/2026),6.76% (LIBOR + 5.75%/Q),12/15/2020,0.1,,,0.1,,(2)(12),,
652,,,,,,1057.2,,,1072.0,,,11.43%,
654,ACAS Equity Holdings Corporation (5),Investment company,Common stock (589 shares),,1/3/2017,0.4,,,0.4,,(6),,
655,ARES 2007-3R,Investment vehicle,Subordinated notes,,1/3/2017,0,,,0,,(6),,
656,"Blue Wolf Capital Fund II, L.P. (4)",Investment partnership,Limited partnership interest (8.50% interest),,1/3/2017,0,,,0.2,,(6)(19),,
657,CoLTs 2005-1 Ltd. (5),Investment vehicle,Preferred shares (360 shares),,1/3/2017,0,,,0,,(6),,
658,CREST Exeter Street Solar 2004-1,Investment vehicle,"Preferred shares (3,500,000 shares)",,1/3/2017,0,,,0,,(6),,
659,European Capital UK SME Debt LP (4),Investment partnership,Limited partnership interest (45% interest),,1/3/2017,18.8,,,28.9,,(6)(17),,
660,"HCI Equity, LLC (5)",Investment company,Member interest (100.00% interest),,4/1/2010,0,,,0,,(6)(19),,
661,"Partnership Capital Growth Investors III, L.P.",Investment partnership,Limited partnership interest (2.50% interest),,10/5/2011,1.8,,,3.6,,(2)(6)(19),,
662,"PCG-Ares Sidecar Investment II, L.P. (4)",Investment partnership,Limited partnership interest (100.00% interest),,10/31/2014,7.0,,,11.1,,(2)(6)(17),,
664,"PCG-Ares Sidecar Investment, L.P. (4)",Investment partnership,Limited partnership interest (100.00% interest),,5/22/2014,4.3,,,1.3,,(6)(17),,
665,"Piper Jaffray Merchant Banking Fund I, L.P.",Investment partnership,Limited partnership interest (2.00% interest),,8/16/2012,0.1,,,0.5,,(6)(19),,
666,"Senior Direct Lending Program, LLC (5)(18)",Co-investment vehicle,Subordinated certificates ($973.8 par due 12/2036),8.96% (LIBOR + 8.00%/Q)(13),7/27/2016,973.8,,,973.8,,(6),,
667,,,Membership interest (87.50% interest),,7/27/2016,0,,,0,,(6),,
669,VSC Investors LLC,Investment company,Membership interest (1.95% interest),,1/24/2008,0.2,,,0.5,,(2)(6)(19),,
670,,,,,,1006.4,,,1020.3,,,10.88%,
672,"Badger Sportswear Acquisition, Inc.",Provider of team uniforms and athletic wear,Second lien senior secured loan ($56.8 par due 03/2024),10.25% (LIBOR + 9.00%/Q),9/6/2016,56.8,,,56.8,,(2)(12),,
673,"Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,Common units (421 units),,4/24/2014,4.2,,,0,,,,
674,Centric Brands LLC and Centric Brands GP LLC (16),"Designer, marketer and distributor of licensed and owned apparel",First lien senior secured revolving loan ($4.4 par due 10/2024),6.50% (LIBOR + 5.50%/Q),5/20/2020,4.4,,,4.4,,(2)(12),,
675,,,First lien senior secured loan ($69.7 par due 10/2025),10.00% PIK (LIBOR + 9.00%/Q),10/29/2018,69.5,,,69.7,,(2)(12),,
676,,,"Membership interests (279,392 interests)",,10/29/2018,2.9,,,11.5,,(2),,
678,"DRS Holdings III, Inc. and DRS Holdings I, Inc. (16)",Footwear and orthopedic foot-care brand,First lien senior secured loan ($27.4 par due 11/2025),6.75% (LIBOR + 5.75%/M),6/1/2021,27.4,,,27.4,,(12),,
679,,,First lien senior secured loan ($29.7 par due 11/2025),6.75% (LIBOR + 5.75%/Q),11/1/2019,29.7,,,29.7,,(12),,
680,,,"Common stock (8,549 shares)",,11/1/2019,8.5,,,12.8,,(2),,
682,"Implus Footcare, LLC",Provider of footwear and other accessories,First lien senior secured loan ($117.2 par due 04/2024),8.76% (LIBOR + 7.75%/Q),6/1/2017,117.2,,,107.8,,(2)(12),,
683,,,First lien senior secured loan ($1.3 par due 04/2024),8.75% (LIBOR + 7.75%/Q),6/30/2016,1.3,,,1.2,,(2)(12),,
684,,,First lien senior secured loan ($5.0 par due 04/2024),8.76% (LIBOR + 7.75%/Q),7/17/2018,5.0,,,4.6,,(2)(12),,
686,Johnnie-O Inc. and Johnnie-O Holdings Inc.,Apparel retailer,First lien senior secured loan ($19.2 par due 03/2027),7.50% (SOFR + 6.50%/Q),3/16/2022,18.2,,,18.2,,(2)(12),,
687,,,"Series A convertible preferred stock (144,211 shares)",,3/16/2022,4.2,,,4.2,,(2),,
688,,,"Warrant to purchase up to 76,491 shares of common stock (expires 3/2032)",,3/16/2022,1.0,,,1.0,,(2),,
690,"Lew's Intermediate Holdings, LLC (16)",Outdoor brand holding company,First lien senior secured revolving loan ($0.9 par due 02/2026),4.22% (SOFR + 4.00%/Q),2/11/2021,0.9,,,0.9,,(2),,
691,,,First lien senior secured revolving loan ($0.4 par due 02/2026),4.33% (SOFR + 4.27%/Q),2/11/2021,0.4,,,0.4,,(2),,
692,,,First lien senior secured loan ($1.0 par due 02/2028),5.75% (SOFR + 5.00%/Q),2/11/2021,1.0,,,1.0,,(2)(12),,
694,"New Era Cap, LLC",Sports apparel manufacturing company,First lien senior secured loan ($28.8 par due 07/2027),6.75% (LIBOR + 6.00%/Q),1/13/2022,28.8,,,28.6,,(2)(12),,
