,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,,,
448,,,First lien senior secured loan ($1.8 par due 10/2023),7.00% (Libor + 6.00%/Q),7/1/2019,1.8,,,1.8,,(2)(13),,,,
450,"WCI-HFG Holdings, LLC",Distributor of repair and replacement parts for commercial kitchen equipment,"Preferred units (1,400,000 units)",,10/20/2015,1.4,,,1.5,,(2),,,,
451,"XIFIN, Inc. and ACP Charger Co-Invest LLC (17)",Revenue cycle management provider to labs,"Common stock (180,000 shares)",,2/6/2020,1.8,,,4.6,,(2),,,,
452,,,,,,1264.2,,,1264.8,,,15.66,%,,
454,"AI Aqua Merger Sub, Inc.",End to end provider of water solutions to a wide range of customer bases,First lien senior secured loan ($1.0 par due 6/2028),4.50% (Libor + 4.00%/Q),6/17/2021,1.0,,,1.0,,(2)(13)(20),,,,
455,"Badger Sportswear Acquisition, Inc.",Provider of team uniforms and athletic wear,Second lien senior secured loan ($56.8 par due 3/2024),11.00% (Libor + 9.75%/Q),9/6/2016,56.8,,,54.0,,(2)(13),,,,
456,"Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,Common units (421 units),,4/24/2014,4.2,,,1.2,,,,,,
457,Centric Brands LLC and Centric Brands GP LLC (17),"Designer, marketer and distributor of licensed and owned apparel",First lien senior secured revolving loan ($3.4 par due 10/2024),6.50% (Libor + 5.50%/Q),5/20/2020,3.4,,,3.4,,(2)(13),,,,
458,,,First lien senior secured loan ($64.6 par due 10/2025),11.00% PIK (Libor + 10.00%/Q),10/29/2018,64.5,,,61.4,,(2)(13),,,,
459,,,"Membership interests (279,392 units)",,10/29/2018,2.9,,,5.7,,(2),,,,
461,"DRS Holdings III, Inc. and DRS Holdings I, Inc. (17)",Footwear and orthopedic foot-care brand,First lien senior secured loan ($77.8 par due 11/2025),7.25% (Libor + 6.25%/Q),6/1/2021,77.8,,,77.0,,(2)(13),,,,
462,,,First lien senior secured loan ($30.0 par due 11/2025),7.25% (Libor + 6.25%/Q),11/1/2019,30.0,,,29.7,,(13),,,,
463,,,"Common stock (8,549 shares)",,11/1/2019,8.5,,,9.7,,(2),,,,
465,"Implus Footcare, LLC",Provider of footwear and other accessories,First lien senior secured loan ($118.1 par due 4/2024),8.75% (Libor + 7.75%/Q),6/1/2017,118.0,,,108.6,,(2)(13),,,,
466,,,First lien senior secured loan ($1.3 par due 4/2024),8.75% (Libor + 7.75%/Q),6/30/2016,1.3,,,1.2,,(2)(13),,,,
468,,,First lien senior secured loan ($5.0 par due 4/2024),8.75% (Libor + 7.75%/Q),7/17/2018,5.0,,,4.6,,(2)(13),,,,
470,"Lew's Intermediate Holdings, LLC (17)",Outdoor brand holding company,First lien senior secured revolving loan ($0.6 par due 2/2026),4.71% (Libor + 4.50%/Q),2/11/2021,0.6,,,0.6,,(2),,,,
471,,,First lien senior secured loan ($1.0 par due 2/2028),5.75% (Libor + 5.00%/Q),2/11/2021,1.0,,,1.0,,(2)(13),,,,
473,"Pelican Products, Inc.",Flashlights manufacturer,Second lien senior secured loan ($27.3 par due 5/2026),8.75% (Libor + 7.75%/Q),5/4/2018,27.2,,,27.3,,(2)(13),,,,
474,"Rawlings Sporting Goods Company, Inc. and Easton Diamond Sports, LLC",Sports equipment manufacturing company,First lien senior secured loan ($93.6 par due 12/2026),8.50% (Libor + 7.50%/Q),12/31/2020,93.6,,,93.6,,(2)(13),,,,
475,"Reef Lifestyle, LLC (17)",Apparel retailer,First lien senior secured revolving loan ($18.4 par due 10/2024),"8.75% (Libor + 5.75% Cash, 2.00% PIK/M)",10/26/2018,18.4,,,16.6,,(2)(13)(16),,,,
476,,,First lien senior secured revolving loan ($0.5 par due 10/2024),"8.75% (Libor + 5.75% Cash, 2.00% PIK/M)",7/31/2020,0.5,,,0.5,,(2)(13),,,,
477,,,First lien senior secured loan ($0.9 par due 10/2024),8.75% (Libor + 7.75%/Q),7/31/2020,0.9,,0.8,(13),,,,,,
478,,,First lien senior secured loan ($25.4 par due 10/2024),"8.75% (Libor + 5.75% Cash, 2.00% PIK/Q)",10/26/2018,25.4,,,22.8,,(13),,,,
480,"S Toys Holdings LLC (fka The Step2 Company, LLC) (5)",Toy manufacturer,"Class B common units (126,278,000 units)",,10/30/2014,0,,,0.3,,,,,,
481,,,"Common units (1,116,879 units)",,4/1/2011,0,,,0,,,,,,
482,,,"Warrant to purchase up to 3,157,895 units",,4/1/2010,0,,,0,,,,,,
484,SHO Holding I Corporation,Manufacturer and distributor of slip resistant footwear,Second lien senior secured loan ($110.6 par due 10/2024),10.29% PIK (Libor + 9.29%/B),10/27/2015,109.8,,,91.8,,(2)(13),,,,
485,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (4)(17)","Developer, marketer and distributor of sports protection equipment and accessories",First lien senior secured revolving loan ($1.7 par due 5/2024),7.75% (Base Rate + 4.00%/M),5/21/2019,1.7,,,1.6,,(2)(13)(16),,,,
486,,,First lien senior secured revolving loan ($0.4 par due 5/2024),6.50% (Libor + 5.50%/M),5/21/2019,0.4,,,0.4,,(2)(13)(16),,,,
487,,,First lien senior secured loan ($19.3 par due 5/2024),6.50% (Libor + 5.50%/Q),5/21/2019,19.2,,,18.5,,(2)(13),,,,
488,,,"Class A preferred units (50,000 units)",,3/14/2014,5.0,,,0,,(2),,,,
489,,,"Class C preferred units (50,000 units)",,4/22/2015,5.0,,,0,,(2),,,,
490,,,"Preferred units (14,591 units)",,5/14/2019,1.6,,,0,,(2),,,,
492,"Singer Sewing Company, SVP-Singer Holdings, LLC and SVP-Singer Holdings LP (5)",Manufacturer of consumer sewing machines,First lien senior secured loan ($234.2 par due 2/2026),10.00% (Libor + 9.00%/Q),11/12/2020,234.2,,,234.2,,(2)(13),,,,
493,,,"Class A common units (6,264,706 units)",,7/26/2017,0,,,109.7,,(2),,,,
495,"Totes Isotoner Corporation and Totes Ultimate Holdco, Inc. (4)","Designer, marketer, and distributor of rain and cold weather products",First lien senior secured loan ($2.2 par due 12/2024),7.00% (Libor + 6.00%/Q),12/23/2019,2.2,,,2.0,,(2)(13),,,,
496,,,First lien senior secured loan ($1.6 par due 6/2024),5.00% (Libor + 4.00%/Q),12/23/2019,1.6,,,1.6,,(2)(13),,,,
497,,,"Common stock (861,000 shares)",,12/23/2019,6.0,,1.3,(2),,,,,,
500,"Varsity Brands Holding Co., Inc. and BCPE Hercules Holdings, LP","Leading manufacturer and distributor of textiles, apparel & luxury goods",Second lien senior secured loan ($21.1 par due 12/2025),9.25% (Libor + 8.25%/M),7/30/2018,21.1,,,19.8,,(2)(13),,,,
501,,,Second lien senior secured loan ($122.7 par due 12/2025),9.25% (Libor + 8.25%/M),12/15/2017,122.7,,,115.4,,(13),,,,
502,,,"Class A units (1,400 units)",,7/30/2018,1.4,,,0.5,,(2),,,,
504,,,,,,1072.9,,,1117.8,,,13.84,%,,
506,DFC Global Facility Borrower III LLC (17),Non-bank provider of alternative financial services,First lien senior secured revolving loan ($149.2 par due 6/2026),8.00% (CDOR + 7.50%/Q),6/10/2021,149.9,,,147.7,,(2)(6)(11)(13),,,,
507,eCapital Finance Corp.,Consolidator of commercial finance businesses,Senior subordinated loan ($7.7 par due 1/2025),10.00% (Libor + 8.50%/M),11/24/2020,7.7,,,7.7,,(2)(13),,,,
508,,,Senior subordinated loan ($36.5 par due 1/2025),9.00% (Libor + 7.50%/M),1/31/2020,36.5,,,36.5,,(2)(13),,,,
509,,,Senior subordinated loan ($43.0 par due 1/2025),10.00% (Libor + 8.50%/M),1/31/2020,43.0,,,43.0,,(2)(13),,,,
511,"EP Wealth Advisors, LLC (17)",Wealth management and financial planning firm,First lien senior secured loan ($0.1 par due 9/2026),6.25% (Libor + 5.25%/Q),9/4/2020,0.1,,,0.1,,(2)(13),,,,
512,"Green Street Parent, LLC and Green Street Intermediate Holdings, LLC (17)",Provider of REIT research data and analytics,First lien senior secured revolving loan ($0.0 par due 8/2025),5.75% (Libor + 5.25%/Q),8/27/2019,0,,,0,,(2)(13),,,,
513,"Ivy Hill Asset Management, L.P. (5)",Asset management services,Senior subordinated loan ($53.0 par due 5/2023),7.25% (Libor + 6.50%/M),2/8/2018,53.0,,,53.0,,(6)(13),,,,
514,,,Member interest (100.00% interest),,6/15/2009,469.0,,,584.9,,(6),,,,
516,"Javlin Three LLC, Javlin Four LLC, and Javlin Five LLC",Asset-backed financial services company,First lien senior secured loan ($15.7 par due 6/2017),,6/24/2014,12.7,,,0.5,,(2)(6)(12),,,,
517,Joyce Lane Capital LLC and Joyce Lane Financing SPV LLC (fka Ciena Capital LLC) (5)(17),Specialty finance company,First lien senior secured loan ($0.6 par due 12/2022),4.15% (Libor + 4.00%/Q),12/27/2018,0.6,,,0.6,,(2)(6),,,,
518,,,Equity interests,,11/29/2010,0,,,0,,(2)(6),,,,
520,"Lido Advisors, LLC (17)",Wealth management and financial planning firm,First lien senior secured loan ($3.0 par due 6/2027),5.50% (Libor + 4.50%/Q),6/15/2021,3.0,,,3.0,,(2)(13),,,,
521,LS DE LLC and LM LSQ Investors LLC,Asset based lender,Senior subordinated loan ($37.0 par due 3/2024),10.50%,6/25/2015,37.0,,,37.0,,(2)(6),,,,
522,,,Senior subordinated loan ($3.0 par due 6/2021),10.50%,6/15/2017,3.0,,,3.0,,(2)(6),,,,
523,,,"Membership units (3,275,000 units)",,6/25/2015,3.3,,,3.6,,(6),,,,
525,Monica Holdco (US) Inc. (17),Investment technology and advisory firm,First lien senior secured revolving loan,,1/8/2021,0,,,0,,(2)(15),,,,
526,,,First lien senior secured loan ($2.6 par due 1/2028),7.25% (Libor + 6.25%/Q),1/8/2021,2.6,,,2.6,,(2)(13),,,,
528,"Priority Holdings, LLC and Priority Technology Holdings, Inc. (17)",Provider of merchant acquiring and payment processing solutions,First lien senior secured loan ($19.8 par due 4/2027),6.75% (Libor + 5.75%/Q),4/27/2021,19.8,,,19.6,,(2)(6)(13),,,,
529,,,"Senior preferred stock (43,842 shares)","13.00% PIK (Libor + 5.00% Cash, 7.00% PIK/Q)",4/27/2021,40.4,,,40.4,,(2)(6)(13),,,,
530,,,"Warrant to purchase up to 527,226 shares of common stock (expires 4/2031)",,4/27/2021,4.0,,,3.9,,(2)(6),,,,
532,"Rialto Management Group, LLC (17)",Investment and asset management platform focused on real estate,First lien senior secured loan ($7.8 par due 12/2024),5.35% (Libor + 5.25%/M),4/30/2021,7.8,,,7.7,,(2)(6),,,,
533,,,First lien senior secured loan ($0.7 par due 12/2024),5.34% (Libor + 5.25%/M),11/30/2018,0.7,,,0.7,,(6),,,,
536,"TA/WEG Holdings, LLC (17)",Wealth management and financial planning firm,First lien senior secured revolving loan ($0.3 par due 10/2025),6.75% (Libor + 5.75%/Q),10/2/2019,0.3,,,0.3,,(2)(13)(16),,,,
537,,,First lien senior secured loan ($2.4 par due 10/2025),6.75% (Libor + 5.75%/Q),11/6/2020,2.4,,,2.4,,(2)(13),,,,
538,,,First lien senior secured loan ($5.5 par due 10/2025),6.75% (Libor + 5.75%/Q),10/2/2019,5.5,,,5.5,,(2)(13),,,,
540,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (17)",Provider of asset-servicing capabilities for fund managers,First lien senior secured revolving loan ($4.0 par due 2/2024),4.65% (Libor + 4.50%/Q),2/1/2019,4.0,,,4.0,,(2),,,,
541,,,First lien senior secured loan ($38.0 par due 2/2026),5.50% (Libor + 4.50%/Q),2/1/2019,38.0,,,38.0,,(13),,,,
542,,,"Class A units (1,443 units)",,9/16/2019,1.6,,,1.7,,,,,,
543,,,Class A units (245 units),,2/1/2019,0.2,,,0,,,,,,
544,,,"Class B units (2,412,618 units)",,2/1/2019,0,,,0,,,,,,
546,,,,,,946.1,,,1047.4,,,12.97,%,,
548,ACAS Equity Holdings Corporation (5),Investment company,Common stock (589 shares),,1/3/2017,0.4,,,0.4,,(6),,,,
549,Ares IIIR/IVR CLO Ltd.,Investment vehicle,Subordinated notes ($20.0 par due 4/2021),,1/3/2017,0,,,0,,(6),,,,
550,"Blue Wolf Capital Fund II, L.P. (4)",Investment partnership,Limited partnership interest (8.50% interest),,1/3/2017,0,,,0.2,,(6)(20),,,,
551,CoLTs 2005-1 Ltd. (5),Investment vehicle,Preferred shares (360 shares),,1/3/2017,0,,,0,,(6),,,,
552,CoLTs 2005-2 Ltd. (5),Investment vehicle,"Preferred shares (34,170,000 shares)",,1/3/2017,0,,,0,,(6),,,,
553,CREST Exeter Street Solar 2004-1,Investment vehicle,"Preferred shares (3,500,000 shares)",,1/3/2017,0,,,0,,(6),,,,
554,European Capital UK SME Debt LP (4),Investment partnership,Limited partnership interest (45% interest),,1/3/2017,18.8,,,26.0,,(6)(18),,,,
555,"HCI Equity, LLC (5)",Investment company,Member interest (100.00% interest),,4/1/2010,0,,,0.1,,(6)(20),,,,
556,"Partnership Capital Growth Investors III, L.P.",Investment partnership,Limited partnership interest (2.50% interest),,10/5/2011,2.8,,,3.5,,(6)(20),,,,
557,"PCG-Ares Sidecar Investment II, L.P. (4)",Investment partnership,Limited partnership interest (100.00% interest),,10/31/2014,7.0,,,10.3,,(2)(6)(18),,,,
558,"PCG-Ares Sidecar Investment, L.P. (4)",Investment partnership,Limited partnership interest (100.00% interest),,5/22/2014,4.7,,,0.5,,(6)(18),,,,
559,"Piper Jaffray Merchant Banking Fund I, L.P.",Investment partnership,Limited partnership interest (2.00% interest),,8/16/2012,0.7,,,0.9,,(6)(20),,,,
560,"Senior Direct Lending Program, LLC (5)(19)",Co-investment vehicle,Subordinated certificates ($960.9 par due 12/2036),8.15% (Libor + 8.00%/Q)(14),7/27/2016,960.9,,960.9,(6),,,,,,
561,,,Member interest (87.50% interest),,7/27/2016,0,,,0,,(6),,,,
563,VSC Investors LLC,Investment company,Membership interest (1.95% interest),,1/24/2008,0.3,,,0.6,,(2)(6)(20),,,,
564,,,,,,995.6,,,1003.4,,,12.42,%,,
566,AB Issuer LLC,"Provider of professional at home services, residential cleaning and elderly residential care services",First lien senior secured loan ($0.0 par due 7/2051),3.73%,5/5/2021,0,,,0,,(2),,,,
567,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc. (5)",Restaurant owner and operator,First lien senior secured loan ($95.4 par due 12/2022),,11/27/2006,39.9,,,0,,(2)(12),,,,
568,,,First lien senior secured loan ($6.8 par due 12/2019),,12/22/2016,4.5,,,0,,(2)(12),,,,
569,,,Promissory note ($31.8 par due 12/2023),,11/27/2006,13.8,,,0,,(2),,,,
571,,,Warrant to purchase up to 0.95 units of Series D common stock (expires 12/2023),,12/18/2013,0,,,0,,(2),,,,
573,"Aimbridge Acquisition Co., Inc.",Hotel operator,Second lien senior secured loan ($22.5 par due 2/2027),7.59% (Libor + 7.50%/M),2/1/2019,22.2,,,20.7,,(2),,,,
574,American Residential Services L.L.C. and Aragorn Parent Holdings LP (17),"Heating, ventilation and air conditioning services provider",Second lien senior secured loan ($56.4 par due 10/2028),9.50% (Libor + 8.50%/Q),10/15/2020,56.4,,,56.4,,(2)(13),,,,
575,,,"Series A preferred units (2,531,500 units)",10.00% PIK,10/15/2020,2.6,,,3.0,,(2),,,,
577,"ATI Restoration, LLC (17)",Provider of disaster recovery services,First lien senior secured revolving loan ($2.5 par due 7/2026),7.75% (Base Rate + 4.50%/Q),7/31/2020,2.5,,,2.5,,(13),,,,
578,,,First lien senior secured revolving loan,,7/31/2020,0,,,0,,(2)(15),,,,
579,,,First lien senior secured loan ($33.5 par due 7/2026),6.50% (Libor + 5.50%/Q),7/31/2020,33.5,,,33.5,,(13),,,,
581,"Belfor Holdings, Inc. (17)",Disaster recovery services provider,First lien senior secured revolving loan ($5.0 par due 4/2024),5.50% (Base Rate + 2.25%/Q),4/4/2019,5.0,,,5.0,,(2)(16),,,,
582,"ChargePoint Holdings, Inc.",Developer and operator of electric vehicle charging stations,"Common stock (53,266 shares)",,3/12/2021,0,,,1.7,,(2),,,,
583,,,"Warrant to purchase up to 806,374 shares of common stock (expires 12/2024)",,3/1/2021,0.3,,,23.8,,(2),,,,
585,"Cipriani USA, Inc. and Cipriani Group Holding S.A.R.L. (17)","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",First lien senior secured loan ($3.0 par due 5/2023),11.75% (Libor + 10.75%/Q),11/5/2018,3.0,,,2.7,,(2)(13),,,,
586,,,First lien senior secured loan ($21.4 par due 5/2023),11.75% (Libor + 10.75%/Q),12/22/2020,19.8,,,18.9,,(2)(13),,,,
587,,,First lien senior secured loan ($68.2 par due 5/2023),11.75% (Libor + 10.75%/Q),5/30/2018,67.1,,,60.0,,(2)(13),,,,
588,,,First lien senior secured loan ($12.2 par due 5/2023),11.75% (Libor + 10.75%/Q),11/5/2018,12.2,,,10.7,,(2)(13),,,,
589,,,First lien senior secured loan ($15.0 par due 5/2023),11.75% (Libor + 10.75%/Q),7/3/2019,14.8,,,13.2,,(2)(13),,,,
590,,,First lien senior secured loan ($20.0 par due 5/2023),11.75% (Libor + 10.75%/Q),12/27/2019,18.6,,,17.6,,(2)(13),,,,
591,,,First lien senior secured loan ($3.0 par due 5/2023),11.75% (Libor + 10.75%/Q),8/20/2018,3.0,,,2.7,,(2)(13),,,,
592,,,First lien senior secured loan ($4.9 par due 5/2023),11.75% (Libor + 10.75%/Q),6/30/2020,4.9,,,4.3,,(2)(13),,,,
593,,,Warrant to purchase up to 718.66 shares (expires 3/2041),,3/21/2021,2.1,,,1.2,,(2)(6),,,,
595,Essential Services Holding Corporation and OMERS Mahomes Investment Holdings LLC (17),Provider of plumbing and HVAC services,First lien senior secured loan ($175.8 par due 11/2026),6.75% (Libor + 5.75%/Q),11/16/2020,175.8,,,175.8,,(2)(13),,,,
596,,,First lien senior secured loan ($20.4 par due 11/2026),6.75% (Libor + 5.75%/Q),4/2/2021,20.4,,,20.4,,(2)(13),,,,
597,,,"Class A units (5,803.43 units)",,11/16/2020,19.6,,,23.8,,(2),,,,
599,FWR Holding Corporation (17),"Restaurant owner, operator, and franchisor",First lien senior secured revolving loan,,8/21/2017,0,,,0,,(2)(15),,,,
600,,,First lien senior secured loan ($4.5 par due 8/2023),"6.50% (Libor + 4.00% Cash, 1.50% PIK/Q)",8/21/2017,4.5,,,4.3,,(2)(13),,,,
601,,,First lien senior secured loan ($2.5 par due 8/2023),"6.50% (Libor + 4.00% Cash, 1.50% PIK/Q)",2/28/2019,2.5,,,2.4,,(2)(13),,,,
603,,,First lien senior secured loan ($1.7 par due 8/2023),"6.50% (Libor + 4.00% Cash, 1.50% PIK/Q)",12/20/2019,1.7,,,1.7,,(2)(13),,,,
605,Garden Fresh Restaurant Corp. and GFRC Holdings LLC (17),Restaurant owner and operator,First lien senior secured revolving loan ($7.3 par due 2/2022),,2/1/2017,6.3,,,0,,(2)(12),,,,
606,,,First lien senior secured loan ($20.9 par due 2/2022),,2/1/2017,17.9,,,0,,(2)(12),,,,
608,"Jenny C Acquisition, Inc.",Health club franchisor,Senior subordinated loan ($1.4 par due 4/2025),8.00% PIK,4/5/2019,1.4,,,1.4,,(2),,,,
609,"Jim N Nicks Management, LLC (17)",Restaurant owner and operator,First lien senior secured revolving loan ($3.4 par due 7/2023),6.25% (Libor + 5.25%/Q),7/10/2017,3.4,,,3.3,,(2)(13),,,,
610,,,First lien senior secured loan ($13.7 par due 7/2023),6.25% (Libor + 5.25%/Q),7/10/2017,13.7,,,13.3,,(13),,,,
611,,,First lien senior secured loan ($1.1 par due 7/2023),6.25% (Libor + 5.25%/Q),7/10/2017,1.1,,,1.1,,(2)(13),,,,
613,"KeyStone Sub-debt HoldCo, LLC",Planet Fitness franchisee,Senior subordinated loan ($51.6 par due 1/2027),10.00% PIK,1/20/2021,48.3,,,47.8,,(2),,,,
614,,,Warrant to purchase up to 24.7581 Class C interests (expires 1/2027),,1/20/2021,3.6,,,3.3,,(2),,,,
616,ME Equity LLC,Franchisor in the massage industry,"Common stock (3,000,000 shares)",,9/27/2012,3.0,,,1.3,,(2),,,,
617,Movati Athletic (Group) Inc.,Premier health club operator,First lien senior secured loan ($5.3 par due 10/2024),"7.50% (CDOR + 5.50% Cash, 0.50% PIK/Q)",10/5/2017,5.0,,,4.6,,(2)(6)(13),,,,
618,"OTG Management, LLC (17)",Airport restaurant operator,First lien senior secured revolving loan ($10.2 par due 8/2021),"10.00% (Libor + 7.00% Cash, 2.00% PIK/B)",8/26/2016,10.2,,,9.7,,(2)(13),,,,
619,,,First lien senior secured loan ($16.2 par due 8/2021),"10.00% (Libor + 7.00% Cash, 2.00% PIK/B)",10/7/2020,16.2,,,15.4,,(2)(13),,,,
620,,,First lien senior secured loan ($5.4 par due 8/2021),"10.00% (Libor + 7.00% Cash, 2.00% PIK/Q)",10/7/2020,5.4,,,5.1,,(2)(13),,,,
621,,,First lien senior secured loan ($23.9 par due 8/2021),"10.00% (Libor + 7.00% Cash, 2.00% PIK/B)",8/26/2016,23.9,,,22.7,,(2)(13),,,,
622,,,First lien senior secured loan ($99.0 par due 8/2021),"10.00% (Libor + 7.00% Cash, 2.00% PIK/B)",8/26/2016,99.0,,,94.1,,(13),,,,
623,,,First lien senior secured loan ($9.8 par due 8/2021),"10.00% (Libor + 7.00% Cash, 2.00% PIK/B)",10/10/2018,9.8,,,9.3,,(2)(13),,,,
624,,,Senior subordinated loan ($41.2 par due 2/2022),,8/26/2016,36.1,,,36.2,,(2)(12),,,,
625,,,"Class A preferred units (3,000,000 units)",,8/26/2016,38.3,,,14.6,,,,,,
626,,,"Common units (3,000,000 units)",,1/5/2011,3.0,,,0,,,,,,
627,,,Warrant to purchase up to 7.73% of common units,,6/19/2008,0.1,,,0,,,,,,
629,"Portillo's Holdings, LLC",Fast casual restaurant brand,Second lien senior secured loan ($34.0 par due 12/2024),10.75% (Libor + 9.50%/Q),11/27/2019,33.3,,,34.0,,(2)(13),,,,
630,"Pyramid Management Advisors, LLC and Pyramid Investors, LLC (17)",Hotel operator,First lien senior secured revolving loan ($9.5 par due 7/2023),"8.00% (Libor + 5.75% Cash, 1.25% PIK/Q)",4/12/2018,9.5,,,8.6,,(2)(13)(16),,,,
632,,,First lien senior secured loan ($18.2 par due 7/2023),"8.00% (Libor + 5.75% Cash, 1.25% PIK/Q)",4/12/2018,18.2,,,16.4,,(13),,,,
633,,,First lien senior secured loan ($6.3 par due 7/2023),"8.00% (Libor + 5.75% Cash, 1.25% PIK/Q)",12/27/2019,6.3,,,5.7,,(2)(13),,,,
634,,,"Preferred membership units (996,833 units)",,7/15/2016,1.0,,,0.2,,,,,,
636,"Redwood Services, LLC and Redwood Services Holdco, LLC (17)",Provider of residential HVAC and plumbing services,First lien senior secured loan ($6.2 par due 12/2025),8.00% (Libor + 7.00%/Q),12/31/2020,6.2,,,6.2,,(2)(13),,,,
637,,,"Series D units (5,291,723 units)",8.00% PIK,12/31/2020,5.3,,,7.7,,,,,,
639,"Safe Home Security, Inc., Security Systems Inc., Safe Home Monitoring, Inc., National Protective Services, Inc., Bright Integrations LLC and Medguard Alert, Inc. (17)",Provider of safety systems for business and residential customers,First lien senior secured loan ($45.0 par due 8/2024),8.25% (Libor + 7.25%/M),8/4/2020,45.0,,,45.0,,(2)(13),,,,
640,SERV 2020-1,Provider of restoration and cleaning services to commercial and residential customers,First lien senior secured loan ($0.0 par due 1/2051),3.34%,12/9/2020,0,,,0,,(2),,,,
641,"Spectra Finance, LLC (17)",Venue management and food and beverage provider,First lien senior secured revolving loan ($15.3 par due 4/2023),"6.75% (Libor + 5.00% Cash, 0.75% PIK/M)",4/2/2018,15.3,,,13.7,,(2)(13)(16),,,,
642,,,First lien senior secured loan ($3.2 par due 4/2024),"6.75% (Libor + 5.00% Cash, 0.75% PIK/Q)",4/2/2018,3.2,,,2.9,,(2)(13),,,,
644,"Taymax Group, L.P., Taymax Group G.P., LLC, PF Salem Canada ULC and TCP Fit Parent, L.P. (17)",Planet Fitness franchisee,First lien senior secured revolving loan ($0.2 par due 7/2024),5.75% (Libor + 4.75%/Q),7/31/2018,0.2,,,0.2,,(2)(13),,,,
645,,,First lien senior secured revolving loan ($0.8 par due 7/2024),6.75% (Libor + 5.75%/Q),7/31/2018,0.8,,,0.7,,(2)(13),,,,
646,,,First lien senior secured loan ($1.0 par due 7/2025),6.75% (Libor + 5.75%/Q),3/5/2020,1.0,,,0.9,,(2)(13),,,,
647,,,"Class A units (37,020 units)",,7/31/2018,3.8,,0.7,,,,,,,
649,"The Alaska Club Partners, LLC, Athletic Club Partners LLC and The Alaska Club, Inc. (17)",Premier health club operator,First lien senior secured loan ($15.5 par due 12/2024),"10.25% (Base rate + 5.00% Cash, 2.00% PIK/Q)",12/16/2019,15.5,,,14.1,,(2)(13),,,,
650,,,,,,1061.0,,,946.5,,,11.72,%,,
652,"Ferrellgas, L.P.",Distributor of propane and related accessories,"Senior preferred units (55,708 units)",8.96%,3/30/2021,55.7,,,55.2,,,,,,
653,"Green Energy Partners, Stonewall LLC and Panda Stonewall Intermediate Holdings II LLC",Gas turbine power generation facilities operator,First lien senior secured loan ($39.1 par due 11/2021),6.50% (Libor + 5.50%/Q),2/8/2021,37.5,,,36.7,,(2)(13),,,,
654,,,First lien senior secured loan ($33.7 par due 11/2021),6.50% (Libor + 5.50%/Q),11/13/2014,32.8,,,31.7,,(2)(13),,,,
655,,,Senior subordinated loan ($147.3 par due 12/2021),,11/13/2014,132.3,,,83.9,,(2)(12),,,,
657,"Heelstone Renewable Energy, LLC (5)(17)","Provider of cloud based IT solutions, infrastructure and services",First lien senior secured loan ($25.8 par due 4/2024),8.00% (Libor + 7.00%/Q),4/14/2021,25.8,,,25.8,,(2)(13),,,,
658,,,Class A1 units (100 units),,4/14/2021,22.2,,,45.6,,,,,,
660,Hummel Station LLC,Gas turbine power generation facilities operator,First lien senior secured loan ($0.9 par due 10/2022),7.00% (Libor + 6.00%/M),12/10/2020,0.9,,,0.9,,(2)(13)(20),,,,
662,Navisun LLC and Navisun Holdings LLC (5)(17),Owner and operater of commercial and industrial solar projects,First lien senior secured loan ($53.4 par due 11/2023),8.00% PIK,11/15/2017,53.4,,,53.4,,(2),,,,
663,,,First lien senior secured loan ($14.9 par due 11/2023),9.00% PIK,3/7/2019,14.9,,,14.9,,(2),,,,
664,,,First lien senior secured loan ($39.8 par due 11/2023),"5.00% Cash, 3.00% PIK",8/15/2019,39.8,,,39.8,,(2),,,,
665,,,"Series A preferred units (1,000 units)",10.50% PIK,11/15/2017,13.3,,,14.9,,,,,,
666,,,Class A units (550 units),,11/15/2017,0,,,4.6,,,,,,
668,Opal Fuels LLC,Owner of natural gas facilities,Senior subordinated loan ($50.0 par due 12/2026),8.00%,5/1/2021,40.4,,,40.2,,,,,,
669,"Panda Temple Power, LLC and T1 Power Holdings LLC (4)",Gas turbine power generation facilities operator,"Class A common units (616,122 shares)",,3/6/2015,15.0,,,23.7,,,,,,
670,PERC Holdings 1 LLC,"Operator of recycled energy, combined heat and power, and energy efficiency facilities","Class B common units (21,653,543 units)",,10/20/2014,0.4,,,11.5,,(2),,,,
671,"PosiGen Backleverage, LLC and PosiGen, Inc. (17)",Seller and leaser of solar power systems for residential and commercial customers,First lien senior secured loan ($43.6 par due 3/2023),9.00% (Libor + 7.00%/Q),9/29/2020,42.8,,,43.6,,(2)(13),,,,
672,,,First lien senior secured loan ($7.7 par due 3/2023),9.00% (Libor + 7.00%/Q),9/29/2020,7.7,,,7.7,,(2)(13),,,,
673,,,First lien senior secured loan ($1.1 par due 3/2023),9.00% (Libor + 7.00%/Q),6/10/2021,1.1,,,1.1,,(2)(13),,,,
674,,,"Warrant to purchase up to 101,555 shares of series D-1 preferred stock (expires 6/2028)",,6/10/2021,0,,,0,,(2),,,,
