,Company(1),Business Description,Investment,Interest(5)(9),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,
460,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (19)",Franchisor of private-pay home care for the elderly,First lien senior secured loan ($15.9 par due 4/2024),7.85% (Libor + 5.75%/Q),4/2/2018,15.9,,,15.9,,(2)(15),
461,,,Common units (550 units),,4/2/2018,0.6,,,0.7,,,
463,"Teligent, Inc. (19)","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($20.0 par due 6/2024),"10.85% (Libor + 7.75% Cash, 1.00% PIK/Q)",12/13/2018,20.0,,,18.0,,(2)(15),
464,,,Second lien senior secured loan ($49.5 par due 6/2024),"10.88% (Libor + 7.75% Cash, 1.00% PIK/Q)",12/13/2018,49.5,,,44.6,,(2)(15),
466,TerSera Therapeutics LLC,Acquirer and developer of specialty therapeutic pharmaceutical products,First lien senior secured loan ($2.1 par due 3/2023),7.58% (Libor + 5.25%/Q),9/27/2018,2.1,,,2.1,,(2)(15),
467,,,First lien senior secured loan ($5.2 par due 3/2023),7.58% (Libor + 5.25%/Q),5/3/2017,5.1,,,5.2,,(4)(15),
468,,,First lien senior secured loan ($1.8 par due 3/2023),7.35% (Libor + 5.25%/Q),4/1/2019,1.8,,,1.8,,(2)(15),
470,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,Second lien senior secured loan ($71.8 par due 6/2025),9.29% (Libor + 7.25%/M),6/16/2017,71.0,,,71.8,,(2)(15),
471,"United Digestive MSO Parent, LLC (19)",Gastroenterology physician group,First lien senior secured loan ($12.5 par due 12/2024),6.76% (Libor + 4.50%/Q),12/14/2018,12.5,,,12.5,,(2)(15),
472,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",Operator of urgent care clinics,"Preferred units (7,696,613 units)",,6/11/2015,7.7,,,0,,,
473,,,"Series A common units (2,000,000 units)",,6/11/2015,2.0,,,0,,,
474,,,"Series C common units (5,288,427 units)",,6/11/2015,0,,,0,,,
476,"Urology Management Associates, LLC and JWC/UMA Holdings, L.P.",Urology private practice,First lien senior secured loan ($9.8 par due 8/2024),7.04% (Libor + 5.00%/M),8/31/2018,9.6,,,9.8,,(2)(15),
477,,,Limited partnership interests (3.64% interest),,8/31/2018,4.8,,,5.6,,(2),
479,Verscend Holding Corp. (19),Healthcare analytics solutions provider,First lien senior secured loan ($46.8 par due 8/2025),6.54% (Libor + 4.50%/M),8/27/2018,46.5,,,47.0,,(2)(22),
480,Vertice Pharma UK Parent Limited (8),Manufacturer and distributor of generic pharmaceutical products,"Preferred shares (40,662 shares)",8.00% PIK,12/21/2015,0.3,,,0.5,,,
481,"WebPT, Inc. (19)",Electronic medical record software provider,First lien senior secured loan ($76.5 par due 8/2024),8.89% (Libor + 6.75%/Q),8/28/2019,76.5,,,75.8,,(2)(15),
482,"West Dermatology, LLC (19)",Dermatology practice platform,First lien senior secured revolving loan ($0.6 par due 4/2022),7.88% (Libor + 5.75%/Q),2/8/2018,0.6,,,0.6,,(2)(15),
483,,,First lien senior secured revolving loan ($0.4 par due 4/2022),7.86% (Libor + 5.75%/Q),2/8/2018,0.4,,,0.4,,(2)(15),
484,,,First lien senior secured loan ($1.3 par due 4/2023),7.88% (Libor + 5.75%/Q),9/5/2018,1.3,,,1.3,,(2)(15),
485,,,First lien senior secured loan ($0.2 par due 4/2023),7.88% (Libor + 5.75%/Q),9/5/2018,0.2,,,0.2,,(2)(15),
487,,,First lien senior secured loan ($11.0 par due 4/2023),7.86% (Libor + 5.75%/Q),9/5/2018,11.0,,,11.0,,(2)(15),
488,,,First lien senior secured loan ($1.8 par due 4/2023),7.87% (Libor + 5.75%/Q),6/28/2019,1.8,,,1.8,,(2)(15),
489,,,First lien senior secured loan ($2.8 par due 4/2023),7.86% (Libor + 5.75%/Q),6/28/2019,2.8,,,2.8,,(2)(15),
490,,,First lien senior secured loan ($7.5 par due 4/2023),7.86% (Libor + 5.75%/Q),4/2/2018,7.5,,,7.5,,(2)(15),
492,"WIRB - Copernicus Group, Inc. (19)","Provider of regulatory, ethical, and safety review services for clinical research involving human subjects",First lien senior secured revolving loan,,2/8/2018,0,,,0,,(2)(17),
493,WSHP FC Acquisition LLC (19),Provider of biospecimen products for pharma research,First lien senior secured revolving loan ($0.8 par due 3/2024),8.35% (Libor + 6.25%/Q),3/30/2018,0.8,,,0.8,,(2)(15),
494,,,First lien senior secured revolving loan ($1.4 par due 3/2024),8.31% (Libor + 6.25%/Q),3/30/2018,1.4,,,1.4,,(2)(15),
495,,,First lien senior secured loan ($5.9 par due 3/2024),8.35% (Libor + 6.25%/Q),3/30/2018,5.9,,,5.9,,(2)(15),
496,,,First lien senior secured loan ($5.9 par due 3/2024),8.35% (Libor + 6.25%/Q),2/11/2019,5.9,,,5.9,,(2)(15),
497,,,First lien senior secured loan ($4.6 par due 3/2024),8.35% (Libor + 6.25%/Q),2/11/2019,4.6,,,4.6,,(2)(15),
498,,,First lien senior secured loan ($8.7 par due 3/2024),8.35% (Libor + 6.25%/Q),8/30/2019,8.7,,,8.7,,(2)(15),
499,,,First lien senior secured loan ($28.2 par due 3/2024),8.35% (Libor + 6.25%/Q),3/30/2018,28.2,,,28.2,,(3)(15),
501,,,,,,2964.1,,,2854.5,,,38.72%
503,ACAS Equity Holdings Corporation (7)(8),Investment company,Common stock (589 shares),,1/3/2017,0.4,,,0,,,
504,Ares IIIR/IVR CLO Ltd. (8),Investment vehicle,Subordinated notes ($20.0 par due 4/2021),,1/3/2017,0,,,0.1,,,
505,"Blue Wolf Capital Fund II, L.P. (6)(8)",Investment partnership,Limited partnership interest (8.50% interest),,1/3/2017,1.6,,,2.6,,(22),
506,Carlyle Global Market Strategies CLO 2015-3 (8),Investment vehicle,Subordinated notes ($24.6 par due 7/2028),13.7%,1/3/2017,13.1,,,10.6,,,
507,CoLTs 2005-1 Ltd. (7)(8),Investment vehicle,Preferred shares (360 shares),,1/3/2017,0,,,0,,,
508,CoLTs 2005-2 Ltd. (7)(8),Investment vehicle,"Preferred shares (34,170,000 shares)",,1/3/2017,0,,,0,,,
509,CREST Exeter Street Solar 2004-1 (8),Investment vehicle,"Preferred shares (3,500,000 shares)",,1/3/2017,0,,,0,,,
510,Eaton Vance CDO X plc (8),Investment vehicle,Subordinated notes ($9.2 par due 2/2027),,1/3/2017,0,,,0.1,,,
511,European Capital UK SME Debt LP (6)(8)(20),Investment partnership,Limited partnership interest (45% interest),,1/3/2017,39.4,,,37.6,,,
512,"HCI Equity, LLC (7)(8)",Investment company,Member interest (100.00% interest),,4/1/2010,0,,,0.1,,(22),
513,Herbert Park B.V. (8),Investment vehicle,Subordinated notes ($5.8 par due 10/2026),,1/3/2017,0.9,,,0,,,
514,OHA Credit Partners XI (8),Investment vehicle,Subordinated notes ($17.8 par due 1/2032),13.00%,1/3/2017,12.9,,,13.8,,,
515,"Partnership Capital Growth Investors III, L.P. (8)(20)",Investment partnership,Limited partnership interest (2.50% interest),,10/5/2011,2.4,,,5.2,,(2)(22),
516,"PCG-Ares Sidecar Investment II, L.P. (6)(8)(20)",Investment partnership,Limited partnership interest (100.00% interest),,10/31/2014,6.8,,,17.2,,(2),
517,"PCG-Ares Sidecar Investment, L.P. (6)(8)(20)",Investment partnership,Limited partnership interest (100.00% interest),,5/22/2014,4.6,,,4.6,,(2),
519,"Piper Jaffray Merchant Banking Fund I, L.P. (8)(20)",Investment partnership,Limited partnership interest (2.00% interest),,8/16/2012,1.1,,,1.3,,(22),
520,"Senior Direct Lending Program, LLC (7)(8)(21)",Co-investment vehicle,Subordinated certificates ($817.4 par due 12/2036),10.09% (Libor + 8.00%/Q)(16),7/27/2016,817.4,,,817.4,,,
521,,,Member interest (87.50% interest),,7/27/2016,0,,,0,,,
523,"Vitesse CLO, Ltd. (8)",Investment vehicle,"Preferred shares (20,000,000 shares)",,1/3/2017,0,,,0,,,
524,Voya CLO 2014-4 Ltd. (8),Investment vehicle,Subordinated notes ($26.7 par due 7/2031),15.10%,1/3/2017,13.6,,,11.7,,,
525,VSC Investors LLC (8),Investment company,Membership interest (1.95% interest),,1/24/2008,0.3,,,0.9,,(2)(22),
526,,,,,,914.5,,,923.2,,,12.52%
528,"Badger Sportswear Acquisition, Inc.",Provider of team uniforms and athletic wear,Second lien senior secured loan ($56.8 par due 3/2024),11.04% (Libor + 9.00%/M),9/6/2016,56.7,,,52.8,,(2)(15),
529,"BRG Sports, Inc.","Designer, manufacturer and licensor of branded sporting goods","Preferred stock (2,009 shares)",,1/3/2017,0,,,0.3,,,
530,,,"Common stock (6,566,655 shares)",,1/3/2017,0,,,0,,,
532,"CB Trestles OpCo, LLC (19)",Apparel retailer,First lien senior secured revolving loan ($2.4 par due 10/2024),7.79% (Libor + 5.75%/M),10/26/2018,2.4,,,2.3,,(2)(15),
533,,,First lien senior secured loan ($26.3 par due 10/2024),7.79% (Libor + 5.75%/M),10/26/2018,26.3,,,25.6,,(3)(15),
535,Centric Brands Inc. (fka Differential Brands Group Inc.) (8)(19),"Designer, marketer and distributor of licensed and owned apparel",First lien senior secured loan ($58.2 par due 10/2023),8.26% (Libor + 6.00%/Q),10/29/2018,58.2,,,57.0,,(3)(15),
536,,,"Common stock (3,077,875 shares)",,10/29/2018,24.6,,,15.8,,,
538,Consumer Health Parent LLC,Developer and marketer of over-the-counter cold remedy products,"Preferred units (1,072 units)",,12/15/2017,1.1,,,0.5,,(2),
539,,,"Series A units (1,072 units)",,12/15/2017,0,,,0,,(2),
541,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,Common units (421 units),,4/24/2014,4.2,,,0,,(2),
542,"Implus Footcare, LLC",Provider of footwear and other accessories,First lien senior secured loan ($14.1 par due 4/2024),8.35% (Libor + 6.25%/Q),6/1/2017,14.1,,,14.0,,(2)(15),
543,,,First lien senior secured loan ($5.0 par due 4/2024),8.35% (Libor + 6.25%/Q),7/17/2018,5.0,,,4.9,,(2)(15),
544,,,First lien senior secured loan ($72.4 par due 4/2024),8.35% (Libor + 6.25%/Q),6/1/2017,72.3,,,71.6,,(15),
545,,,First lien senior secured loan ($30.5 par due 4/2024),8.35% (Libor + 6.25%/Q),6/1/2017,30.5,,,30.2,,(4)(15),
546,,,First lien senior secured loan ($1.3 par due 4/2024),8.41% (Libor + 6.25%/Q),6/30/2016,1.3,,,1.3,,(2)(15),
548,Indra Holdings Corp.,"Designer, marketer, and distributor of rain and cold weather products",First lien senior secured loan ($10.0 par due 5/2021),,1/22/2018,7.1,,,3.2,,(2)(14),
549,,,Second lien senior secured loan ($80.0 par due 11/2021),,5/1/2014,63.3,,,0,,(2)(14),
552,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",Provider of branded lawn and garden products,Second lien senior secured loan ($56.0 par due 6/2021),9.51% (Libor + 7.25%/Q),12/23/2014,55.9,,,56.0,,(3)(15),
553,,,Second lien senior secured loan ($10.0 par due 6/2021),9.51% (Libor + 7.25%/Q),12/23/2014,10.0,,,10.0,,(4)(15),
554,,,"Common stock (30,000 shares)",,12/23/2014,3.0,,,6.4,,(2),
556,"Rug Doctor, LLC and RD Holdco Inc. (7)",Manufacturer and marketer of carpet cleaning machines,Second lien senior secured loan ($16.9 par due 5/2023),11.77% (Libor + 9.75%/M),1/3/2017,16.9,,,16.9,,(2)(15),
557,,,"Common stock (458,596 shares)",,1/3/2017,14.0,,,7.0,,,
558,,,"Warrant to purchase up to 56,372 shares of common stock (expires 12/2023)",,1/3/2017,0,,,0,,,
560,"S Toys Holdings LLC (fka The Step2 Company, LLC) (7)",Toy manufacturer,"Common units (1,116,879 units)",,4/1/2011,0,,,0,,,
561,,,"Class B common units (126,278,000 units)",,10/30/2014,0,,,0.3,,(2),
562,,,"Warrant to purchase up to 3,157,895 units",,4/1/2010,0,,,0,,,
564,SHO Holding I Corporation,Manufacturer and distributor of slip resistant footwear,Second lien senior secured loan ($100.0 par due 4/2023),10.76% (Libor + 8.50%/Q),10/27/2015,98.8,,,90.0,,(2)(15),
565,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (6)(19)","Developer, marketer and distributor of sports protection equipment and accessories",First lien senior secured revolving loan ($0.4 par due 5/2024),6.79% (Libor + 4.75%/M),5/21/2019,0.4,,,0.4,,(2)(15),
566,,,First lien senior secured revolving loan ($1.3 par due 5/2024),8.50% (Base Rate + 3.50%/M),5/21/2019,1.3,,,1.3,,(2)(15),
567,,,First lien senior secured loan ($19.6 par due 5/2024),6.85% (Libor + 4.75%/Q),5/21/2019,19.6,,,19.6,,(2)(15),
568,,,"Class A preferred units (50,000 units)",,3/14/2014,5.0,,,0.6,,(2),
569,,,"Class C preferred units (50,000 units)",,4/22/2015,5.0,,,0.6,,(2),
570,,,"Preferred units (14,591 units)",13.00% PIK,5/14/2019,1.5,,,1.5,,(2),
572,"Singer Sewing Company, SVP-Singer Holdings, LLC and SVP-Singer Holdings LP (7)(19)",Manufacturer of consumer sewing machines,First lien senior secured revolving loan ($1.0 par due 3/2023),11.21% (Libor + 9.00%/Q),7/26/2017,1.0,,,1.0,,(2)(15)(18),
573,,,First lien senior secured revolving loan ($0.5 par due 3/2023),11.15% (Libor + 9.00%/Q),7/26/2017,0.5,,,0.5,,(2)(15)(18),
574,,,First lien senior secured revolving loan ($78.4 par due 3/2023),11.32% (Libor + 9.00%/Q),7/26/2017,78.4,,,78.4,,(2)(15)(18),
575,,,First lien senior secured revolving loan ($3.0 par due 3/2023),13.00% (Base Rate + 8.00%/Q),7/26/2017,3.0,,,3.0,,(2)(15)(18),
576,,,First lien senior secured loan ($190.2 par due 3/2023),5.00% (Libor + 2.91%/Q),7/26/2017,174.6,,,150.9,,(2)(15),
577,,,"Class A common units (6,500,000 units)",,7/26/2017,0,,,0,,(2),
579,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P. (19)","Manufacturer of consumable products in the dental, medical, cosmetic and CPG/industrial end-markets",First lien senior secured loan ($25.5 par due 11/2025),6.86% (Libor + 4.75%/M),11/15/2018,25.5,,,25.3,,(2),
580,,,"Class A preferred units (2,149 units)",8.00% PIK,11/15/2018,2.3,,,2.2,,(2),
583,"Varsity Brands Holding Co., Inc. and BCPE Hercules Holdings, LP","Leading manufacturer and distributor of textiles, apparel & luxury goods",Second lien senior secured loan ($21.1 par due 12/2025),10.29% (Libor + 8.25%/M),7/30/2018,21.1,,,21.1,,(2)(15),
584,,,Second lien senior secured loan ($47.7 par due 12/2025),10.29% (Libor + 8.25%/M),12/15/2017,47.7,,,47.7,,(15),
585,,,Second lien senior secured loan ($75.0 par due 12/2025),10.29% (Libor + 8.25%/M),12/15/2017,75.0,,,75.0,,(3)(15),
586,,,"Class A units (1,400 units)",,7/30/2018,1.4,,,1.2,,(2),
588,"Woodstream Group, Inc. and Woodstream Corporation (19)",Manufacturer of natural solution pest and animal control products,First lien senior secured loan ($11.8 par due 5/2022),8.16% (Libor + 6.00%/Q),6/21/2017,11.8,,,11.8,,(4)(15),
589,,,,,,1040.8,,,908.2,,,12.32%
591,Amynta Agency Borrower Inc. and Amynta Warranty Borrower Inc.,Insurance service provider,First lien senior secured loan ($5.4 par due 2/2025),6.54% (Libor + 4.50%/M),12/21/2018,5.4,,,5.2,,(2),
592,,,First lien senior secured loan ($8.1 par due 2/2025),6.54% (Libor + 4.50%/M),12/21/2018,8.1,,,7.9,,(2),
594,"Commercial Credit Group, Inc.",Commercial equipment finance and leasing company,Senior subordinated loan ($23.8 par due 8/2022),11.85% (Libor + 9.75%/M),5/10/2012,23.8,,,23.8,,(2)(15),
595,DFC Global Facility Borrower III LLC (8)(19),Non-bank provider of alternative financial services,First lien senior secured revolving loan ($112.5 par due 9/2024),12.86% (Libor + 10.75%/M),8/9/2019,112.5,,,111.7,,(2)(15),
596,"Financial Asset Management Systems, Inc. and FAMS Holdings, Inc. (6)",Debt collection services provider,Common stock (180 shares),,1/11/2017,0,,,0,,(2),
597,"Gordian Group, LLC","Provider of products, services and software to organizations pursuing efficient and effective procurement and information solutions",Common stock (526 shares),,11/30/2012,0,,,0,,(2),
598,"Green Street Parent, LLC and Green Street Intermediate Holdings, LLC (19)",Provider of REIT research data and analytics,First lien senior secured loan ($3.5 par due 8/2026),7.29% (Libor + 5.25%/M),8/27/2019,3.5,,,3.5,,(2),
599,"Ivy Hill Asset Management, L.P. (7)(8)",Asset management services,Member interest (100.00% interest),,6/15/2009,444.0,,,504.6,,,
600,"Javlin Three LLC, Javlin Four LLC, and Javlin Five LLC (8)",Asset-backed financial services company,First lien senior secured loan ($16.0 par due 6/2017),,6/24/2014,13.6,,,4.9,,(2)(14),
601,Joyce Lane Capital LLC and Joyce Lane Financing SPV LLC (fka Ciena Capital LLC) (7)(8)(19),Specialty finance company,First lien senior secured loan ($0.6 par due 12/2022),6.10% (Libor + 4.00%/Q),12/27/2018,0.6,,,0.6,,(2),
602,,,Equity interests,,11/29/2010,12.7,,,3.0,,(2),
604,LS DE LLC and LM LSQ Investors LLC (8),Asset based lender,Senior subordinated loan ($3.0 par due 6/2021),10.50%,6/15/2017,3.0,,,3.0,,(2),
605,,,Senior subordinated loan ($37.0 par due 3/2024),10.50%,6/25/2015,37.0,,,37.0,,(2),
606,,,"Membership units (3,275,000 units)",,6/25/2015,3.3,,,4.6,,,
608,"NM GRC HOLDCO, LLC (19)",Regulatory compliance services provider to financial institutions,First lien senior secured loan ($9.5 par due 2/2024),8.10% (Libor + 6.00%/Q),2/9/2018,9.5,,,9.3,,(2)(15),
609,,,First lien senior secured loan ($35.7 par due 2/2024),8.10% (Libor + 6.00%/Q),2/9/2018,35.4,,,34.9,,(2)(15),
611,"Rialto Management Group, LLC (8)(19)",Investment and asset management platform focused on real estate,First lien senior secured revolving loan,,11/30/2018,0,,,0,,(2)(17),
613,,,First lien senior secured loan ($0.9 par due 12/2024),6.54% (Libor + 4.50%/M),11/30/2018,0.9,,,0.9,,(2),
615,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (19)",Provider of asset-servicing capabilities for fund managers,First lien senior secured loan ($38.7 par due 2/2026),6.54% (Libor + 4.50%/M),2/1/2019,38.7,,,38.7,,(2)(15),
616,,,Class A units (245 units),,2/1/2019,0.2,,,0,,,
617,,,"Class A units (1,443 units)",8.00% PIK,2/1/2019,1.5,,,1.5,,(2),
618,,,"Class B units (245,194 units)",,2/1/2019,0,,,0,,,
619,,,"Class B units (2,167,424 units)",,2/1/2019,0,,,0,,(2),
621,"Vela Trading Technologies, LLC (19)",Provider of market data software and content to global financial services clients,First lien senior secured revolving loan ($2.0 par due 6/2022),9.00% (Base Rate + 4.00%/Q),2/8/2018,2.0,,,2.0,,(2)(15),
622,,,First lien senior secured loan ($4.8 par due 6/2022),7.31% (Libor + 5.00%/Q),4/17/2018,4.8,,,4.7,,(2)(15),
624,,,,,,760.5,,,801.8,,,10.88%
626,"1A Smart Start, LLC (19)",Provider of ignition interlock devices,First lien senior secured revolving loan ($0.5 par due 8/2020),6.54% (Libor + 4.50%/M),2/8/2018,0.5,,,0.5,,(2)(18),
627,"AMCP Clean Intermediate, LLC (19)",Provider of janitorial and facilities management services,First lien senior secured revolving loan,,10/1/2018,0,,,0,,(2)(17),
628,,,First lien senior secured loan ($1.3 par due 10/2024),7.60% (Libor + 5.50%/Q),1/4/2019,1.3,,,1.3,,(2)(15),
629,,,First lien senior secured loan ($1.3 par due 10/2024),7.71% (Libor + 5.50%/Q),8/7/2019,1.3,,,1.3,,(2)(15),
631,American Residential Services L.L.C.,"Heating, ventilation and air conditioning services provider",Second lien senior secured loan ($70.8 par due 12/2022),10.04% (Libor + 8.00%/M),6/30/2014,70.6,,,70.8,,(2)(15),
632,"Belfor Holdings, Inc. (19)",Disaster recovery services provider,First lien senior secured revolving loan ($2.7 par due 4/2024),7.75% (Base Rate + 2.75%/Q),4/4/2019,2.7,,,2.7,,(2),
633,,,First lien senior secured revolving loan ($2.0 par due 4/2024),7.75% (Base Rate + 2.75%/Q),4/4/2019,2.0,,,2.0,,(2),
635,"Capstone Logistics Acquisition, Inc. (19)",Outsourced supply chain solutions provider to operators of distribution centers,First lien senior secured revolving loan,,2/8/2018,0,,,0,,(2)(17),
636,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (6)(19)",Provider of outsourced healthcare linen management solutions,First lien senior secured revolving loan,,3/13/2014,0,,,0,,(2)(17),
637,,,First lien senior secured loan ($11.8 par due 12/2021),8.29% (Libor + 6.25%/M),4/6/2017,11.8,,,11.8,,(2)(15),
638,,,First lien senior secured loan ($11.9 par due 12/2021),8.29% (Libor + 6.25%/M),6/12/2018,11.9,,,11.9,,(2)(15),
639,,,First lien senior secured loan ($10.9 par due 12/2021),8.29% (Libor + 6.25%/M),3/13/2014,10.9,,,10.9,,(2)(15),
640,,,First lien senior secured loan ($10.1 par due 12/2021),8.29% (Libor + 6.25%/M),3/13/2014,10.1,,,10.1,,(3)(15),
641,,,"Class A preferred units (3,393,973 units)",,3/13/2014,4.0,,,6.0,,(2),
643,,,"Class B common units (377,108 units)",,3/13/2014,0.4,,,0,,(2),
645,"IMIA Holdings, Inc. (19)",Marine preservation maintenance company,First lien senior secured revolving loan,,10/26/2018,0,,,0,,(2)(17),
646,,,First lien senior secured loan ($17.9 par due 10/2024),6.60% (Libor + 4.50%/Q),10/26/2018,17.8,,,17.9,,(3)(15),
648,"Kellermeyer Bergensons Services, LLC",Provider of janitorial and facilities management services,First lien senior secured loan ($3.6 par due 10/2021),6.79% (Libor + 4.75%/M),6/21/2019,3.6,,,3.6,,(2)(15),
649,,,First lien senior secured loan ($21.7 par due 10/2021),6.79% (Libor + 4.75%/M),6/21/2019,21.7,,,21.7,,(2)(15),
650,,,First lien senior secured loan ($1.8 par due 10/2021),6.79% (Libor + 4.75%/M),6/21/2019,1.8,,,1.8,,(2)(15),
651,,,First lien senior secured loan ($2.7 par due 10/2021),6.85% (Libor + 4.75%/M),6/21/2019,2.7,,,2.7,,(2)(15),
653,"Massage Envy, LLC and ME Equity LLC",Franchisor in the massage industry,"Common stock (3,000,000 shares)",,9/27/2012,3.0,,,5.8,,(2),
654,"McKenzie Creative Brands, LLC (19)","Designer, manufacturer and distributor of hunting-related supplies",First lien senior secured revolving loan ($0.5 par due 9/2023),6.01% (Libor + 3.75%/Q),9/18/2014,0.5,,,0.5,,(2)(15),
655,,,First lien senior secured revolving loan ($0.2 par due 9/2023),6.01% (Libor + 3.75%/Q),9/18/2014,0.2,,,0.2,,(2)(15),
656,,,First lien senior secured revolving loan ($0.2 par due 9/2023),6.02% (Libor + 3.75%/Q),9/18/2014,0.2,,,0.2,,(2)(15),
657,,,First lien senior secured revolving loan ($0.9 par due 9/2023),5.95% (Libor + 3.75%/Q),9/18/2014,0.9,,,0.9,,(2)(15),
658,,,First lien senior secured loan ($1.5 par due 9/2023),7.95% (Libor + 5.75%/Q),9/18/2014,1.5,,,1.5,,(3)(15),
659,,,First lien senior secured loan ($4.0 par due 9/2023),7.95% (Libor + 5.75%/Q),9/18/2014,4.0,,,4.0,,(3)(15),
660,,,First lien senior secured loan ($84.5 par due 9/2023),7.95% (Libor + 5.75%/Q),9/18/2014,84.5,,,84.5,,(3)(10)(15),
662,"MSHC, Inc. (19)","Heating, ventilation and air conditioning services provider",First lien senior secured revolving loan ($1.0 par due 12/2024),6.29% (Libor + 4.25%/M),7/31/2017,1.0,,,1.0,,(2),
663,,,First lien senior secured revolving loan ($0.3 par due 12/2024),8.25% (Base Rate + 3.25%/M),7/31/2017,0.3,,,0.3,,(2),
664,,,First lien senior secured loan ($2.4 par due 12/2024),6.29% (Libor + 4.25%/M),11/20/2018,2.4,,,2.4,,(2)(15),
665,,,Second lien senior secured loan ($2.8 par due 12/2025),10.29% (Libor + 8.25%/M),11/20/2018,2.8,,,2.8,,(2)(15),
666,,,Second lien senior secured loan ($8.6 par due 12/2025),10.29% (Libor + 8.25%/M),6/27/2018,8.6,,,8.6,,(2)(15),
667,,,Second lien senior secured loan ($7.9 par due 12/2025),10.51% (Libor + 8.25%/M),6/27/2018,7.9,,,7.9,,(2)(15),
668,,,Second lien senior secured loan ($9.8 par due 12/2025),10.37% (Libor + 8.25%/M),6/27/2018,9.8,,,9.8,,(2)(15),
669,,,Second lien senior secured loan ($4.8 par due 12/2025),10.29% (Libor + 8.25%/M),7/31/2017,4.8,,,4.8,,(2)(15),
670,,,Second lien senior secured loan ($46.0 par due 12/2025),10.29% (Libor + 8.25%/M),7/31/2017,46.0,,,46.0,,(2)(15),
673,"Research Now Group, LLC and Survey Sampling International, LLC",Provider of outsourced data collection to the market research industry,First lien senior secured loan ($41.6 par due 12/2024),7.75% (Libor + 5.50%/Q),2/14/2019,41.1,,,41.6,,(2)(15),
674,"SecurAmerica, LLC, ERMC LLC, ERMC Of America, LLC, SecurAmerica Corporation, ERMC Aviation LLC, American Security Programs, Inc., USI LLC and Argenbright Holdings IV, LLC (19)","Provider of outsourced manned security guard services, outsourced facilities management and outsourced aviation services",First lien senior secured loan ($2.2 par due 12/2023),8.79% (Libor + 6.75%/M),12/21/2018,2.2,,,2.2,,(2)(15),
675,,,First lien senior secured loan ($1.8 par due 12/2023),8.80% (Libor + 6.75%/M),12/21/2018,1.8,,,1.8,,(2)(15),
676,,,First lien senior secured loan ($25.9 par due 12/2023),8.80% (Libor + 6.75%/M),12/21/2018,25.9,,,25.9,,(2)(15),
678,"Siteworx Holdings, LLC & Siteworx LLC (19)","Provider of design, web content management, eCommerce solutions and system integration",First lien senior secured revolving loan ($0.7 par due 11/2019),6.25% (Base Rate + 1.25%/M),2/16/2018,0.7,,,0.7,,,
679,,,First lien senior secured revolving loan ($0.7 par due 11/2019),6.25% (Base Rate + 1.25%/M),2/16/2018,0.7,,,0.7,,(12)(15),
680,,,First lien senior secured loan ($0.9 par due 11/2019),5.50%,2/16/2018,0.9,,,0.9,,,
681,,,First lien senior secured loan ($0.9 par due 11/2019),5.50%,2/16/2018,0.9,,,0.9,,(12),
683,"SocialFlow, Inc.",Social media optimization platform provider,"Warrant to purchase up to 215,331 shares of Series C preferred stock (expires 1/2026)",,1/13/2016,0,,,0,,(2),
684,"SOS Security Holdings LLC and SOS Co-Investment Vehicle, L.P. (19)",Provider of manned security guard services,First lien senior secured revolving loan ($0.0 par due 4/2025),10.50% (Base Rate + 5.50%/Q),4/30/2019,0,,,0,,(2)(15)(18),
685,,,First lien senior secured loan ($2.1 par due 4/2025),8.61% (Libor + 6.50%/Q),4/30/2019,2.1,,,2.0,,(2)(15),
686,,,First lien senior secured loan ($1.0 par due 4/2025),8.80% (Libor + 6.50%/Q),4/30/2019,1.0,,,1.0,,(2)(15),
687,,,First lien senior secured loan ($0.5 par due 4/2025),8.56% (Libor + 6.50%/Q),4/30/2019,0.5,,,0.5,,(2)(15),
688,,,First lien senior secured loan ($35.6 par due 4/2025),8.76% (Libor + 6.50%/Q),4/30/2019,35.6,,,35.2,,(2)(15),
689,,,"Limited partnership interests (4,698,000 interests)",,4/30/2019,4.7,,,5.2,,(2),
691,SoundCloud Limited (8),"Platform for receiving, sending, and distributing music","Common stock (73,422 shares)",,8/15/2017,0.4,,,0.7,,(2),
692,Spin HoldCo Inc.,Laundry service and equipment provider,Second lien senior secured loan ($154.2 par due 5/2023),9.64% (Libor + 7.50%/Q),5/14/2013,154.2,,,152.6,,(2)(15),
693,"TDG Group Holding Company and TDG Co-Invest, LP (19)",Operator of multiple franchise concepts primarily related to home maintenance or repairs,First lien senior secured revolving loan,,5/31/2018,0,,,0,,(2)(17),
