,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
362,"NameMedia, Inc.",,,Senior loan,,,,L + 6.00,,,,No Value,(5),,,11/2014,,,,-,,,,-,,,,-,,,,-,,,,,,,,,
363,"NameMedia, Inc.",,,Senior loan,,,,P + 5.00,,,,8.25,,,,11/2014,,,,1170,,,,1162,,,,0.2,,,,1170,,,,,,,,,
364,,,,,,,,,,,,,,,,,,,,10617,,,,10491,,,,1.6,,,,10517,,,,,,,,,
365,Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,"PowerPlan Consultants, Inc.  (4)",,,Senior loan,,,,L + 5.25,,,,No Value,(5),,,03/2017,,,,-,,,,(1,,,,-,,,,-,,,,,,,,,
367,"PowerPlan Consultants, Inc.*",,,Senior loan,,,,L + 5.25,,,,6.75,,,,03/2018,,,,4218,,,,4171,,,,0.6,,,,4218,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,4218,,,,4170,,,,0.6,,,,4218,,,,,,,,,
369,Total debt investments United States,,,,,,,,,,,,,,,,,,,998745,,,,985069,,,,150.4,,,,990172,,,,,,,,,
370,Fair Value as a percentage of Principal Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,,,,,,,,,
371,,,Investment  Type,,Spread Above Index  (1),,Interest Rate  (2),,Maturity Date,,Principal Amount/Shares/ Contracts,,Cost,,Percentage of Total Net Assets,,Fair Value,,,,,,,,,,,,,,,,,,,,,,,,
372,Equity investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,"Tresys Technology Holdings, Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,295,,,,295,,,,0.1,,,,232,,,,,,,,,
375,Whitcraft LLC,,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,670,,,,0.1,,,,626,,,,,,,,,
376,Whitcraft LLC,,,Warrant,,,,No Value,,,,No Value,,,,No Value,,,,-,,,,-,,,,-,,,,122,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,,,,,,965,,,,0.2,,,,980,,,,,,,,,
378,Automobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,"ABRA, Inc",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,208,,,,1471,,,,0.5,,,,3000,,,,,,,,,
380,"Express Oil Change,  LLC",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,81,,,,81,,,,-,,,,66,,,,,,,,,
381,"K&N Engineering, Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,-,,,,4,,,,-,,,,57,,,,,,,,,
382,"K&N Engineering, Inc.",,,Preferred stock A,,,,No Value,,,,No Value,,,,No Value,,,,-,,,,26,,,,-,,,,34,,,,,,,,,
383,"K&N Engineering, Inc.",,,Preferred stock B,,,,No Value,,,,No Value,,,,No Value,,,,-,,,,-,,,,-,,,,7,,,,,,,,,
384,,,,,,,,,,,,,,,,,,,,,,,,1582,,,,0.5,,,,3164,,,,,,,,,
385,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Prommis Solutions  Inc.*,,,Preferred LLC  interest,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,472,,,,-,,,,-,,,,,,,,,
387,,,,,,,,,,,,,,,,,,,,,,,,472,,,,-,,,,-,,,,,,,,,
388,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,"Atkins Nutritionals, Inc.",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,57,,,,746,,,,0.1,,,,824,,,,,,,,,
390,"First Watch Restaurants, Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,7,,,,691,,,,0.1,,,,691,,,,,,,,,
391,"Goode Seed Co-Invest, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,356,,,,356,,,,0.1,,,,411,,,,,,,,,
392,Julio & Sons Company,,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,521,,,,521,,,,0.1,,,,555,,,,,,,,,
393,"Northern Brewer,  LLC",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,142,,,,315,,,,-,,,,271,,,,,,,,,
394,"Richelieu Foods, Inc.",,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,220,,,,220,,,,-,,,,138,,,,,,,,,
395,,,,,,,,,,,,,,,,,,,,,,,,2849,,,,0.4,,,,2890,,,,,,,,,
396,"Containers, Packaging and Glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,"Packaging Coordinators, Inc.",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,48,,,,2476,,,,0.4,,,,2476,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,,,,,,2476,,,,0.4,,,,2476,,,,,,,,,
399,Diversified Conglomerate Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,"Oasis Outsourcing Holdings, Inc.",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,1088,,,,1088,,,,0.3,,,,1797,,,,,,,,,
401,"Sunless Merger Sub,  Inc.",,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,-,,,,148,,,,-,,,,23,,,,,,,,,
402,"TIDI Products, LLC",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,315,,,,315,,,,0.1,,,,368,,,,,,,,,
403,,,,,,,,,,,,,,,,,,,,,,,,1551,,,,0.4,,,,2188,,,,,,,,,
404,,,Investment  Type,,Spread Above Index  (1),,Interest Rate  (2),,Maturity Date,,Principal Amount/Shares/ Contracts,,Cost,,Percentage of Total Net Assets,,Fair Value,,,,,,,,,,,,,,,,,,,,,,,,
405,Diversified Conglomerate Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,"Document Technologies, LLC",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,24,,,,490,,,,0.1,,,,624,,,,,,,,,
407,"Marathon Data Operating Co., LLC",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,264,,,,-,,,,264,,,,,,,,,
408,"Marathon Data Operating Co., LLC",,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,264,,,,-,,,,264,,,,,,,,,
409,"Navex Global, Inc.",,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,-,,,,666,,,,0.1,,,,386,,,,,,,,,
410,"PC Helps Support, LLC",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,7,,,,-,,,,7,,,,,,,,,
411,"PC Helps Support, LLC",,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,-,,,,61,,,,-,,,,61,,,,,,,,,
412,"Secure-24, LLC",,,LLC Units,,,,No Value,,,,No Value,,,,No Value,,,,263,,,,263,,,,-,,,,263,,,,,,,,,
413,,,,,,,,,,,,,,,,,,,,,,,,2015,,,,0.2,,,,1869,,,,,,,,,
414,Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,"MyWebGrocer, Inc.",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,1269,,,,1269,,,,0.2,,,,1269,,,,,,,,,
416,"Healthcare, Education and Childcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,"Advanced Pain Management Holdings, Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,67,,,,67,,,,0.1,,,,675,,,,,,,,,
418,"Advanced Pain Management Holdings, Inc.",,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,13,,,,829,,,,0.2,,,,869,,,,,,,,,
419,"Avatar International,  LLC",,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,695,,,,0.1,,,,350,,,,,,,,,
420,"Dialysis Newco, Inc.",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,871,,,,124,,,,0.1,,,,765,,,,,,,,,
421,"Encore Rehabilitation Services, LLC",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,270,,,,271,,,,0.1,,,,349,,,,,,,,,
422,"G & H Wire Company, Inc.",,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,-,,,,103,,,,-,,,,103,,,,,,,,,
423,"Hospitalists Management Group, LLC",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,-,,,,38,,,,-,,,,13,,,,,,,,,
424,"IntegraMed America,  Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,514,,,,0.1,,,,665,,,,,,,,,
425,National Healing Corporation,,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,695,,,,799,,,,0.1,,,,812,,,,,,,,,
426,"NeuroTherm, Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,569,,,,0.1,,,,731,,,,,,,,,
427,"Northwestern Management Services, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,3,,,,3,,,,-,,,,8,,,,,,,,,
428,"Northwestern Management Services, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,-,,,,249,,,,-,,,,259,,,,,,,,,
429,"Pentec Acquisition Sub, Inc.",,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,116,,,,-,,,,62,,,,,,,,,
430,"Reliant Pro ReHab,  LLC",,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,2,,,,264,,,,-,,,,278,,,,,,,,,
431,Southern Anesthesia and Surgical,,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,487,,,,487,,,,0.1,,,,603,,,,,,,,,
432,"Surgical Information Systems, LLC",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,4,,,,414,,,,0.1,,,,495,,,,,,,,,
433,"Young Innovations, Inc.",,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,-,,,,236,,,,-,,,,236,,,,,,,,,
434,,,,,,,,,,,,,,,,,,,,,,,,5778,,,,1.1,,,,7273,,,,,,,,,
435,"Home and Office Furnishings, Housewares, and Durable Consumer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,"Top Knobs USA, Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,3,,,,73,,,,-,,,,110,,,,,,,,,
437,Investment Funds and Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Senior Loan Fund  LLC  (7),,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,591,,,,591,,,,0.1,,,,768,,,,,,,,,
439,,,Investment  Type,,Spread Above Index  (1),,Interest Rate  (2),,Maturity Date,,Principal Amount/Shares/ Contracts,,Cost,,Percentage of Total Net Assets,,Fair  Value,,,,,,,,,,,,,,,,,,,,,,,,
440,Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,"Captive Resources Midco, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,121,,,,-,,,,135,,,,,,,,,
442,"Leisure, Amusement, Motion Pictures and Entertainment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,"Competitor Group, Inc.",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,711,,,,711,,,,0.1,,,,393,,,,,,,,,
444,"LMP TR Holdings, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,712,,,,712,,,,0.1,,,,712,,,,,,,,,
445,"Titan Fitness, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,6,,,,582,,,,0.1,,,,582,,,,,,,,,
446,,,,,,,,,,,,,,,,,,,,,,,,2005,,,,0.3,,,,1687,,,,,,,,,
447,Personal and Non-Durable Consumer Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,"Hygenic Corporation, The",,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,61,,,,-,,,,61,,,,,,,,,
449,"Massage Envy,  LLC",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,749,,,,749,,,,0.1,,,,749,,,,,,,,,
450,Team Technologies Acquisition Company,,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,-,,,,148,,,,-,,,,148,,,,,,,,,
451,,,,,,,,,,,,,,,,,,,,,,,,958,,,,0.1,,,,958,,,,,,,,,
452,Personal Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,PODS Funding  Corp. II,,,Warrant,,,,No Value,,,,No Value,,,,No Value,,,,271,,,,-,,,,-,,,,256,,,,,,,,,
454,Printing and Publishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,"Market Track, LLC",,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,-,,,,145,,,,-,,,,180,,,,,,,,,
456,"Market Track, LLC",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,145,,,,-,,,,162,,,,,,,,,
457,,,,,,,,,,,,,,,,,,,,,,,,290,,,,-,,,,342,,,,,,,,,
458,Retail Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,"Barcelona Restaurants, LLC  (6)",,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,1996,,,,1996,,,,0.4,,,,2518,,,,,,,,,
460,"Benihana, Inc.",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,43,,,,699,,,,0.1,,,,830,,,,,,,,,
461,"Capital Vision Services, LLC",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,402,,,,402,,,,0.1,,,,473,,,,,,,,,
462,"Paper Source, Inc.",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,8,,,,1387,,,,0.2,,,,1387,,,,,,,,,
463,"Rubio's Restaurants, Inc.",,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,199,,,,945,,,,0.2,,,,1178,,,,,,,,,
464,"Sneaker Villa, Inc.",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,4,,,,411,,,,0.1,,,,462,,,,,,,,,
465,Vision Source L.P.,,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,9,,,,936,,,,0.1,,,,949,,,,,,,,,
466,,,,,,,,,,,,,,,,,,,,,,,,6776,,,,1.2,,,,7797,,,,,,,,,
467,Telecommunications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,"ITC Global, Inc.",,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,17,,,,311,,,,0.1,,,,311,,,,,,,,,
469,Total equity investments United States,,,,,,,,,,,,,,,,,,,,,,,30082,,,,5.2,,,,34473,,,,,,,,,
470,Total United States,,,,,,,,,,,,,,,,,,,,,,,1015151,,,,155.6,,,,1024645,,,,,,,,,
471,Total Investments,,,,,,,,,,,,,,,,,,,,,,,1017961,,,,155.6,,,,1024645,,,,,,,,,
472,,,"Year ended September 30, 2013",,"Year ended September 30, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,,,Debt  Investments,,Equity Investments,,Total Investments,,Secured borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,"Fair value, beginning of period",,,651485,,,,21425,,,,672910,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
475,Net change in unrealized appreciation on investments,,,585,,,,3029,,,,3614,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
476,Net change in unrealized appreciation on secured borrowings,,,-,,,,-,,,,-,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,
477,Realized gain/(loss) gain on  investments,,,"(1,402",,,,39,,,,"(1,363",,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
478,"Fundings of revolving loans, net",,,7883,,,,-,,,,7883,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
479,Fundings of investments,,,657766,,,,11486,,,,669252,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
480,PIK interest,,,908,,,,-,,,,908,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
481,Proceeds from principal payments and sales of portfolio investments,,,"(334,648",,,,"(1,506",,,,"(336,154",,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
482,Proceeds from secured borrowings,,,-,,,,-,,,,-,,,,12481,,,,,,,,,,,,,,,,,,,,,,,,,
483,Repayments on secured borrowings,,,-,,,,-,,,,-,,,,"(3,802",,,,,,,,,,,,,,,,,,,,,,,,,
484,Amortization of discount and premium,,,7595,,,,-,,,,7595,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
485,"Fair value, end of period",,,990172,,,,34473,,,,1024645,,,,8809,,,,,,,,,,,,,,,,,,,,,,,,,
