,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity Date,Par/Shares (12),Cost (28),Fair Value (1)(29),,
527,,"Pro-Vigil Holding Company, LLC",7741,7700,,,,,,
528,Schlesinger Group,Schlesinger Group,,,,,,,,
529,,"Schlesinger Global, LLC",First Lien Secured Debt,"8.00 (3M L+600 Cash plus 1.00 PIK, 1.00 Floor)",07/12/25,9066,8885,8857,(9),
530,,"Schlesinger Global, LLC",First Lien Secured Debt,"8.00 (3M L+600 Cash plus 1.00 PIK, 1.00 Floor)",07/12/25,841,825,822,(9),
531,,"Schlesinger Global, LLC",9710,9679,,,,,,
532,Simeio,Simeio,,,,,,,,
533,,"Simeio Group Holdings, Inc.",First Lien Secured Debt,"6.25 (1M L+525, 1.00 Floor)",01/30/26,8567,8464,8422,(9),
534,,"Simeio Group Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/30/26,1731,(21),(29),(8)(9)  (21)(23),
535,,"Simeio Group Holdings, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.75 Unfunded,01/30/26,4615,(28),(83),(8)(9)  (21)(23),
536,,"Simeio Group Holdings, Inc.",8415,8310,,,,,,
537,Sirsi Corporation,Sirsi Corporation,,,,,,,,
538,,Sirsi Corporation,First Lien Secured Debt,"5.75 (1M L+475, 1.00 Floor)",03/15/24,6459,6401,6362,(9),
539,,Sirsi Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/15/24,429,(4),(6),(8)(9)  (21)(23),
540,,Sirsi Corporation,6397,6356,,,,,,
541,"Sontiq, Inc.","Sontiq, Inc.",,,,,,,,
542,,"Sontiq, Inc.",First Lien Secured Debt,"8.50 (3M L+750, 1.00 Floor)",03/02/26,14167,13888,13883,(9),
543,,"Sontiq, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/02/26,833,(14),(17),(8)(9)  (21)(23),
544,,"Sontiq, Inc.",13874,13866,,,,,,
545,Springbrook,Springbrook,,,,,,,,
546,,"Springbrook Holding Company, LLC",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",12/23/26,9755,9618,9613,,
547,,"Springbrook Holding Company, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/23/26,1463,(21),(21),(8)(21)  (23),
548,,"Springbrook Holding Company, LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/23/26,3659,(29),(53),(8)(21)  (23),
549,,"Springbrook Holding Company, LLC",9568,9539,,,,,,
550,Tax Slayer,Tax Slayer,,,,,,,,
551,,"MEP-TS Midco, LLC",First Lien Secured Debt,"7.50 (6M L+650, 1.00 Floor)",12/31/26,13514,13256,13379,(9),
552,,"MEP-TS Midco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/26,1452,(28),(15),(8)(9)  (21)(23),
553,,"MEP-TS Midco, LLC",13228,13364,,,,,,
554,Telnyx,Telnyx,,,,,,,,
555,,Telnyx LLC,First Lien Secured Debt,"7.75 (1M L+625, 1.50 Floor)",10/21/25,5250,5216,5250,(9),
556,,Telnyx LLC,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,10/21/25,4750,(43),0,(9)(21)  (23),
557,,Telnyx LLC,5173,5250,,,,,,
559,Insurance,Insurance,,,,,,,,
560,PGM Holdings Corporation,PGM Holdings Corporation,,,,,,,,
561,,"Turbo Buyer, Inc.",First Lien Secured Debt,"6.50 (6M L+550, 1.00 Floor)",12/02/25,13912,13638,13786,(9),
562,,"Turbo Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/02/25,923,(18),(8),(8)(9)  (21)(23),
563,,"Turbo Buyer, Inc.",13620,13778,,,,,,
564,Relation Insurance,Relation Insurance,,,,,,,,
565,,"AQ Sunshine, Inc.",First Lien Secured Debt,"7.25 (3M L+625, 1.00 Floor)",04/15/25,2617,2580,2619,(9),
566,,"AQ Sunshine, Inc.",First Lien Secured Debt,"7.25 (6M L+625, 1.00 Floor)",04/15/25,18524,18273,18542,(9),
567,,"AQ Sunshine, Inc.",First Lien Secured Debt - Revolver,"7.25 (6M L+625, 1.00 Floor)",04/15/24,471,471,472,(9)(23),
568,,"AQ Sunshine, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/15/24,668,(14),0,(9)(21)  (23),
569,,"AQ Sunshine, Inc.",First Lien Secured Debt - Letter of Credit,6.25,04/30/21,38,0,0,(9)(23),
570,,"AQ Sunshine, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,04/15/25,4611,(186),0,(9)(21)  (23),
571,,"AQ Sunshine, Inc.",21124,21633,,,,,,
573,"Manufacturing, Capital Equipment","Manufacturing, Capital Equipment",,,,,,,,
574,"AVAD, LLC","AVAD, LLC",,,,,,,,
575,,AVAD Canada Ltd.,First Lien Secured Debt - Revolver,N/A,10/02/23,284,274,283,(9)(23),
576,,"AVAD, LLC",First Lien Secured Debt - Revolver,N/A,10/02/23,3744,2537,1639,(9)(23),
577,,"Surf Opco, LLC",First Lien Secured Debt - Revolver,"5.00 (1M L+400, 1.00 Floor)",03/16/26,1667,1667,1667,(9)(23),
578,,"Surf Opco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/16/26,15000,0,0,(9)(21) (23),
579,,"Surf Opco, LLC",Preferred Equity - Class P-1 Preferred,N/A,N/A,"33,333 Shares",3333,6667,(9)(16)  (25),
580,Kauffman,Kauffman,,,,,,,,
581,,"Kauffman Holdco, LLC",Common Equity - Common Stock,N/A,N/A,"250,000 Shares",250,51,(9)(13),
582,,"Kauffman Intermediate, LLC",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",05/08/25,16665,16436,15960,(9),
583,,"Kauffman Intermediate, LLC",First Lien Secured Debt - Revolver,"7.50 (1M L+650, 1.00 Floor)",05/08/25,78,78,74,(9)(23),
584,,"Kauffman Intermediate, LLC",First Lien Secured Debt - Revolver,"7.50 (3M L+650, 1.00 Floor)",05/08/25,388,388,372,(9)(23),
585,,"Kauffman Intermediate, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/08/25,1165,(35),(49),(8)(9)  (21)(23),
586,,"Kauffman Intermediate, LLC",First Lien Secured Debt - Letter of Credit,6.50,07/25/21,155,0,(7),(8)(9)  (23),
587,,"Kauffman Intermediate, LLC",17117,16401,,,,,,
588,MedPlast Holdings Inc.,MedPlast Holdings Inc.,,,,,,,,
589,,MedPlast Holdings Inc.,Second Lien Secured Debt,7.86 (1M L+775),07/02/26,8000,7947,7619,,
591,Media – Diversified & Production,Media – Diversified & Production,,,,,,,,
592,New Wave Entertainment,New Wave Entertainment,,,,,,,,
593,,"NW Entertainment, Inc.",First Lien Secured Debt,"10.00 (3M L+700 Cash plus 2.00 PIK, 1.00 Floor)",08/16/24,26450,26101,25130,(9)(19),
594,,"NW Entertainment, Inc.",First Lien Secured Debt - Revolver,"8.00 (3M L+700, 1.00 Floor)",08/16/24,3061,3021,2909,(9)(19)  (23),
595,,"NW Entertainment, Inc.",29122,28039,,,,,,
596,Nitro World Entertainment,Nitro World Entertainment,,,,,,,,
597,,NWE OPCO LP,First Lien Secured Debt,"8.50 (1M L+650, 2.00 Floor)",12/19/22,4815,4801,4790,(9),
598,Sonar Entertainment,Sonar Entertainment,,,,,,,,
599,,"Sonar Entertainment, Inc.",First Lien Secured Debt,"8.85 (1M L+760, 1.25 Floor)",11/15/21,6849,6824,5651,(9)(19),
600,,"Sonar Entertainment, Inc.",First Lien Secured Debt - Revolver,"8.85 (1M L+760, 1.25 Floor)",11/15/21,3304,3304,2726,(9)(19)  (23),
601,,"Sonar Entertainment, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/15/21,19527,(83),0,(9)(21)  (23),
602,,"Sonar Entertainment, Inc.",10045,8377,,,,,,
604,Retail,Retail,,,,,,,,
605,IPS,IPS,,,,,,,,
606,,"SI Holdings, Inc.",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",07/25/25,31324,30862,30757,(9),
607,,"SI Holdings, Inc.",First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",07/25/24,853,853,842,(9)(23),
608,,"SI Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/25/24,2560,(45),(34),(8)(9)  (21)(23),
609,,"SI Holdings, Inc.",31670,31565,,,,,,
610,Rapid Displays,Rapid Displays,,,,,,,,
611,,Rapid Displays Acquisition Corporation,First Lien Secured Debt,"6.00 (3M L+500, 1.00 Floor)",07/01/25,10305,10161,10305,(9),
612,,Rapid Displays Acquisition Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/01/25,2308,(16),0,(9)(21)  (23),
613,,Rapid Displays Acquisition Corporation,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,07/01/25,1154,(12),0,(9)(21)  (23),
614,,Rapid Displays Acquisition Corporation,10133,10305,,,,,,
616,Telecommunications,Telecommunications,,,,,,,,
617,IPC Corporation,IPC Corporation,,,,,,,,
618,,IPC Corporation,First Lien Secured Debt,5.21 (3M L+500),08/06/21,10000,9989,9301,(9),
619,,IPC Information Systems UK Holdings Limited,First Lien Secured Debt,"8.00 (3M L+650, 1.50 Floor)",08/06/21,1405,1393,1360,(9)(17),
620,,IPC Information Systems UK Holdings Limited,11382,10661,,,,,,
621,"Securus Technologies Holdings, Inc.","Securus Technologies Holdings, Inc.",,,,,,,,
622,,"Securus Technologies Holdings, Inc.",Second Lien Secured Debt,"9.25 (6M L+825, 1.00 Floor)",11/01/25,12878,12804,11139,,
624,"Transportation – Cargo, Distribution","Transportation – Cargo, Distribution",,,,,,,,
625,"Dynamic Product Tankers (Prime), LLC","Dynamic Product Tankers (Prime), LLC",,,,,,,,
626,,"Dynamic Product Tankers, LLC (5)",Unsecured Debt,5.31 (6M L+500),07/31/24,22000,22000,22000,(17),
627,,"Dynamic Product Tankers, LLC (5)",Common Equity - Class A Units,N/A,N/A,N/A,49806,25528,(13)(17)  (24)(25),
628,,"Dynamic Product Tankers, LLC (5)",71806,47528,,,,,,
629,Heniff and Superior,Heniff and Superior,,,,,,,,
630,,"Heniff Holdco, LLC",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",12/03/26,30764,30242,30023,(9),
631,,"Heniff Holdco, LLC",First Lien Secured Debt - Revolver,"6.75 (1M L+575, 1.00 Floor)",12/03/24,2518,2518,2480,(9)(23),
632,,"Heniff Holdco, LLC",First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",12/03/24,1047,1047,1030,(9)(23),
633,,"Heniff Holdco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/03/24,5,(58),0,(9)(21)  (23),
634,,"Heniff Holdco, LLC",First Lien Secured Debt - Letter of Credit,5.75,02/06/22,355,0,(5),(8)(9)  (23),
635,,"Heniff Holdco, LLC",33749,33528,,,,,,
636,MSEA Tankers LLC,MSEA Tankers LLC,,,,,,,,
637,,MSEA Tankers LLC (5),Common Equity - Class A Units,N/A,N/A,N/A,57660,57028,(17)(18)  (25),
639,Wholesale,Wholesale,,,,,,,,
640,Banner Solutions,Banner Solutions,,,,,,,,
641,,"Banner Buyer, LLC",First Lien Secured Debt,"6.75 (1M L+575, 1.00 Floor)",10/31/25,396,393,393,(9),
642,,"Banner Buyer, LLC",First Lien Secured Debt,"6.75 (12M L+575, 1.00 Floor)",10/31/25,12414,12247,12314,(9),
643,,"Banner Buyer, LLC",First Lien Secured Debt - Revolver,"6.75 (1M L+575, 1.00 Floor)",10/31/25,387,387,384,(9)(23),
644,,"Banner Buyer, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/31/25,1548,(26),(12),(8)(9)  (21)(23),
645,,"Banner Buyer, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.75 Unfunded,10/31/25,5097,(37),(41),(8)(9)  (21)(23),
646,,"Banner Parent Holdings, Inc",Common Equity - Common Stock,N/A,N/A,"5,164 Shares",516,526,(9)(13),
