,Industry / Company,Investment Type,Interest Rate (20),Maturity Date,Par/Shares (12),Cost (28),Fair Value (1)(29),,
548,"Pace Health Companies, LLC",First Lien Secured Debt,"5.95 (3M L+450, 1.00 Floor)",08/02/24,547,538,525,(9),
549,"Pace Health Companies, LLC",First Lien Secured Debt - Revolver,"5.50 (1M L+450, 1.00 Floor)",08/02/24,433,424,415,(9)(23),
550,"Pace Health Companies, LLC",First Lien Secured Debt - Letter of Credit,4.50,12/10/20,68,0,(3),(8)(9)(23),
551,"Pace Health Companies, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,08/02/24,3950,(35),(163),(8)(9)(21)(23),
552,"Pace Health Companies, LLC",927,774,,,,,,
553,Rigel Pharmaceuticals,,,,,,,,
554,"Rigel Pharmaceuticals, Inc.",First Lien Secured Debt,"7.23 (1M L+565, 1.50 Floor)",09/01/24,3000,3001,2959,(9),
555,"Rigel Pharmaceuticals, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,09/01/24,3000,0,(41),(8)(9)(21)(23),
556,"Rigel Pharmaceuticals, Inc.",3001,2918,,,,,,
557,"RiteDose Holdings I, Inc.",,,,,,,,
558,"RiteDose Holdings I, Inc.",First Lien Secured Debt,"8.41 (3M L+650, 1.00 Floor)",09/13/23,14662,14387,14114,(9),
559,"RiteDose Holdings I, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/22,2000,(32),(57),(8)(9)(21)(23),
560,"RiteDose Holdings I, Inc.",14355,14057,,,,,,
561,"Teladoc, Inc.",,,,,,,,
562,"Teladoc, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/14/20,1306,(6),0,(17)(21)(23),
563,"Teladoc, Inc.",First Lien Secured Debt - Letters of Credit,7.25,05/11/20 - 07/14/20,360,0,0,(17)(23),
564,"Teladoc, Inc.",(6),0,,,,,,
565,"Wright Medical Group, Inc.",,,,,,,,
566,"Wright Medical Group, Inc.",First Lien Secured Debt,"9.43 (1M L+785, 1.00 Floor)",12/23/21,6667,6603,6733,(9)(17),
567,"Wright Medical Group, Inc.",First Lien Secured Debt - Revolver,"5.83 (1M L+425, 0.75 Floor)",12/23/21,7666,7666,7724,(9)(17)(23),
569,High Tech Industries,,,,,,,,
570,Acronis AG,,,,,,,,
571,Acronis AG,First Lien Secured Debt,"7.43 (1M L+585, 1.50 Floor)",12/18/24,21000,20901,20217,(9)(17),
572,American Megatrends,,,,,,,,
573,AMI US Holdings Inc.,First Lien Secured Debt,"6.83 (1M L+525, 1.00 Floor)",04/01/25,21872,21507,21216,(9),
574,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,6.25 (1M L+525),04/01/24,1395,1395,1351,(9)(23),
575,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,6.32 (6M L+525),04/01/24,698,698,675,(9)(23),
576,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,6.83 (1M L+525),04/01/24,581,581,563,(9)(23),
577,AMI US Holdings Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/01/24,233,(46),(7),(8)(9)(21)(23),
578,AMI US Holdings Inc.,24135,23798,,,,,,
579,"Calero Holdings, Inc.",,,,,,,,
580,"Telesoft Holdings, LLC",First Lien Secured Debt,"7.20 (3M L+575, 1.00 Floor)",12/16/25,22727,22240,21723,,
581,"Telesoft Holdings, LLC",First Lien Secured Debt - Revolver,"6.75 (1M L+575, 1.00 Floor)",12/16/25,1515,1515,1448,(23),
582,"Telesoft Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/16/25,758,(49),(33),(8)(21)(23),
583,"Telesoft Holdings, LLC",23706,23138,,,,,,
584,ChargePoint,,,,,,,,
585,"ChargePoint, Inc.",First Lien Secured Debt,"8.13 (1M L+655, 1.25 Floor)",06/01/23,10500,10432,10321,(9),
586,ChyronHego Corporation,,,,,,,,
587,ChyronHego Corporation,First Lien Secured Debt,7.43 (P+468),3/9/20,3725,3725,3650,(27),
588,ChyronHego Corporation,First Lien Secured Debt,7.43 (P+468),3/9/20,34579,34382,29738,(18)(27),
589,ChyronHego Corporation,First Lien Secured Debt,"5.54 (1M L+390, 1.00 Floor)",3/9/20,34753,30630,31625,(27),
590,ChyronHego Corporation,First Lien Secured Debt - Revolver,"5.54 (1M L+390, 1.00 Floor)",3/9/20,5050,5050,4848,(23)(27),
591,ChyronHego Corporation,First Lien Secured Debt - Unfunded Revolver,0.375 Unfunded,3/9/20,700,(678),(28),(8)(21)(23)(27),
592,ChyronHego Corporation,73109,69833,,,,,,
593,Digital Reasoning,,,,,,,,
594,"Digital Reasoning Systems, Inc.",First Lien Secured Debt,"8.25 (1M L+625, 2.00 Floor)",08/01/24,3750,3721,3630,(9),
595,"Digital Reasoning Systems, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,08/01/24,1250,(11),(40),(8)(9)(21)(23),
596,"Digital Reasoning Systems, Inc.",Warrants,N/A,N/A,"48,596 Shares",0,48,(9)(13),
597,"Digital Reasoning Systems, Inc.",3710,3638,,,,,,
598,FiscalNote,,,,,,,,
599,"FiscalNote, Inc.",First Lien Secured Debt,"9.00 (1M L+800, 1.00 Floor)",08/21/23,28431,27905,27075,(9),
600,"FiscalNote, Inc.",First Lien Secured Debt - Revolver,"9.00 (1M L+800, 1.00 Floor)",08/21/23,3867,3867,3654,(9)(23),
601,"FiscalNote, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/21/23,2508,(79),(138),(8)(9)(21)(23),
602,"FiscalNote, Inc.",Preferred Equity - Series F Preferred Stock,N/A,N/A,"259,565 Shares",1500,1500,(9)(13),
603,"FiscalNote, Inc.",33193,32091,,,,,,
604,GoHealth,,,,,,,,
605,"Norvax, LLC",First Lien Secured Debt,"7.96 (3M L+650, 1.00 Floor)",09/15/25,31659,30939,30222,(9),
606,"Norvax, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/24,3182,(71),(129),(8)(9)(21)(23),
607,"Norvax, LLC",30868,30093,,,,,,
608,"International Cruise & Excursion Gallery, Inc.",,,,,,,,
609,"International Cruise & Excursion Gallery, Inc.",First Lien Secured Debt,"6.32 (3M L+525, 1.00 Floor)",06/06/25,14737,14517,13439,,
610,LabVantage Solutions,,,,,,,,
611,LabVantage Solutions Inc.,First Lien Secured Debt,"9.15 (1M L+750, 1.00 Floor)",12/29/20,10324,10274,10221,,
612,LabVantage Solutions Limited,First Lien Secured Debt,"8.50 (1M E+750, 1.00 Floor)",12/29/20,€,10513,11262,11420,(17)
613,LabVantage Solutions Limited,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/29/20,€,3435,(11),(38),(8)(17)(21)(23)
614,LabVantage Solutions Limited,21525,21603,,,,,,
615,Magnitude Software,,,,,,,,
616,New Amsterdam Software BidCo LLC,First Lien Secured Debt,"5.00 (3M E+500, 1.00 Floor)",05/01/26,€,743,819,783,(9)
617,New Amsterdam Software BidCo LLC,First Lien Secured Debt,"6.77 (3M L+500, 1.00 Floor)",05/01/26,6865,6745,6590,(9),
618,New Amsterdam Software BidCo LLC,First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,05/01/26,2250,(20),(90),(8)(9)(21)(23),
619,New Amsterdam Software BidCo LLC,7544,7283,,,,,,
620,MYCOM,,,,,,,,
621,Magnate Holding Corp.,First Lien Secured Debt,"7.32 (6M L+625, 1.00 Floor)",12/16/24,16587,16392,10597,(9)(17),
622,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"7.32 (6M L+625, 1.00 Floor)",12/14/23,1025,1025,655,(9)(17)(23),
623,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"7.23 (6M L+625, 1.00 Floor)",12/14/23,999,999,638,(9)(17)(23),
624,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"7.90 (3M L+625, 1.00 Floor)",12/14/23,666,666,426,(9)(17)(23),
625,Magnate Holding Corp.,First Lien Secured Debt - Unfunded Revolver,1.75 Unfunded,12/14/23,500,(37),(181),(8)(9)(17)(21)(23),
626,Magnate Holding Corp.,First Lien Secured Debt - Letter of Credit,5.00,04/22/20,140,0,(50),(8)(9)(17)(23),
627,Magnate Holding Corp.,19045,12085,,,,,,
628,"Omnitracs, LLC",,,,,,,,
629,"Omnitracs, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/23/23,3750,(201),(375),(8)(21)(23),
630,Schlesinger Group,,,,,,,,
631,"Schlesinger Global, LLC",First Lien Secured Debt,"7.45 (3M L+600, 1.00 Floor)",07/12/25,8984,8764,8764,(9),
632,"Schlesinger Global, LLC",First Lien Secured Debt,"7.00 (1M L+600, 1.00 Floor)",07/12/25,154,151,151,(9),
633,"Schlesinger Global, LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,07/12/25,846,(10),(21),(8)(9)(21)(23),
634,"Schlesinger Global, LLC",8905,8894,,,,,,
635,Simeio,,,,,,,,
636,"Simeio Group Holdings, Inc.",First Lien Secured Debt,"7.53 (3M L+575, 1.00 Floor)",01/30/26,8654,8528,8528,(9),
637,"Simeio Group Holdings, Inc.",First Lien Secured Debt - Revolver,"7.20 (3M L+575, 1.00 Floor)",01/30/26,577,577,568,(9)(23),
638,"Simeio Group Holdings, Inc.",First Lien Secured Debt - Revolver,8.00 (P+475),01/30/26,577,577,568,(9)(23),
639,"Simeio Group Holdings, Inc.",First Lien Secured Debt - Revolver,"6.80 (3M L+575, 1.00 Floor)",01/30/26,577,552,568,(9)(23),
640,"Simeio Group Holdings, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.75 Unfunded,01/30/26,4615,(34),(69),(8)(9)(21)(23),
641,"Simeio Group Holdings, Inc.",10200,10163,,,,,,
642,Sirsi Corporation,,,,,,,,
643,Sirsi Corporation,First Lien Secured Debt,"5.75 (1M L+475, 1.00 Floor)",03/15/24,6895,6813,6722,(9),
644,Sirsi Corporation,First Lien Secured Debt - Revolver,"5.75 (1M L+475, 1.00 Floor)",03/15/24,43,43,42,(9)(23),
645,Sirsi Corporation,First Lien Secured Debt - Revolver,7.00 (P+375),03/15/24,43,43,42,(9)(23),
646,Sirsi Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/15/24,343,(5),(9),(8)(9)(21)(23),
647,Sirsi Corporation,6894,6797,,,,,,
648,Springbrook,,,,,,,,
649,"Springbrook Holding Company, LLC",First Lien Secured Debt,"7.20 (3M L+575, 1.00 Floor)",12/23/26,9853,9691,9656,,
650,"Springbrook Holding Company, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/23/26,1463,(25),(29),(8)(21)(23),
651,"Springbrook Holding Company, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,12/23/26,3658,(34),(73),(8)(21)(23),
652,"Springbrook Holding Company, LLC",9632,9554,,,,,,
653,Telestream Holdings Corporation,,,,,,,,
654,Telestream Holdings Corporation,First Lien Secured Debt,"7.61 (3M L +645, 1.00 Floor)",03/24/22,38085,37891,36942,(18),
655,"ZPower, LLC",,,,,,,,
656,"ZPower, LLC",First Lien Secured Debt,L+600,07/01/22,6716,6853,2066,(9)(13)(14),
657,"ZPower, LLC",Warrants,N/A,N/A,"29,630 Shares",48,0,(9)(13),
658,"ZPower, LLC",6901,2066,,,,,,
660,"Hotel, Gaming, Leisure, Restaurants",,,,,,,,
661,Garden Fresh,,,,,,,,
662,GFRC Holdings LLC,First Lien Secured Debt,L+800 Cash (L+800 PIK Toggle),02/01/22,2500,2500,2425,(13)(14),
664,Insurance,,,,,,,,
665,PGM Holdings Corporation,,,,,,,,
666,"Turbo Buyer, Inc.",First Lien Secured Debt,"7.52 (1M L+600, 1.00 Floor)",12/02/25,11942,11660,11524,(9),
667,"Turbo Buyer, Inc.",First Lien Secured Debt - Revolver,"7.00 (6M L+600, 1.00 Floor)",12/02/25,923,901,891,(9)(23),
668,"Turbo Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/02/25,2105,(25),(74),(8)(9)(21)(23),
669,"Turbo Buyer, Inc.",12536,12341,,,,,,
670,PIB Group,,,,,,,,
671,Ivy Finco Limited,First Lien Secured Debt,5.27 (1M GBPL+500),06/07/25,£,12131,15103,14154,(9)(17)
672,Ivy Finco Limited,First Lien Secured Debt,5.73 (1M GBPL+500),06/07/25,£,2657,3348,3100,(9)(17)
673,Ivy Finco Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.50 Unfunded,06/07/25,£,2712,(131),(198),(8)(9)(17)(21)(23)
674,Ivy Finco Limited,18320,17056,,,,,,
675,Relation Insurance,,,,,,,,
676,"AQ Sunshine, Inc.",First Lien Secured Debt,"7.42 (6M L+550, 1.00 Floor)",04/15/25,17008,16773,16354,(9),
677,"AQ Sunshine, Inc.",First Lien Secured Debt - Revolver,"7.42 (6M L+550, 1.00 Floor)",04/15/24,588,588,569,(9)(23),
678,"AQ Sunshine, Inc.",First Lien Secured Debt - Revolver,"6.57 (3M L+550, 1.00 Floor)",04/15/24,471,471,455,(9)(23),
679,"AQ Sunshine, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/15/24,79,(19),(3),(8)(9)(21)(23),
680,Risk Strategies,,,,,,,,
681,"RSC Acquisition , Inc.",First Lien Secured Debt,"7.28 (3M L+550, 1.00 Floor)",11/02/26,16121,15832,15468,(17),
682,"RSC Acquisition , Inc.",First Lien Secured Debt,"6.95 (3M L+550, 1.00 Floor)",11/02/26,1003,1010,962,(17),
683,"RSC Acquisition , Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/02/26,494,(9),(20),(8)(17)(21)(23),
684,"RSC Acquisition , Inc.",First Lien Secured Debt - Letter of Credit,5.50,04/07/20,5,0,0,(17)(23),
685,"RSC Acquisition , Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,11/02/26,2714,(86),(110),(8)(17)(21)(23),
686,"RSC Acquisition , Inc.",16747,16300,,,,,,
688,"Manufacturing, Capital Equipment",,,,,,,,
689,"AVAD, LLC",,,,,,,,
690,AVAD Canada Ltd.,First Lien Secured Debt - Revolver,"5.58 (1M L+400, 1.00 Floor)",10/02/23,534,534,511,(9)(23),
691,AVAD Canada Ltd.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/02/23,800,(14),(35),(8)(9)(21)(23),
692,"AVAD, LLC",First Lien Secured Debt,"9.33 (1M L+775, 1.00 Floor)",10/02/23,8587,8464,8231,(9),
693,"AVAD, LLC",First Lien Secured Debt - Revolver,"5.58 (1M L+400, 1.00 Floor)",10/02/23,10086,10086,9649,(9)(23),
694,"AVAD, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/02/23,8580,(219),(372),(8)(9)(21)(23),
695,"AVAD, LLC",18851,17984,,,,,,
696,Kauffman,,,,,,,,
697,"Kauffman Holdco, LLC",Common Equity/Interests - Class A Units,N/A,N/A,"250,000 Shares",250,187,(9)(13),
698,"Kauffman Intermediate, LLC",First Lien Secured Debt,"7.20 (3M L+575, 1.00 Floor)",05/08/25,16839,16552,16275,(9),
699,"Kauffman Intermediate, LLC",First Lien Secured Debt - Revolver,"6.97 (3M L+575, 1.00 Floor)",05/08/25,1243,1243,1199,(9)(23),
700,"Kauffman Intermediate, LLC",First Lien Secured Debt - Revolver,"7.50 (3M L+575, 1.00 Floor)",05/08/25,233,233,225,(9)(23),
701,"Kauffman Intermediate, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/08/25,932,(44),(33),(8)(9)(21)(23),
702,"Kauffman Intermediate, LLC",First Lien Secured Debt - Letter of Credit,5.75,07/25/20,155,0,(6),(8)(9)(23),
703,"Kauffman Intermediate, LLC",18234,17847,,,,,,
704,MedPlast Holdings Inc.,,,,,,,,
705,MedPlast Holdings Inc.,Second Lien Secured Debt,9.20 (3M L+775),07/02/26,8000,7937,7538,,
707,Media – Diversified & Production,,,,,,,,
708,New Wave Entertainment,,,,,,,,
709,"NW Entertainment, Inc.",First Lien Secured Debt,"8.00 (1M L+700, 1.00 Floor)",08/16/24,23700,23285,22738,(9),
710,"NW Entertainment, Inc.",First Lien Secured Debt - Revolver,"8.00 (1M L+700, 1.00 Floor)",08/16/24,2400,2400,2297,(9)(23),
711,"NW Entertainment, Inc.",First Lien Secured Debt - Revolver,"8.36 (1M L+700, 1.00 Floor)",08/16/24,600,548,574,(9)(23),
712,"NW Entertainment, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,08/16/24,3000,(52),(122),(8)(9)(21)(23),
713,"NW Entertainment, Inc.",26181,25487,,,,,,
714,Nitro World Entertainment,,,,,,,,
715,NWE OPCO LP,First Lien Secured Debt,"8.50 (1M L+650, 2.00 Floor)",12/19/22,5000,4977,4755,(9),
716,Sonar Entertainment,,,,,,,,
717,"Sonar Entertainment, Inc.",First Lien Secured Debt,"9.18 (1M L+760, 1.25 Floor)",11/15/21,8058,7981,7917,(9),
718,"Sonar Entertainment, Inc.",First Lien Secured Debt - Revolver,"9.18 (1M L+760, 1.25 Floor)",11/15/21,4097,4097,4025,(9)(23),
719,"Sonar Entertainment, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/15/21,18734,(216),(328),(8)(9)(21)(23),
720,"Sonar Entertainment, Inc.",11862,11614,,,,,,
722,Metals & Mining,,,,,,,,
723,"Magnetation, LLC",,,,,,,,
724,"Magnetation, LLC",First Lien Secured Debt,9.91 (6M L+800 Cash (PIK Toggle)),12/31/19,1213,581,0,(13)(14)(26),
726,Retail,,,,,,,,
727,IPS,,,,,,,,
728,"SI Holdings, Inc.",First Lien Secured Debt,"7.45 (3M L+600, 1.00 Floor)",07/25/25,31641,31067,30420,(9),
729,"SI Holdings, Inc.",First Lien Secured Debt - Revolver,"7.45 (3M L+600, 1.00 Floor)",07/25/24,853,853,820,(9)(23),
730,"SI Holdings, Inc.",First Lien Secured Debt - Revolver,"7.20 (3M L+600, 1.00 Floor)",07/25/24,2560,2501,2460,(9)(23),
731,"SI Holdings, Inc.",34421,33700,,,,,,
732,Rapid Displays,,,,,,,,
733,Rapid Displays Acquisition Corporation,First Lien Secured Debt,"6.00 (1M L+500, 1.00 Floor)",07/01/25,440,432,423,(9),
734,Rapid Displays Acquisition Corporation,First Lien Secured Debt,"6.76 (3M L+500, 1.00 Floor)",07/01/25,10385,10203,9991,(9),
735,Rapid Displays Acquisition Corporation,First Lien Secured Debt,"6.78 (3M L+500, 1.00 Floor)",07/01/25,577,571,555,(9),
736,Rapid Displays Acquisition Corporation,First Lien Secured Debt - Revolver,7.25 (P+400),07/01/25,2308,2267,2214,(9)(23),
737,Rapid Displays Acquisition Corporation,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,07/01/25,1154,(15),(44),(8)(9)(21)(23),
738,Rapid Displays Acquisition Corporation,13458,13139,,,,,,
740,Telecommunications,,,,,,,,
741,IPC Corporation,,,,,,,,
742,IPC Corporation,First Lien Secured Debt,"6.78 (3M L+500, 1.00 Floor)",08/06/21,10000,9959,8996,(9),
743,IPC Information Systems UK Holdings Limited,First Lien Secured Debt,"8.21 (3M L+650, 1.50 Floor)",08/06/21,843,815,789,(9)(17),
744,IPC Information Systems UK Holdings Limited,First Lien Secured Debt,"8.24 (3M L+650, 1.50 Floor)",08/06/21,562,543,526,(9)(17),
745,IPC Information Systems UK Holdings Limited,11317,10311,,,,,,
746,"Securus Technologies Holdings, Inc.",,,,,,,,
747,"Securus Technologies Holdings, Inc.",Second Lien Secured Debt,"9.25 (1M L+825, 1.00 Floor)",11/01/25,12878,12788,10817,,
749,"Transportation – Cargo, Distribution",,,,,,,,
750,"Dynamic Product Tankers (Prime), LLC",,,,,,,,
751,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt,8.94 (3M L+700),06/30/23,42000,41870,42000,(17),
752,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt - Letters of Credit,2.25,09/20/20 - 03/31/21,6050,0,0,(17)(23),
753,"Dynamic Product Tankers, LLC (5)",Common Equity/Interests - Class A Units,N/A,N/A,N/A,49806,36457,(13)(17)(24),
754,"Dynamic Product Tankers, LLC (5)",91676,78457,,,,,,
755,Heniff and Superior,,,,,,,,
756,"Heniff Holdco, LLC",First Lien Secured Debt,"7.25 (1M L+575, 1.00 Floor)",12/03/26,31075,30477,29611,(9),
757,"Heniff Holdco, LLC",First Lien Secured Debt - Revolver,"6.75 (1M L+575, 1.00 Floor)",12/03/24,327,327,315,(9)(23),
758,"Heniff Holdco, LLC",First Lien Secured Debt - Revolver,"7.25 (1M L+575, 1.00 Floor)",12/03/24,327,327,315,(9)(23),
759,"Heniff Holdco, LLC",First Lien Secured Debt - Revolver,"6.80 (3M L+575, 1.00 Floor)",12/03/24,981,981,944,(9)(23),
760,"Heniff Holdco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/03/24,2290,(73),(87),(8)(9)(21)(23),
761,"Heniff Holdco, LLC",32039,31098,,,,,,
762,MSEA Tankers LLC,,,,,,,,
763,MSEA Tankers LLC (5),Common Equity/Interests - Class A Units,N/A,N/A,N/A,61950,59735,(17)(25),
765,Wholesale,,,,,,,,
766,Banner Solutions,,,,,,,,
767,"Banner Buyer, LLC",First Lien Secured Debt,"6.75 (1M L+575, 1.00 Floor)",10/31/25,12549,12345,11915,(9),
768,"Banner Buyer, LLC",First Lien Secured Debt - Revolver,"6.75 (1M L+575, 1.00 Floor)",10/31/25,1548,1548,1469,(9)(23),
769,"Banner Buyer, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/31/25,387,(32),(20),(8)(9)(21)(23),
770,"Banner Buyer, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.75 Unfunded,10/31/25,5484,(45),(277),(8)(9)(21)(23),
771,"Banner Parent Holdings, Inc",Common Equity/Interests - Common Stock,N/A,N/A,"5,000 Shares",500,331,(9)(13),
