,Industry,Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
611,Kauffman,"Kauffman Holdco, LLC",Common Equity - Common Stock,N/A,N/A,"250,000 Shares",250,53,(9)(13),
612,Kauffman,"Kauffman Intermediate, LLC",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",05/08/25,16621,16407,16000,(9),
613,Kauffman,"Kauffman Intermediate, LLC",First Lien Secured Debt - Revolver,"7.50 (3M L+650, 1.00 Floor)",05/08/25,388,388,374,(9)(23),
614,Kauffman,"Kauffman Intermediate, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/08/25,699,(33),(26),(8)(9)  (21)(23),
615,Kauffman,"Kauffman Intermediate, LLC",First Lien Secured Debt - Letter of Credit,6.50,07/25/21,155,0,(6),(8)(9)  (23),
618,MedPlast Holdings Inc.,"Viant Medical Holdings, Inc. (fka MedPlast Holdings, Inc.)",Second Lien Secured Debt,7.85 (1M L+775),07/02/26,8000,7950,7486,,
622,New Wave Entertainment,"NW Entertainment, Inc.",First Lien Secured Debt,"10.00 (3M L+700 Cash plus 2.00 PIK, 1.00 Floor)",08/16/24,27145,26821,26199,(9)(19),
623,New Wave Entertainment,"NW Entertainment, Inc.",First Lien Secured Debt - Revolver,"10.00 (3M L+700 Cash plus 2.00 PIK, 1.00 Floor)",08/16/24,3077,3039,2966,(9)(23)  (19),
626,Nitro World Entertainment,NWE OPCO LP,First Lien Secured Debt,"8.50 (1M L+650, 2.00 Floor)",12/19/22,4755,4743,4755,(9),
628,Sonar Entertainment,"Sonar Entertainment, Inc.",First Lien Secured Debt,"8.85 (1M L+760, 1.25 Floor)",11/15/21,4548,4538,3907,(9),
629,Sonar Entertainment,"Sonar Entertainment, Inc.",First Lien Secured Debt - Revolver,"8.85 (1M L+760, 1.25 Floor)",11/15/21,2686,2636,2307,(9)(23),
634,IPS,"SI Holdings, Inc.",First Lien Secured Debt,"7.00 (3M L+600, 1.00 Floor)",07/25/25,31244,30810,30722,(9),
635,IPS,"SI Holdings, Inc.",First Lien Secured Debt - Revolver,"7.00 (3M L+600, 1.00 Floor)",07/25/24,853,853,844,(9)(23),
636,IPS,"SI Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/25/24,2560,(42),(29),(8)(9)  (21)(23),
640,IPC Corporation,IPC Corporation,First Lien Secured Debt,5.19 (3M L+500),08/06/21,10000,9997,9450,(9),
641,IPC Corporation,IPC Information Systems UK Holdings Limited,First Lien Secured Debt,"8.00 (3M L+650, 1.50 Floor)",08/06/21,1405,1402,1368,(9)(17),
644,"Securus Technologies Holdings, Inc.","Securus Technologies Holdings, Inc.",Second Lien Secured Debt,"9.25 (3M L+825, 1.00 Floor)",11/01/25,12878,12808,11268,,
648,Beacon Mobility,Beacon Mobility Corp.,First Lien Secured Debt,"5.75 (3M L+475, 1.00 Floor)",05/22/24,6163,6163,6039,(9),
649,Beacon Mobility,Beacon Mobility Corp.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/22/24,957,(19),(19),(8)(9)  (21)(23),
650,Beacon Mobility,Beacon Mobility Corp.,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,05/22/24,7881,(278),(158),(8)(9)  (21)(23),
653,"Dynamic Product Tankers (Prime), LLC","Dynamic Product Tankers, LLC (5)",Unsecured Debt,5.16 (6M L+500),07/31/24,22000,22000,22000,(17),
654,"Dynamic Product Tankers (Prime), LLC","Dynamic Product Tankers, LLC (5)",Common Equity - Class A Units,N/A,N/A,N/A,49806,20168,(13)(17)  (24)(25),
657,Heniff and Superior,"Heniff Holdco, LLC",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",12/03/26,30686,30184,29655,(9),
658,Heniff and Superior,"Heniff Holdco, LLC",First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",12/03/24,1439,1439,1408,(9)(23),
659,Heniff and Superior,"Heniff Holdco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/03/24,2131,(54),(46),(8)(9)  (21)(23),
660,Heniff and Superior,"Heniff Holdco, LLC",First Lien Secured Debt - Letter of Credit,5.75,02/06/22,355,0,(8),(8)(9)  (23),
663,MSEA Tankers LLC,MSEA Tankers LLC (5),Common Equity - Class A Units,N/A,N/A,N/A,53739,52914,(17)(18)  (25),
667,Banner Solutions,"Banner Buyer, LLC",First Lien Secured Debt,"6.75 (1M L+575, 1.00 Floor)",10/31/25,15416,15234,15303,(9),
668,Banner Solutions,"Banner Buyer, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/31/25,1935,(24),(14),(8)(9)  (21)(23),
669,Banner Solutions,"Banner Buyer, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.75 Unfunded,10/31/25,2452,(35),(17),(8)(9)  (21)(23),
670,Banner Solutions,"Banner Parent Holdings, Inc",Common Equity - Common Stock,N/A,N/A,"6,125 Shares",613,636,(9)(13),
