,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity  Date,Par / Shares (12),Cost (28),Fair  Value (1)(29),,
485,,IPC Corporation,First Lien Secured Debt,"7.26 (3M L+500, 1.00 Floor)",08/06/21,10000,9944,8858,(9),
486,,IPC Information Systems UK Holdings Limited,First Lien Secured Debt,"8.79 (3M L+650, 1.50 Floor)",08/06/21,562,536,534,(9),
487,,IPC Information Systems UK Holdings Limited,First Lien Secured Debt,"8.68 (3M L+650, 1.50 Floor)",08/06/21,843,804,801,(9),
488,,IPC Information Systems UK Holdings Limited,11284,10193,,,,,,
489,,"Securus Technologies Holdings, Inc.",Second Lien Secured Debt,"10.29 (1M L+825, 1.00 Floor)",11/01/25,12878,12780,11343,(10),
491,"Transportation – Cargo, Distribution","Transportation – Cargo, Distribution",,,,,,,,
492,,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt,9.80 (3M L+700),06/30/23,42000,41850,42000,(17),
493,,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt - Letters of Credit,2.25,09/20/20 - 03/31/21,6050,0,0,(17)(23),
494,,"Dynamic Product Tankers, LLC (5)",Common Equity/Interests - Class A Units,N/A,N/A,N/A,49806,36954,(17)(24),
495,,"Dynamic Product Tankers, LLC (5)",91656,78954,,,,,,
496,,MSEA Tankers LLC (5),Common Equity/Interests - Class A Units,N/A,N/A,N/A,61950,61243,(17)(25),
497,,"PT Intermediate Holdings III, LLC",Second Lien Secured Debt,"10.04 (1M L+800, 1.00 Floor)",12/08/25,9375,9302,9375,,
499,Utilities – Electric,Utilities – Electric,,,,,,,,
500,,Asset Repackaging Trust Six B.V.,Structured Products and Other,12.81,05/18/27,58411,26728,34167,(11)(17)(19),
