,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity Date,Par/Shares (12),Cost (26),Fair Value (1)(27),,
529,,"Norvax, LLC",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",09/15/25,31419,30800,31505,(9),
530,,"Norvax, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/24,3182,(59),0,(9)(21)  (23),
531,,"Norvax, LLC",30741,31505,,,,,,
532,"International Cruise & Excursion Gallery, Inc.","International Cruise & Excursion Gallery, Inc.",,,,,,,,
533,,"International Cruise & Excursion Gallery, Inc.",First Lien Secured Debt,"6.25 (3M L+525, 1.00 Floor)",06/06/25,14625,14438,13285,,
534,LabVantage Solutions,LabVantage Solutions,,,,,,,,
535,,LabVantage Solutions Inc.,First Lien Secured Debt,"8.50 (1M L+750, 1.00 Floor)",03/31/21,7938,7926,7938,,
536,,LabVantage Solutions Limited,First Lien Secured Debt,"8.50 (1M E+750, 1.00 Floor)",03/31/21,€,8735,9387,10688,(17)
537,,LabVantage Solutions Limited,17313,18626,,,,,,
538,Magnitude Software,Magnitude Software,,,,,,,,
539,,New Amsterdam Software BidCo LLC,First Lien Secured Debt,"6.00 (3M L+500, 1.00 Floor)",05/01/26,6813,6709,6643,(9),
540,,New Amsterdam Software BidCo LLC,First Lien Secured Debt,"6.00 (3M E+500, 1.00 Floor)",05/01/26,€,732,808,873,(9)
541,,New Amsterdam Software BidCo LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,05/01/26,2250,(17),(56),(8)(9)  (21)(23),
542,,New Amsterdam Software BidCo LLC,7500,7460,,,,,,
543,MYCOM,MYCOM,,,,,,,,
544,,Magnate Holding Corp.,First Lien Secured Debt,"7.75 (3M L+625 plus 1.00 PIK, 0.50 Floor)",12/16/24,17768,17604,14094,(9)(17),
545,,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"7.75 (6M L+625 plus 1.00 PIK, 0.50 Floor)",12/14/23,2905,2905,2304,(9)(17)  (23),
546,,Magnate Holding Corp.,First Lien Secured Debt - Unfunded Revolver,1.75 Unfunded,12/14/23,285,(29),(59),(8)(9)  (17)(21)  (23),
547,,Magnate Holding Corp.,First Lien Secured Debt - Letter of Credit,6.25,04/22/21,140,0,(29),(8)(9)  (17)(23),
548,,Magnate Holding Corp.,20480,16310,,,,,,
549,"Omnitracs, LLC","Omnitracs, LLC",,,,,,,,
550,,"Omnitracs, LLC",First Lien Secured Debt - Unfunded Revolver,0.375 Unfunded,03/23/23,3750,(150),(336),(8)(21)  (23),
551,Schlesinger Group,Schlesinger Group,,,,,,,,
552,,"Schlesinger Global, LLC",First Lien Secured Debt,"7.00 (3M L+600, 1.00 Floor)",07/12/25,9911,9703,9564,(9),
553,Simeio,Simeio,,,,,,,,
554,,"Simeio Group Holdings, Inc.",First Lien Secured Debt,"6.25 (1M L+525, 1.00 Floor)",01/30/26,8589,8480,8503,(9),
555,,"Simeio Group Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/30/26,1731,(22),(17),(8)(9)  (21)(23),
556,,"Simeio Group Holdings, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.75 Unfunded,01/30/26,4615,(29),(51),(8)(9)  (21)(23),
557,,"Simeio Group Holdings, Inc.",8429,8435,,,,,,
558,Sirsi Corporation,Sirsi Corporation,,,,,,,,
559,,Sirsi Corporation,First Lien Secured Debt,"5.75 (1M L+475, 1.00 Floor)",03/15/24,6540,6477,6425,(9),
560,,Sirsi Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/15/24,429,(4),(7),(8)(9)  (21)(23),
561,,Sirsi Corporation,6473,6418,,,,,,
562,Springbrook,Springbrook,,,,,,,,
563,,"Springbrook Holding Company, LLC",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",12/23/26,9779,9636,9616,,
564,,"Springbrook Holding Company, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/23/26,1463,(22),(24),(8)(21)  (23),
565,,"Springbrook Holding Company, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,12/23/26,3659,(31),(61),(8)(21)  (23),
566,,"Springbrook Holding Company, LLC",9583,9531,,,,,,
567,Tax Slayer,Tax Slayer,,,,,,,,
568,,"MEP-TS Midco, LLC",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",12/31/26,34,34,33,(9),
569,,"MEP-TS Midco, LLC",First Lien Secured Debt,"7.50 (6M L+650, 1.00 Floor)",12/31/26,13515,13244,13244,(9),
570,,"MEP-TS Midco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/26,1452,(29),(29),(8)(9)  (21)(23),
571,,"MEP-TS Midco, LLC",13249,13248,,,,,,
572,Telnyx,Telnyx,,,,,,,,
573,,Telnyx LLC,First Lien Secured Debt,"7.75 (1M L+625, 1.50 Floor)",10/21/25,5250,5206,5198,(9),
574,,Telnyx LLC,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,10/21/25,4750,(46),(47),(8)(9)  (21)(23),
575,,Telnyx LLC,5160,5151,,,,,,
577,Insurance,Insurance,,,,,,,,
578,PGM Holdings Corporation,PGM Holdings Corporation,,,,,,,,
579,,"Turbo Buyer, Inc.",First Lien Secured Debt,"6.25 (6M L+525, 1.00 Floor)",12/02/25,13947,13658,13806,(9),
580,,"Turbo Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/02/25,923,(19),(9),(8)(9)  (21)(23),
581,,"Turbo Buyer, Inc.",13639,13797,,,,,,
582,PIB Group,PIB Group,,,,,,,,
583,,Ivy Finco Limited,First Lien Secured Debt,5.83 (6M GBPL+575),06/09/25,£,8836,11004,11876,(9)(17)
584,,Ivy Finco Limited,First Lien Secured Debt,5.83 (6M GBPL+575),07/21/25,£,8664,10788,11646,(9)(17)
585,,Ivy Finco Limited,21792,23522,,,,,,
586,Relation Insurance,Relation Insurance,,,,,,,,
587,,"AQ Sunshine, Inc.",First Lien Secured Debt,"7.00 (6M L+600, 1.00 Floor)",04/15/25,18571,18304,18378,(9),
588,,"AQ Sunshine, Inc.",First Lien Secured Debt - Revolver,"7.00 (6M L+600, 1.00 Floor)",04/15/24,471,471,467,(9)(23),
589,,"AQ Sunshine, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/15/24,668,(15),(5),(8)(9)  (21)(23),
590,,"AQ Sunshine, Inc.",First Lien Secured Debt - Letter of Credit,6.00,04/30/21,38,0,0,(9)(23),
591,,"AQ Sunshine, Inc.",18760,18840,,,,,,
593,"Manufacturing, Capital Equipment","Manufacturing, Capital Equipment",,,,,,,,
594,"AVAD, LLC","AVAD, LLC",,,,,,,,
595,,AVAD Canada Ltd.,First Lien Secured Debt - Revolver,"5.00 (1M L+400, 1.00 Floor)",10/02/23,367,367,365,(9)(23),
596,,AVAD Canada Ltd.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/02/23,967,(11),(4),(8)(9)  (21)(23),
597,,"AVAD, LLC",First Lien Secured Debt,"8.75 (1M L+775, 1.00 Floor)",10/02/23,7883,7794,6602,(9),
598,,"AVAD, LLC",First Lien Secured Debt - Revolver,"5.00 (1M L+400, 1.00 Floor)",10/02/23,8662,8662,8626,(9)(23),
599,,"AVAD, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/02/23,10005,(172),(41),(8)(9)  (21)(23),
600,,"AVAD, LLC",16640,15548,,,,,,
601,Kauffman,Kauffman,,,,,,,,
602,,"Kauffman Holdco, LLC",Common Equity - Common Stock,N/A,N/A,"250,000 Shares",250,54,(9)(13),
603,,"Kauffman Intermediate, LLC",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",05/08/25,16708,16465,15935,(9),
604,,"Kauffman Intermediate, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/08/25,1632,(37),(76),(8)(9)  (21)(23),
605,,"Kauffman Intermediate, LLC",First Lien Secured Debt - Letter of Credit,6.50,07/25/21,155,0,(7),(8)(9)  (23),
606,,"Kauffman Intermediate, LLC",16678,15906,,,,,,
607,MedPlast Holdings Inc.,MedPlast Holdings Inc.,,,,,,,,
608,,MedPlast Holdings Inc.,Second Lien Secured Debt,7.90 (1M L+775),07/02/26,8000,7945,7574,,
610,Media – Diversified & Production,Media – Diversified & Production,,,,,,,,
611,New Wave Entertainment,New Wave Entertainment,,,,,,,,
612,,"NW Entertainment, Inc.",First Lien Secured Debt,"10.00 (3M L+700 Cash plus 2.00 PIK, 1.00 Floor)",08/16/24,26187,25813,24833,(9),
613,,"NW Entertainment, Inc.",First Lien Secured Debt - Revolver,"10.00 (3M L+700 Cash plus 2.00 PIK, 1.00 Floor)",08/16/24,3046,3003,2883,(9)(23),
614,,"NW Entertainment, Inc.",28816,27716,,,,,,
615,Nitro World Entertainment,Nitro World Entertainment,,,,,,,,
616,,NWE OPCO LP,First Lien Secured Debt,"8.50 (1M L+650, 2.00 Floor)",12/19/22,4876,4860,4749,(9),
617,Sonar Entertainment,Sonar Entertainment,,,,,,,,
618,,"Sonar Entertainment, Inc.",First Lien Secured Debt,"8.85 (1M L+760, 1.25 Floor)",11/15/21,7151,7115,6779,(9),
619,,"Sonar Entertainment, Inc.",First Lien Secured Debt - Revolver,"8.85 (1M L+760, 1.25 Floor)",11/15/21,3263,3263,3093,(9)(23),
620,,"Sonar Entertainment, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/15/21,19568,(116),"(1,018)",(8)(9)  (21)(23),
621,,"Sonar Entertainment, Inc.",10262,8854,,,,,,
623,Retail,Retail,,,,,,,,
624,IPS,IPS,,,,,,,,
625,,"SI Holdings, Inc.",First Lien Secured Debt,"6.75 (1M L+575, 1.00 Floor)",07/25/25,31403,30913,30737,(9),
626,,"SI Holdings, Inc.",First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",07/25/24,853,853,839,(9)(23),
627,,"SI Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/25/24,2560,(49),(44),(8)(9)  (21)(23),
628,,"SI Holdings, Inc.",31717,31532,,,,,,
629,Rapid Displays,Rapid Displays,,,,,,,,
630,,Rapid Displays Acquisition Corporation,First Lien Secured Debt,"6.00 (3M L+500, 1.00 Floor)",07/01/25,11192,11027,10776,(9),
631,,Rapid Displays Acquisition Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/01/25,2308,(17),(92),(8)(9)  (21)(23),
632,,Rapid Displays Acquisition Corporation,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,07/01/25,1154,(13),(43),(8)(9)  (21)(23),
633,,Rapid Displays Acquisition Corporation,10997,10641,,,,,,
635,Telecommunications,Telecommunications,,,,,,,,
636,IPC Corporation,IPC Corporation,,,,,,,,
637,,IPC Corporation,First Lien Secured Debt,5.21 (3M L+500),08/06/21,10000,9982,9139,(9),
638,,IPC Information Systems UK Holdings Limited,First Lien Secured Debt,"8.00 (3M L+650, 1.50 Floor)",08/06/21,1405,1384,1335,(9)(17),
639,,IPC Information Systems UK Holdings Limited,11366,10474,,,,,,
640,"Securus Technologies Holdings, Inc.","Securus Technologies Holdings, Inc.",,,,,,,,
641,,"Securus Technologies Holdings, Inc.",Second Lien Secured Debt,"9.25 (6M L+825, 1.00 Floor)",11/01/25,12878,12800,11075,,
643,"Transportation – Cargo, Distribution","Transportation – Cargo, Distribution",,,,,,,,
644,"Dynamic Product Tankers (Prime), LLC","Dynamic Product Tankers (Prime), LLC",,,,,,,,
645,,"Dynamic Product Tankers, LLC (5)",Unsecured Debt,5.31 (6M L+500),07/31/24,22000,22000,22000,(17),
646,,"Dynamic Product Tankers, LLC (5)",Common Equity - Class A Units,N/A,N/A,N/A,49806,25272,(13)(17)  (24)(25),
647,,"Dynamic Product Tankers, LLC (5)",71806,47272,,,,,,
648,Heniff and Superior,Heniff and Superior,,,,,,,,
649,,"Heniff Holdco, LLC",First Lien Secured Debt,"6.75 (1M L+575, 1.00 Floor)",12/03/26,30842,30300,29263,(9),
650,,"Heniff Holdco, LLC",First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",12/03/24,1636,1636,1577,(9)(23),
651,,"Heniff Holdco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/03/24,1935,(62),(69),(8)(9)  (21)(23),
652,,"Heniff Holdco, LLC",First Lien Secured Debt - Letter of Credit,5.75,02/05/21 - 02/06/21,354,0,(12),(8)(9)  (23),
653,,"Heniff Holdco, LLC",31874,30759,,,,,,
654,MSEA Tankers LLC,MSEA Tankers LLC,,,,,,,,
655,,MSEA Tankers LLC (5),Common Equity - Class A Units,N/A,N/A,N/A,59131,59203,(17)(18)  (25),
657,Wholesale,Wholesale,,,,,,,,
658,Banner Solutions,Banner Solutions,,,,,,,,
659,,"Banner Buyer, LLC",First Lien Secured Debt,"6.75 (1M L+575, 1.00 Floor)",10/31/25,41,41,41,(9),
660,,"Banner Buyer, LLC",First Lien Secured Debt,"6.75 (12M L+575, 1.00 Floor)",10/31/25,12414,12238,12281,(9),
661,,"Banner Buyer, LLC",First Lien Secured Debt - Revolver,"6.75 (1M L+575, 1.00 Floor)",10/31/25,387,387,383,(9)(23),
662,,"Banner Buyer, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/31/25,1548,(27),(16),(8)(9)  (21)(23),
663,,"Banner Buyer, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.75 Unfunded,10/31/25,5484,(39),(59),(8)(9)  (21)(23),
664,,"Banner Parent Holdings, Inc",Common Equity - Common Stock,N/A,N/A,"5,000 Shares",500,489,(9)(13),
