,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
503,GFRC Holdings LLC,First Lien Secured Debt,"11.50% (1M L+1000 PIK, 1.50% Floor)",02/01/22,2570,2500,-,(13)(14),
504,Insurance,,,,,,,,
505,PGM Holdings Corporation,,,,,,,,
506,"Turbo Buyer, Inc.",First Lien Secured Debt,"6.95% (3M L+575, 1.00% Floor)",12/02/25,14017,13698,13679,(9),
507,"Turbo Buyer, Inc.",First Lien Secured Debt - Revolver,"6.75% (6M L+575, 1.00% Floor)",12/02/25,923,902,901,(9)(23),
508,PIB Group,,,,,,,,
509,Ivy Finco Limited,First Lien Secured Debt,5.89% (6M GBPL+550),06/07/25,1050,1276,1251,(9)(17),
510,Ivy Finco Limited,First Lien Secured Debt,6.23% (6M GBPL+550),06/07/25,14891,18597,17745,(9)(17),
511,Ivy Finco Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.50% Unfunded,06/07/25,1558,(125),(69),(8)(9)  (17)(21)  (23),
512,Relation Insurance,,,,,,,,
513,"AQ Sunshine, Inc.",First Lien Secured Debt,"6.75% (6M L+575, 1.00% Floor)",04/15/25,17613,17389,17068,(9),
514,"AQ Sunshine, Inc.",First Lien Secured Debt - Revolver,"6.75% (6M L+575, 1.00% Floor)",04/15/24,588,588,573,(9)(23),
515,"AQ Sunshine, Inc.",First Lien Secured Debt - Revolver,"6.82% (6M L+575, 1.00% Floor)",04/15/24,471,471,458,(9)(23),
516,"AQ Sunshine, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,04/15/24,79,(18),(2),(8)(9)  (21)(23),
517,"AQ Sunshine, Inc.",First Lien Secured Debt - Letter of Credit,5.75%,04/30/21,38,-,(1),(8)(9)  (23),
518,"AQ Sunshine, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,04/15/25,1047,(75),(32),(8)(9)  (21)(23),
519,"Manufacturing, Capital Equipment",,,,,,,,
520,"AVAD, LLC",,,,,,,,
521,AVAD Canada Ltd.,First Lien Secured Debt - Revolver,"5.00% (1M L+400, 1.00% Floor)",10/02/23,482,482,469,(9)(23),
522,AVAD Canada Ltd.,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,10/02/23,851,(13),(23),(8)(9)  (21)(23),
523,"AVAD, LLC",First Lien Secured Debt,"8.75% (1M L+775, 1.00% Floor)",10/02/23,8285,8175,8079,(9),
524,"AVAD, LLC",First Lien Secured Debt - Revolver,"5.00% (1M L+400, 1.00% Floor)",10/02/23,7986,7986,7773,(9)(23),
525,"AVAD, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,10/02/23,10681,(204),(284),(8)(9)  (21)(23),
526,Kauffman,,,,,,,,
527,"Kauffman Holdco, LLC",Common Equity - Common Stock,N/A,N/A,"250,000 Shares",250,206,(9)(13),
528,"Kauffman Intermediate, LLC",First Lien Secured Debt,"7.50% (3M L+650, 1.00% Floor)",05/08/25,16796,16523,16445,(9),
529,"Kauffman Intermediate, LLC",First Lien Secured Debt - Revolver,"7.50% (3M L+650, 1.00% Floor)",05/08/25,1476,1476,1445,(9)(23),
530,"Kauffman Intermediate, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,05/08/25,932,(41),(20),(8)(9)  (21)(23),
531,"Kauffman Intermediate, LLC",First Lien Secured Debt - Letter of Credit,6.50%,07/25/20,155,-,(3),(8)(9)  (23),
532,MedPlast Holdings Inc.,,,,,,,,
533,MedPlast Holdings Inc.,Second Lien Secured Debt,7.93% (1M L+775),07/02/26,8000,7940,7457,,
534,Media – Diversified & Production,,,,,,,,
535,New Wave Entertainment,,,,,,,,
536,"NW Entertainment, Inc.",First Lien Secured Debt,"8.00% (1M L+700, 1.00% Floor)",08/16/24,23400,23013,22464,(9),
537,"NW Entertainment, Inc.",First Lien Secured Debt - Revolver,"8.00% (1M L+700, 1.00% Floor)",08/16/24,3000,2951,2874,(9)(23),
538,"NW Entertainment, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,08/16/24,3000,(49),(120),(8)(9)  (21)(23),
539,Nitro World Entertainment,,,,,,,,
540,NWE OPCO LP,First Lien Secured Debt,"8.50% (1M L+650, 2.00% Floor)",12/19/22,5000,4979,4738,(9),
541,Sonar Entertainment,,,,,,,,
542,"Sonar Entertainment, Inc.",First Lien Secured Debt,"8.85% (1M L+760, 1.25% Floor)",11/15/21,7756,7693,7620,(9),
543,"Sonar Entertainment, Inc.",First Lien Secured Debt - Revolver,"8.85% (1M L+760, 1.25% Floor)",11/15/21,3336,3336,3278,(9)(23),
544,"Sonar Entertainment, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,11/15/21,19494,(183),(341),(8)(9)  (21)(23),
545,Metals & Mining,,,,,,,,
546,"Magnetation, LLC",,,,,,,,
547,"Magnetation, LLC",First Lien Secured Debt,9.91% (6M L+800 Cash (PIK Toggle)),12/31/19,1213,581,-,(13)(14)  (26),
548,Retail,,,,,,,,
549,IPS,,,,,,,,
550,"SI Holdings, Inc.",First Lien Secured Debt,"7.00% (3M L+600, 1.00% Floor)",07/25/25,31562,31016,30217,(9),
551,"SI Holdings, Inc.",First Lien Secured Debt - Revolver,"7.00% (3M L+600, 1.00% Floor)",07/25/24,1365,1365,1315,(9)(23),
552,"SI Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,07/25/24,2048,(55),(75),(8)(9)  (21)(23),
553,Rapid Displays,,,,,,,,
554,Rapid Displays Acquisition Corporation,First Lien Secured Debt,"6.00% (3M L+500, 1.00% Floor)",07/01/25,11331,11146,10874,(9),
555,Rapid Displays Acquisition Corporation,First Lien Secured Debt - Revolver,7.25% (P+400),07/01/25,577,577,552,(9)(23),
556,Rapid Displays Acquisition Corporation,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,07/01/25,1731,(38),(75),(8)(9)  (21)(23),
557,Rapid Displays Acquisition Corporation,First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,07/01/25,1154,(14),(47),(8)(9)  (21)(23),
558,Telecommunications,,,,,,,,
559,IPC Corporation,,,,,,,,
560,IPC Corporation,First Lien Secured Debt,5.76% (3M L+500),08/06/21,10000,9966,8972,(9),
561,IPC Information Systems UK Holdings Limited,First Lien Secured Debt,"7.50% (3M L+650, 1.00% Floor)",08/06/21,1405,1366,1317,(9)(17),
562,"Securus Technologies Holdings, Inc.",,,,,,,,
563,"Securus Technologies Holdings, Inc.",Second Lien Secured Debt,"9.25% (6M L+825, 1.00% Floor)",11/01/25,12878,12792,10818,,
564,"Transportation – Cargo, Distribution",,,,,,,,
565,"Dynamic Product Tankers (Prime), LLC",,,,,,,,
566,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt,8.45% (3M L+700),06/30/23,42000,41880,42000,(17),
567,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt - Letters of Credit,2.25%,09/20/20 - 03/31/21,6050,-,-,(17)(23),
568,"Dynamic Product Tankers, LLC (5)",Common Equity - Class A Units,N/A,N/A,N/A,49806,27290,(13)(17)  (24)(28),
569,Heniff and Superior,,,,,,,,
570,"Heniff Holdco, LLC",First Lien Secured Debt,"6.75% (3M L+575, 1.00% Floor)",12/03/26,30997,30418,29537,(9),
571,"Heniff Holdco, LLC",First Lien Secured Debt - Revolver,"6.75% (3M L+575, 1.00% Floor)",12/03/24,1635,1635,1576,(9)(23),
572,"Heniff Holdco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/03/24,1935,(69),(70),(8)(9)  (21)(23),
573,"Heniff Holdco, LLC",First Lien Secured Debt - Letters of Credit,5.75%,02/05/21 - 02/06/21,355,-,(12),(8)(9)  (23),
574,MSEA Tankers LLC,,,,,,,,
575,MSEA Tankers LLC (5),Common Equity - Class A Units,N/A,N/A,N/A,60691,58357,(17)(25)  (28),
576,Wholesale,,,,,,,,
577,Banner Solutions,,,,,,,,
578,"Banner Buyer, LLC",First Lien Secured Debt,"6.75% (1M L+575, 1.00% Floor)",10/31/25,104,102,101,(9),
579,"Banner Buyer, LLC",First Lien Secured Debt,"6.75% (12M L+575, 1.00% Floor)",10/31/25,12414,12220,12013,(9),
580,"Banner Buyer, LLC",First Lien Secured Debt - Revolver,"6.75% (3M L+575, 1.00% Floor)",10/31/25,1548,1548,1498,(9)(23),
581,"Banner Buyer, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,10/31/25,387,(30),(13),(8)(9)  (21)(23),
582,"Banner Buyer, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.75% Unfunded,10/31/25,5484,(43),(177),(8)(9)  (21)(23),
583,"Banner Parent Holdings, Inc",Common Equity - Common Stock,N/A,N/A,"5,000 Shares",500,434,(9)(13)  (28),
