,Company,Business Description,Investment,Interest,Amortized Cost,Fair Value
381,"Driven Brands, Inc. and Driven Holdings, LLC",Automotive aftermarket car care franchisor,"Common stock (25,000 units)",0,25,1492
382,"Eckler Industries, Inc.",Restoration parts and accessories provider for classic automobiles,"First lien senior secured revolving loan ($4,800 par due 7/2017)",8.25% (Base Rate + 5.00%/Q),4800,4560
383,"Eckler Industries, Inc.",Restoration parts and accessories provider for classic automobiles,"First lien senior secured loan ($7,976 par due 7/2017)",7.25% (Libor + 6.00%/Q),7976,7577
384,"Eckler Industries, Inc.",Restoration parts and accessories provider for classic automobiles,"First lien senior secured loan ($29,962 par due 7/2017)",7.25% (Libor + 6.00%/Q),29962,28464
385,"Eckler Industries, Inc.",Restoration parts and accessories provider for classic automobiles,"Series A preferred stock (1,800 shares)",0,1800,261
386,"Eckler Industries, Inc.",Restoration parts and accessories provider for classic automobiles,"Common stock (20,000 shares)",0,200,0
387,"EcoMotors, Inc.",Engine developer,"First lien senior secured loan ($3,788 par due 10/2016)",10.83%,3726,3788
388,"EcoMotors, Inc.",Engine developer,"First lien senior secured loan ($4,545 par due 6/2017)",10.83%,4449,4545
389,"EcoMotors, Inc.",Engine developer,"First lien senior secured loan ($3,146 par due 7/2016)",10.13%,3103,3146
390,"EcoMotors, Inc.",Engine developer,"Warrant to purchase up to 321,888 shares of Series C preferred stock",0,0,43
391,"SK SPV IV, LLC",Collision repair site operators,"Series A common units (12,500 units)",0,625,1987
392,"SK SPV IV, LLC",Collision repair site operators,"Series B common units (12,500 units)",0,625,1987
393,"TA THI Buyer, Inc. and TA THI Parent, Inc.",Collision repair company,"Series A preferred stock (50,000 shares)",0,5000,5607
394,"Genomatica, Inc.",Developer of a biotechnology platform for the production of chemical products,"Warrant to purchase 322,422 shares of Series D preferred stock",0,0,6
395,"K2 Pure Solutions Nocal, L.P.",Chemical producer,"First lien senior secured revolving loan ($2,256 par due 8/2019)",8.13% (Libor + 7.13%/M),2256,2233
396,"K2 Pure Solutions Nocal, L.P.",Chemical producer,"First lien senior secured loan ($21,231 par due 8/2019)",7.00% (Libor + 6.00%/M),21231,21019
397,"K2 Pure Solutions Nocal, L.P.",Chemical producer,"First lien senior secured loan ($39,500 par due 8/2019)",7.00% (Libor + 6.00%/M),39500,39105
398,"K2 Pure Solutions Nocal, L.P.",Chemical producer,"First lien senior secured loan ($19,750 par due 8/2019)",7.00% (Libor + 6.00%/M),19750,19552
399,"Kinestral Technologies, Inc.","Designer of adaptive, dynamic glass for the commercial and residential markets","First lien senior secured loan ($6,500 par due 8/2017)",10.00%,6390,6500
400,"Kinestral Technologies, Inc.","Designer of adaptive, dynamic glass for the commercial and residential markets","Warrant to purchase up to 325,000 shares of Series A preferred stock",0,73,73
401,"Liquid Light, Inc.",Developer and licensor of process technology for the conversion of carbon dioxide into major chemicals,"First lien senior secured loan ($3,000 par due 11/2017)",10.00%,2931,2970
402,"Liquid Light, Inc.",Developer and licensor of process technology for the conversion of carbon dioxide into major chemicals,"Warrant to purchase up to 86,009 shares of Series B preferred stock",0,77,74
403,"RE Community Holdings II, Inc., Pegasus Community Energy, LLC., and MPH Energy Holdings, LP",Operator of municipal recycling facilities,"Preferred stock (1,000 shares)",0,8839,0
404,"RE Community Holdings II, Inc., Pegasus Community Energy, LLC., and MPH Energy Holdings, LP",Operator of municipal recycling facilities,Limited partnership interest (3.13% interest),0,0,0
405,"Waste Pro USA, Inc",Waste management services,"Second lien senior secured loan ($77,500 par due 10/2020)",8.50% (Libor + 7.50%/Q),77500,77500
406,Castle Management Borrower LLC,Hotel operator,"Second lien senior secured loan ($55,000 par due 3/2021)",11.00% (Libor + 10.00%/Q),55000,55000
407,"Athletic Club Holdings, Inc.",Premier health club operator,"First lien senior secured loan ($41,000 par due 10/2020)",9.50% (Libor + 8.50%/M),41000,41000
408,"CFW Co-Invest, L.P., NCP Curves, L.P. and Curves International Holdings, Inc.",Health club franchisor,"Limited partnership interest (4,152,165 shares)",0,4152,3418
409,"CFW Co-Invest, L.P., NCP Curves, L.P. and Curves International Holdings, Inc.",Health club franchisor,"Limited partnership interest (2,218,235 shares)",0,2218,1826
410,"CFW Co-Invest, L.P., NCP Curves, L.P. and Curves International Holdings, Inc.",Health club franchisor,"Common stock (1,680 shares)",0,0,0
411,"Batanga, Inc.",Independent digital media company,"First lien senior secured revolving loan ($4,000 par due 12/2015)",10.00%,4000,4000
412,"Batanga, Inc.",Independent digital media company,"First lien senior secured loan ($6,590 par due 6/2017)",10.60%,6590,6650
413,"Earthcolor Group, LLC",Printing management services,Limited liability company interests (9.30%),0,0,0
414,Summit Business Media Parent Holding Company LLC,Business media consulting services,Limited liability company membership interest (22.99% interest),0,0,705
415,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",Education publications provider,"First lien senior secured loan ($20,454 par due 3/2017)",9.00% (Libor + 7.50%/Q),20454,20249
416,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",Education publications provider,"First lien senior secured loan ($9,500 par due 3/2017)",9.00% (Libor + 7.50%/Q),9500,9405
417,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",Education publications provider,"Preferred stock (10,663 shares)",0,1066,2827
418,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",Education publications provider,"Common stock (15,393 shares)",0,3,7
419,"Flow Solutions Holdings, Inc.","Distributor of high value fluid handling, filtration and flow control products","Second lien senior secured loan ($29,500 par due 10/2018)",11.25% (Base Rate + 8.00%/Q),29500,29500
420,"American Broadband Communications, LLC, American Broadband Holding Company, and Cameron Holdings of NC, Inc.",Broadband communication services,Warrants to purchase up to 208 shares,0,0,8423
421,"American Broadband Communications, LLC, American Broadband Holding Company, and Cameron Holdings of NC, Inc.",Broadband communication services,Warrants to purchase up to 200 shares,0,0,4457
422,"Quantance, Inc.",Designer of semiconductor products to the mobile wireless market,"First lien senior secured loan ($2,831 par due 9/2016)",10.25%,2782,2831
423,"Quantance, Inc.",Designer of semiconductor products to the mobile wireless market,"Warrant to purchase up to 130,432 shares of Series D preferred stock",0,74,102
424,"Startec Equity, LLC(7)",Communication services,Member interest,0,0,0
425,Wilcon Holdings LLC,Communications infrastructure provider,"Class A common stock (2,000,000 shares)",0,1829,2135
426,Powervation Inc. and Powervation Limited(8),Semiconductor company focused on power control and management,"First lien senior secured loan ($3,000 par due 11/2017)",9.04%,2883,3000
427,Powervation Inc. and Powervation Limited(8),Semiconductor company focused on power control and management,"Warrant to purchase up to 11,531 shares of Series D preferred stock",0,0,11
428,"Zemax, LLC",Provider of optical illumination design software to design engineers,"First lien senior secured loan ($2,992 par due 10/2019)",6.50% (Libor + 5.50%/Q),2992,2992
429,Distant Lands Trading Co.,Coffee manufacturer,"Class A common stock (1,294 shares)",0,980,706
430,Distant Lands Trading Co.,Coffee manufacturer,"Class A-1 common stock (2,157 shares)",0,0,0
