,Industry,Company,Business Description,Investment,Interest,Amortized Cost,Fair Value
373,Containers and Packaging,"Charter NEX US Holdings, Inc.",Producer of high-performance specialty films used in flexible packaging,"Second lien senior secured loan ($16,000 par due 2/2023)",9.25% (Libor + 8.25%/Q),15787,15680
374,Containers and Packaging,"GS Pretium Holdings, Inc.",Manufacturer and supplier of high performance plastic containers,"Common stock (500,000 shares)",,500,479
375,Containers and Packaging,"ICSH, Inc.(25)","Industrial container manufacturer, reconditioner and servicer",First lien senior secured revolving loan,,0,0
376,Containers and Packaging,"ICSH, Inc.(25)",,"Second lien senior secured loan ($66,000 par due 12/2019)",10.00% (Libor + 9.00%/Q),66000,66000
377,Containers and Packaging,LBP Intermediate Holdings LLC(25),Manufacturer of paper and corrugated foodservice packaging,First lien senior secured revolving loan,,0,0
378,Containers and Packaging,LBP Intermediate Holdings LLC(25),,"First lien senior secured loan ($24,425 par due 7/2020)",6.50% (Libor + 5.50%/Q),24153,24425
379,Containers and Packaging,LBP Intermediate Holdings LLC(25),,First lien senior secured loan ($193 par due 7/2020),8.00% (Base Rate + 4.50%/Q),191,193
380,Containers and Packaging,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",Keg management solutions provider,"Second lien senior secured loan ($142,500 par due 12/2018)",8.50% (Libor + 7.50%/Q),142500,142500
381,Containers and Packaging,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",,"Common stock (50,000 shares)",,3951,7270
382,Containers and Packaging,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",,,,253082,256547
383,Food and Beverage,American Seafoods Group LLC and American Seafoods Partners LLC(25),Harvester and processor of seafood,"First lien senior secured loan ($19,850 par due 8/2021)",6.00% (Libor + 5.00%/Q),19598,19652
384,Food and Beverage,American Seafoods Group LLC and American Seafoods Partners LLC(25),,"Second lien senior secured loan ($55,000 par due 2/2022)",10.00% (Libor + 9.00%/Q),55000,53900
385,Food and Beverage,American Seafoods Group LLC and American Seafoods Partners LLC(25),,"Class A units (77,922 units)",,78,75
386,Food and Beverage,American Seafoods Group LLC and American Seafoods Partners LLC(25),,"Warrant to purchase up to 7,422,078 Class A units",,7422,7160
387,Food and Beverage,Eagle Family Foods Group LLC,Manufacturer and producer of milk products,"First lien senior secured loan ($64,775 par due 12/2021)",10.05% (Libor + 9.05%/Q),64277,64775
388,Food and Beverage,GF Parent LLC,"Producer of low-acid, aseptic food and beverage products","Class A preferred units (2,940 units)",,2940,2433
389,Food and Beverage,GF Parent LLC,,"Class A common units (59,999.74 units)",,60,0
390,Food and Beverage,"Kettle Cuisine, LLC",Manufacturer of fresh refrigerated and frozen food products,"Second lien senior secured loan ($28,500 par due 2/2022)",10.50% (Libor + 9.50%/Q),28500,28500
391,Food and Beverage,"KeyImpact Holdings, Inc. and JWC/KI Holdings, LLC(25)",Foodservice sales and marketing agency,"First lien senior secured loan ($46,250 par due 11/2021)",7.13% (Libor + 6.13%/Q),46250,45788
392,Food and Beverage,"KeyImpact Holdings, Inc. and JWC/KI Holdings, LLC(25)",,"Membership units (5,000 units)",,5000,5000
393,Food and Beverage,"KeyImpact Holdings, Inc. and JWC/KI Holdings, LLC(25)",,,,229125,227283
394,Automotive Services,"AEP Holdings, Inc. and Arrowhead Holdco Company","Distributor of non-discretionary, mission-critical aftermarket replacement parts","First lien senior secured loan ($45,346 par due 8/2021)",7.25% (Libor + 6.25%/Q),45346,44893
395,Automotive Services,"AEP Holdings, Inc. and Arrowhead Holdco Company",,First lien senior secured loan ($904 par due 8/2021),8.75% (Base Rate + 5.25%/Q),904,895
396,Automotive Services,"AEP Holdings, Inc. and Arrowhead Holdco Company",,"Common stock (2,500 shares)",,2500,2518
397,Automotive Services,"ChargePoint, Inc.",Developer and operator of electric vehicle charging stations,"First lien senior secured loan ($10,000 par due 7/2019)",9.75% (Libor + 8.75%/M),9821,10000
398,Automotive Services,"ChargePoint, Inc.",,"First lien senior secured loan ($10,000 par due 1/2019)",9.75% (Libor + 8.75%/M),9567,10000
399,Automotive Services,"ChargePoint, Inc.",,"Warrant to purchase up to 404,563 shares of Series E preferred stock",,327,327
400,Automotive Services,"Dent Wizard International Corporation and DWH Equity Investors, L.P.",Automotive reconditioning services,"Second lien senior secured loan ($50,000 par due 10/2020)",10.25% (Libor + 9.25%/Q),50000,50000
401,Automotive Services,"Dent Wizard International Corporation and DWH Equity Investors, L.P.",,"Class A Common Stock (10,000 shares)",,333,456
402,Automotive Services,"Dent Wizard International Corporation and DWH Equity Investors, L.P.",,"Class B Common Stock (20,000 shares)",,667,911
403,Automotive Services,"Eckler Industries, Inc.(25)",Restoration parts and accessories provider for classic automobiles,"First lien senior secured revolving loan ($2,000 par due 7/2017)",8.50% (Base Rate + 5.00%/Q),2000,1940
404,Automotive Services,"Eckler Industries, Inc.(25)",,"First lien senior secured loan ($7,054 par due 7/2017)",7.25% (Libor + 6.00%/Q),7054,6842
405,Automotive Services,"Eckler Industries, Inc.(25)",,"First lien senior secured loan ($26,581 par due 7/2017)",7.25% (Libor + 6.00%/Q),26581,25784
406,Automotive Services,"Eckler Industries, Inc.(25)",,"Series A preferred stock (1,800 shares)",,1800,0
407,Automotive Services,"Eckler Industries, Inc.(25)",,"Common stock (20,000 shares)",,200,0
408,Automotive Services,"EcoMotors, Inc.",Engine developer,"First lien senior secured loan ($11,480 par due 3/2018)",11.00%,10855,11480
409,Automotive Services,"EcoMotors, Inc.",,"Warrant to purchase up to 321,888 shares of Series C preferred stock",,0,347
410,Automotive Services,"EcoMotors, Inc.",,"Warrant to purchase up to 70,000 shares of Series C preferred stock",,0,0
411,Automotive Services,"Simpson Performance Products, Inc.",Provider of motorsports safety equipment,"First lien senior secured loan ($5,006 par due 2/2020)",9.80% (Libor + 8.80%/Q),5006,5006
412,Automotive Services,"Simpson Performance Products, Inc.",,"First lien senior secured loan ($19,500 par due 2/2020)",9.80% (Libor + 8.80%/Q),19500,19500
413,Automotive Services,"SK SPV IV, LLC",Collision repair site operators,"Series A common stock (12,500 units)",,571,2679
414,Automotive Services,"SK SPV IV, LLC",,"Series B common stock (12,500 units)",,571,2679
415,Automotive Services,"TA THI Buyer, Inc. and TA THI Parent, Inc.",Collision repair company,"Series A preferred stock (50,000 shares)",,5000,9297
416,Automotive Services,"TA THI Buyer, Inc. and TA THI Parent, Inc.",,,,198603,205554
417,Commercial Real Estate Finance,"10th Street, LLC and New 10th Street, LLC(8)",Real estate holding company,"First lien senior secured loan ($25,320 par due 11/2019)","7.00% Cash, 1.00% PIK",25320,25320
418,Commercial Real Estate Finance,"10th Street, LLC and New 10th Street, LLC(8)",,"Senior subordinated loan ($27,235 par due 11/2019)","7.00% Cash, 1.00% PIK",27235,27235
419,Commercial Real Estate Finance,"10th Street, LLC and New 10th Street, LLC(8)",,Member interest (10.00% interest),,594,44520
420,Commercial Real Estate Finance,"10th Street, LLC and New 10th Street, LLC(8)",,"Option (25,000 units)",,25,25
421,Commercial Real Estate Finance,"Commons R-3, LLC",Real estate developer,Real estate equity interests,,0,135
422,Commercial Real Estate Finance,"Crescent Hotels & Resorts, LLC and affiliates(8)",Hotel operator,"Senior subordinated loan ($2,236 par due 9/2011)",15.00%,0,2670
423,Commercial Real Estate Finance,"Crescent Hotels & Resorts, LLC and affiliates(8)",,Common equity interest,,0,0
424,Commercial Real Estate Finance,"Crescent Hotels & Resorts, LLC and affiliates(8)",,,,53174,99905
425,Chemicals,"Genomatica, Inc.",Developer of a biotechnology platform for the production of chemical products,"Warrant to purchase 322,422 shares of Series D preferred stock",,0,6
426,Chemicals,"K2 Pure Solutions Nocal, L.P.(25)",Chemical Producer,"First lien senior secured revolving loan ($5,000 par due 8/2019)",9.125% (Libor + 8.125%/M),5000,4900
427,Chemicals,"K2 Pure Solutions Nocal, L.P.(25)",,"First lien senior secured loan ($20,694 par due 8/2019)",8.00% (Libor + 7.00%/M),20694,20280
428,Chemicals,"K2 Pure Solutions Nocal, L.P.(25)",,"First lien senior secured loan ($38,500 par due 8/2019)",8.00% (Libor + 7.00%/M),38500,37730
429,Chemicals,"K2 Pure Solutions Nocal, L.P.(25)",,"First lien senior secured loan ($19,250 par due 8/2019)",8.00% (Libor + 7.00%/M),19250,18865
430,Chemicals,"Kinestral Technologies, Inc.","Designer of adaptive, dynamic glass for the commercial and residential markets","First lien senior secured loan ($10,000 par due 10/2018)",8.75% (Libor + 7.75%/M),9856,10000
431,Chemicals,"Kinestral Technologies, Inc.",,"Warrant to purchase up to 325,000 shares of Series A preferred stock",,73,151
432,Chemicals,"Kinestral Technologies, Inc.",,"Warrant to purchase up to 131,883 shares of Series B preferred stock",,0,0
433,Chemicals,"Liquid Light, Inc.",Developer and licensor of process technology for the conversion of carbon dioxide into major chemicals,"First lien senior secured loan ($2,556 par due 11/2017)",10.00%,2518,2556
434,Chemicals,"Liquid Light, Inc.",,"Warrant to purchase up to 86,009 shares of Series B preferred stock",,77,74
435,Chemicals,"Liquid Light, Inc.",,,,95968,94562
436,Hotel Services,"Aimbridge Hospitality Holdings, LLC(25)",Hotel operator,"First lien senior secured loan ($18,305 par due 10/2018)",8.25% (Libor + 7.00%/Q),18066,18305
437,Hotel Services,Castle Management Borrower LLC,Hotel operator,"First lien senior secured loan ($5,940 par due 9/2020)",5.50% (Libor + 4.50%/Q),5940,5940
438,Hotel Services,Castle Management Borrower LLC,,"Second lien senior secured loan ($10,000 par due 3/2021)",11.00% (Libor + 10.00%/Q),10000,10000
439,Hotel Services,Castle Management Borrower LLC,,"Second lien senior secured loan ($55,000 par due 3/2021)",11.00% (Libor + 10.00%/Q),55000,55000
440,Hotel Services,Castle Management Borrower LLC,,,,89006,89245
441,Aerospace and Defense,"Cadence Aerospace, LLC",Aerospace precision components manufacturer,"First lien senior secured loan ($4,074 par due 5/2018)",6.50% (Libor + 5.25%/Q),4057,4074
442,Aerospace and Defense,"Cadence Aerospace, LLC",,"Second lien senior secured loan ($79,657 par due 5/2019)",10.50% (Libor + 9.25%/Q),79657,77267
443,Aerospace and Defense,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.","Provider of specialized engineering, scientific and technical services",Senior preferred stock (775 shares),8.00% PIK,131,131
444,Aerospace and Defense,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.",,"Common stock (1,885,195 shares)",,2291,2504
445,Aerospace and Defense,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.",,,,86136,83976
446,Environmental Services,"RE Community Holdings II, Inc., Pegasus Community Energy, LLC., and MPH Energy Holdings, LP",Operator of municipal recycling facilities,"Preferred stock (1,000 shares)",,8839,0
447,Environmental Services,"RE Community Holdings II, Inc., Pegasus Community Energy, LLC., and MPH Energy Holdings, LP",,Limited partnership interest (3.13% interest),,0,0
448,Environmental Services,"Waste Pro USA, Inc",Waste management services,"Second lien senior secured loan ($76,725 par due 10/2020)",8.50% (Libor + 7.50%/Q),76725,76725
449,Environmental Services,"Waste Pro USA, Inc",,,,85564,76725
450,Health Clubs,"Athletic Club Holdings, Inc.(25)",Premier health club operator,"First lien senior secured loan ($41,000 par due 10/2020)",9.50% (Libor + 8.50%/Q),41000,41000
451,Health Clubs,"CFW Co-Invest, L.P., NCP Curves, L.P. and Curves International Holdings, Inc.",Health club franchisor,"Limited partnership interest (4,152,165 shares)",,4152,3767
452,Health Clubs,"CFW Co-Invest, L.P., NCP Curves, L.P. and Curves International Holdings, Inc.",,"Common stock (1,680 shares)",,0,0
453,Health Clubs,"CFW Co-Invest, L.P., NCP Curves, L.P. and Curves International Holdings, Inc.",,"Limited partnership interest (2,218,235 shares)",,2218,2012
454,Health Clubs,"CFW Co-Invest, L.P., NCP Curves, L.P. and Curves International Holdings, Inc.",,,,47370,46779
455,Wholesale Distribution,"Flow Solutions Holdings, Inc.","Distributor of high value fluid handling, filtration and flow control products","Second lien senior secured loan ($6,000 par due 10/2018)",10.00% (Libor + 9.00%/Q),6000,5820
456,Wholesale Distribution,"Flow Solutions Holdings, Inc.",,"Second lien senior secured loan ($29,500 par due 10/2018)",10.00% (Libor + 9.00%/Q),29500,28615
457,Wholesale Distribution,"Flow Solutions Holdings, Inc.",,,,35500,34435
458,Retail,"Paper Source, Inc. and Pine Holdings, Inc.(25)",Retailer of fine and artisanal paper products,"First lien senior secured loan ($9,800 par due 9/2018)",7.25% (Libor + 6.25%/Q),9800,9800
459,Retail,"Paper Source, Inc. and Pine Holdings, Inc.(25)",,"Class A common stock (36,364 shares)",,6000,7056
460,Retail,"Things Remembered, Inc. and TRM Holdings Corporation(25)",Personalized gifts retailer,"First lien senior secured revolving loan ($3,167 par due 5/2017)",,3126,1868
461,Retail,"Things Remembered, Inc. and TRM Holdings Corporation(25)",,"First lien senior secured loan ($12,878 par due 5/2018)",,12606,7598
462,Retail,"Things Remembered, Inc. and TRM Holdings Corporation(25)",,,,31532,26322
463,Telecommunications,Adaptive Mobile Security Limited(9),Developer of security software for mobile communications networks,"First lien senior secured loan ($3,039 par due 7/2018)",10.00% (Libor + 9.00%/M),3196,3189
464,Telecommunications,Adaptive Mobile Security Limited(9),,First lien senior secured loan ($769 par due 10/2018),10.00% (Libor + 9.00%/M),807,807
465,Telecommunications,"American Broadband Communications, LLC, American Broadband Holding Company, and Cameron Holdings of NC, Inc.",Broadband communication services,Warrant to purchase up to 208 shares,,0,7249
466,Telecommunications,"American Broadband Communications, LLC, American Broadband Holding Company, and Cameron Holdings of NC, Inc.",,Warrant to purchase up to 200 shares,,0,6970
467,Telecommunications,"Startec Equity, LLC(8)",Communication services,Member interest,,0,0
468,Telecommunications,Wilcon Holdings LLC,Communications infrastructure provider,"Class A common stock (2,000,000 shares)",,1829,2620
469,Telecommunications,Wilcon Holdings LLC,,,,5832,20835
470,"Printing, Publishing and Media","Batanga, Inc.(25)",Independent digital media company,"First lien senior secured revolving loan ($3,000 par due 6/2016)",10.00%,3000,3000
471,"Printing, Publishing and Media","Batanga, Inc.(25)",,"First lien senior secured loan ($6,590 par due 6/2017)",10.60%,6590,6650
472,"Printing, Publishing and Media","Earthcolor Group, LLC",Printing management services,Limited liability company interests (9.30%),,0,0
473,"Printing, Publishing and Media","The Teaching Company, LLC and The Teaching Company Holdings, Inc.",Education publications provider,"Preferred stock (10,663 shares)",,1066,3875
474,"Printing, Publishing and Media","The Teaching Company, LLC and The Teaching Company Holdings, Inc.",,"Common stock (15,393 shares)",,3,9
475,"Printing, Publishing and Media","The Teaching Company, LLC and The Teaching Company Holdings, Inc.",,,,10659,13534
476,Computers and Electronics,"Everspin Technologies, Inc.(25)",Designer and manufacturer of computer memory solutions,"First lien senior secured loan ($8,000 par due 6/2019)",8.75% (Libor + 7.75%/M),7533,7840
477,Computers and Electronics,"Everspin Technologies, Inc.(25)",,"Warrant to purchase up to 480,000 shares of Series B preferred stock",,355,355
