,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
400,,,,,,,,,,,,,,,,,,,,2327,,,,2315,,,,0.3,,,,2294,
401,Textile and Leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,"5.11, Inc.*ˆ",,,Senior loan,,,,L + 5.00,,,,6.00,,,,02/2020,,,,991,,,,987,,,,0.1,,,,994,
403,"Southern Tide, LLC  (3)",,,One stop,,,,L + 6.75,,,,No Value,(5),,,06/2019,,,,0,,,,(7,,,,0,,,,0,
404,"Southern Tide, LLCˆ",,,One stop,,,,L + 6.75,,,,7.75,,,,06/2019,,,,4055,,,,4024,,,,0.5,,,,4055,
405,,,,,,,,,,,,,,,,,,,,5046,,,,5004,,,,0.6,,,,5049,
406,Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,"PowerPlan Consultants, Inc.  (3)",,,Senior loan,,,,L + 5.25,,,,No Value,(5),,,02/2021,,,,0,,,,(7,,,,0,,,,0,
408,"PowerPlan Consultants, Inc.",,,Senior loan,,,,L + 5.25,,,,6.25,,,,02/2022,,,,4885,,,,4818,,,,0.6,,,,4885,
409,,,,,,,,,,,,,,,,,,,,4885,,,,4811,,,,0.6,,,,4885,
410,Total debt investments United States,,,,,,,,,,,,,,,,,,,1471217,,,,1452577,,,,178.8,,,,1449603,
411,Fair Value as a percentage of Principal Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,
412,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Shares/ Contracts,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
413,Equity Investments  (9)  (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,NTS Technical Systems,,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,2,,,,1506,,,,0.3,,,,2078,
416,"Tresys Technology Holdings, Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,295,,,,295,,,,0,,,,0,
417,Whitcraft LLC,,,Preferred stock B,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,670,,,,0.1,,,,821,
418,Whitcraft LLC,,,Warrant,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,0,,,,0,,,,160,
419,,,,,,,,,,,,,,,,,,,,,,,,2471,,,,0.4,,,,3059,
420,Automobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,"K&N Engineering, Inc.",,,Preferred stock A,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,0,,,,0,,,,6,
422,"K&N Engineering, Inc.",,,Preferred stock B,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,0,,,,0,,,,6,
423,"K&N Engineering, Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,0,,,,0,,,,47,
424,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,59,
425,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,"Atkins Nutritionals, Inc.",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,57,,,,746,,,,0.4,,,,2996,
427,"C. J. Foods, Inc.",,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,157,,,,0,,,,160,
428,"First Watch Restaurants, Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,9,,,,964,,,,0.2,,,,1481,
429,"Hopdoddy Holdings, LLC",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,27,,,,130,,,,0,,,,130,
430,Julio & Sons Company,,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,521,,,,521,,,,0.1,,,,769,
431,"Northern Brewer, LLC",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,438,,,,362,,,,0,,,,32,
432,"Richelieu Foods, Inc.",,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,220,,,,220,,,,0,,,,197,
433,"Tate's Bake Shop, Inc.",,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,462,,,,0.1,,,,503,
434,Uinta Brewing Company,,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,462,,,,0,,,,192,
435,United Craft Brews LLC,,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,657,,,,0.1,,,,653,
436,,,,,,,,,,,,,,,,,,,,,,,,4681,,,,0.9,,,,7113,
437,Buildings and Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,"Brooks Equipment Company, LLC",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,10,,,,1021,,,,0.1,,,,892,
439,"Chemicals, Plastics and Rubber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,"Flexan, LLC",,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,73,,,,0,,,,75,
441,"Flexan, LLC",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,0,,,,0,,,,14,
442,,,,,,,,,,,,,,,,,,,,,,,,73,,,,0,,,,89,
443,"Containers, Packaging and Glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,"Packaging Coordinators, Inc.  (8)",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,25,,,,2065,,,,0.3,,,,2533,
445,"Packaging Coordinators, Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,48,,,,1563,,,,0.3,,,,2205,
446,,,,,,,,,,,,,,,,,,,,,,,,3628,,,,0.6,,,,4738,
447,Diversified Conglomerate Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,"Chase Industries, Inc.",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,1186,,,,0.2,,,,1509,
449,ICCN Acquisition Corp.,,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,370,,,,0,,,,360,
450,ICCN Acquisition Corp.,,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,0,,,,0,,,,0,
451,"Sunless Merger Sub, Inc.",,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,160,,,,0,,,,0,
452,,,,,,,,,,,,,,,,,,,,,,,,1716,,,,0.2,,,,1869,
453,Diversified Conglomerate Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,"Actiance, Inc.",,,Warrant,,,,No Value,,,,No Value,,,,No Value,,,,344,,,,82,,,,0,,,,82,
455,Agility Recovery Solutions Inc.,,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,67,,,,430,,,,0.1,,,,447,
456,"Daxko, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,219,,,,219,,,,0,,,,343,
457,DISA Holdings Acquisition Subsidiary Corp.,,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,154,,,,0,,,,72,
458,"HealthcareSource HR, Inc.",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,348,,,,0,,,,348,
459,"Host Analytics, Inc.",,,Warrant,,,,No Value,,,,No Value,,,,No Value,,,,180,,,,0,,,,0,,,,98,
460,"Marathon Data Operating Co., LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,264,,,,0,,,,0,
461,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Shares/ Contracts,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
462,Diversified Conglomerate Service – (continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,"Marathon Data Operating Co., LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,264,,,,0.1,,,,604,
464,"PC Helps Support, LLC",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,7,,,,0,,,,0,
465,"PC Helps Support, LLC",,,Preferred stock A,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,61,,,,0,,,,62,
466,"Secure-24, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,263,,,,263,,,,0.1,,,,379,
467,"Steelwedge Software, Inc.",,,Warrant,,,,No Value,,,,No Value,,,,No Value,,,,36575,,,,76,,,,0,,,,76,
468,"TA MHI Buyer, Inc.",,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,202,,,,0,,,,202,
469,"Vendavo, Inc.",,,Preferred stock A,,,,No Value,,,,No Value,,,,No Value,,,,827,,,,827,,,,0.2,,,,1198,
470,,,,,,,,,,,,,,,,,,,,,,,,3197,,,,0.5,,,,3911,
471,Electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,"ECI Acquisition Holdings, Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,9,,,,873,,,,0.2,,,,1027,
473,"Gamma Technologies, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,134,,,,0,,,,134,
474,"SEI, Inc.",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,340,,,,340,,,,0,,,,340,
475,"Sloan Company, Inc., The",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,14,,,,0,,,,14,
476,"Sloan Company, Inc., The",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,122,,,,0,,,,122,
477,Sparta Holding Corporation,,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,567,,,,0.1,,,,629,
478,Sparta Holding Corporation,,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,235,,,,6,,,,0,,,,208,
479,,,,,,,,,,,,,,,,,,,,,,,,2056,,,,0.3,,,,2474,
480,Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,"MyWebGrocer, Inc.",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,1418,,,,1446,,,,0.2,,,,1389,
482,"Healthcare, Education and Childcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,"Advanced Pain Management Holdings,  Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,67,,,,67,,,,0,,,,0,
484,"Advanced Pain Management Holdings,  Inc.",,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,8,,,,829,,,,0.1,,,,871,
485,"Advanced Pain Management Holdings,  Inc.",,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,64,,,,0,,,,194,
486,"Avatar International, LLC",,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,741,,,,0,,,,0,
487,"California Cryobank, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,28,,,,0,,,,32,
488,"California Cryobank, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,0,,,,0,,,,5,
489,Certara L.P.,,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,635,,,,0.1,,,,923,
490,"DCA Investment Holding, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,65,,,,6,,,,0,,,,6,
491,"DCA Investment Holding, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,6386,,,,639,,,,0.1,,,,639,
492,Deca Dental Management LLC,,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,357,,,,357,,,,0,,,,357,
493,Dental Holdings Corporation,,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,734,,,,734,,,,0.1,,,,736,
494,"Dialysis Newco, Inc. (DSI Renal)",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,871,,,,0,,,,0.5,,,,3447,
495,"Encore GC Acquisition, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,14,,,,141,,,,0,,,,143,
496,"Encore GC Acquisition, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,14,,,,0,,,,0,,,,0,
497,"G & H Wire Company, Inc",,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,102,,,,0,,,,122,
498,"Global Healthcare Exchange, LLC",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,5,,,,0,,,,111,
499,"Global Healthcare Exchange, LLC",,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,481,,,,0.1,,,,547,
500,"IntegraMed America, Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,875,,,,0,,,,281,
501,"Katena Holdings, Inc.",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,387,,,,0.1,,,,387,
502,"Northwestern Management Services,  LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,3,,,,3,,,,0,,,,228,
503,"Northwestern Management Services,  LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,249,,,,0,,,,309,
504,"Pentec Acquisition Sub, Inc.",,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,116,,,,,,,,252,
505,"Radiology Partners, Inc.",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,43,,,,85,,,,0,,,,82,
506,"Reliant Pro ReHab, LLC",,,Preferred stock A,,,,No Value,,,,No Value,,,,No Value,,,,2,,,,183,,,,0.2,,,,956,
507,RXH Buyer Corporation,,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,7,,,,683,,,,0.1,,,,683,
508,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Shares/ Contracts,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
509,"Healthcare, Education and Childcare – (continued)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Southern Anesthesia and Surgical,,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,487,,,,487,,,,0.1,,,,794,
511,"Spear Education, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,1,,,,0,,,,20,
512,"Spear Education, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,86,,,,0,,,,94,
513,"Surgical Information Systems, LLC",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,4,,,,414,,,,0.1,,,,681,
514,"Young Innovations, Inc.",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,236,,,,0,,,,346,
515,,,,,,,,,,,,,,,,,,,,,,,,8634,,,,1.6,,,,13246,
516,"Home and Office Furnishings,  Housewares, and Durable Consumer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,"Top Knobs USA, Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,3,,,,27,,,,0,,,,231,
518,Zenith Products Corporation,,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,0,,,,0,,,,0,
519,,,,,,,,,,,,,,,,,,,,,,,,27,,,,0,,,,231,
520,Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,"Captive Resources Midco, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,0,,,,0,,,,146,
522,"Internet Pipeline, Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,43,,,,1,,,,0,,,,1,
523,"Internet Pipeline, Inc.",,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,98,,,,0,,,,98,
524,,,,,,,,,,,,,,,,,,,,,,,,99,,,,0,,,,245,
525,Investment Funds and Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Senior Loan Fund LLC  (7)  (8),,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,23222,,,,23222,,,,2.8,,,,22373,
527,"Leisure, Amusement, Motion Pictures and Entertainment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"Competitor Group, Inc.",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,714,,,,0,,,,22,
529,"LMP TR Holdings, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,712,,,,712,,,,0,,,,22,
530,"Starplex Operating, L.L.C.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,183,,,,0.1,,,,409,
531,"Titan Fitness, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,6,,,,583,,,,0.1,,,,827,
532,,,,,,,,,,,,,,,,,,,,,,,,2192,,,,0.2,,,,1280,
533,Personal and Non-Durable Consumer Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,"C.B. Fleet Company, Incorporated",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,2,,,,174,,,,0,,,,268,
535,The Hygenic Corporation,,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,61,,,,0,,,,87,
536,"Massage Envy, LLC",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,749,,,,749,,,,0.2,,,,1058,
537,Team Technologies Acquisition Company,,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,114,,,,0,,,,351,
538,,,,,,,,,,,,,,,,,,,,,,,,1098,,,,0.2,,,,1764,
539,"Personal, Food and Miscellaneous Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,R.G. Barry Corporation,,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,161,,,,0,,,,157,
541,Vetcor Professional Practices LLC,,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,85,,,,85,,,,0,,,,85,
542,Vetcor Professional Practices LLC,,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,766,,,,766,,,,0.1,,,,766,
543,,,,,,,,,,,,,,,,,,,,,,,,1012,,,,0.1,,,,1008,
544,Printing and Publishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,"Market Track, LLC",,,Preferred stock,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,145,,,,0,,,,195,
546,"Market Track, LLC",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,1,,,,145,,,,0,,,,272,
547,,,,,,,,,,,,,,,,,,,,,,,,290,,,,0,,,,467,
548,Retail Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,"Barcelona Restaurants, LLC  (8)  (11)",,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,1996,,,,1996,,,,0.7,,,,5523,
550,"Benihana, Inc.",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,43,,,,699,,,,0.1,,,,595,
551,"Cycle Gear, Inc.",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,15,,,,150,,,,0,,,,153,
552,"DentMall MSO, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,2,,,,0,,,,0,,,,0,
553,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Shares/ Contracts,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
554,Retail Stores – (continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,"DentMall MSO, LLC",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,2,,,,97,,,,0,,,,106,
556,"Elite Sportswear, L.P.",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,73,,,,0,,,,71,
557,"Express Oil Change, LLC",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,81,,,,81,,,,0,,,,153,
558,"Marshall Retail Group LLC, The",,,LLC units,,,,No Value,,,,No Value,,,,No Value,,,,15,,,,154,,,,0,,,,59,
559,"Paper Source, Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,8,,,,1387,,,,0.2,,,,1455,
560,RCP PetPeople LP,,,LP interest,,,,No Value,,,,No Value,,,,No Value,,,,889,,,,889,,,,0.2,,,,1331,
561,RCPSI Corporation,,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,455,,,,455,,,,0.1,,,,455,
562,"Rubio's Restaurants, Inc.",,,Preferred stock A,,,,No Value,,,,No Value,,,,No Value,,,,2,,,,945,,,,0.3,,,,2711,
563,"Sneaker Villa, Inc.",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,4,,,,411,,,,0.1,,,,583,
564,SSH Corporation,,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,40,,,,0,,,,146,
565,,,,,,,,,,,,,,,,,,,,,,,,7377,,,,1.7,,,,13341,
566,Textiles and Leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,"Southern Tide, LLC",,,LLC interest,,,,No Value,,,,No Value,,,,No Value,,,,2,,,,191,,,,0,,,,222,
568,Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,"PowerPlan Holdings, Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,0,,,,303,,,,0,,,,319,
570,"PowerPlan Holdings, Inc.",,,Common stock,,,,No Value,,,,No Value,,,,No Value,,,,151,,,,3,,,,0,,,,92,
571,,,,,,,,,,,,,,,,,,,,,,,,306,,,,0,,,,411,
572,Total equity investments United States,,,,,,,,,,,,,,,,,,,,,,,64737,,,,9.8,,,,80181,
573,Total United States,,,,,,,,,,,,,,,,,,,,,,,1517314,,,,188.6,,,,1529784,
574,Total Investments,,,,,,,,,,,,,,,,,,,,,,,1517314,,,,188.6,,,,1529784,
575,"Cash, Restricted Cash and Cash Equivalents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Cash and Restricted Cash,,,,,,,,,,,,,,,,,,,,,,,20137,,,,2.5,,,,20137,
577,BlackRock Liquidity Funds T-Fund Institutional Shares (CUSIP 09248U718),,,,,,,,,,,,,,,,,,,,,,,13367,,,,1.6,,,,13367,
578,BNY Mellon US Dollar Liquidity Fund Institutional Shares  (CUSIP G1206E235),,,,,,,,,,,,,,,,,,,,,,,18430,,,,2.3,,,,18430,
579,US Bank Money Market Account  (CUSIP 9AMMF05B2),,,,,,,,,,,,,,,,,,,,,,,45550,,,,5.6,,,,45550,
580,"Total Cash, Restricted Cash and Cash Equivalents",,,,,,,,,,,,,,,,,,,,,,,97484,,,,12.0,,,,97484,
581,"Total Investments and Cash, Restricted Cash and Cash Equivalents",,,,,,,,,,,,,,,,,,,,,,,1614798,,,,200.6,,,,1627268,
582,,(3),The negative fair value is the result of the capitalized discount on the loan or the unfunded commitment being valued below par. The negative cost is the result of the capitalized discount being greater than the principal amount outstanding on the loan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,,(5),"The entire commitment was unfunded at September 30, 2015. As such, no interest is being earned on this investment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
