,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
612,,"Lombart Brothers, Inc.  ^*#~",One stop,,L + 6.25,(c),,7.25,,04/2023,,29027,,,29375,,,1.2,,,27577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,,"Lombart Brothers, Inc.  ^#(8)(9)",One stop,,L + 6.25,(c),,7.25,,04/2023,,3125,,,3163,,,0.1,,,2969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,,"Lombart Brothers, Inc.",One stop,,L + 6.25,(a),,7.25,,04/2023,,280,,,280,,,-,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,,"Lombart Brothers, Inc.  (8)(9)",One stop,,L + 6.25,(a),,7.25,,04/2023,,50,,,49,,,-,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,,"MD Now Holdings, Inc.  +!",One stop,,L + 5.00,(d),,6.07,,08/2024,,14580,,,14745,,,0.6,,,13997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,,"MD Now Holdings, Inc.",One stop,,L + 5.00,(d),,6.07,,08/2024,,622,,,621,,,-,,,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,,"MD Now Holdings, Inc.",One stop,,L + 5.00,(c),,6.00,,08/2024,,300,,,299,,,-,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,,"MWD Management, LLC & MWD Services, Inc.  #+",One stop,,L + 5.25,(c),,6.25,,06/2023,,7034,,,7023,,,0.3,,,6612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,,"MWD Management, LLC & MWD Services, Inc.  ^#",One stop,,L + 5.25,(c),,6.25,,06/2023,,4529,,,4614,,,0.2,,,4257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,,"MWD Management, LLC & MWD Services, Inc.  (5)",One stop,,L + 5.25,,,N/A  (6),,06/2022,,-,,,(1),,,-,,,(10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> GSBD
622,,"Oliver Street Dermatology Holdings, LLC  #(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,19296,,,17701,,,0.4,,,10257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,,"Oliver Street Dermatology Holdings, LLC  *#(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,2239,,,1920,,,0.1,,,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,,,Investment  Type,,Spread  Above  Index  (1),,,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,,"Healthcare, Education and Childcare - (continued)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,,"Oliver Street Dermatology Holdings, LLC  (7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,,2122,,,,1937,,,0.1,,,,1128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
627,,"Oliver Street Dermatology Holdings, LLC  ^(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,1606,,,1377,,,0,,,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,,"Oliver Street Dermatology Holdings, LLC  *(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,1419,,,1216,,,0,,,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,,"Oliver Street Dermatology Holdings, LLC  *(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,1235,,,1059,,,0,,,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,,"Oliver Street Dermatology Holdings, LLC  ^(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,962,,,825,,,0,,,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,,"Oliver Street Dermatology Holdings, LLC  *(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,834,,,715,,,0,,,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,,"Oliver Street Dermatology Holdings, LLC  (7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,514,,,441,,,0,,,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,,"Oliver Street Dermatology Holdings, LLC  (7)",One stop,,L + 6.25,(c)(f),,7.25,,05/2022,,291,,,268,,,0,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,,"Oliver Street Dermatology Holdings, LLC  ^#(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,98,,,89,,,0,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,,"Oliver Street Dermatology Holdings, LLC  *#(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,88,,,81,,,0,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,,"Oliver Street Dermatology Holdings, LLC  ^#(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,70,,,63,,,0,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,,"Oliver Street Dermatology Holdings, LLC  ^#(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,64,,,59,,,0,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,,"ONsite Mammography, LLC  ~",One stop,,L + 6.25,(d),,7.32,,11/2023,,7668,,,7709,,,0.3,,,7361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,,"ONsite Mammography, LLC",One stop,,L + 6.25,(c),,7.25,,11/2023,,100,,,102,,,0,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,,"ONsite Mammography, LLC",One stop,,L + 6.25,(c)(d),,7.29,,11/2023,,29,,,28,,,0,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,,"Pinnacle Treatment Centers, Inc.  #",One stop,,L + 6.25,(c),,7.25,,01/2023,,19180,,,19344,,,0.8,,,19180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,,"Pinnacle Treatment Centers, Inc.  *",One stop,,L + 6.25,(c),,7.25,,01/2023,,7813,,,7747,,,0.3,,,7813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,,"Pinnacle Treatment Centers, Inc.  #",One stop,,L + 6.25,(c),,7.25,,01/2023,,1574,,,1580,,,0.1,,,1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,,"Pinnacle Treatment Centers, Inc.  +~",One stop,,L + 6.25,(c),,7.25,,01/2023,,711,,,718,,,0,,,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,,"Pinnacle Treatment Centers, Inc.",One stop,,L + 6.25,(c),,7.25,,01/2023,,188,,,189,,,0,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,,"Pinnacle Treatment Centers, Inc.  ^",One stop,,L + 6.25,(c),,7.25,,01/2023,,108,,,108,,,0,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,,"Pinnacle Treatment Centers, Inc.",One stop,,P + 5.00,(c)(f),,7.96,,01/2023,,81,,,81,,,0,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,,"Pinnacle Treatment Centers, Inc.  (5)",One stop,,L + 6.25,,,N/A  (6),,01/2023,,0,,,(1),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,,"PPT Management Holdings, LLC  +",One stop,,L + 6.75,(c)(d),,7.32 cash/0.75 PIK,,12/2022,,25010,,,23678,,,0.9,,,19999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,,"PPT Management Holdings, LLC",One stop,,L + 6.75,(c)(d),,7.29 cash/0.75 PIK,,12/2022,,418,,,392,,,0,,,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,,"PPT Management Holdings, LLC",One stop,,L + 6.75,(c)(d),,7.32 cash/0.75 PIK,,12/2022,,304,,,291,,,0,,,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,,"PPT Management Holdings, LLC",One stop,,L + 6.75,(c)(d),,7.32 cash/0.75 PIK,,12/2022,,180,,,172,,,0,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,,"PPT Management Holdings, LLC",One stop,,L + 6.75,(c)(d),,7.32 cash/0.75 PIK,,12/2022,,88,,,79,,,0,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,,"Pyramid Healthcare, Inc.  *+",One stop,,L + 6.50,(c),,7.50,,08/2020,,15021,,,15020,,,0.6,,,15021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,,"Pyramid Healthcare, Inc.",One stop,,L + 6.50,(c),,7.61,,08/2020,,462,,,462,,,0,,,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,,"Pyramid Healthcare, Inc.",One stop,,L + 6.50,(c),,7.50,,08/2020,,334,,,336,,,0,,,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,,"Pyramid Healthcare, Inc.",One stop,,L + 6.50,(c),,7.50,,08/2020,,292,,,292,,,0,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,,"Pyramid Healthcare, Inc.",One stop,,L + 6.50,(c),,7.50,,08/2020,,112,,,112,,,0,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,,"Pyramid Healthcare, Inc.",One stop,,L + 6.50,(c),,7.66,,08/2020,,45,,,45,,,0,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,,"Pyramid Healthcare, Inc.",One stop,,L + 6.50,,,N/A  (6),,08/2020,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,,"Riverchase MSO, LLC  *#",Senior loan,,L + 5.75,(c),,6.75,,10/2022,,9645,,,9781,,,0.4,,,8970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,,"Riverchase MSO, LLC",Senior loan,,L + 5.75,(a),,6.75,,10/2022,,130,,,130,,,0,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,,RXH Buyer Corporation  ^*#!,One stop,,L + 5.75,(c),,6.75,,09/2021,,27597,,,27828,,,1.2,,,27597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,,RXH Buyer Corporation  *#,One stop,,L + 5.75,(c),,6.75,,09/2021,,3124,,,3150,,,0.1,,,3124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,,RXH Buyer Corporation,One stop,,L + 5.75,(c),,6.75,,09/2021,,100,,,101,,,0,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======
627,,"Oliver Street Dermatology Holdings, LLC  ^(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,1606,,,1377,,,-,,,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,,"Oliver Street Dermatology Holdings, LLC  *(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,1419,,,1216,,,-,,,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,,"Oliver Street Dermatology Holdings, LLC  *(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,1235,,,1059,,,-,,,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,,"Oliver Street Dermatology Holdings, LLC  ^(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,962,,,825,,,-,,,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,,"Oliver Street Dermatology Holdings, LLC  *(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,834,,,715,,,-,,,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,,"Oliver Street Dermatology Holdings, LLC  (7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,514,,,441,,,-,,,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,,"Oliver Street Dermatology Holdings, LLC  (7)",One stop,,L + 6.25,(c)(f),,7.25,,05/2022,,291,,,268,,,-,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,,"Oliver Street Dermatology Holdings, LLC  ^#(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,98,,,89,,,-,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,,"Oliver Street Dermatology Holdings, LLC  *#(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,88,,,81,,,-,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,,"Oliver Street Dermatology Holdings, LLC  ^#(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,70,,,63,,,-,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,,"Oliver Street Dermatology Holdings, LLC  ^#(7)",One stop,,L + 6.25,(c),,7.25,,05/2022,,64,,,59,,,-,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,,"ONsite Mammography, LLC  ~",One stop,,L + 6.25,(d),,7.32,,11/2023,,7668,,,7709,,,0.3,,,7361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,,"ONsite Mammography, LLC",One stop,,L + 6.25,(c),,7.25,,11/2023,,100,,,102,,,-,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,,"ONsite Mammography, LLC",One stop,,L + 6.25,(c)(d),,7.29,,11/2023,,29,,,28,,,-,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,,"Pinnacle Treatment Centers, Inc.  #",One stop,,L + 6.25,(c),,7.25,,01/2023,,19180,,,19344,,,0.8,,,19180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,,"Pinnacle Treatment Centers, Inc.  *",One stop,,L + 6.25,(c),,7.25,,01/2023,,7813,,,7747,,,0.3,,,7813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,,"Pinnacle Treatment Centers, Inc.  #",One stop,,L + 6.25,(c),,7.25,,01/2023,,1574,,,1580,,,0.1,,,1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,,"Pinnacle Treatment Centers, Inc.  +~",One stop,,L + 6.25,(c),,7.25,,01/2023,,711,,,718,,,-,,,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,,"Pinnacle Treatment Centers, Inc.",One stop,,L + 6.25,(c),,7.25,,01/2023,,188,,,189,,,-,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,,"Pinnacle Treatment Centers, Inc.  ^",One stop,,L + 6.25,(c),,7.25,,01/2023,,108,,,108,,,-,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,,"Pinnacle Treatment Centers, Inc.",One stop,,P + 5.00,(c)(f),,7.96,,01/2023,,81,,,81,,,-,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,,"Pinnacle Treatment Centers, Inc.  (5)",One stop,,L + 6.25,,,N/A  (6),,01/2023,,-,,,(1),,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,,"PPT Management Holdings, LLC  +",One stop,,L + 6.75,(c)(d),,7.32 cash/0.75 PIK,,12/2022,,25010,,,23678,,,0.9,,,19999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,,"PPT Management Holdings, LLC",One stop,,L + 6.75,(c)(d),,7.29 cash/0.75 PIK,,12/2022,,418,,,392,,,-,,,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,,"PPT Management Holdings, LLC",One stop,,L + 6.75,(c)(d),,7.32 cash/0.75 PIK,,12/2022,,304,,,291,,,-,,,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,,"PPT Management Holdings, LLC",One stop,,L + 6.75,(c)(d),,7.32 cash/0.75 PIK,,12/2022,,180,,,172,,,-,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,,"PPT Management Holdings, LLC",One stop,,L + 6.75,(c)(d),,7.32 cash/0.75 PIK,,12/2022,,88,,,79,,,-,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,,"Pyramid Healthcare, Inc.  *+",One stop,,L + 6.50,(c),,7.50,,08/2020,,15021,,,15020,,,0.6,,,15021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,,"Pyramid Healthcare, Inc.",One stop,,L + 6.50,(c),,7.61,,08/2020,,462,,,462,,,-,,,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,,"Pyramid Healthcare, Inc.",One stop,,L + 6.50,(c),,7.50,,08/2020,,334,,,336,,,-,,,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,,"Pyramid Healthcare, Inc.",One stop,,L + 6.50,(c),,7.50,,08/2020,,292,,,292,,,-,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,,"Pyramid Healthcare, Inc.",One stop,,L + 6.50,(c),,7.50,,08/2020,,112,,,112,,,-,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,,"Pyramid Healthcare, Inc.",One stop,,L + 6.50,(c),,7.66,,08/2020,,45,,,45,,,-,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,,"Pyramid Healthcare, Inc.",One stop,,L + 6.50,,,N/A  (6),,08/2020,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,,"Riverchase MSO, LLC  *#",Senior loan,,L + 5.75,(c),,6.75,,10/2022,,9645,,,9781,,,0.4,,,8970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,,"Riverchase MSO, LLC",Senior loan,,L + 5.75,(a),,6.75,,10/2022,,130,,,130,,,-,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,,RXH Buyer Corporation  ^*#!,One stop,,L + 5.75,(c),,6.75,,09/2021,,27597,,,27828,,,1.2,,,27597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,,RXH Buyer Corporation  *#,One stop,,L + 5.75,(c),,6.75,,09/2021,,3124,,,3150,,,0.1,,,3124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,,RXH Buyer Corporation,One stop,,L + 5.75,(c),,6.75,,09/2021,,100,,,101,,,-,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> GSBD
666,,"SLMP, LLC  ^#",One stop,,L + 6.00,(d),,7.07,,05/2023,,11764,,,11849,,,0.5,,,11764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,,"SLMP, LLC  ^#",One stop,,L + 6.00,(d),,7.07,,05/2023,,5664,,,5861,,,0.2,,,5664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,,"SLMP, LLC",One stop,,L + 6.00,(d),,7.07,,05/2023,,1473,,,1473,,,0.1,,,1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,,,Investment  Type,,Spread  Above  Index  (1),,,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,,"Healthcare, Education and Childcare - (continued)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
671,,"SLMP, LLC",Subordinated debt,,No Value,,,7.50 PIK,,05/2027,,,237,,,,242,,,0,,,,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,,"SLMP, LLC",One stop,,P + 5.00,(f),,8.25,,05/2023,,100,,,99,,,0,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,,"Summit Behavioral Healthcare, LLC  ^#",Senior loan,,L + 4.75,(c),,5.75,,10/2023,,20650,,,20406,,,0.8,,,18998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,,"Summit Behavioral Healthcare, LLC",Senior loan,,L + 4.75,(c),,5.75,,10/2023,,431,,,433,,,0,,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,,"Summit Behavioral Healthcare, LLC",Senior loan,,L + 4.75,(b)(c),,5.75,,10/2023,,300,,,296,,,0,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,,"WHCG Management, LLC  *#",Senior loan,,L + 4.75,(c),,5.82,,03/2023,,16109,,,16213,,,0.7,,,15465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,,"WHCG Management, LLC",Senior loan,,L + 4.75,(c),,5.82,,03/2023,,5641,,,5600,,,0.2,,,5415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,,"WHCG Management, LLC",Senior loan,,L + 4.75,(c),,5.82,,03/2023,,1989,,,1981,,,0.1,,,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,,"WHCG Management, LLC",Senior loan,,L + 4.75,(c),,5.82,,03/2023,,339,,,336,,,0,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,,"WHCG Management, LLC",Senior loan,,L + 4.75,(a)(c),,5.82,,03/2023,,196,,,198,,,0,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======
671,,"SLMP, LLC",Subordinated debt,,N/A,,,7.50 PIK,,05/2027,,,237,,,,242,,,-,,,,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,,"SLMP, LLC",One stop,,P + 5.00,(f),,8.25,,05/2023,,100,,,99,,,-,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,,"Summit Behavioral Healthcare, LLC  ^#",Senior loan,,L + 4.75,(c),,5.75,,10/2023,,20650,,,20406,,,0.8,,,18998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,,"Summit Behavioral Healthcare, LLC",Senior loan,,L + 4.75,(c),,5.75,,10/2023,,431,,,433,,,-,,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,,"Summit Behavioral Healthcare, LLC",Senior loan,,L + 4.75,(b)(c),,5.75,,10/2023,,300,,,296,,,-,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,,"WHCG Management, LLC  *#",Senior loan,,L + 4.75,(c),,5.82,,03/2023,,16109,,,16213,,,0.7,,,15465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,,"WHCG Management, LLC",Senior loan,,L + 4.75,(c),,5.82,,03/2023,,5641,,,5600,,,0.2,,,5415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,,"WHCG Management, LLC",Senior loan,,L + 4.75,(c),,5.82,,03/2023,,1989,,,1981,,,0.1,,,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,,"WHCG Management, LLC",Senior loan,,L + 4.75,(c),,5.82,,03/2023,,339,,,336,,,-,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,,"WHCG Management, LLC",Senior loan,,L + 4.75,(a)(c),,5.82,,03/2023,,196,,,198,,,-,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> GSBD
681,,,,,,,,,,,,820807,,,812140,,,31.8,,,746186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,,"Home and Office Furnishings, Housewares, and Durable Consumer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,,1A Smart Start LLC  +~,Senior loan,,L + 4.50,(c),,5.57,,02/2022,,6213,,,6228,,,0.2,,,6089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,,CST Buyer Company  ^+~,One stop,,L + 5.25,(d),,6.32,,10/2025,,10946,,,10847,,,0.5,,,10947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
685,,CST Buyer Company,One stop,,L + 5.25,(d),,6.32,,10/2025,,38,,,38,,,0,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======
685,,CST Buyer Company,One stop,,L + 5.25,(d),,6.32,,10/2025,,38,,,38,,,-,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> GSBD
686,,"Plano Molding Company, LLC  ^+",One stop,,L + 7.50,(c),,8.50,,05/2021,,14637,,,14613,,,0.5,,,11709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,,,,,,,,,,,,31834,,,31726,,,1.2,,,28783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,,"Hotels, Motels, Inns, and Gaming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,,"Davidson Hotel Company, LLC  +",One stop,,L + 5.25,(a),,6.25,,07/2024,,8480,,,8425,,,0.3,,,5936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
690,,"Davidson Hotel Company, LLC",One stop,,L + 5.25,(a),,6.25,,07/2024,,1072,,,1072,,,0,,,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,,"Davidson Hotel Company, LLC",One stop,,L + 5.25,(a),,6.25,,07/2024,,100,,,100,,,0,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,,"Davidson Hotel Company, LLC  (5)",One stop,,L + 5.25,,,N/A  (6),,07/2024,,0,,,(11),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======
690,,"Davidson Hotel Company, LLC",One stop,,L + 5.25,(a),,6.25,,07/2024,,1072,,,1072,,,-,,,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,,"Davidson Hotel Company, LLC",One stop,,L + 5.25,(a),,6.25,,07/2024,,100,,,100,,,-,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,,"Davidson Hotel Company, LLC  (5)",One stop,,L + 5.25,,,N/A  (6),,07/2024,,-,,,(11),,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> GSBD
693,,,,,,,,,,,,9652,,,9586,,,0.3,,,6757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,,Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,,"Captive Resources Midco, LLC  ^*#+~",One stop,,L + 6.00,(a),,7.00,,05/2025,,56432,,,56567,,,2.4,,,56432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,,"Captive Resources Midco, LLC",One stop,,L + 6.00,(a),,7.00,,05/2025,,1727,,,1707,,,0.1,,,1727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,,"Captive Resources Midco, LLC  #",One stop,,L + 6.00,(a),,7.00,,05/2025,,1443,,,1430,,,0.1,,,1443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,,"Integrity Marketing Acquisition, LLC  +~",Senior loan,,L + 5.75,(c),,6.75,,08/2025,,2477,,,2478,,,0.1,,,2477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
