,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
442,"Oliver Street Dermatology Holdings, LLC^",One stop,,L + 6.00,(c),,8.39,,05/2022,,90,,,89,,,-,,,90,,,,
443,"Oliver Street Dermatology Holdings, LLC",One stop,,L + 6.00,(c)(f),,8.85,,05/2022,,81,,,80,,,-,,,81,,,,
444,"Oliver Street Dermatology Holdings, LLC",One stop,,L + 6.00,(c),,8.39,,05/2022,,78,,,78,,,-,,,78,,,,
445,"Oliver Street Dermatology Holdings, LLC^",One stop,,L + 6.00,(c),,8.39,,05/2022,,46,,,45,,,-,,,46,,,,
446,"Oliver Street Dermatology Holdings, LLC*",One stop,,L + 6.00,(c),,8.39,,05/2022,,41,,,41,,,-,,,41,,,,
447,"Oliver Street Dermatology Holdings, LLC^",One stop,,L + 6.00,(c),,8.39,,05/2022,,32,,,32,,,-,,,32,,,,
448,"Oliver Street Dermatology Holdings, LLC^",One stop,,L + 6.00,(c),,8.39,,05/2022,,30,,,29,,,-,,,30,,,,
449,"Oliver Street Dermatology Holdings, LLC  (5)",One stop,,L + 6.00,,,N/A  (6),,05/2022,,-,,,(1,,,-,,,-,,,,
450,"ONsite Mammography, LLC",One stop,,L + 6.75,(a),,8.99,,11/2023,,3064,,,3005,,,0.3,,,3064,,,,
451,"ONsite Mammography, LLC",One stop,,L + 6.75,(c)(d),,9.15,,11/2023,,22,,,21,,,-,,,22,,,,
452,"ONsite Mammography, LLC  (5)",One stop,,L + 6.75,,,N/A  (6),,11/2023,,-,,,(1,,,-,,,-,,,,
453,"Pinnacle Treatment Centers, Inc.",One stop,,L + 6.25,(c),,8.59,,08/2021,,9879,,,9724,,,1.0,,,9879,,,,
454,"Pinnacle Treatment Centers, Inc.",One stop,,L + 6.25,(b)(c),,8.52,,08/2021,,58,,,57,,,-,,,58,,,,
455,"Pinnacle Treatment Centers, Inc.^",One stop,,L + 6.25,(c),,8.59,,08/2021,,55,,,54,,,-,,,55,,,,
456,"Pinnacle Treatment Centers, Inc.",One stop,,L + 6.25,(a),,8.46,,08/2021,,43,,,42,,,-,,,43,,,,
457,"PPT Management Holdings, LLC^",One stop,,L + 7.50,(b)(f),,9.69,,12/2022,,10713,,,10443,,,0.9,,,8758,,,,
458,"PPT Management Holdings, LLC*",One stop,,L + 7.50,(b)(c)(f),,9.69,,12/2022,,139,,,140,,,-,,,114,,,,
459,"PPT Management Holdings, LLC",One stop,,L + 7.50,(b)(f),,9.69,,12/2022,,84,,,84,,,-,,,68,,,,
460,"PPT Management Holdings, LLC",One stop,,L + 7.50,(b)(f),,9.69,,12/2022,,40,,,31,,,-,,,32,,,,
461,"PPT Management Holdings, LLC  (5)",One stop,,L + 7.50,(b)(f),,9.69,,12/2022,,7,,,4,,,-,,,(30,,,,
462,"Riverchase MSO, LLC",Senior loan,,L + 5.25,(c),,7.64,,10/2022,,4930,,,4880,,,0.5,,,4930,,,,
463,"Riverchase MSO, LLC",Senior loan,,L + 5.25,(c),,7.63,,10/2022,,54,,,53,,,-,,,54,,,,
464,RXH Buyer Corporation*^,One stop,,L + 5.75,(c),,8.14,,09/2021,,17083,,,16914,,,1.8,,,17083,,,,
465,RXH Buyer Corporation*,One stop,,L + 5.75,(c),,8.14,,09/2021,,1933,,,1915,,,0.2,,,1933,,,,
466,RXH Buyer Corporation,One stop,,P + 4.75,(c)(f),,9.19,,09/2021,,92,,,90,,,-,,,92,,,,
467,"SLMP, LLC^",One stop,,L + 6.00,(a),,8.24,,05/2023,,7544,,,7406,,,0.8,,,7544,,,,
468,"SLMP, LLC^",One stop,,L + 6.00,(a),,8.24,,05/2023,,298,,,294,,,-,,,298,,,,
469,"SLMP, LLC",One stop,,N/A,,,7.50 PIK,,05/2027,,90,,,90,,,-,,,90,,,,
470,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
471,"Healthcare, Education and Childcare - (continued)",,,,,,,,,,,,,,,,,,,,,,,
472,"SLMP, LLC  (5)",One stop,,L + 6.00,,,N/A  (6),,05/2023,,,-,,,,(1,,,-,,,,-,
473,"SLMP, LLC  (5)",One stop,,L + 6.00,,,N/A  (6),,05/2023,,-,,,(1,,,-,,,-,,,,
474,"Spear Education, LLC^",One stop,,L + 6.25,(c),,8.75,,08/2019,,4597,,,4586,,,0.5,,,4597,,,,
475,"Spear Education, LLC",One stop,,L + 6.25,(c),,8.59,,08/2019,,74,,,74,,,-,,,74,,,,
476,"Spear Education, LLC",One stop,,L + 6.25,(c),,8.56,,08/2019,,26,,,26,,,-,,,26,,,,
477,"Summit Behavioral Healthcare, LLC^",Senior loan,,L + 4.75,(c),,7.06,,10/2023,,8777,,,8666,,,0.9,,,8777,,,,
478,"Summit Behavioral Healthcare, LLC",Senior loan,,L + 4.75,(c),,7.07,,10/2023,,65,,,63,,,-,,,65,,,,
479,"Summit Behavioral Healthcare, LLC",Senior loan,,L + 4.75,(c),,7.07,,10/2023,,27,,,24,,,-,,,27,,,,
480,"WHCG Management, LLC*",Senior loan,,L + 5.00,(c),,7.39,,03/2023,,2370,,,2348,,,0.3,,,2370,,,,
481,"WHCG Management, LLC",Senior loan,,L + 5.00,(c),,7.35,,03/2023,,100,,,99,,,-,,,100,,,,
482,"WHCG Management, LLC  (5)",Senior loan,,L + 5.00,,,N/A  (6),,03/2023,,-,,,(2,,,-,,,-,,,,
483,"WIRB-Copernicus Group, Inc.*^",Senior loan,,L + 4.25,(a),,6.49,,08/2022,,10901,,,10834,,,1.1,,,10901,,,,
484,"WIRB-Copernicus Group, Inc.  (5)",Senior loan,,L + 4.25,,,N/A  (6),,08/2022,,-,,,(1,,,-,,,-,,,,
485,"WIRB-Copernicus Group, Inc.  (5)",Senior loan,,L + 4.25,,,N/A  (6),,08/2022,,-,,,(2,,,-,,,-,,,,
486,,,,,,,,,,,329007,,,324822,,,33.4,,,323259,,,,
487,"Home and Office Furnishings, Housewares, and Durable Consumer",,,,,,,,,,,,,,,,,,,,,,,
488,1A Smart Start LLC*,Senior loan,,L + 4.50,(a),,6.74,,02/2022,,548,,,547,,,0.1,,,550,,,,
489,CST Buyer Company^,One stop,,L + 5.00,(a),,7.24,,03/2023,,2433,,,2378,,,0.2,,,2433,,,,
490,CST Buyer Company  (5),One stop,,L + 5.00,,,N/A  (6),,03/2023,,-,,,(1,,,-,,,-,,,,
491,"Plano Molding Company, LLC*^",One stop,,L + 7.50,(a),,9.67,,05/2021,,10048,,,9937,,,1.0,,,9848,,,,
492,,,,,,,,,,,13029,,,12861,,,1.3,,,12831,,,,
493,"Hotels, Motels, Inns, and Gaming",,,,,,,,,,,,,,,,,,,,,,,
494,"Aimbridge Hospitality, LLC*^",One stop,,L + 5.00,(a),,7.24,,06/2022,,9941,,,9811,,,1.0,,,9941,,,,
495,"Aimbridge Hospitality, LLC*",One stop,,L + 5.00,(a),,7.24,,06/2022,,4830,,,4764,,,0.5,,,4830,,,,
496,"Aimbridge Hospitality, LLC",One stop,,L + 5.00,(a),,7.24,,06/2022,,805,,,794,,,0.1,,,805,,,,
497,"Aimbridge Hospitality, LLC",One stop,,L + 5.00,(a),,7.24,,06/2022,,16,,,15,,,-,,,16,,,,
498,"Aimbridge Hospitality, LLC  (5)",One stop,,L + 5.00,,,N/A  (6),,06/2022,,-,,,(1,,,-,,,-,,,,
499,,,,,,,,,,,15592,,,15383,,,1.6,,,15592,,,,
500,Insurance,,,,,,,,,,,,,,,,,,,,,,,
501,"Captive Resources Midco, LLC*^",One stop,,L + 5.75,(a),,7.99,,12/2021,,34313,,,33908,,,3.5,,,34313,,,,
502,"Captive Resources Midco, LLC  (5)",One stop,,L + 5.75,,,N/A  (6),,12/2021,,-,,,(18,,,-,,,-,,,,
503,"Captive Resources Midco, LLC  (5)",One stop,,L + 5.75,,,N/A  (6),,12/2021,,-,,,(23,,,-,,,-,,,,
504,"Internet Pipeline, Inc.",One stop,,L + 4.75,(a),,7.00,,08/2022,,4809,,,4715,,,0.5,,,4809,,,,
505,"Internet Pipeline, Inc.*",One stop,,L + 4.75,(a),,7.00,,08/2022,,2077,,,2056,,,0.2,,,2077,,,,
506,"Internet Pipeline, Inc.*",One stop,,L + 4.75,(a),,7.00,,08/2022,,786,,,778,,,0.1,,,786,,,,
507,"Internet Pipeline, Inc.  (5)",One stop,,L + 4.75,,,N/A  (6),,08/2021,,-,,,(1,,,-,,,-,,,,
508,"RSC Acquisition, Inc.",Senior loan,,L + 4.25,(c)(d)(f),,6.72,,11/2022,,4380,,,4358,,,0.5,,,4369,,,,
509,"RSC Acquisition, Inc.",Senior loan,,L + 4.25,(d)(e),,6.76,,11/2021,,21,,,21,,,-,,,21,,,,
510,"RSC Acquisition, Inc.  (5)",Senior loan,,L + 4.25,,,N/A  (6),,11/2022,,-,,,(2,,,-,,,(1,,,,
511,,,,,,,,,,,46386,,,45792,,,4.8,,,46374,,,,
512,"Leisure, Amusement, Motion Pictures, Entertainment",,,,,,,,,,,,,,,,,,,,,,,
513,"NFD Operating, LLC",One stop,,L + 7.00,(a),,9.11,,06/2021,,2302,,,2283,,,0.2,,,2302,,,,
514,"NFD Operating, LLC",One stop,,L + 7.00,,,N/A  (6),,06/2021,,-,,,-,,,-,,,-,,,,
515,"PADI Holdco, Inc.  (8)(9)",One stop,,E + 5.75,(g),,5.75,,04/2023,,9591,,,9591,,,1.0,,,9313,,,,
516,"PADI Holdco, Inc.*^",One stop,,L + 5.75,(c),,8.14,,04/2023,,9677,,,9465,,,1.0,,,9677,,,,
517,"PADI Holdco, Inc.",One stop,,L + 5.75,(c),,8.14,,04/2022,,125,,,123,,,-,,,125,,,,
518,"Self Esteem Brands, LLC*^",Senior loan,,L + 4.75,(a),,6.99,,02/2020,,16120,,,16069,,,1.7,,,16120,,,,
519,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
520,"Leisure, Amusement, Motion Pictures, Entertainment - (continued)",,,,,,,,,,,,,,,,,,,,,,,
521,"Self Esteem Brands, LLC  (5)",Senior loan,,L + 4.75,,,N/A  (6),,02/2020,,,-,,,,(3,,,-,,,,-,
522,"Sunshine Sub, LLC",One stop,,L + 4.75,(a),,6.99,,05/2024,,7720,,,7575,,,0.8,,,7720,,,,
523,"Sunshine Sub, LLC  (5)",One stop,,L + 4.75,,,N/A  (6),,05/2024,,-,,,(1,,,-,,,-,,,,
524,"Sunshine Sub, LLC  (5)",One stop,,L + 4.75,,,N/A  (6),,05/2024,,-,,,(3,,,-,,,-,,,,
525,"Teaching Company, The",One stop,,L + 4.75,(c),,7.09,,07/2023,,10855,,,10757,,,1.1,,,10855,,,,
526,"Teaching Company, The  (5)",One stop,,L + 4.75,,,N/A  (6),,07/2023,,-,,,(1,,,-,,,-,,,,
527,"Titan Fitness, LLC*",One stop,,L + 6.50,(a),,8.61,,06/2021,,12952,,,12846,,,1.3,,,12952,,,,
528,"Titan Fitness, LLC*",One stop,,L + 6.50,(a),,8.61,,06/2021,,1954,,,1949,,,0.2,,,1954,,,,
529,"Titan Fitness, LLC*",One stop,,L + 6.50,(a),,8.61,,06/2021,,1716,,,1712,,,0.2,,,1716,,,,
530,"Titan Fitness, LLC^",One stop,,L + 6.50,(a),,8.61,,06/2021,,927,,,920,,,0.1,,,927,,,,
531,"Titan Fitness, LLC  (5)",One stop,,L + 6.50,,,N/A  (6),,06/2021,,-,,,(9,,,-,,,-,,,,
532,WBZ Investment LLC,One stop,,L + 5.50,(a),,7.64,,09/2020,,5149,,,5049,,,0.5,,,5097,,,,
533,WBZ Investment LLC  (5),One stop,,L + 5.50,,,N/A  (6),,09/2024,,-,,,-,,,-,,,(1,,,,
534,WBZ Investment LLC(5),One stop,,L + 5.50,,,N/A  (6),,09/2024,,-,,,(2,,,-,,,(2,,,,
535,,,,,,,,,,,79088,,,78320,,,8.1,,,78755,,,,
536,Oil and Gas,,,,,,,,,,,,,,,,,,,,,,,
537,"Drilling Info Holdings, Inc.",Senior loan,,L + 4.25,(b),,6.54,,07/2025,,14413,,,14217,,,1.5,,,14341,,,,
538,"Drilling Info Holdings, Inc.  (5)",Senior loan,,L + 4.25,,,N/A  (6),,07/2023,,-,,,(2,,,-,,,-,,,,
539,"Drilling Info Holdings, Inc  .(5)",Senior loan,,L + 4.25,,,N/A  (6),,07/2025,,-,,,(4,,,-,,,(1,,,,
540,,,,,,,,,,,14413,,,14211,,,1.5,,,14340,,,,
541,Personal and Non Durable Consumer Products (Mfg. Only),,,,,,,,,,,,,,,,,,,,,,,
542,"Georgica Pine Clothiers, LLC",One stop,,L + 5.50,(c),,7.89,,11/2021,,5620,,,5562,,,0.6,,,5620,,,,
543,"Georgica Pine Clothiers, LLC^",One stop,,L + 5.50,(c),,7.89,,11/2021,,490,,,487,,,0.1,,,490,,,,
544,"Georgica Pine Clothiers, LLC*",One stop,,L + 5.50,(c),,7.89,,11/2021,,344,,,341,,,-,,,344,,,,
545,"Georgica Pine Clothiers, LLC",One stop,,L + 5.50,(c)(f),,8.42,,11/2021,,46,,,45,,,-,,,46,,,,
546,"IMPLUS Footwear, LLC",One stop,,L + 6.75,(c),,9.14,,04/2021,,10013,,,9913,,,1.0,,,10013,,,,
547,"IMPLUS Footwear, LLC",One stop,,L + 6.75,(c),,9.09,,04/2021,,1763,,,1745,,,0.2,,,1763,,,,
548,"IMPLUS Footcare, LLC",One stop,,L + 6.75,(c),,9.14,,04/2021,,57,,,57,,,-,,,57,,,,
549,"Massage Envy, LLC*^",One stop,,L + 6.75,(c)(f),,9.06,,09/2020,,34835,,,34631,,,3.6,,,34835,,,,
550,"Massage Envy, LLC^",One stop,,L + 6.75,(c),,9.06,,09/2020,,99,,,98,,,-,,,99,,,,
551,"Massage Envy, LLC",One stop,,L + 6.75,(c),,9.09,,09/2020,,64,,,64,,,-,,,64,,,,
552,"Massage Envy, LLC^",One stop,,L + 6.75,(c)(f),,9.07,,09/2020,,48,,,48,,,-,,,48,,,,
553,"Massage Envy, LLC",One stop,,L + 6.75,(c)(f),,9.09,,09/2020,,42,,,41,,,-,,,42,,,,
554,"Massage Envy, LLC^",One stop,,L + 6.75,(c)(f),,9.08,,09/2020,,40,,,40,,,-,,,40,,,,
555,"Massage Envy, LLC^",One stop,,L + 6.75,(c)(f),,9.12,,09/2020,,38,,,38,,,-,,,38,,,,
556,"Massage Envy, LLC^",One stop,,L + 6.75,(c)(f),,9.07,,09/2020,,35,,,34,,,-,,,35,,,,
557,"Massage Envy, LLC^",One stop,,L + 6.75,(c)(f),,9.08,,09/2020,,19,,,19,,,-,,,19,,,,
558,"Massage Envy, LLC^",One stop,,L + 6.75,(c)(f),,9.13,,09/2020,,15,,,15,,,-,,,15,,,,
559,"Massage Envy, LLC",One stop,,L + 6.75,(c),,9.09,,09/2020,,10,,,9,,,-,,,10,,,,
560,"Massage Envy, LLC  (5)",One stop,,L + 6.75,,,N/A  (6),,09/2020,,-,,,(7,,,-,,,-,,,,
561,"Orthotics Holdings, Inc.*",One stop,,L + 5.50,(a),,7.74,,02/2020,,8204,,,8166,,,0.8,,,8040,,,,
562,"Orthotics Holdings, Inc.*  (8)",One stop,,L + 5.50,(a),,7.74,,02/2020,,1345,,,1338,,,0.1,,,1318,,,,
563,"Orthotics Holdings, Inc.  (5)(8)",One stop,,L + 5.50,,,N/A  (6),,02/2020,,-,,,(1,,,-,,,-,,,,
564,"Orthotics Holdings, Inc.  (5)",One stop,,L + 5.50,,,N/A  (6),,02/2020,,-,,,(6,,,-,,,(4,,,,
565,Team Technologies Acquisition Company^,Senior loan,,L + 5.00,(c)(f),,7.35,,12/2018,,4242,,,4241,,,0.5,,,4231,,,,
566,Team Technologies Acquisition Company*,Senior loan,,L + 5.50,(c)(f),,7.85,,12/2018,,782,,,781,,,0.1,,,792,,,,
567,Team Technologies Acquisition Company  (5),Senior loan,,L + 5.00,,,N/A  (6),,12/2018,,-,,,-,,,-,,,(1,,,,
568,,,,,,,,,,,68151,,,67699,,,7.0,,,67954,,,,
569,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
570,"Personal, Food and Miscellaneous Services",,,,,,,,,,,,,,,,,,,,,,,
571,"Captain D's, LLC*^",Senior loan,,L + 4.50,(b),,6.71,,12/2023,,,3965,,,,3913,,,0.4,,,,3965,
572,"Captain D's, LLC",Senior loan,,P + 3.50,(a)(f),,7.86,,12/2023,,20,,,19,,,-,,,20,,,,
573,"Community Veterinary Partners, LLC^",One stop,,L + 5.50,(c),,7.89,,10/2021,,282,,,280,,,-,,,282,,,,
574,"Community Veterinary Partners, LLC*",One stop,,L + 5.50,(c),,7.89,,10/2021,,99,,,97,,,-,,,99,,,,
575,"Community Veterinary Partners, LLC",One stop,,L + 5.50,(c),,7.89,,10/2021,,75,,,75,,,-,,,75,,,,
576,"Community Veterinary Partners, LLC  (5)",One stop,,L + 5.50,,,N/A  (6),,10/2021,,-,,,(3,,,-,,,-,,,,
577,Imperial Optical Midco Inc.,One stop,,L + 4.75,(b),,7.04,,08/2023,,2725,,,2685,,,0.3,,,2684,,,,
578,Imperial Optical Midco Inc.,One stop,,L + 4.75,(b),,6.96,,08/2023,,44,,,39,,,-,,,39,,,,
579,Imperial Optical Midco Inc.,One stop,,L + 4.75,,,N/A  (6),,08/2023,,-,,,-,,,-,,,-,,,,
580,"PPV Intermediate Holdings II, LLC",One stop,,N/A,,,7.90 PIK,,05/2023,,2,,,2,,,-,,,2,,,,
581,"PPV Intermediate Holdings II, LLC  (5)",One stop,,L + 5.00,,,N/A  (6),,05/2023,,-,,,(1,,,-,,,-,,,,
582,"PPV Intermediate Holdings II, LLC  (5)",One stop,,L + 5.00,,,N/A  (6),,05/2020,,-,,,(6,,,-,,,-,,,,
583,"Ruby Slipper Cafe LLC, The",One stop,,L + 7.50,(c),,9.85,,01/2023,,1035,,,1026,,,0.1,,,1035,,,,
584,"Ruby Slipper Cafe LLC, The",One stop,,L + 7.50,(c),,9.82,,01/2023,,5,,,5,,,-,,,5,,,,
585,"Ruby Slipper Cafe LLC, The",One stop,,L + 7.50,(c),,9.84,,01/2023,,5,,,4,,,-,,,5,,,,
586,"Southern Veterinary Partners, LLC",One stop,,L + 5.50,(a),,7.74,,05/2025,,3870,,,3812,,,0.4,,,3870,,,,
587,"Southern Veterinary Partners, LLC",One stop,,L + 5.50,(a),,7.74,,05/2025,,231,,,228,,,-,,,231,,,,
588,"Southern Veterinary Partners, LLC",One stop,,L + 5.50,(a),,7.74,,05/2025,,205,,,203,,,-,,,205,,,,
589,"Southern Veterinary Partners, LLC",One stop,,L + 5.50,(a),,7.74,,05/2025,,173,,,170,,,-,,,173,,,,
590,"Southern Veterinary Partners, LLC",One stop,,L + 5.50,(a),,7.74,,05/2025,,100,,,97,,,-,,,100,,,,
591,"Southern Veterinary Partners, LLC",One stop,,L + 5.50,(a),,7.74,,05/2025,,77,,,76,,,-,,,77,,,,
592,"Southern Veterinary Partners, LLC",One stop,,L + 5.50,(a),,7.74,,05/2025,,67,,,66,,,-,,,67,,,,
593,"Southern Veterinary Partners, LLC",One stop,,L + 5.50,(a),,7.74,,05/2025,,50,,,48,,,-,,,50,,,,
594,"Southern Veterinary Partners, LLC  (5)",One stop,,L + 5.50,,,N/A  (6),,05/2023,,-,,,(2,,,-,,,-,,,,
595,"Southern Veterinary Partners, LLC  (5)",One stop,,L + 5.50,,,N/A  (6),,05/2025,,-,,,(7,,,-,,,-,,,,
596,"Veterinary Specialists of North America, LLC^",One stop,,L + 5.50,(a),,7.69,,07/2021,,7331,,,7278,,,0.8,,,7331,,,,
597,"Veterinary Specialists of North America, LLC^",One stop,,L + 5.50,(a),,7.74,,07/2021,,764,,,755,,,0.1,,,764,,,,
598,"Veterinary Specialists of North America, LLC*",One stop,,L + 5.50,(a),,7.74,,07/2021,,415,,,413,,,0.1,,,415,,,,
599,"Veterinary Specialists of North America, LLC*",One stop,,L + 5.50,(a),,7.74,,07/2021,,160,,,160,,,-,,,160,,,,
600,"Veterinary Specialists of North America, LLC^",One stop,,L + 5.50,(a),,7.74,,07/2021,,123,,,122,,,-,,,123,,,,
601,"Veterinary Specialists of North America, LLC*",One stop,,L + 5.50,(a),,7.74,,07/2021,,62,,,62,,,-,,,62,,,,
602,"Veterinary Specialists of North America, LLC",One stop,,L + 5.50,(a),,7.74,,07/2021,,12,,,10,,,-,,,12,,,,
603,"Veterinary Specialists of North America, LLC  (5)",One stop,,L + 5.50,,,N/A  (6),,07/2021,,-,,,(2,,,-,,,-,,,,
604,"Wetzel's Pretzels, LLC*",One stop,,L + 6.75,(a),,8.99,,09/2021,,8922,,,8805,,,0.9,,,8922,,,,
605,"Wetzel's Pretzels, LLC",One stop,,L + 6.75,(a),,8.86,,09/2021,,3,,,2,,,-,,,3,,,,
606,,,,,,,,,,,30822,,,30431,,,3.1,,,30776,,,,
607,Printing and Publishing,,,,,,,,,,,,,,,,,,,,,,,
608,"Brandmuscle, Inc.^",Senior loan,,L + 5.00,(c),,7.39,,12/2021,,618,,,614,,,0.1,,,622,,,,
609,"Messenger, LLC",One stop,,L + 6.00,(a)(f),,8.23,,08/2023,,3410,,,3343,,,0.3,,,3376,,,,
610,"Messenger, LLC",One stop,,P + 5.00,(f),,10.25,,08/2023,,3,,,3,,,-,,,3,,,,
611,,,,,,,,,,,4031,,,3960,,,0.4,,,4001,,,,
612,Retail Stores,,,,,,,,,,,,,,,,,,,,,,,
613,Batteries Plus Holding Corporation,One stop,,L + 6.75,(a),,8.99,,07/2022,,11933,,,11739,,,1.2,,,11933,,,,
614,Batteries Plus Holding Corporation  (5),One stop,,L + 6.75,,,N/A  (6),,07/2022,,-,,,(1,,,-,,,-,,,,
615,"Cycle Gear, Inc.^",One stop,,L + 6.50,(c),,8.84,,01/2020,,10321,,,10263,,,1.1,,,10321,,,,
616,"Cycle Gear, Inc.^",One stop,,L + 6.50,(c),,8.84,,01/2020,,603,,,600,,,0.1,,,603,,,,
617,"Cycle Gear, Inc.  (5)",One stop,,L + 6.50,,,N/A  (6),,01/2020,,-,,,(7,,,-,,,-,,,,
618,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
619,Retail Stores - (continued),,,,,,,,,,,,,,,,,,,,,,,
620,"DTLR, Inc.*^",One stop,,L + 6.50,(b),,8.68,,08/2022,,,22732,,,,22466,,,2.3,,,,22732,
621,"Elite Sportswear, L.P.",Senior loan,,L + 5.75,(c),,8.14,,06/2020,,6872,,,6815,,,0.7,,,6872,,,,
622,"Elite Sportswear, L.P.",Senior loan,,L + 5.75,(c),,8.14,,06/2020,,2763,,,2740,,,0.3,,,2763,,,,
623,"Elite Sportswear, L.P.",Senior loan,,L + 5.75,(c),,8.14,,06/2020,,1422,,,1413,,,0.2,,,1422,,,,
624,"Elite Sportswear, L.P.*",Senior loan,,L + 5.75,(c),,8.14,,06/2020,,466,,,464,,,0.1,,,466,,,,
625,"Elite Sportswear, L.P.",Senior loan,,L + 5.75,(c),,8.14,,06/2020,,216,,,214,,,-,,,216,,,,
626,"Elite Sportswear, L.P.*",Senior loan,,L + 5.75,(c),,8.14,,06/2020,,206,,,205,,,-,,,206,,,,
627,"Elite Sportswear, L.P.",Senior loan,,L + 5.75,,,N/A  (6),,06/2020,,-,,,-,,,-,,,-,,,,
628,"Elite Sportswear, L.P.  (5)",Senior loan,,L + 5.75,,,N/A  (6),,06/2020,,-,,,(3,,,-,,,-,,,,
629,"Feeders Supply Company, LLC",One stop,,L + 5.75,(a),,8.01,,04/2021,,4826,,,4769,,,0.5,,,4826,,,,
630,"Feeders Supply Company, LLC",Subordinated debt,,N/A,,,12.50 cash/7.00 PIK,,04/2021,,67,,,67,,,-,,,67,,,,
631,"Feeders Supply Company, LLC",One stop,,L + 5.75,,,N/A  (6),,04/2021,,-,,,-,,,-,,,-,,,,
632,"Marshall Retail Group LLC, The^",One stop,,L + 6.00,(c),,8.34,,08/2020,,11922,,,11874,,,1.2,,,11922,,,,
633,"Marshall Retail Group LLC, The  (5)",One stop,,L + 6.00,,,N/A  (6),,08/2019,,-,,,(9,,,-,,,-,,,,
634,Mills Fleet Farm Group LLC*^,One stop,,L + 5.50,(a),,7.74,,02/2022,,1815,,,1743,,,0.2,,,1815,,,,
635,"Paper Source, Inc.^",One stop,,L + 6.25,(c),,8.64,,09/2019,,12255,,,12224,,,1.3,,,12255,,,,
636,"Paper Source, Inc.*",One stop,,L + 6.25,(c),,8.64,,09/2019,,1628,,,1621,,,0.2,,,1628,,,,
637,"Paper Source, Inc.",One stop,,P + 5.00,(f),,10.25,,09/2019,,965,,,960,,,0.1,,,965,,,,
638,Pet Holdings ULC*^  (8)(10),One stop,,L + 5.50,(c),,7.84,,07/2022,,14764,,,14575,,,1.5,,,14764,,,,
639,Pet Holdings ULC*^  (8)(10),One stop,,L + 5.50,(c),,7.84,,07/2022,,100,,,99,,,-,,,100,,,,
640,Pet Holdings ULC  (5)(8)(10),One stop,,L + 5.50,,,N/A  (6),,07/2022,,-,,,(2,,,-,,,-,,,,
641,"PetPeople Enterprises, LLC^",One stop,,L + 5.00,(a),,7.25,,09/2023,,3114,,,3082,,,0.3,,,3114,,,,
642,"PetPeople Enterprises, LLC",One stop,,N/A,,,8.25 PIK,,01/2019,,168,,,168,,,-,,,168,,,,
643,"PetPeople Enterprises, LLC",One stop,,L + 5.00,,,N/A  (6),,09/2023,,-,,,-,,,-,,,-,,,,
644,"PetPeople Enterprises, LLC  (5)",One stop,,L + 5.00,,,N/A  (6),,09/2023,,-,,,(1,,,-,,,-,,,,
645,,,,,,,,,,,109158,,,108078,,,11.3,,,109158,,,,
646,Telecommunications,,,,,,,,,,,,,,,,,,,,,,,
647,"NetMotion Wireless Holdings, Inc.*^",One stop,,L + 6.25,(c),,8.64,,10/2021,,6393,,,6311,,,0.7,,,6393,,,,
648,"NetMotion Wireless Holdings, Inc.  (5)",One stop,,L + 6.25,,,N/A  (6),,10/2021,,-,,,(1,,,-,,,-,,,,
649,,,,,,,,,,,6393,,,6310,,,0.7,,,6393,,,,
650,Textiles and Leather,,,,,,,,,,,,,,,,,,,,,,,
651,SHO Holding I Corporation*,Senior loan,,L + 5.00,(c),,7.34,,10/2022,,2211,,,2181,,,0.2,,,2122,,,,
652,SHO Holding I Corporation,Senior loan,,L + 4.00,(a)(c),,6.14,,10/2021,,15,,,15,,,-,,,12,,,,
653,,,,,,,,,,,2226,,,2196,,,0.2,,,2134,,,,
654,Utilities,,,,,,,,,,,,,,,,,,,,,,,
655,"Arcos, LLC",One stop,,L + 6.00,(c),,8.39,,02/2021,,3553,,,3519,,,0.4,,,3553,,,,
656,"Arcos, LLC",One stop,,L + 6.00,,,N/A  (6),,02/2021,,-,,,-,,,-,,,-,,,,
657,,,,,,,,,,,3553,,,3519,,,0.4,,,3553,,,,
658,Total non-controlled/non-affiliate company debt investments,,,,,,,,1679746,,,,1660130,,,171.8,,,,1664317,,,,
659,Equity investments  (11)(12),,,,,,,,,,,,,,,,,,,,,,,
660,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,
661,NTS Technical Systems,Common stock,,N/A,,,N/A,,N/A,,2,,,,1506,,,0.1,,,,616,,
662,NTS Technical Systems,Preferred stock,,N/A,,,N/A,,N/A,,-,,,256,,,-,,,323,,,,
