405,,"MWD Management, LLC & MWD Services, Inc.#",One stop,,L + 5.50%,(c),,6.50%,,06/2023,,"4,482",,,"4,532",,,0.2,,"4,482",,,,,,,
406,,"MWD Management, LLC & MWD Services, Inc.+(5)",One stop,,L + 5.50%,,,N/A(6),,06/2022,,0,,,(1),,,0,,0,,,,,,,
407,,"New Look (Delaware) Corporation and NL1 AcquireCo, Inc.+(8)(9)(12)",One stop,,L + 5.50%,(m),,6.50%,,05/2028,,"20,486",,,"20,183",,,0.8,,"19,731",,,,,,,
408,,"New Look (Delaware) Corporation and NL1 AcquireCo, Inc.+(8)(9)(12)",One stop,,L + 5.50%,(m),,6.50%,,05/2028,,268,,,231,,,0,,225,,,,,,,
409,,"New Look (Delaware) Corporation and NL1 AcquireCo, Inc.+(8)(12)",One stop,,L + 5.50%,(c),,6.50%,,05/2026,,58,,,57,,,0,,57,,,,,,,
410,,"New Look (Delaware) Corporation and NL1 AcquireCo, Inc.+(8)(9)(12)",One stop,,L + 5.50%,(m),,6.50%,,05/2026,,52,,,49,,,0,,48,,,,,,,
412,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
413,,Health Care Providers & Services - (continued),,,,,,,,,,,,,,,,,,,,,,,,,
414,,"New Look (Delaware) Corporation and NL1 AcquireCo, Inc.+(5)(8)(12)",One stop,,L + 5.50%,,,N/A(6),,05/2028,,,0,,,,(43),,,0,%,,(44),,,,
415,,"NVA Holdings, Inc.~",Senior loan,,L + 3.50%,(a),,3.63%,,02/2026,,"2,803",,,"2,781",,,0.1,,"2,803",,,,,,,
416,,"Oliver Street Dermatology Holdings, LLC+(7)",One stop,,L + 6.25%,(c),,7.25%,,05/2022,,"19,203",,,"17,517",,,0.5,,"12,714",,,,,,,
417,,"Oliver Street Dermatology Holdings, LLC+(7)",One stop,,L + 6.25%,(c),,7.25%,,05/2022,,"2,228",,,"1,888",,,0.1,,"1,475",,,,,,,
418,,"Oliver Street Dermatology Holdings, LLC+(7)",One stop,,L + 6.25%,(c),,7.25%,,05/2022,,"2,112",,,"1,915",,,0.1,,"1,398",,,,,,,
419,,"Oliver Street Dermatology Holdings, LLC+(7)",One stop,,L + 6.25%,(c),,7.25%,,05/2022,,"1,598",,,"1,354",,,0,,"1,058",,,,,,,
420,,"Oliver Street Dermatology Holdings, LLC+(7)",One stop,,L + 6.25%,(c),,7.25%,,05/2022,,"1,412",,,"1,196",,,0,,935,,,,,,,
421,,"Oliver Street Dermatology Holdings, LLC+(7)",One stop,,L + 6.25%,(c),,7.25%,,05/2022,,"1,229",,,"1,041",,,0,,814,,,,,,,
422,,"Oliver Street Dermatology Holdings, LLC+(7)",One stop,,L + 6.25%,(c),,7.25%,,05/2022,,958,,,811,,,0,,634,,,,,,,
423,,"Oliver Street Dermatology Holdings, LLC+(7)",One stop,,L + 6.25%,(c),,7.25%,,05/2022,,830,,,703,,,0,,549,,,,,,,
424,,"Oliver Street Dermatology Holdings, LLC+(7)",One stop,,L + 6.25%,(c),,7.25%,,05/2022,,512,,,434,,,0,,339,,,,,,,
425,,"Oliver Street Dermatology Holdings, LLC+(7)",One stop,,L + 6.25%,(c)(f),,7.25%,,05/2022,,291,,,265,,,0,,193,,,,,,,
426,,"Oliver Street Dermatology Holdings, LLC+(7)",One stop,,L + 6.25%,(c),,7.25%,,05/2022,,97,,,89,,,0,,64,,,,,,,
427,,"Oliver Street Dermatology Holdings, LLC+(7)",One stop,,L + 6.25%,(c),,7.25%,,05/2022,,88,,,80,,,0,,58,,,,,,,
428,,"Oliver Street Dermatology Holdings, LLC+(7)",One stop,,L + 6.25%,(c),,7.25%,,05/2022,,69,,,63,,,0,,46,,,,,,,
429,,"Oliver Street Dermatology Holdings, LLC+(7)",One stop,,L + 6.25%,(c),,7.25%,,5/1/2022,,63,,,58,,,0,,42,,,,,,,
430,,"Pinnacle Treatment Centers, Inc.#+",One stop,,L + 5.75%,(c),,6.75%,,1/1/2023,,"18,981",,,"18,990",,,0.7,,"18,981",,,,,,,
431,,"Pinnacle Treatment Centers, Inc.*",One stop,,L + 5.75%,(c),,6.75%,,01/2023,,"7,612",,,"7,575",,,0.3,,"7,612",,,,,,,
432,,"Pinnacle Treatment Centers, Inc.#+",One stop,,L + 5.75%,(c),,6.75%,,01/2023,,"1,558",,,"1,559",,,0.1,,"1,558",,,,,,,
433,,"Pinnacle Treatment Centers, Inc.^",One stop,,L + 5.75%,(c),,6.75%,,01/2023,,704,,,708,,,0,,704,,,,,,,
434,,"Pinnacle Treatment Centers, Inc.+",One stop,,L + 5.75%,(c),,6.75%,,01/2023,,186,,,186,,,0,,186,,,,,,,
435,,"Pinnacle Treatment Centers, Inc.+^",One stop,,L + 5.75%,(c),,6.75%,,01/2023,,106,,,106,,,0,,106,,,,,,,
436,,"Pinnacle Treatment Centers, Inc.+",One stop,,L + 5.75%,(c),,6.75%,,01/2023,,37,,,37,,,0,,37,,,,,,,
437,,"Pinnacle Treatment Centers, Inc.+",One stop,,L + 5.75%,,,N/A(6),,01/2023,,0,,,0,,,0,,0,,,,,,,
438,,"Pinnacle Treatment Centers, Inc.+",One stop,,L + 5.75%,,,N/A(6),,01/2023,,0,,,0,,,0,,0,,,,,,,
439,,"PPT Management Holdings, LLC+",One stop,,L + 8.00%,(c),,7.00% cash/2.00% PIK,,12/2022,,"25,266",,,"24,411",,,0.9,,"23,245",,,,,,,
440,,"PPT Management Holdings, LLC+",One stop,,L + 8.00%,(c),,7.00% cash/2.00% PIK,,12/2022,,306,,,298,,,0,,282,,,,,,,
441,,"PPT Management Holdings, LLC+",One stop,,L + 8.00%,(c),,7.00% cash/2.00% PIK,,12/2022,,182,,,176,,,0,,166,,,,,,,
442,,"PPT Management Holdings, LLC+",One stop,,L + 8.00%,(c),,7.00% cash/2.00% PIK,,12/2022,,88,,,77,,,0,,82,,,,,,,
443,,"PPT Management Holdings, LLC+(5)",One stop,,L + 8.00%,(c),,7.00% cash/2.00% PIK,,12/2022,,18,,,3,,,0,,(14),,,,,,,
444,,"Summit Behavioral Healthcare, LLC*#+",Senior loan,,L + 5.00%,(c),,6.00%,,10/2023,,"29,418",,,"29,177",,,1.2,,"29,418",,,,,,,
445,,"Summit Behavioral Healthcare, LLC+",Senior loan,,L + 5.00%,(c),,6.00%,,10/2023,,903,,,878,,,0,,903,,,,,,,
446,,"Summit Behavioral Healthcare, LLC+(5)",Senior loan,,L + 5.00%,,,N/A(6),,10/2023,,0,,,(3),,,0,,0,,,,,,,
447,,"Veterinary Specialists of North America, LLC*#+",Senior loan,,L + 4.25%,(a),,4.35%,,4/1/2025,,"41,336",,,"42,515",,,1.6,,"41,336",,,,,,,
448,,"Veterinary Specialists of North America, LLC+",Senior loan,,L + 4.25%,(a),,4.35%,,04/2025,,"11,753",,,"11,749",,,0.5,,"11,753",,,,,,,
449,,"Veterinary Specialists of North America, LLC#+",Senior loan,,L + 4.25%,(a),,4.35%,,04/2025,,"2,850",,,"2,833",,,0.1,,"2,850",,,,,,,
450,,"Veterinary Specialists of North America, LLC*+",Senior loan,,L + 4.25%,(a),,4.35%,,04/2025,,"1,434",,,"1,476",,,0.1,,"1,434",,,,,,,
451,,"Veterinary Specialists of North America, LLC+(5)",Senior loan,,L + 4.25%,,,N/A(6),,04/2025,,0,,,(2),,,0,,0,,,,,,,
452,,"Water's Edge Management, LLC+",One stop,,L + 7.50%,(c),,8.50%,,04/2026,,"9,056",,,"8,838",,,0.3,,"8,829",,,,,,,
453,,"Water's Edge Management, LLC+",One stop,,P + 6.50%,(f),,9.75%,,04/2026,,7,,,6,,,0,,6,,,,,,,
454,,"WHCG Management, LLC+",Senior loan,,L + 4.75%,,,N/A(6),,03/2023,,0,,,2,,,0,,0,,,,,,,
455,,,,,,,,,,,,"454,612",,,"441,421",,,16.0,,"417,095",,,,,,,
457,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
458,,Health Care Technology,,,,,,,,,,,,,,,,,,,,,,,,,
459,,"Connexin Software, Inc.+~",One stop,,L + 8.50%,(a),,9.50%,,02/2024,,,"7,550",,,,"7,601",,,0.3,%,,"7,550",,,,
460,,"Connexin Software, Inc.+",One stop,,L + 8.50%,,,N/A(6),,02/2024,,0,,,0,,,0,,0,,,,,,,
461,,"ESO Solution, Inc.+",One stop,,L + 7.00%,(c),,8.00%,,03/2027,,"6,493",,,"6,430",,,0.3,,"6,428",,,,,,,
462,,"ESO Solution, Inc.+(5)",One stop,,L + 7.00%,,,N/A(6),,03/2027,,0,,,(1),,,0,,(1),,,,,,,
463,,"ESO Solution, Inc.+(5)",One stop,,L + 7.00%,,,N/A(6),,03/2027,,0,,,0,,,0,,(2),,,,,,,
464,,"HealthcareSource HR, Inc.+",One stop,,,,,8.00%,,05/2023,,178,,,160,,,0,,178,,,,,,,
465,,"HealthEdge Software, Inc.",One stop,,L + 6.25%,(c),,7.25%,,04/2026,,"2,000",,,"1,964",,,0.1,,"2,000",,,,,,,
466,,"HealthEdge Software, Inc.+",One stop,,L + 6.25%,(c),,7.25%,,04/2026,,"1,008",,,"1,008",,,0,,"1,008",,,,,,,
467,,"HealthEdge Software, Inc.+",One stop,,L + 6.25%,(c),,7.25%,,04/2026,,225,,,223,,,0,,225,,,,,,,
468,,"HealthEdge Software, Inc.+",One stop,,L + 6.25%,(c),,7.25%,,04/2026,,19,,,18,,,0,,19,,,,,,,
469,,"HSI Halo Acquisition, Inc.+~",One stop,,L + 5.75%,(c),,6.75%,,08/2026,,"6,265",,,"6,232",,,0.2,,"6,265",,,,,,,
470,,"HSI Halo Acquisition, Inc.+",One stop,,L + 5.75%,(c),,6.75%,,08/2026,,"1,967",,,"1,949",,,0.1,,"1,967",,,,,,,
471,,"HSI Halo Acquisition, Inc.+",One stop,,L + 5.75%,(c),,6.75%,,08/2026,,643,,,638,,,0,,643,,,,,,,
472,,"HSI Halo Acquisition, Inc.+",One stop,,L + 5.75%,(a),,6.75%,,09/2025,,13,,,12,,,0,,13,,,,,,,
473,,"HSI Halo Acquisition, Inc.+(5)",One stop,,L + 5.75%,,,N/A(6),,08/2026,,0,,,(12),,,0,,0,,,,,,,
474,,"Kareo, Inc.+",One stop,,L + 9.00%,(a),,10.00%,,06/2022,,"10,273",,,"10,338",,,0.4,,"10,366",,,,,,,
475,,"Kareo, Inc.",One stop,,L + 9.00%,(a),,10.00%,,06/2022,,"1,506",,,"1,461",,,0.1,,"1,520",,,,,,,
476,,"Kareo, Inc.+",One stop,,L + 9.00%,(a),,10.00%,,06/2022,,941,,,949,,,0,,950,,,,,,,
477,,"Kareo, Inc.+",One stop,,L + 9.00%,(a),,10.00%,,06/2022,,753,,,759,,,0,,760,,,,,,,
478,,"Kareo, Inc.+",One stop,,L + 9.00%,(a),,10.00%,,06/2022,,80,,,81,,,0,,80,,,,,,,
479,,"Nextech Holdings, LLC^",One stop,,L + 5.50%,(c),,5.69%,,06/2025,,"3,981",,,"4,039",,,0.2,,"3,902",,,,,,,
480,,"Nextech Holdings, LLC+",One stop,,L + 5.50%,(c),,5.69%,,06/2025,,"1,942",,,"1,928",,,0.1,,"1,903",,,,,,,
481,,"Nextech Holdings, LLC+(5)",One stop,,L + 5.50%,,,N/A(6),,06/2025,,0,,,(3),,,0,,(12),,,,,,,
482,,"Qgenda Intermediate Holdings, LLC+^",One stop,,L + 5.25%,(c),,6.25%,,06/2025,,"15,161",,,"15,161",,,0.6,,"15,161",,,,,,,
483,,"Qgenda Intermediate Holdings, LLC#",One stop,,L + 5.25%,(c),,6.25%,,06/2025,,"12,349",,,"12,241",,,0.5,,"12,349",,,,,,,
484,,"Qgenda Intermediate Holdings, LLC#",One stop,,L + 5.25%,(c),,6.25%,,06/2025,,985,,,985,,,0,,985,,,,,,,
485,,"Qgenda Intermediate Holdings, LLC+",One stop,,L + 5.25%,,,N/A(6),,06/2025,,0,,,0,,,0,,0,,,,,,,
486,,"Transaction Data Systems, Inc.*#+~^",One stop,,L + 4.50%,(c),,5.50%,,02/2026,,"67,347",,,"66,281",,,2.6,,"67,347",,,,,,,
487,,"Transaction Data Systems, Inc.+(5)",One stop,,L + 4.50%,,,N/A(6),,02/2026,,0,,,(4),,,0,,0,,,,,,,
488,,,,,,,,,,,,"141,679",,,"140,438",,,5.5,,"141,604",,,,,,,
490,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
491,,"Hotels, Restaurants & Leisure",,,,,,,,,,,,,,,,,,,,,,,,,
492,,BJH Holdings III Corp.*#+^,One stop,,L + 4.50%,(c),,5.50%,,08/2025,,,"51,311",,,,"52,377",,,2.0,%,,"51,311",,,,
493,,BJH Holdings III Corp.+(5),One stop,,L + 4.50%,,,N/A(6),,08/2025,,0,,,(6),,,0,,0,,,,,,,
494,,"CR Fitness Holdings, LLC#~",Senior loan,,L + 4.25%,(a),,5.25%,,07/2025,,"1,984",,,"1,994",,,0.1,,"1,984",,,,,,,
495,,"CR Fitness Holdings, LLC+",Senior loan,,L + 4.25%,(a)(c),,5.25%,,07/2025,,838,,,834,,,0,,838,,,,,,,
496,,"CR Fitness Holdings, LLC+",Senior loan,,L + 4.25%,(a),,5.25%,,07/2025,,74,,,74,,,0,,74,,,,,,,
497,,"Davidson Hotel Company, LLC+",One stop,,L + 6.75%,(a)(c),,6.25% cash/1.50% PIK,,07/2024,,"7,046",,,"6,999",,,0.2,,"5,636",,,,,,,
498,,"Davidson Hotel Company, LLC+",One stop,,L + 6.75%,(a)(c),,6.25% cash/1.50% PIK,,07/2024,,"1,085",,,"1,081",,,0,,867,,,,,,,
499,,"Davidson Hotel Company, LLC+(5)",One stop,,L + 5.25%,,,N/A(6),,07/2024,,0,,,0,,,0,,(20),,,,,,,
500,,"Davidson Hotel Company, LLC+(5)",One stop,,L + 5.25%,,,N/A(6),,07/2024,,0,,,(16),,,0,,0,,,,,,,
501,,"EOS Fitness Opco Holdings, LLC*#",One stop,,L + 6.25%,(c),,6.75% cash/0.50% PIK,,01/2025,,"8,614",,,"8,699",,,0.3,,"8,270",,,,,,,
502,,"EOS Fitness Opco Holdings, LLC+",One stop,,L + 6.25%,(c),,6.75% cash/0.50% PIK,,01/2025,,909,,,918,,,0,,874,,,,,,,
503,,"EOS Fitness Opco Holdings, LLC+",One stop,,L + 6.25%,(c),,6.75% cash/0.50% PIK,,01/2025,,120,,,119,,,0,,115,,,,,,,
504,,Freddy's Frozen Custard LLC~,One stop,,L + 6.00%,(c),,7.00%,,03/2027,,"9,669",,,"9,578",,,0.4,,"9,669",,,,,,,
505,,Freddy's Frozen Custard LLC+(5),One stop,,L + 6.00%,,,N/A(6),,03/2027,,0,,,(1),,,0,,0,,,,,,,
506,,"Self Esteem Brands, LLC*#+^",Senior loan,,L + 4.50%,(a),,5.50%,,02/2022,,"47,901",,,"48,071",,,1.9,,"47,901",,,,,,,
507,,"Self Esteem Brands, LLC+(5)",Senior loan,,P + 3.25%,,,N/A(6),,02/2022,,0,,,(3),,,0,,0,,,,,,,
508,,"SSRG Holdings, LLC",One stop,,L + 5.25%,(c),,6.25%,,11/2025,,911,,,898,,,0,,911,,,,,,,
509,,"SSRG Holdings, LLC+",One stop,,L + 5.25%,(c),,6.25%,,11/2025,,45,,,44,,,0,,45,,,,,,,
510,,"Sunshine Sub, LLC#~",One stop,,L + 5.25%,(a),,6.25%,,05/2024,,"12,826",,,"12,904",,,0.5,,"12,826",,,,,,,
511,,"Sunshine Sub, LLC#+",One stop,,L + 5.25%,(a),,6.25%,,05/2024,,"5,610",,,"5,758",,,0.2,,"5,610",,,,,,,
512,,"Sunshine Sub, LLC+(5)",One stop,,L + 5.25%,,,N/A(6),,05/2024,,0,,,(1),,,0,,0,,,,,,,
513,,"Tropical Smoothie Cafe Holdings, LLC*#",Senior loan,,L + 5.50%,(a)(c)(d),,6.50%,,09/2026,,"16,091",,,"15,946",,,0.6,,"15,930",,,,,,,
514,,"Tropical Smoothie Cafe Holdings, LLC+",Senior loan,,L + 5.50%,(a)(c),,6.50%,,09/2026,,"6,526",,,"6,463",,,0.3,,"6,461",,,,,,,
515,,"Tropical Smoothie Cafe Holdings, LLC+(5)",Senior loan,,L + 5.50%,,,N/A(6),,09/2026,,0,,,(1),,,0,,(1),,,,,,,
516,,"Velvet Taco Holdings, Inc.~",One stop,,L + 8.00%,(c),,8.00% cash/1.00% PIK,,03/2026,,"1,785",,,"1,767",,,0.1,,"1,714",,,,,,,
517,,"Velvet Taco Holdings, Inc.+",One stop,,L + 11.00%,(c),,8.00% cash/4.00% PIK,,03/2026,,92,,,92,,,0,,92,,,,,,,
518,,"Velvet Taco Holdings, Inc.+",One stop,,L + 7.00%,,,N/A(6),,03/2026,,0,,,0,,,0,,0,,,,,,,
519,,,,,,,,,,,,"173,437",,,"174,588",,,6.6,,"171,107",,,,,,,
520,,Household Durables,,,,,,,,,,,,,,,,,,,,,,,,,
521,,Groundworks LLC^,Senior loan,,L + 4.75%,(c),,5.75%,,01/2026,,"4,674",,,"4,611",,,0.2,,"4,674",,,,,,,
522,,Groundworks LLC+,Senior loan,,L + 4.75%,(c),,5.75%,,01/2026,,540,,,524,,,0,,540,,,,,,,
523,,Groundworks LLC+,Senior loan,,L + 4.75%,(c),,5.75%,,01/2026,,83,,,82,,,0,,83,,,,,,,
524,,Groundworks LLC+,Senior loan,,L + 4.75%,,,N/A(6),,01/2026,,0,,,0,,,0,,0,,,,,,,
525,,Groundworks LLC+(5)(8),Senior loan,,L + 4.75%,,,N/A(6),,01/2026,,0,,,(26),,,0,,0,,,,,,,
526,,,,,,,,,,,,"5,297",,,"5,191",,,0.2,,"5,297",,,,,,,
528,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
529,,Household Products,,,,,,,,,,,,,,,,,,,,,,,,,
530,,"WU Holdco, Inc. #+^",One stop,,L + 5.25%,(c),,6.25%,,03/2026,,,"3,790",,,,"3,856",,,0.1,,,"3,784",,,,
531,,"WU Holdco, Inc. +",One stop,,L + 5.50%,(c),,6.50%,,03/2026,,"1,335",,,"1,335",,,0.1,,"1,346",,,,,,,
532,,"WU Holdco, Inc. +",One stop,,L + 5.25%,(c),,5.40%,,03/2025,,20,,,20,,,0,,20,,,,,,,
533,,"WU Holdco, Inc. +",One stop,,L + 5.50%,,,N/A(6),,03/2026,,0,,,0,,,0,,2,,,,,,,
534,,,,,,,,,,,,"5,145",,,"5,211",,,0.2,,"5,152",,,,,,,
535,,Industrial Conglomerates,,,,,,,,,,,,,,,,,,,,,,,,,
536,,Arch Global CCT Holdings Corp.#+^,Senior loan,,L + 4.75%,(a)(c),,4.85%,,04/2026,,"2,349",,,"2,413",,,0.1,,"2,327",,,,,,,
537,,Arch Global CCT Holdings Corp.+,Senior loan,,L + 4.75%,,,N/A(6),,04/2025,,0,,,0,,,0,,0,,,,,,,
538,,Arch Global CCT Holdings Corp.+,Senior loan,,L + 4.75%,,,N/A(6),,04/2026,,0,,,0,,,0,,0,,,,,,,
539,,Arch Global CCT Holdings Corp.+(5),Senior loan,,L + 4.75%,,,N/A(6),,04/2026,,0,,,0,,,0,,(1),,,,,,,
540,,Madison Safety & Flow LLC^,Senior loan,,L + 3.50%,(a),,0.0358,,03/2025,,474,,,474,,,0,,474,,,,,,,
541,,Madison Safety & Flow LLC+,Senior loan,,L + 3.50%,(a)(f),,0.0375,,03/2025,,4,,,4,,,0,,4,,,,,,,
542,,Specialty Measurement Bidco Limited~(8)(9)(10),One stop,,E + 6.25%,(g),,7.25%,,11/2027,,"7,969",,,"7,765",,,0.3,,"7,932",,,,,,,
543,,Specialty Measurement Bidco Limited~(8)(10),One stop,,L + 6.00%,(c),,7.00%,,11/2027,,"7,961",,,"7,761",,,0.3,,"7,961",,,,,,,
544,,Specialty Measurement Bidco Limited+(5)(8)(9)(10),One stop,,L + 6.00%,,,N/A(6),,11/2027,,0,,,(49),,,0,,0,,,,,,,
545,,,,,,,,,,,,"18,757",,,"18,368",,,0.7,,"18,697",,,,,,,
547,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
548,,Insurance,,,,,,,,,,,,,,,,,,,,,,,,,
549,,"Captive Resources Midco, LLC*#+~^",One stop,,L + 5.75%,(a),,6.75%,,05/2025,,,"51,740",,,,"51,917",,,2.0,%,,"51,740",,,,
550,,"Captive Resources Midco, LLC#",One stop,,L + 5.75%,(a),,6.75%,,05/2025,,"1,429",,,"1,418",,,0.1,,"1,429",,,,,,,
551,,"Captive Resources Midco, LLC+(5)",One stop,,L + 5.75%,,,N/A(6),,05/2025,,0,,,(13),,,0,,0,,,,,,,
552,,"Integrity Marketing Acquisition, LLC^",Senior loan,,L + 5.50%,(c),,6.50%,,08/2025,,"2,452",,,"2,453",,,0.1,,"2,452",,,,,,,
553,,"Integrity Marketing Acquisition, LLC+",Senior loan,,L + 5.50%,(c),,6.50%,,08/2025,,784,,,780,,,0,,784,,,,,,,
554,,"Integrity Marketing Acquisition, LLC+",Senior loan,,L + 5.75%,(c)(d),,6.75%,,08/2025,,640,,,619,,,0,,640,,,,,,,
555,,"Integrity Marketing Acquisition, LLC+",Senior loan,,L + 5.50%,(c),,6.50%,,08/2025,,473,,,472,,,0,,473,,,,,,,
556,,"Integrity Marketing Acquisition, LLC+",Senior loan,,L + 5.50%,(c),,6.50%,,08/2025,,247,,,246,,,0,,247,,,,,,,
557,,"Integrity Marketing Acquisition, LLC+",Senior loan,,L + 5.75%,,,N/A(6),,08/2025,,0,,,0,,,0,,0,,,,,,,
558,,"J.S. Held Holdings, LLC#+^",One stop,,L + 6.00%,(c)(f),,7.00%,,07/2025,,"6,504",,,"6,474",,,0.3,,"6,504",,,,,,,
559,,"J.S. Held Holdings, LLC+",One stop,,P + 5.00%,(f),,8.25%,,07/2025,,180,,,176,,,0,,180,,,,,,,
560,,"J.S. Held Holdings, LLC+",One stop,,L + 6.00%,(c),,7.00%,,07/2025,,132,,,111,,,0,,132,,,,,,,
561,,Majesco+^,One stop,,L + 7.75%,(c),,8.75%,,09/2027,,"18,990",,,"18,701",,,0.7,,"18,800",,,,,,,
562,,Majesco+(5),One stop,,L + 7.75%,,,N/A(6),,09/2026,,0,,,(3),,,0,,(1),,,,,,,
563,,"Norvax, LLC+",Senior loan,,L + 4.00%,(c),,5.00%,,09/2025,,"33,199",,,"33,035",,,1.3,,"33,033",,,,,,,
564,,"Orchid Underwriters Agency, LLC^",Senior loan,,L + 4.50%,(c),,5.50%,,12/2024,,"4,092",,,"4,135",,,0.2,,"4,092",,,,,,,
565,,"Orchid Underwriters Agency, LLC+",Senior loan,,L + 4.50%,(c),,5.50%,,12/2024,,506,,,506,,,0,,506,,,,,,,
566,,"Orchid Underwriters Agency, LLC+",Senior loan,,L + 4.50%,,,N/A(6),,12/2024,,0,,,0,,,0,,0,,,,,,,
567,,People Corporation~(8)(9)(12),One stop,,L + 6.25%,(m),,7.25%,,02/2028,,"14,914",,,"14,666",,,0.6,,"15,250",,,,,,,
568,,People Corporation+(8)(9)(12),One stop,,L + 6.25%,(m),,7.25%,,02/2028,,"3,169",,,"3,129",,,0.1,,"3,153",,,,,,,
569,,People Corporation+(5)(8)(9)(12),One stop,,L + 6.25%,,,N/A(6),,02/2027,,0,,,(2),,,0,,0,,,,,,,
570,,"RSC Acquisition, Inc.*#+^",One stop,,L + 5.50%,(c),,6.50%,,10/2026,,"25,964",,,"25,532",,,1.0,,"25,964",,,,,,,
571,,"RSC Acquisition, Inc.+",One stop,,L + 5.50%,(c),,6.50%,,10/2026,,"2,620",,,"2,528",,,0.1,,"2,620",,,,,,,
572,,"RSC Acquisition, Inc.+",One stop,,L + 5.50%,(c),,6.50%,,10/2026,,28,,,27,,,0,,28,,,,,,,
573,,"RSC Acquisition, Inc.+(5)",One stop,,L + 5.50%,,,N/A(6),,10/2026,,0,,,(141),,,0,,0,,,,,,,
574,,"Sunstar Insurance Group, LLC+",Senior loan,,L + 5.50%,(c),,6.50%,,10/2026,,786,,,773,,,0,,786,,,,,,,
575,,"Sunstar Insurance Group, LLC+",Senior loan,,L + 5.50%,(c),,6.50%,,10/2026,,398,,,391,,,0,,398,,,,,,,
576,,"Sunstar Insurance Group, LLC+",Senior loan,,L + 5.50%,,,N/A(6),,10/2026,,0,,,0,,,0,,0,,,,,,,
577,,"Sunstar Insurance Group, LLC+(5)",Senior loan,,L + 5.50%,,,N/A(6),,10/2026,,0,,,(9),,,0,,0,,,,,,,
578,,"TigerRisk, LLC+",One stop,,L + 5.25%,(c),,6.25%,,06/2027,,"22,949",,,"22,722",,,0.9,,"22,719",,,,,,,
579,,"TigerRisk, LLC+(5)",One stop,,L + 5.25%,,,N/A(6),,06/2027,,0,,,(1),,,0,,(1),,,,,,,
580,,,,,,,,,,,,"192,196",,,"190,642",,,7.4,,"191,928",,,,,,,
581,,Internet & Catalog Retail,,,,,,,,,,,,,,,,,,,,,,,,,
582,,AQ Holdco Inc. +,One stop,,L + 5.25%,(c),,6.25%,,04/2027,,"15,202",,,"15,056",,,0.6,,"15,088",,,,,,,
583,,AQ Holdco Inc. +,One stop,,L + 5.25%,(c),,6.25%,,04/2027,,"4,412",,,"4,369",,,0.2,,"4,379",,,,,,,
584,,AQ Holdco Inc. +,One stop,,L + 5.25%,(c),,6.25%,,04/2027,,"4,104",,,"4,018",,,0.2,,"4,037",,,,,,,
585,,AQ Holdco Inc. +,One stop,,L + 5.25%,(c),,6.25%,,04/2027,,"2,658",,,"2,632",,,0.1,,"2,638",,,,,,,
586,,AQ Holdco Inc. +(5),One stop,,L + 5.25%,,,N/A(6),,04/2027,,0,,,(2),,,0,,(2),,,,,,,
587,,,,,,,,,,,,"26,376",,,"26,073",,,1.1,,,"26,140",,,,,,
589,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
590,,IT Services,,,,,,,,,,,,,,,,,,,,,,,,,
591,,"Acquia, Inc.+~",One stop,,L + 7.00%,(c),,8.00%,,10/2025,,,"7,118",,,,"7,067",,,0.3,%,,"7,118",,,,
592,,"Acquia, Inc.+",One stop,,L + 7.00%,(c),,8.00%,,10/2025,,4,,,4,,,0,,4,,,,,,,
593,,"Appriss Holdings, Inc.*#~^",One stop,,L + 6.00%,(c),,7.00%,,05/2026,,"24,780",,,"25,273",,,1.0,,"24,780",,,,,,,
594,,"Appriss Holdings, Inc.+",One stop,,L + 5.50%,(f),,0.0825,,05/2025,,100,,,96,,,0,,100,,,,,,,
595,,"Arctic Wolfs Networks, Inc. and Arctic Wolf Networks Canada, Inc.+",One stop,,L + 7.50%,(c),,8.50% cash/1.00% PIK,,08/2025,,"4,650",,,"4,498",,,0.2,,"4,757",,,,,,,
596,,"Arctic Wolfs Networks, Inc. and Arctic Wolf Networks Canada, Inc.+",One stop,,L + 6.50%,,,N/A(6),,08/2025,,0,,,0,,,0,,1,,,,,,,
597,,"Arctic Wolfs Networks, Inc. and Arctic Wolf Networks Canada, Inc.+(5)",One stop,,L + 6.50%,,,N/A(6),,08/2025,,0,,,(12),,,0,,0,,,,,,,
