,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
359,"Forge Biologics, Inc.",,First Lien Secured Debt,,,"SOFR+  675  ,  0.50   Floor",,12/03/26,,,,26667,,,,,13226,,,,,13333,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,,
360,Gateway Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,"Gateway US Holdings, Inc.",,First Lien Secured Debt,,,"SOFR+  650  ,  0.75   Floor",,09/22/26,,,,9657,,,,,9515,,,,,9448,,,(9)(21)(23)(32),,,,,,,,,,,,,,,,,,,,
362,,,First Lien Secured Debt - Revolver,,,"SOFR+  650  ,  0.75   Floor",,09/22/26,,,,304,,,,,165,,,,,162,,,(9)(21)(23)(32),,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,9680,,,,,9610,,,,,,,,,,,,,,,,,,,,,,,
364,Gossamer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,"GB001, Inc.",,First Lien Secured Debt,,,"L+  700  ,  2.00   Floor",,01/01/25,,,,28839,,,,,4757,,,,,4845,,,(9)(17)(23)(26),,,,,,,,,,,,,,,,,,,,
366,Health & Safety Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,"HSI HALO Acquisition, Inc.",,First Lien Secured Debt,,,"SOFR+  575  ,  1.00   Floor",,08/31/26,,,,16267,,,,,16074,,,,,15716,,,(9)(33),,,,,,,,,,,,,,,,,,,,
368,,,First Lien Secured Debt,,,"SOFR+  625  ,  1.00   Floor",,08/31/26,,,,2466,,,,,2413,,,,,2414,,,(9)(33),,,,,,,,,,,,,,,,,,,,
369,,,First Lien Secured Debt - Revolver,,,"SOFR+  575  ,  1.00   Floor",,09/02/25,,,,813,,,,,674,,,,,661,,,(9)(21)(23)(32)  (33),,,,,,,,,,,,,,,,,,,,
370,,,Common Equity - Common Stock,,,N/A,,N/A,,,500  Shares,,,,,500,,,,,1472,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
371,"HSI Halo Holdings, LLC",,Common Equity - Common Stock,,,N/A,,N/A,,,104  Shares,,,,,16,,,,,16,,,(9)(24),,,,,,,,,,,,,,,,,,,,,
372,,,Unsecured Debt - Convertible Bond,,,10.00,,09/28/27,,,,50,,,,,50,,,,,50,,,(9),,,,,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,19727,,,,,20329,,,,,,,,,,,,,,,,,,,,,,,
374,IMA Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,"IMA Group Management Company, LLC",,First Lien Secured Debt,,,"L+  500  ,  1.00   Floor",,05/30/24,,,,12606,,,,,10010,,,,,10001,,,(21)(23)(28),,,,,,,,,,,,,,,,,,,,
376,,,First Lien Secured Debt - Revolver,,,"L+  500  ,  1.00   Floor",,05/30/24,,,,289,,,,,173,,,,,171,,,(21)(23)(28),,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,10183,,,,,10172,,,,,,,,,,,,,,,,,,,,,,,
378,KureSmart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",,Common Equity - Common Stock,,,N/A,,N/A,,,133  Shares,,,,,133,,,,,208,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
380,"Kure Pain Holdings, Inc.",,First Lien Secured Debt,,,"L+  500  ,  1.00   Floor",,08/27/24,,,,21491,,,,,21367,,,,,21296,,,(9)(26),,,,,,,,,,,,,,,,,,,,
381,,,First Lien Secured Debt - Revolver,,,"L+  500  ,  1.00   Floor",,08/27/24,,,,2654,,,,,(  18,,,,,(  24,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,21482,,,,,21480,,,,,,,,,,,,,,,,,,,,,,,
383,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,LucidHealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,"Premier Imaging, LLC",,First Lien Secured Debt,,,"L+  575  ,  1.00   Floor",,01/02/25,,,,12419,,,,,7984,,,,,8114,,,(9)(21)(23)(26),,,,,,,,,,,,,,,,,,,,
386,Mannkind Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Mannkind Corporation,,First Lien Secured Debt,,,"SOFR+  625  ,  1.00   Floor",,08/01/25,,,,13867,,,,,13805,,,,,13710,,,(9)(31),,,,,,,,,,,,,,,,,,,,
388,,,Common Equity - Common Stock,,,N/A,,N/A,,,"334,226  Shares",,,,,76,,,,,1761,,,(9)(10)(13)(17),,,,,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,13881,,,,,15471,,,,,,,,,,,,,,,,,,,,,,,
390,"Maxor National Pharmacy Services, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,"Maxor National Pharmacy Services, LLC",,First Lien Secured Debt,,,"L+  525  ,  1.00   Floor",,12/06/27,,,,23172,,,,,22973,,,,,23172,,,(9)(28),,,,,,,,,,,,,,,,,,,,
392,,,First Lien Secured Debt - Revolver,,,"L+  525  ,  1.00   Floor",,12/06/26,,,,1558,,,,,(  36,,,,,0,,,(9)(21)(23),,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,22937,,,,,23172,,,,,,,,,,,,,,,,,,,,,,,
394,Medical Guardian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,"Medical Guardian, LLC",,First Lien Secured Debt,,,"L+  650  ,  1.00   Floor",,10/26/26,,,,35876,,,,,30713,,,,,30655,,,(9)(21)(23)(26),,,,,,,,,,,,,,,,,,,,
396,,,First Lien Secured Debt - Revolver,,,"L+  650  ,  1.00   Floor",,10/26/26,,,,3810,,,,,604,,,,,640,,,(9)(21)(23)(26),,,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,31317,,,,,31295,,,,,,,,,,,,,,,,,,,,,,,
398,Midwest Vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,"Midwest Vision Partners Management, LLC",,First Lien Secured Debt,,,"L+  650  ,  1.00   Floor",,01/12/27,,,,24096,,,,,21315,,,,,21076,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
400,,,First Lien Secured Debt - Revolver,,,"L+  650  ,  1.00   Floor",,01/12/27,,,,612,,,,,603,,,,,596,,,(9)(23)(28),,,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,21918,,,,,21672,,,,,,,,,,,,,,,,,,,,,,,
402,Orchard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Orchard Therapeutics PLC,,First Lien Secured Debt,,,"L+  595  ,  1.00   Floor",,05/28/26,,,,33071,,,,,10665,,,,,10792,,,(9)(17)(23)(26),,,,,,,,,,,,,,,,,,,,
404,Ovation Fertility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,"FPG Services, LLC",,First Lien Secured Debt,,,"L+  550  ,  1.00   Floor",,06/13/25,,,,18917,,,,,14759,,,,,14875,,,(9)(21)(23)(26),,,,,,,,,,,,,,,,,,,,
406,,,First Lien Secured Debt - Revolver,,,"L+  550  ,  1.00   Floor",,06/13/24,,,,2105,,,,,(  12,,,,,(  6,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,14747,,,,,14869,,,,,,,,,,,,,,,,,,,,,,,
408,Paragon 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,"Paragon 28, Inc.",,First Lien Secured Debt,,,"SOFR+  600  ,  1.00   Floor",,05/01/26,,,,10000,,,,,7476,,,,,7450,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,,
410,,,First Lien Secured Debt - Revolver,,,"SOFR+  375  ,  1.00   Floor",,05/01/26,,,,2000,,,,,(  10,,,,,(  10,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,7466,,,,,7440,,,,,,,,,,,,,,,,,,,,,,,
412,"Partner Therapeutics, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,"Partner Therapeutics, Inc",,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,"55,556  Shares",,,,,333,,,,,642,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
414,,,Warrants - Warrants,,,,,,,,,73,,,,,389,,,,,474,,,(9)(13),,,,,,,,,,,,,,,,,,,,
415,"Partner Therapeutics, Inc.",,First Lien Secured Debt,,,"SOFR+  665  ,  2.00   Floor",,12/30/27,,,,10000,,,,,9818,,,,,9950,,,(9)(31),,,,,,,,,,,,,,,,,,,,
416,,,First Lien Secured Debt,,,"SOFR+  715  ,  2.00   Floor",,12/30/27,,,,5000,,,,,3248,,,,,3309,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,,
417,,,First Lien Secured Debt - Revolver,,,"SOFR+  375  ,  2.00   Floor",,12/30/27,,,,1000,,,,,559,,,,,565,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,14347,,,,,14940,,,,,,,,,,,,,,,,,,,,,,,
419,PHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,"PHS Buyer, Inc.",,First Lien Secured Debt,,,"L+  600  ,  1.00   Floor",,01/31/27,,,,24925,,,,,24572,,,,,24052,,,(9)(26),,,,,,,,,,,,,,,,,,,,
421,,,First Lien Secured Debt - Revolver,,,"L+  600  ,  1.00   Floor",,01/31/27,,,,2000,,,,,1224,,,,,1197,,,(9)(21)(23)(26),,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,25796,,,,,25249,,,,,,,,,,,,,,,,,,,,,,,
423,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,RHA Health Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,"Pace Health Companies, LLC",,First Lien Secured Debt,,,"L+  450  ,  1.00   Floor",,08/02/24,,,,3767,,,,,3740,,,,,3740,,,(9)(28),,,,,,,,,,,,,,,,,,,,
426,,,First Lien Secured Debt - Revolver,,,"L+  450  ,  1.00   Floor",,08/02/24,,,,500,,,,,0,,,,,(  4,,,(8)(9)(20)(21)  (23),,,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,3740,,,,,3736,,,,,,,,,,,,,,,,,,,,,,,
428,Rigel Pharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,"Rigel Pharmaceuticals, Inc.",,First Lien Secured Debt,,,"SOFR+  565  ,  1.50   Floor",,09/01/26,,,,12000,,,,,12010,,,,,11880,,,(9)(31),,,,,,,,,,,,,,,,,,,,
430,"TELA Bio, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,"TELA Bio, Inc.",,First Lien Secured Debt,,,"SOFR+  625  ,  1.00   Floor",,05/01/27,,,,16667,,,,,13271,,,,,13333,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,,
432,TissueTech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,"TissueTech, Inc.",,First Lien Secured Debt,,,"SOFR+  575  ,  1.00   Floor",,04/01/27,,,,17500,,,,,12194,,,,,12250,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,,
434,,,First Lien Secured Debt - Revolver,,,"SOFR+  400  ,  1.00   Floor",,04/01/27,,,,1000,,,,,(  4,,,,,0,,,(9)(21)(23),,,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,12190,,,,,12250,,,,,,,,,,,,,,,,,,,,,,,
436,Treace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,"Treace Medical Concepts, Inc.",,First Lien Secured Debt,,,"SOFR+  600  ,  1.00   Floor",,04/01/27,,,,35000,,,,,14514,,,,,14060,,,(9)(17)(23)(31),,,,,,,,,,,,,,,,,,,,
438,,,First Lien Secured Debt - Revolver,,,"SOFR+  400  ,  1.00   Floor",,04/01/27,,,,3000,,,,,387,,,,,355,,,(9)(17)(21)(23)  (31),,,,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,14901,,,,,14415,,,,,,,,,,,,,,,,,,,,,,,
440,Unchained Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,"Unchained Labs, LLC",,First Lien Secured Debt,,,"SOFR+  550  ,  1.00   Floor",,08/09/27,,,,6728,,,,,4082,,,,,4096,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
442,,,First Lien Secured Debt - Revolver,,,"SOFR+  550  ,  1.00   Floor",,08/09/27,,,,726,,,,,(  11,,,,,(  7,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,,,4071,,,,,4089,,,,,,,,,,,,,,,,,,,,,,,
444,ViewRay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,ViewRay Inc.,,First Lien Secured Debt,,,P+  350,,11/01/27,,,,12500,,,,,12438,,,,,12438,,,(9)(17)(25),,,,,,,,,,,,,,,,,,,,
446,,,First Lien Secured Debt,,,"L+  350  ,  0.00   Floor",,11/01/27,,,,4167,,,,,(  20,,,,,(  21,,,(8)(9)(17)(23),,,,,,,,,,,,,,,,,,,,
447,,,First Lien Secured Debt - Revolver,,,P+  50,,11/01/27,,,,750,,,,,246,,,,,246,,,(9)(17)(21)(23)  (25),,,,,,,,,,,,,,,,,,,,
448,,,,,,,,,,,,,,,,,12664,,,,,12663,,,,,,,,,,,,,,,,,,,,,,,
449,"WellDyneRx, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,"WelldyneRX, LLC",,First Lien Secured Debt,,,"SOFR+  675  ,  0.75   Floor",,03/09/27,,,,17941,,,,,17617,,,,,17493,,,(9)(32),,,,,,,,,,,,,,,,,,,,
451,,,First Lien Secured Debt - Revolver,,,"SOFR+  675  ,  0.75   Floor",,03/09/26,,,,1923,,,,,(  31,,,,,(  48,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,,,,17586,,,,,17445,,,,,,,,,,,,,,,,,,,,,,,
453,,,,,,,Total Healthcare & Pharmaceuticals,,,,,466989,,,,,468476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,High Tech Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Acronis AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,ACRONIS AG,,First Lien Secured Debt,,,"L+  585  ,  1.00   Floor",,04/01/27,,,,21000,,,,,20936,,,,,20895,,,(9)(17)(26),,,,,,,,,,,,,,,,,,,,
457,American Megatrends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,AMI US Holdings Inc.,,First Lien Secured Debt,,,"L+  525  ,  1.00   Floor",,04/01/25,,,,21265,,,,,21085,,,,,20946,,,(9)(26),,,,,,,,,,,,,,,,,,,,
459,,,First Lien Secured Debt - Revolver,,,"L+  525  ,  0.00   Floor",,04/01/24,,,,2907,,,,,(  15,,,,,(  44,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,,,21070,,,,,20902,,,,,,,,,,,,,,,,,,,,,,,
461,"Calero Holdings, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,"Telesoft Holdings, LLC",,First Lien Secured Debt,,,"L+  575  ,  1.00   Floor",,12/16/25,,,,22102,,,,,21850,,,,,21691,,,(26)(28),,,,,,,,,,,,,,,,,,,,
463,,,First Lien Secured Debt - Revolver,,,"L+  575  ,  1.00   Floor",,12/16/25,,,,2273,,,,,164,,,,,147,,,(21)(23)(26),,,,,,,,,,,,,,,,,,,,
464,,,,,,,,,,,,,,,,,22014,,,,,21838,,,,,,,,,,,,,,,,,,,,,,,
465,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,ChyronHego Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,ChyronHego Corporation (5),,First Lien Secured Debt,,,"L+  350  Cash plus  1.50   PIK,  1.00   Floor",,12/31/24,,,,86254,,,,,85978,,,,,86254,,,(28),,,,,,,,,,,,,,,,,,,,
468,,,First Lien Secured Debt,,,"L+  1025  PIK,  1.00   Floor",,12/31/24,,,,2777,,,,,2710,,,,,2777,,,(28),,,,,,,,,,,,,,,,,,,,
469,,,First Lien Secured Debt,,,"L+  650  Cash plus  1.50   PIK,  1.00   Floor",,12/31/24,,,,2011,,,,,1899,,,,,2011,,,(28),,,,,,,,,,,,,,,,,,,,
470,,,First Lien Secured Debt - Revolver,,,"L+  500  ,  1.00   Floor",,12/31/24,,,,10000,,,,,8945,,,,,8956,,,(21)(23)(28),,,,,,,,,,,,,,,,,,,,
471,,,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,"7,800  Shares",,,,,6000,,,,,22500,,,(13)(24),,,,,,,,,,,,,,,,,,,,,
472,,,,,,,,,,,,,,,,,105532,,,,,122498,,,,,,,,,,,,,,,,,,,,,,,
473,Dairy.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Momentx Corporation,,First Lien Secured Debt,,,"SOFR+  575  ,  1.00   Floor",,06/24/27,,,,15200,,,,,14964,,,,,14934,,,(9)(32),,,,,,,,,,,,,,,,,,,,
475,,,First Lien Secured Debt - Revolver,,,"SOFR+  575  ,  1.00   Floor",,06/24/27,,,,1257,,,,,651,,,,,649,,,(9)(21)(23)(32),,,,,,,,,,,,,,,,,,,,
476,,,,,,,,,,,,,,,,,15615,,,,,15583,,,,,,,,,,,,,,,,,,,,,,,
477,Digital.ai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,"Digital.ai Software Holdings, Inc.",,First Lien Secured Debt,,,"L+  700  ,  1.00   Floor",,02/10/27,,,,22185,,,,,21722,,,,,21520,,,(9)(28),,,,,,,,,,,,,,,,,,,,
479,,,First Lien Secured Debt - Revolver,,,"L+  650  ,  1.00   Floor",,02/10/27,,,,2419,,,,,514,,,,,444,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
480,,,,,,,,,,,,,,,,,22236,,,,,21964,,,,,,,,,,,,,,,,,,,,,,,
481,GoHealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,"Norvax, LLC",,First Lien Secured Debt - Revolver,,,"L+  650  ,  1.00   Floor",,09/13/24,,,,3182,,,,,(  27,,,,,0,,,(9)(21)(23),,,,,,,,,,,,,,,,,,,,
483,"International Cruise & Excursion Gallery, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,"International Cruise & Excursion Gallery, Inc.",,First Lien Secured Debt,,,"SOFR+  535  ,  1.00   Floor",,06/06/25,,,,14325,,,,,14220,,,,,13715,,,(31),,,,,,,,,,,,,,,,,,,,
485,Modern Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,"Destiny Solutions U.S., Inc.",,First Lien Secured Debt,,,"L+  575  ,  1.00   Floor",,06/08/26,,,,25573,,,,,25102,,,,,25062,,,(26),,,,,,,,,,,,,,,,,,,,
487,"RMCF IV CIV XXXV, L.P.",,Common Equity - Common Stock,,,N/A,,N/A,,,482  Shares,,,,,1000,,,,,1438,,,(13),,,,,,,,,,,,,,,,,,,,,
488,,,,,,,,,,,,,,,,,26102,,,,,26500,,,,,,,,,,,,,,,,,,,,,,,
489,MYCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Magnate Holding Corp.,,First Lien Secured Debt,,,"L+  600  ,  0.50   Floor",,12/16/24,,,,19039,,,,,18964,,,,,18841,,,(9)(17)(28),,,,,,,,,,,,,,,,,,,,
491,,,First Lien Secured Debt - Revolver,,,"L+  600  ,  0.50   Floor",,12/14/23,,,,3150,,,,,3139,,,,,3122,,,(9)(17)(23)(28),,,,,,,,,,,,,,,,,,,,
492,,,,,,,,,,,,,,,,,22103,,,,,21963,,,,,,,,,,,,,,,,,,,,,,,
493,"New Era Technology, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,"New Era Technology, Inc.",,First Lien Secured Debt,,,"L+  625  ,  1.00   Floor",,10/31/26,,,,32951,,,,,31744,,,,,31501,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
495,,,First Lien Secured Debt - Revolver,,,"L+  625  ,  1.00   Floor",,10/30/26,,,,1732,,,,,926,,,,,913,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
496,,,,,,,,,,,,,,,,,32670,,,,,32414,,,,,,,,,,,,,,,,,,,,,,,
497,Pro Vigil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,"Pro-Vigil Holding Company, LLC",,First Lien Secured Debt,,,"SOFR+  850  ,  1.00   Floor",,01/11/25,,,,23138,,,,,15353,,,,,15643,,,(9)(21)(23)(31)  (32)(33),,,,,,,,,,,,,,,,,,,,
499,Schlesinger Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,"Schlesinger Global, LLC",,First Lien Secured Debt,,,"SOFR+  600  Cash plus  0.50   PIK,  1.00   Floor",,07/12/25,,,,10296,,,,,10167,,,,,10143,,,(9)(31),,,,,,,,,,,,,,,,,,,,
501,,,First Lien Secured Debt,,,"SOFR+  785  ,  1.00   Floor",,07/12/25,,,,953,,,,,943,,,,,953,,,(9)(32),,,,,,,,,,,,,,,,,,,,
502,,,,,,,,,,,,,,,,,11110,,,,,11096,,,,,,,,,,,,,,,,,,,,,,,
503,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Simeio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,"Simeio Group Holdings, Inc.",,First Lien Secured Debt,,,"L+  550  ,  1.00   Floor",,02/02/26,,,,8178,,,,,8111,,,,,7933,,,(9)(26),,,,,,,,,,,,,,,,,,,,
506,,,First Lien Secured Debt - Revolver,,,"L+  550  ,  1.00   Floor",,02/02/26,,,,1731,,,,,1256,,,,,1217,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
507,,,,,,,,,,,,,,,,,9367,,,,,9150,,,,,,,,,,,,,,,,,,,,,,,
508,Sirsi Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Sirsi Corporation,,First Lien Secured Debt,,,"L+  450  ,  1.00   Floor",,03/15/24,,,,5101,,,,,5080,,,,,5076,,,(9)(26),,,,,,,,,,,,,,,,,,,,
510,,,First Lien Secured Debt - Revolver,,,"L+  450  ,  1.00   Floor",,03/15/24,,,,429,,,,,(  2,,,,,(  2,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
511,,,,,,,,,,,,,,,,,5078,,,,,5074,,,,,,,,,,,,,,,,,,,,,,,
512,Springbrook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,"Springbrook Holding Company, LLC",,First Lien Secured Debt,,,"L+  575  ,  1.00   Floor",,12/23/26,,,,14227,,,,,14059,,,,,13913,,,(26),,,,,,,,,,,,,,,,,,,,
514,,,First Lien Secured Debt,,,"SOFR+  650  ,  1.00   Floor",,12/23/26,,,,2354,,,,,2308,,,,,2307,,,(32),,,,,,,,,,,,,,,,,,,,
515,,,First Lien Secured Debt,,,"L+  550  ,  1.00   Floor",,12/23/26,,,,1582,,,,,1569,,,,,1547,,,(26),,,,,,,,,,,,,,,,,,,,
516,,,First Lien Secured Debt - Revolver,,,"L+  575  ,  1.00   Floor",,12/23/26,,,,1463,,,,,(  15,,,,,(  32,,,(8)(21)(23),,,,,,,,,,,,,,,,,,,,
517,,,,,,,,,,,,,,,,,17921,,,,,17735,,,,,,,,,,,,,,,,,,,,,,,
518,Tax Slayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,"MEP-TS Midco, LLC",,First Lien Secured Debt,,,"L+  600  ,  1.00   Floor",,12/31/26,,,,13277,,,,,13064,,,,,12813,,,(9)(29),,,,,,,,,,,,,,,,,,,,
520,,,First Lien Secured Debt - Revolver,,,"L+  600  ,  1.00   Floor",,12/31/26,,,,1452,,,,,0,,,,,(  51,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
521,,,,,,,,,,,,,,,,,13064,,,,,12762,,,,,,,,,,,,,,,,,,,,,,,
522,UpStack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Upstack Holdco Inc.,,First Lien Secured Debt,,,"L+  575  ,  1.00   Floor",,08/20/27,,,,31701,,,,,27456,,,,,27388,,,(9)(21)(23)(29),,,,,,,,,,,,,,,,,,,,
524,,,First Lien Secured Debt - Revolver,,,"L+  550  ,  1.00   Floor",,08/20/27,,,,3000,,,,,(  64,,,,,(  67,,,(8)(9)(20)(21)  (23),,,,,,,,,,,,,,,,,,,,
525,,,,,,,,,,,,,,,,,27392,,,,,27321,,,,,,,,,,,,,,,,,,,,,,,
526,,,,,,,Total High Tech Industries,,,,,401756,,,,,417053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,"Hotel, Gaming, Leisure, Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Guernsey Holdings SDI LA LLC,,First Lien Secured Debt,,,6.95,,11/18/26,,,,1979,,,,,1963,,,,,1840,,,(9),,,,,,,,,,,,,,,,,,,,
530,,,First Lien Secured Debt,,,"L+  595  ,  1.00   Floor",,11/18/26,,,,1167,,,,,0,,,,,(  12,,,(8)(9)(23),,,,,,,,,,,,,,,,,,,,
531,,,,,,,,,,,,,,,,,1963,,,,,1828,,,,,,,,,,,,,,,,,,,,,,,
532,PARS Group LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,PARS Group LLC,,First Lien Secured Debt,,,"SOFR+  675  ,  1.50   Floor",,04/03/28,,,,10000,,,,,8916,,,,,8912,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,,
534,Taco Cabana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
