,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
353,Spotted Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,"SHD Oil & Gas, LLC (5)",,Common Equity - Series C Units,,,N/A,,N/A,,,"50,952,525  Shares",,,,,43454,,,,,300,,,(13)(16)(24),,,,,,,,,,,,,,,,,,,,,
355,,,Common Equity - Series A Units,,,N/A,,N/A,,,"7,600,000  Shares",,,,,1411,,,,,-,,,(13)(16)(24),,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,44865,,,,,300,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,Total Energy – Oil & Gas,,,,,57136,,,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Healthcare & Pharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,83bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,"83Bar, Inc.",,First Lien Secured Debt,,,"SOFR+  586  ,  1.50  % Floor",,07/02/26,,,,3333,,,,,3324,,,,,3275,,,(9)(30),,,,,,,,,,,,,,,,,,,,
361,Akoya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,"Akoya Biosciences, Inc.",,First Lien Secured Debt,,,"SOFR+  691  ,  2.50  % Floor",,11/01/27,,,,19125,,,,,19124,,,,,19125,,,(9)(30),,,,,,,,,,,,,,,,,,,,
363,,,First Lien Secured Debt,,,"SOFR+  691  ,  2.50  % Floor",,11/01/27,,,,3375,,,,,(  10,,,,,-,,,(9)(23),,,,,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,19114,,,,,19125,,,,,,,,,,,,,,,,,,,,,,,
365,Alcami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Alcami Corporation,,First Lien Secured Debt,,,"SOFR+  700  ,  1.00  % Floor",,12/21/28,,,,8863,,,,,7893,,,,,7912,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,,
367,,,First Lien Secured Debt - Revolver,,,"SOFR+  700  ,  1.00  % Floor",,12/21/28,,,,1096,,,,,(  35,,,,,(  33,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,7858,,,,,7879,,,,,,,,,,,,,,,,,,,,,,,
369,Analogic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Analogic Corporation,,First Lien Secured Debt,,,"SOFR+  540  ,  1.00  % Floor",,06/22/24,,,,17622,,,,,17569,,,,,17622,,,(9)(31),,,,,,,,,,,,,,,,,,,,
371,,,First Lien Secured Debt - Revolver,,,"SOFR+  540  ,  1.00  % Floor",,06/22/24,,,,1826,,,,,1356,,,,,1353,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,18925,,,,,18975,,,,,,,,,,,,,,,,,,,,,,,
373,Carbon6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,"Carbon6 Technologies, Inc.",,First Lien Secured Debt,,,"SOFR+  685  ,  1.00  % Floor",,08/01/27,,,,2500,,,,,2490,,,,,2488,,,(9)(30),,,,,,,,,,,,,,,,,,,,
375,,,First Lien Secured Debt,,,"SOFR+  675  ,  1.00  % Floor",,08/01/27,,,,10000,,,,,-,,,,,(  75,,,(8)(9)(23),,,,,,,,,,,,,,,,,,,,
376,,,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,"280,899  Shares",,,,,250,,,,,250,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,2740,,,,,2663,,,,,,,,,,,,,,,,,,,,,,,
378,Cato Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,"LS Clinical Services Holdings, Inc.",,First Lien Secured Debt,,,"SOFR+  675  ,  1.00  % Floor",,12/16/27,,,,12928,,,,,12684,,,,,12588,,,(9)(31),,,,,,,,,,,,,,,,,,,,
380,,,First Lien Secured Debt - Revolver,,,"SOFR+  675  ,  1.00  % Floor",,12/16/26,,,,1875,,,,,1841,,,,,1829,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,14525,,,,,14417,,,,,,,,,,,,,,,,,,,,,,,
382,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares  (12),,,Cost  (37),,,Fair Value  (1)(38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Celerion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,"Celerion Buyer, Inc.",,First Lien Secured Debt,,,"SOFR+  650  ,  0.75  % Floor",,11/05/29,,,,9320,,,,,7783,,,,,7808,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
385,,,First Lien Secured Debt - Revolver,,,"SOFR+  650  ,  0.75  % Floor",,11/03/28,,,,639,,,,,(  17,,,,,(  16,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,7766,,,,,7792,,,,,,,,,,,,,,,,,,,,,,,
387,Cerus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Cerus Corporation,,First Lien Secured Debt,,,"SOFR+  660  ,  1.80  % Floor",,03/01/28,,,,16500,,,,,16467,,,,,16418,,,(9)(17)(30),,,,,,,,,,,,,,,,,,,,
389,,,First Lien Secured Debt,,,"SOFR+  650  ,  1.00  % Floor",,03/01/28,,,,6000,,,,,(  28,,,,,(  30,,,(8)(9)(17)(23),,,,,,,,,,,,,,,,,,,,
390,,,First Lien Secured Debt - Revolver,,,"SOFR+  385  ,  1.00  % Floor",,03/01/28,,,,2000,,,,,914,,,,,912,,,(9)(17)(21)(23)  (30),,,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,17353,,,,,17300,,,,,,,,,,,,,,,,,,,,,,,
392,CNSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,"CNSI Holdings, LLC",,First Lien Secured Debt,,,"SOFR+  650  ,  0.50  % Floor",,12/17/28,,,,17910,,,,,17339,,,,,17283,,,(9)(31),,,,,,,,,,,,,,,,,,,,
394,,,First Lien Secured Debt - Revolver,,,"SOFR+  650  ,  0.50  % Floor",,12/17/27,,,,2000,,,,,(  62,,,,,(  70,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,17277,,,,,17213,,,,,,,,,,,,,,,,,,,,,,,
396,Compass Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,"Roscoe Medical, Inc",,First Lien Secured Debt,,,"SOFR+  625  ,  1.00  % Floor",,09/30/24,,,,7506,,,,,7236,,,,,7168,,,(9)(30),,,,,,,,,,,,,,,,,,,,
398,,,First Lien Secured Debt - Revolver,,,"SOFR+  625  ,  1.00  % Floor",,09/30/24,,,,1393,,,,,931,,,,,921,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,8167,,,,,8089,,,,,,,,,,,,,,,,,,,,,,,
400,EmpiRx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,EmpiRx Health LLC,,First Lien Secured Debt,,,"SOFR+  510  ,  1.00  % Floor",,08/05/27,,,,8955,,,,,8825,,,,,8887,,,(9)(32),,,,,,,,,,,,,,,,,,,,
402,,,First Lien Secured Debt - Revolver,,,"SOFR+  500  ,  1.00  % Floor",,08/05/27,,,,909,,,,,(  13,,,,,(  7,,,(8)(9)(20)(21)  (23),,,,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,8812,,,,,8880,,,,,,,,,,,,,,,,,,,,,,,
404,Forge Biologics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,"Forge Biologics, Inc.",,First Lien Secured Debt,,,"SOFR+  711  ,  0.50  % Floor",,12/03/26,,,,20000,,,,,19933,,,,,19834,,,(9)(30),,,,,,,,,,,,,,,,,,,,
406,,,First Lien Secured Debt,,,"SOFR+  675  ,  0.50  % Floor",,12/03/26,,,,6667,,,,,(  23,,,,,(  55,,,(8)(9)(23),,,,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,19910,,,,,19779,,,,,,,,,,,,,,,,,,,,,,,
408,Gateway Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,"Gateway US Holdings, Inc.",,First Lien Secured Debt,,,"SOFR+  650  ,  0.75  % Floor",,09/22/26,,,,9657,,,,,9514,,,,,9448,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
410,,,First Lien Secured Debt - Revolver,,,"SOFR+  650  ,  0.75  % Floor",,09/22/26,,,,304,,,,,(  2,,,,,(  5,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,9512,,,,,9443,,,,,,,,,,,,,,,,,,,,,,,
412,Gossamer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,"GB001, Inc.",,First Lien Secured Debt,,,"SOFR+  711  ,  2.00  % Floor",,01/01/25,,,,3677,,,,,3684,,,,,3682,,,(9)(17)(30),,,,,,,,,,,,,,,,,,,,
414,,,First Lien Secured Debt,,,"L+  700  ,  2.00  % Floor",,01/01/25,,,,24000,,,,,(  66,,,,,-,,,(9)(17)(23),,,,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,3618,,,,,3682,,,,,,,,,,,,,,,,,,,,,,,
416,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares  (12),,,Cost  (37),,,Fair Value  (1)(38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Health & Safety Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,"HSI HALO Acquisition, Inc.",,First Lien Secured Debt,,,"SOFR+  585  ,  1.00  % Floor",,08/31/26,,,,16184,,,,,16017,,,,,15698,,,(9)(32),,,,,,,,,,,,,,,,,,,,
419,,,First Lien Secured Debt,,,"SOFR+  635  ,  1.00  % Floor",,08/31/26,,,,2453,,,,,2408,,,,,2408,,,(9)(32),,,,,,,,,,,,,,,,,,,,
420,,,First Lien Secured Debt - Revolver,,,"SOFR+  585  ,  1.00  % Floor",,09/02/25,,,,813,,,,,674,,,,,664,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,,
421,,,Common Equity - Common Stock,,,N/A,,N/A,,,500  Shares,,,,,500,,,,,1371,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
422,"HSI Halo Holdings, LLC",,Common Equity - Common Stock,,,N/A,,N/A,,,104  Shares,,,,,16,,,,,14,,,(9)(24),,,,,,,,,,,,,,,,,,,,,
423,,,Unsecured Debt - Convertible Bond,,,10.00  %,,09/28/27,,,,27,,,,,27,,,,,26,,,(9),,,,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,19642,,,,,20181,,,,,,,,,,,,,,,,,,,,,,,
425,KureSmart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",,Common Equity - Common Stock,,,N/A,,N/A,,,133  Shares,,,,,133,,,,,241,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
427,"Kure Pain Holdings, Inc.",,First Lien Secured Debt,,,"SOFR+  610  ,  1.00  % Floor",,08/27/25,,,,21380,,,,,21264,,,,,21177,,,(9)(30),,,,,,,,,,,,,,,,,,,,
428,,,First Lien Secured Debt - Revolver,,,"SOFR+  600  ,  1.00  % Floor",,08/27/24,,,,2654,,,,,(  14,,,,,(  15,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,21383,,,,,21403,,,,,,,,,,,,,,,,,,,,,,,
430,LucidHealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,"Premier Imaging, LLC",,First Lien Secured Debt,,,"SOFR+  600  ,  1.00  % Floor",,01/02/25,,,,12378,,,,,7976,,,,,7949,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,,
432,Mannkind Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Mannkind Corporation,,First Lien Secured Debt,,,"SOFR+  635  ,  1.00  % Floor",,08/01/25,,,,13867,,,,,13821,,,,,13944,,,(9)(26)(30),,,,,,,,,,,,,,,,,,,,
434,,,Common Equity - Common Stock,,,N/A,,N/A,,,"334,226  Shares",,,,,76,,,,,1360,,,(9)(10)(13),,,,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,13897,,,,,15304,,,,,,,,,,,,,,,,,,,,,,,
436,"Maxor National Pharmacy Services, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,"Maxor National Pharmacy Services, LLC",,First Lien Secured Debt,,,"SOFR+  700  ,  1.00  % Floor",,03/01/29,,,,13386,,,,,12991,,,,,12985,,,(9)(32),,,,,,,,,,,,,,,,,,,,
438,,,First Lien Secured Debt - Revolver,,,"SOFR+  700  ,  1.00  % Floor",,03/01/29,,,,1530,,,,,568,,,,,566,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
439,"Maxor Topco, L.P.",,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,"50,000  Shares",,,,,50,,,,,61,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,,,13609,,,,,13612,,,,,,,,,,,,,,,,,,,,,,,
441,Medical Guardian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,"Medical Guardian, LLC",,First Lien Secured Debt,,,"SOFR+  635  ,  1.00  % Floor",,10/26/26,,,,30957,,,,,30640,,,,,30521,,,(9)(30),,,,,,,,,,,,,,,,,,,,
443,,,First Lien Secured Debt,,,"SOFR+  650  ,  1.00  % Floor",,10/26/26,,,,4762,,,,,(  20,,,,,(  67,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
444,,,First Lien Secured Debt - Revolver,,,"SOFR+  635  ,  1.00  % Floor",,10/26/26,,,,3810,,,,,800,,,,,837,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,,,31420,,,,,31291,,,,,,,,,,,,,,,,,,,,,,,
446,Midwest Vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,"Midwest Vision Partners Management, LLC",,First Lien Secured Debt,,,"SOFR+  665  ,  1.00  % Floor",,01/12/27,,,,24041,,,,,21306,,,,,20782,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
448,,,First Lien Secured Debt - Revolver,,,"SOFR+  665  ,  1.00  % Floor",,01/12/27,,,,612,,,,,604,,,,,590,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,,,,,21910,,,,,21372,,,,,,,,,,,,,,,,,,,,,,,
450,Orchard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Orchard Therapeutics PLC,,First Lien Secured Debt,,,"SOFR+  605  ,  1.00  % Floor",,05/28/26,,,,9167,,,,,9149,,,,,9166,,,(9)(17)(30),,,,,,,,,,,,,,,,,,,,
452,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares  (12),,,Cost  (37),,,Fair Value  (1)(38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Paragon 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,"Paragon 28, Inc.",,First Lien Secured Debt,,,"SOFR+  611  ,  1.00  % Floor",,05/01/26,,,,10000,,,,,7484,,,,,7450,,,(9)(23)(30),,,,,,,,,,,,,,,,,,,,
455,,,First Lien Secured Debt - Revolver,,,"SOFR+  375  ,  1.00  % Floor",,05/01/26,,,,2000,,,,,(  8,,,,,(  10,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
456,,,,,,,,,,,,,,,,,7476,,,,,7440,,,,,,,,,,,,,,,,,,,,,,,
457,"Partner Therapeutics, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,"Partner Therapeutics, Inc",,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,"55,556  Shares",,,,,333,,,,,526,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
459,,,Warrants - Warrants,,,N/A,,N/A,,,,73,,,,,389,,,,,337,,,(9)(13),,,,,,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,,,722,,,,,863,,,,,,,,,,,,,,,,,,,,,,,
461,PHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,"PHS Buyer, Inc.",,First Lien Secured Debt,,,"SOFR+  610  ,  1.00  % Floor",,01/31/27,,,,23978,,,,,23685,,,,,23859,,,(9)(30),,,,,,,,,,,,,,,,,,,,
463,,,First Lien Secured Debt - Revolver,,,"SOFR+  610  ,  1.00  % Floor",,01/31/27,,,,2000,,,,,901,,,,,929,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,,
464,,,,,,,,,,,,,,,,,24586,,,,,24788,,,,,,,,,,,,,,,,,,,,,,,
465,RHA Health Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,"Pace Health Companies, LLC",,First Lien Secured Debt,,,"SOFR+  465  ,  1.00  % Floor",,08/02/25,,,,3749,,,,,3722,,,,,3734,,,(9)(31),,,,,,,,,,,,,,,,,,,,
467,,,First Lien Secured Debt - Revolver,,,"SOFR+  465  ,  1.00  % Floor",,08/02/25,,,,500,,,,,(  18,,,,,(  2,,,(8)(9)(20)(21)  (23),,,,,,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,3704,,,,,3732,,,,,,,,,,,,,,,,,,,,,,,
469,Rigel Pharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,"Rigel Pharmaceuticals, Inc.",,First Lien Secured Debt,,,"SOFR+  576  ,  1.50  % Floor",,09/01/26,,,,18000,,,,,17999,,,,,18000,,,(9)(30),,,,,,,,,,,,,,,,,,,,
471,Team Select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,"TS Investors, LLC",,First Lien Secured Debt,,,"SOFR+  660  ,  1.00  % Floor",,05/04/29,,,,1946,,,,,1884,,,,,1883,,,(9)(31),,,,,,,,,,,,,,,,,,,,
473,,,First Lien Secured Debt,,,"SOFR+  650  ,  1.00  % Floor",,05/04/29,,,,369,,,,,(  6,,,,,(  6,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
474,,,First Lien Secured Debt - Revolver,,,"SOFR+  650  ,  1.00  % Floor",,05/04/29,,,,185,,,,,(  6,,,,,(  6,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
475,,,,,,,,,,,,,,,,,1872,,,,,1871,,,,,,,,,,,,,,,,,,,,,,,
476,"TELA Bio, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,"TELA Bio, Inc.",,First Lien Secured Debt,,,"SOFR+  635  ,  1.00  % Floor",,05/01/27,,,,13333,,,,,13281,,,,,13333,,,(9)(30),,,,,,,,,,,,,,,,,,,,
478,,,First Lien Secured Debt,,,"SOFR+  625  ,  1.00  % Floor",,05/01/27,,,,3333,,,,,-,,,,,-,,,(9)(23),,,,,,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,,,13281,,,,,13333,,,,,,,,,,,,,,,,,,,,,,,
480,TersSera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,TerSera Therapeutics LLC,,First Lien Secured Debt,,,"SOFR+  675  ,  1.00  % Floor",,04/04/29,,,,13860,,,,,13457,,,,,13445,,,(9)(30),,,,,,,,,,,,,,,,,,,,
482,,,First Lien Secured Debt - Revolver,,,"SOFR+  675  ,  1.00  % Floor",,04/04/29,,,,1140,,,,,(  33,,,,,(  34,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
483,,,,,,,,,,,,,,,,,13424,,,,,13411,,,,,,,,,,,,,,,,,,,,,,,
484,TissueTech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,"TissueTech, Inc.",,First Lien Secured Debt,,,"SOFR+  586  ,  1.00  % Floor",,04/01/27,,,,12250,,,,,12203,,,,,12250,,,(9)(30),,,,,,,,,,,,,,,,,,,,
486,,,First Lien Secured Debt,,,"SOFR+  586  ,  1.00  % Floor",,04/01/27,,,,5250,,,,,-,,,,,-,,,(9)(23),,,,,,,,,,,,,,,,,,,,
487,,,First Lien Secured Debt - Revolver,,,"SOFR+  400  ,  1.00  % Floor",,04/01/27,,,,1000,,,,,(  4,,,,,-,,,(9)(21)(23),,,,,,,,,,,,,,,,,,,,
488,,,,,,,,,,,,,,,,,12199,,,,,12250,,,,,,,,,,,,,,,,,,,,,,,
489,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares  (12),,,Cost  (37),,,Fair Value  (1)(38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Treace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,"Treace Medical Concepts, Inc.",,First Lien Secured Debt,,,"SOFR+  610  ,  1.00  % Floor",,04/01/27,,,,14583,,,,,14526,,,,,14219,,,(9)(17)(27)(30),,,,,,,,,,,,,,,,,,,,
492,,,First Lien Secured Debt,,,"SOFR+  600  ,  1.00  % Floor",,04/01/27,,,,20417,,,,,-,,,,,(  511,,,(8)(9)(17)(23)  (27),,,,,,,,,,,,,,,,,,,,
493,,,First Lien Secured Debt - Revolver,,,"SOFR+  410  ,  1.00  % Floor",,04/01/27,,,,3000,,,,,389,,,,,310,,,(9)(17)(21)(23)  (27)(30),,,,,,,,,,,,,,,,,,,,
494,,,,,,,,,,,,,,,,,14915,,,,,14018,,,,,,,,,,,,,,,,,,,,,,,
495,Unchained Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,"Unchained Labs, LLC",,First Lien Secured Debt,,,"SOFR+  555  ,  1.00  % Floor",,08/09/27,,,,6707,,,,,4072,,,,,4076,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,,
497,,,First Lien Secured Debt - Revolver,,,"SOFR+  550  ,  1.00  % Floor",,08/09/27,,,,726,,,,,(  10,,,,,(  7,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
498,,,,,,,,,,,,,,,,,4062,,,,,4069,,,,,,,,,,,,,,,,,,,,,,,
499,US Fertility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,"US Fertility Enterprises, LLC",,First Lien Secured Debt,,,"SOFR+  660  ,  1.00  % Floor",,12/21/27,,,,2500,,,,,2438,,,,,2438,,,(9)(32),,,,,,,,,,,,,,,,,,,,
501,ViewRay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,ViewRay Inc.,,First Lien Secured Debt,,,P+  350,,11/01/27,,,,9583,,,,,9546,,,,,8889,,,(9)(17)(28),,,,,,,,,,,,,,,,,,,,
503,,,First Lien Secured Debt,,,"P+  350  ,  0.00  % Floor",,11/01/27,,,,4167,,,,,(  18,,,,,(  302,,,(8)(9)(17)(23),,,,,,,,,,,,,,,,,,,,
504,,,First Lien Secured Debt - Revolver,,,P+  050,,11/01/27,,,,750,,,,,(  3,,,,,(  4,,,(8)(9)(17)(21)  (23),,,,,,,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,,,9525,,,,,8583,,,,,,,,,,,,,,,,,,,,,,,
506,"WellDyneRx, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,"WelldyneRX, LLC",,First Lien Secured Debt,,,"SOFR+  685  ,  0.75  % Floor",,03/09/27,,,,17851,,,,,17554,,,,,17494,,,(9)(31),,,,,,,,,,,,,,,,,,,,
508,,,First Lien Secured Debt - Revolver,,,"SOFR+  675  ,  0.75  % Floor",,03/09/26,,,,1923,,,,,(  26,,,,,(  48,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
509,,,,,,,,,,,,,,,,,17528,,,,,17446,,,,,,,,,,,,,,,,,,,,,,,
510,,,,,,,Total Healthcare & Pharmaceuticals,,,,,441618,,,,,441032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,High Tech Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Acronis AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,ACRONIS AG,,First Lien Secured Debt,,,"SOFR+  595  ,  1.00  % Floor",,04/01/27,,,,21000,,,,,20947,,,,,21000,,,(9)(17)(30),,,,,,,,,,,,,,,,,,,,
514,American Megatrends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,AMI US Holdings Inc.,,First Lien Secured Debt,,,"SOFR+  535  ,  1.00  % Floor",,04/01/25,,,,21154,,,,,21015,,,,,21154,,,(9)(30),,,,,,,,,,,,,,,,,,,,
516,,,First Lien Secured Debt - Revolver,,,"SOFR+  535  ,  0.00  % Floor",,04/01/24,,,,2907,,,,,340,,,,,349,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,,
517,,,,,,,,,,,,,,,,,21355,,,,,21503,,,,,,,,,,,,,,,,,,,,,,,
518,BarTender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Sigma Buyer LLC,,First Lien Secured Debt,,,"SOFR+  675  ,  0.75  % Floor",,01/04/28,,,,5985,,,,,5817,,,,,5895,,,(9)(32),,,,,,,,,,,,,,,,,,,,
520,,,First Lien Secured Debt - Revolver,,,"SOFR+  675  ,  0.75  % Floor",,01/04/28,,,,1500,,,,,(  41,,,,,(  22,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
521,,,,,,,,,,,,,,,,,5776,,,,,5873,,,,,,,,,,,,,,,,,,,,,,,
522,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares  (12),,,Cost  (37),,,Fair Value  (1)(38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,"Calero Holdings, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,"Telesoft Holdings, LLC",,First Lien Secured Debt,,,"SOFR+  575  ,  1.00  % Floor",,12/16/25,,,,21989,,,,,21776,,,,,21496,,,(30),,,,,,,,,,,,,,,,,,,,
525,,,First Lien Secured Debt - Revolver,,,P+  450,,12/16/25,,,,174,,,,,173,,,,,170,,,(21)(23)(28),,,,,,,,,,,,,,,,,,,,
526,,,First Lien Secured Debt - Revolver,,,"SOFR+  575  ,  1.00  % Floor",,12/16/25,,,,2098,,,,,245,,,,,218,,,(21)(23)(30),,,,,,,,,,,,,,,,,,,,
527,,,,,,,,,,,,,,,,,22194,,,,,21884,,,,,,,,,,,,,,,,,,,,,,,
